Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.126,$0.1265,$0.1197,$0.1229,"$28,586","$28,586"
"Sep 24, 2022",$0.1221,$0.1272,$0.1208,$0.125,"$21,264","$21,264"
"Sep 23, 2022",$0.1261,$0.1283,$0.1174,$0.1221,"$26,889","$26,889"
"Sep 22, 2022",$0.1224,$0.1264,$0.1207,$0.1257,"$39,834","$39,834"
"Sep 21, 2022",$0.1236,$0.1328,$0.1204,$0.1225,"$50,542","$50,542"
"Sep 20, 2022",$0.1276,$0.1283,$0.1222,$0.1236,"$23,464","$23,464"
"Sep 19, 2022",$0.1204,$0.1281,$0.1175,$0.1277,"$18,163","$18,163"
"Sep 18, 2022",$0.1287,$0.1322,$0.1173,$0.1204,"$59,852","$59,852"
"Sep 17, 2022",$0.1419,$0.1439,$0.124,$0.1286,"$89,126","$89,126"
"Sep 16, 2022",$0.1469,$0.1482,$0.1403,$0.1418,"$43,567","$43,567"
"Sep 15, 2022",$0.1633,$0.165,$0.1456,$0.1469,"$24,329","$24,329"
"Sep 14, 2022",$0.1503,$0.165,$0.1486,$0.165,"$29,140","$29,140"
"Sep 13, 2022",$0.1474,$0.1534,$0.1385,$0.149,"$49,804","$49,804"
"Sep 12, 2022",$0.1591,$0.1617,$0.144,$0.1474,"$34,071","$34,071"
"Sep 11, 2022",$0.1608,$0.1649,$0.1562,$0.159,"$41,737","$41,737"
"Sep 10, 2022",$0.1678,$0.169,$0.1578,$0.1608,"$28,038","$28,038"
"Sep 09, 2022",$0.1678,$0.1737,$0.1641,$0.1677,"$49,059","$49,059"
"Sep 08, 2022",$0.1586,$0.1681,$0.153,$0.1674,"$32,693","$32,693"
"Sep 07, 2022",$0.1507,$0.1588,$0.144,$0.1586,"$26,916","$26,916"
"Sep 06, 2022",$0.1467,$0.1623,$0.1467,$0.1507,"$52,072","$52,072"
"Sep 05, 2022",$0.1441,$0.1496,$0.1415,$0.147,"$40,811","$40,811"
"Sep 04, 2022",$0.1434,$0.147,$0.1404,$0.144,"$48,413","$48,413"
"Sep 03, 2022",$0.1446,$0.1473,$0.1428,$0.1433,"$24,156","$24,156"
"Sep 02, 2022",$0.1358,$0.1473,$0.1356,$0.1446,"$37,905","$37,905"
"Sep 01, 2022",$0.1521,$0.1527,$0.1345,$0.1358,"$45,479","$45,479"
"Aug 31, 2022",$0.1549,$0.1561,$0.1501,$0.1521,"$24,980","$24,980"
"Aug 30, 2022",$0.1564,$0.1614,$0.1482,$0.1549,"$37,221","$37,221"
"Aug 29, 2022",$0.1446,$0.1567,$0.1413,$0.1565,"$19,355","$19,355"
"Aug 28, 2022",$0.1517,$0.157,$0.1448,$0.1448,"$27,426","$27,426"
"Aug 27, 2022",$0.1425,$0.1519,$0.1416,$0.1517,"$25,313","$25,313"
"Aug 26, 2022",$0.1572,$0.1673,$0.1422,$0.1424,"$61,139","$61,139"
"Aug 25, 2022",$0.1568,$0.161,$0.1545,$0.1572,"$35,266","$35,266"
"Aug 24, 2022",$0.1437,$0.162,$0.138,$0.1568,"$53,762","$53,762"
"Aug 23, 2022",$0.1492,$0.1505,$0.1414,$0.1439,"$36,554","$36,554"
"Aug 22, 2022",$0.1592,$0.1592,$0.1134,$0.1492,"$148,464","$148,464"
"Aug 21, 2022",$0.1563,$0.1649,$0.1563,$0.1592,"$29,297","$29,297"
"Aug 20, 2022",$0.1574,$0.1637,$0.1515,$0.1563,"$19,626","$19,626"
"Aug 19, 2022",$0.1667,$0.174,$0.1324,$0.1575,"$142,275","$142,275"
"Aug 18, 2022",$0.1932,$0.1944,$0.157,$0.1666,"$114,159","$114,159"
"Aug 17, 2022",$0.1853,$0.1955,$0.183,$0.1932,"$39,986","$39,986"
"Aug 16, 2022",$0.1953,$0.1966,$0.185,$0.1854,"$20,110","$20,110"
"Aug 15, 2022",$0.1978,$0.203,$0.1917,$0.1955,"$33,926","$33,926"
"Aug 14, 2022",$0.205,$0.2109,$0.197,$0.1979,"$33,898","$33,898"
"Aug 13, 2022",$0.1997,$0.211,$0.1986,$0.205,"$56,327","$56,327"
"Aug 12, 2022",$0.1957,$0.203,$0.1946,$0.1997,"$17,803","$17,803"
"Aug 11, 2022",$0.2103,$0.2103,$0.1943,$0.1957,"$26,742","$26,742"
"Aug 10, 2022",$0.1892,$0.2099,$0.185,$0.2092,"$31,402","$31,402"
"Aug 09, 2022",$0.1885,$0.1902,$0.1813,$0.1892,"$29,767","$29,767"
"Aug 08, 2022",$0.1947,$0.2078,$0.1831,$0.1885,"$92,909","$92,909"
"Aug 07, 2022",$0.2033,$0.2043,$0.1944,$0.1947,"$30,915","$30,915"
"Aug 06, 2022",$0.2001,$0.2039,$0.1976,$0.2033,"$15,377","$15,377"
"Aug 05, 2022",$0.1807,$0.2021,$0.1806,$0.2001,"$39,392","$39,392"
"Aug 04, 2022",$0.1738,$0.1861,$0.1727,$0.1807,"$57,891","$57,891"
"Aug 03, 2022",$0.1743,$0.1875,$0.1683,$0.1738,"$44,685","$44,685"
"Aug 02, 2022",$0.1824,$0.1836,$0.1535,$0.1745,"$98,971","$98,971"
"Aug 01, 2022",$0.1945,$0.1957,$0.1774,$0.1824,"$32,090","$32,090"
"Jul 31, 2022",$0.1964,$0.2007,$0.1932,$0.1945,"$16,047","$16,047"
"Jul 30, 2022",$0.1982,$0.2029,$0.1951,$0.1964,"$22,581","$22,581"
"Jul 29, 2022",$0.2045,$0.2045,$0.1915,$0.1982,"$46,888","$46,888"
"Jul 28, 2022",$0.1799,$0.2079,$0.178,$0.2045,"$89,641","$89,641"
"Jul 27, 2022",$0.1684,$0.1799,$0.1644,$0.1796,"$43,590","$43,590"
"Jul 26, 2022",$0.1771,$0.1771,$0.1612,$0.1684,"$30,997","$30,997"
"Jul 25, 2022",$0.1881,$0.1881,$0.178,$0.178,"$35,404","$35,404"
"Jul 24, 2022",$0.1897,$0.1929,$0.1851,$0.1882,"$36,278","$36,278"
"Jul 23, 2022",$0.1926,$0.1995,$0.1875,$0.1897,"$26,208","$26,208"
"Jul 22, 2022",$0.202,$0.2111,$0.1794,$0.1926,"$72,032","$72,032"
"Jul 21, 2022",$0.208,$0.2104,$0.1953,$0.2018,"$34,091","$34,091"
"Jul 20, 2022",$0.2086,$0.2289,$0.2077,$0.208,"$31,014","$31,014"
"Jul 19, 2022",$0.2233,$0.2236,$0.205,$0.2086,"$55,503","$55,503"
"Jul 18, 2022",$0.2029,$0.2233,$0.1979,$0.2233,"$59,607","$59,607"
"Jul 17, 2022",$0.2085,$0.2154,$0.202,$0.2024,"$18,907","$18,907"
"Jul 16, 2022",$0.1986,$0.2142,$0.1838,$0.2085,"$60,597","$60,597"
"Jul 15, 2022",$0.2048,$0.2071,$0.1979,$0.1986,"$29,271","$29,271"
"Jul 14, 2022",$0.1994,$0.2049,$0.1904,$0.2048,"$37,644","$37,644"
"Jul 13, 2022",$0.1932,$0.1998,$0.187,$0.1994,"$40,062","$40,062"
"Jul 12, 2022",$0.1878,$0.2055,$0.1863,$0.1932,"$71,340","$71,340"
"Jul 11, 2022",$0.1934,$0.1971,$0.187,$0.1878,"$47,113","$47,113"
"Jul 10, 2022",$0.1808,$0.1999,$0.1792,$0.1934,"$135,828","$135,828"
"Jul 09, 2022",$0.1797,$0.1842,$0.1772,$0.1808,"$35,028","$35,028"
"Jul 08, 2022",$0.1844,$0.1873,$0.1736,$0.1797,"$12,174","$12,174"
"Jul 07, 2022",$0.1588,$0.1876,$0.1579,$0.1844,"$142,822","$142,822"
"Jul 06, 2022",$0.1603,$0.1659,$0.1557,$0.1588,"$60,481","$60,481"
"Jul 05, 2022",$0.1852,$0.1855,$0.1601,$0.1603,"$176,084","$176,084"
"Jul 04, 2022",$0.1864,$0.1877,$0.1761,$0.1852,"$148,957","$148,957"
"Jul 03, 2022",$0.1914,$0.1914,$0.1861,$0.1864,"$62,797","$62,797"
