Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.1009,$0.1027,$0.1009,$0.1011,"$6,215","$6,215"
"Sep 25, 2022",$0.1011,$0.1027,$0.1009,$0.1009,"$5,932","$5,932"
"Sep 24, 2022",$0.1018,$0.1027,$0.1009,$0.1011,"$5,904","$5,904"
"Sep 23, 2022",$0.1009,$0.1026,$0.1009,$0.1018,"$5,986","$5,986"
"Sep 22, 2022",$0.1017,$0.1027,$0.1009,$0.1009,"$6,108","$6,108"
"Sep 21, 2022",$0.1027,$0.1027,$0.1009,$0.1017,"$6,172","$6,172"
"Sep 20, 2022",$0.101,$0.1027,$0.1009,$0.1027,"$6,220","$6,220"
"Sep 19, 2022",$0.1018,$0.1027,$0.1009,$0.101,"$5,820","$5,820"
"Sep 18, 2022",$0.1018,$0.1027,$0.1009,$0.1018,"$5,964","$5,964"
"Sep 17, 2022",$0.1026,$0.1027,$0.101,$0.1018,"$6,024","$6,024"
"Sep 16, 2022",$0.102,$0.1026,$0.101,$0.1026,"$5,869","$5,869"
"Sep 15, 2022",$0.1012,$0.1026,$0.101,$0.102,"$6,009","$6,009"
"Sep 14, 2022",$0.1013,$0.102,$0.101,$0.1012,"$5,951","$5,951"
"Sep 13, 2022",$0.1018,$0.1022,$0.101,$0.102,"$5,942","$5,942"
"Sep 12, 2022",$0.1013,$0.1022,$0.101,$0.1018,"$6,083","$6,083"
"Sep 11, 2022",$0.1019,$0.1022,$0.101,$0.1013,"$6,064","$6,064"
"Sep 10, 2022",$0.1016,$0.1021,$0.101,$0.1019,"$2,370","$2,370"
"Sep 09, 2022",$0.1017,$0.102,$0.1011,$0.1016,"$10,678","$10,678"
"Sep 08, 2022",$0.1018,$0.102,$0.1016,$0.1017,$0,$0
"Sep 07, 2022",$0.1019,$0.102,$0.1015,$0.1018,"$10,541","$10,541"
"Sep 06, 2022",$0.06873,$0.102,$0.06873,$0.1019,"$10,094","$10,094"
"Sep 04, 2022",$0.06873,$0.06873,$0.06873,$0.06873,$0,$0
"Sep 03, 2022",$0.06873,$0.06873,$0.06873,$0.06873,$0,$0
"Sep 02, 2022",$0.06873,$0.06873,$0.06873,$0.06873,$0,$0
"Sep 01, 2022",$0.06873,$0.06873,$0.06873,$0.06873,$0,$0
"Aug 31, 2022",$0.06873,$0.06873,$0.06873,$0.06873,$0,$0
"Aug 30, 2022",$0.06873,$0.06873,$0.06873,$0.06873,$0,$0
"Aug 29, 2022",$0.06787,$0.0689,$0.06782,$0.06873,$0,$0
"Aug 28, 2022",$0.06934,$0.06968,$0.06787,$0.06787,$0,$0
"Aug 27, 2022",$0.07011,$0.07038,$0.06882,$0.06934,$0,$0
"Aug 26, 2022",$0.07472,$0.07544,$0.06989,$0.0701,"$1,144","$1,144"
"Aug 25, 2022",$0.07403,$0.07557,$0.07394,$0.07474,"$9,018","$9,018"
"Aug 24, 2022",$0.0747,$0.07559,$0.07334,$0.07403,"$8,976","$8,976"
"Aug 23, 2022",$0.07405,$0.07511,$0.0725,$0.0747,"$8,603","$8,603"
"Aug 22, 2022",$0.0745,$0.07462,$0.07245,$0.07404,"$8,900","$8,900"
"Aug 21, 2022",$0.07321,$0.07509,$0.07302,$0.07451,"$9,775","$9,775"
"Aug 20, 2022",$0.07222,$0.07404,$0.07216,$0.07323,"$7,483","$7,483"
"Aug 19, 2022",$0.08032,$0.08032,$0.07221,$0.07224,"$7,547","$7,547"
"Aug 18, 2022",$0.08099,$0.08172,$0.08029,$0.08032,"$11,949","$11,949"
"Aug 17, 2022",$0.08263,$0.08467,$0.08045,$0.08098,"$12,054","$12,054"
"Aug 16, 2022",$0.08372,$0.08406,$0.08212,$0.08288,"$10,434","$10,434"
"Aug 15, 2022",$0.08414,$0.08697,$0.08262,$0.08376,"$11,293","$11,293"
"Aug 14, 2022",$0.08477,$0.08657,$0.08375,$0.08414,"$9,729","$9,729"
"Aug 13, 2022",$0.08468,$0.08626,$0.08425,$0.08475,"$11,744","$11,744"
"Aug 12, 2022",$0.08313,$0.08468,$0.08185,$0.08468,"$12,093","$12,093"
