Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.01204,$0.01234,$0.01183,$0.0119,"$3,170,165","$3,170,165"
"Sep 21, 2022",$0.01209,$0.01305,$0.01195,$0.01204,"$2,219,625","$2,219,625"
"Sep 20, 2022",$0.01251,$0.01284,$0.012,$0.01213,"$2,711,859","$2,711,859"
"Sep 19, 2022",$0.01297,$0.01343,$0.01225,$0.01251,"$3,174,021","$3,174,021"
"Sep 18, 2022",$0.01354,$0.01369,$0.01274,$0.01297,"$2,538,540","$2,538,540"
"Sep 17, 2022",$0.01335,$0.01384,$0.01214,$0.01357,"$2,863,144","$2,863,144"
"Sep 16, 2022",$0.01384,$0.01401,$0.01321,$0.01333,"$3,165,158","$3,165,158"
"Sep 15, 2022",$0.01409,$0.0141,$0.0138,$0.01384,"$3,097,032","$3,097,032"
"Sep 14, 2022",$0.01396,$0.01429,$0.0139,$0.01409,"$3,242,576","$3,242,576"
"Sep 13, 2022",$0.01446,$0.01451,$0.01368,$0.01397,"$3,437,366","$3,437,366"
"Sep 12, 2022",$0.01401,$0.01455,$0.01391,$0.01446,"$3,695,524","$3,695,524"
"Sep 11, 2022",$0.01427,$0.01458,$0.01368,$0.01402,"$3,133,821","$3,133,821"
"Sep 10, 2022",$0.01431,$0.01456,$0.014,$0.01427,"$3,260,447","$3,260,447"
"Sep 09, 2022",$0.01434,$0.0145,$0.01368,$0.01431,"$3,155,309","$3,155,309"
"Sep 08, 2022",$0.01421,$0.01437,$0.01395,$0.01433,"$3,385,320","$3,385,320"
"Sep 07, 2022",$0.01515,$0.01667,$0.01384,$0.0142,"$4,860,928","$4,860,928"
"Sep 06, 2022",$0.01473,$0.01774,$0.01405,$0.01507,"$5,430,392","$5,430,392"
"Sep 05, 2022",$0.01443,$0.01506,$0.01377,$0.01475,"$3,236,337","$3,236,337"
"Sep 04, 2022",$0.01445,$0.01481,$0.01376,$0.01446,"$3,532,984","$3,532,984"
"Sep 03, 2022",$0.01479,$0.01494,$0.0141,$0.01445,"$3,318,785","$3,318,785"
"Sep 02, 2022",$0.01494,$0.01563,$0.01444,$0.01479,"$3,771,469","$3,771,469"
"Sep 01, 2022",$0.01509,$0.01553,$0.01469,$0.01493,"$3,770,140","$3,770,140"
"Aug 31, 2022",$0.01517,$0.01571,$0.01487,$0.01509,"$3,968,593","$3,968,593"
"Aug 30, 2022",$0.01517,$0.01569,$0.015,$0.01517,"$3,728,095","$3,728,095"
"Aug 29, 2022",$0.01517,$0.01558,$0.01472,$0.01517,"$3,715,615","$3,715,615"
"Aug 28, 2022",$0.01539,$0.01581,$0.01505,$0.01517,"$3,676,336","$3,676,336"
