Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.3153,$0.3272,$0.306,$0.3261,"$5,562,298","$5,562,298"
"Sep 18, 2022",$0.3571,$0.3571,$0.3119,$0.3154,"$5,663,622","$5,663,622"
"Sep 17, 2022",$0.3459,$0.3587,$0.3455,$0.3572,"$5,119,860","$5,119,860"
"Sep 16, 2022",$0.3564,$0.3611,$0.3386,$0.3458,"$8,111,142","$8,111,142"
"Sep 15, 2022",$0.3776,$0.3776,$0.3523,$0.3563,"$8,135,967","$8,135,967"
"Sep 14, 2022",$0.4016,$0.4039,$0.3693,$0.3776,"$9,844,642","$9,844,642"
"Sep 13, 2022",$0.4076,$0.4674,$0.3999,$0.4029,"$24,280,128","$24,280,128"
"Sep 12, 2022",$0.4247,$0.4258,$0.3983,$0.4077,"$6,888,456","$6,888,456"
"Sep 11, 2022",$0.4197,$0.4362,$0.4082,$0.4246,"$7,461,390","$7,461,390"
"Sep 10, 2022",$0.4149,$0.4289,$0.4134,$0.4196,"$6,596,852","$6,596,852"
"Sep 09, 2022",$0.4037,$0.4303,$0.4037,$0.415,"$9,068,741","$9,068,741"
"Sep 08, 2022",$0.4204,$0.4231,$0.3996,$0.4034,"$8,841,506","$8,841,506"
"Sep 07, 2022",$0.4276,$0.4617,$0.3995,$0.4203,"$30,035,765","$30,035,765"
"Sep 06, 2022",$0.3735,$0.4351,$0.3704,$0.4276,"$24,156,442","$24,156,442"
"Sep 05, 2022",$0.3574,$0.3741,$0.3504,$0.3735,"$6,267,229","$6,267,229"
"Sep 04, 2022",$0.3664,$0.3697,$0.3533,$0.3574,"$5,275,894","$5,275,894"
"Sep 03, 2022",$0.3499,$0.3908,$0.3463,$0.3664,"$15,127,555","$15,127,555"
"Sep 02, 2022",$0.3452,$0.3595,$0.3421,$0.3499,"$5,250,952","$5,250,952"
"Sep 01, 2022",$0.3455,$0.3485,$0.3345,$0.3452,"$4,532,149","$4,532,149"
"Aug 31, 2022",$0.334,$0.376,$0.3339,$0.3454,"$11,411,072","$11,411,072"
"Aug 30, 2022",$0.3491,$0.3579,$0.3273,$0.334,"$5,806,053","$5,806,053"
"Aug 29, 2022",$0.3259,$0.3492,$0.3232,$0.3491,"$5,292,797","$5,292,797"
"Aug 28, 2022",$0.3476,$0.352,$0.3257,$0.3258,"$5,181,228","$5,181,228"
"Aug 27, 2022",$0.3385,$0.3698,$0.3383,$0.3476,"$13,451,986","$13,451,986"
"Aug 26, 2022",$0.3756,$0.3772,$0.3378,$0.3384,"$22,916,074","$22,916,074"
"Aug 25, 2022",$0.3744,$0.384,$0.3736,$0.3758,"$16,731,694","$16,731,694"
"Aug 24, 2022",$0.3836,$0.386,$0.3708,$0.3745,"$14,139,472","$14,139,472"
"Aug 23, 2022",$0.3836,$0.3863,$0.3699,$0.3837,"$20,693,090","$20,693,090"
"Aug 22, 2022",$0.3919,$0.3945,$0.363,$0.3835,"$23,594,367","$23,594,367"
"Aug 21, 2022",$0.3694,$0.4164,$0.3683,$0.3919,"$43,986,577","$43,986,577"
"Aug 20, 2022",$0.3591,$0.3916,$0.3532,$0.3694,"$47,632,230","$47,632,230"
"Aug 19, 2022",$0.4086,$0.4086,$0.3577,$0.3591,"$48,552,877","$48,552,877"
"Aug 18, 2022",$0.4192,$0.4296,$0.4058,$0.4087,"$52,103,581","$52,103,581"
"Aug 17, 2022",$0.4454,$0.4577,$0.419,$0.4192,"$28,160,357","$28,160,357"
"Aug 16, 2022",$0.4509,$0.4553,$0.4363,$0.4455,"$22,900,360","$22,900,360"
"Aug 15, 2022",$0.4791,$0.4878,$0.4419,$0.4511,"$31,088,153","$31,088,153"
"Aug 14, 2022",$0.4609,$0.5091,$0.457,$0.4792,"$38,379,917","$38,379,917"
"Aug 13, 2022",$0.4757,$0.4789,$0.4607,$0.4609,"$30,257,936","$30,257,936"
"Aug 12, 2022",$0.459,$0.497,$0.4525,$0.4757,"$44,481,237","$44,481,237"
"Aug 11, 2022",$0.4554,$0.4912,$0.4554,$0.4593,"$27,572,958","$27,572,958"
"Aug 10, 2022",$0.4325,$0.458,$0.4235,$0.4554,"$22,160,261","$22,160,261"
"Aug 09, 2022",$0.4655,$0.4666,$0.425,$0.4325,"$20,461,220","$20,461,220"
"Aug 08, 2022",$0.465,$0.4803,$0.4629,$0.4655,"$29,497,266","$29,497,266"
"Aug 07, 2022",$0.4531,$0.4724,$0.444,$0.465,"$19,911,217","$19,911,217"
"Aug 06, 2022",$0.4568,$0.4693,$0.453,$0.453,"$20,682,757","$20,682,757"
"Aug 05, 2022",$0.4383,$0.457,$0.4373,$0.457,"$17,603,867","$17,603,867"
"Aug 04, 2022",$0.4389,$0.461,$0.4289,$0.4383,"$27,413,195","$27,413,195"
"Aug 03, 2022",$0.4462,$0.4573,$0.4283,$0.4387,"$35,593,536","$35,593,536"
"Aug 02, 2022",$0.4677,$0.4705,$0.432,$0.4462,"$41,176,841","$41,176,841"
"Aug 01, 2022",$0.4636,$0.4789,$0.4509,$0.4672,"$39,045,191","$39,045,191"
"Jul 31, 2022",$0.4586,$0.514,$0.4568,$0.4634,"$50,269,111","$50,269,111"
"Jul 30, 2022",$0.4746,$0.5002,$0.4541,$0.4586,"$49,549,799","$49,549,799"
"Jul 29, 2022",$0.4686,$0.4958,$0.4558,$0.4747,"$44,305,271","$44,305,271"
"Jul 28, 2022",$0.4491,$0.4955,$0.4446,$0.4686,"$19,939,466","$19,939,466"
"Jul 27, 2022",$0.4143,$0.4524,$0.4112,$0.4493,"$19,580,661","$19,580,661"
"Jul 26, 2022",$0.428,$0.4281,$0.3998,$0.4143,"$12,165,966","$12,165,966"
"Jul 25, 2022",$0.4238,$0.4846,$0.4238,$0.4281,"$38,694,246","$38,694,246"
"Jul 24, 2022",$0.4481,$0.4493,$0.4224,$0.4238,"$9,508,035","$9,508,035"
"Jul 23, 2022",$0.4003,$0.4637,$0.3966,$0.4481,"$25,894,841","$25,894,841"
"Jul 22, 2022",$0.4217,$0.4347,$0.3964,$0.4006,"$7,351,766","$7,351,766"
"Jul 21, 2022",$0.4012,$0.4273,$0.3927,$0.4218,"$9,765,886","$9,765,886"
"Jul 20, 2022",$0.4376,$0.4461,$0.3939,$0.4013,"$11,116,939","$11,116,939"
"Jul 19, 2022",$0.4273,$0.4693,$0.4139,$0.4376,"$21,459,482","$21,459,482"
"Jul 18, 2022",$0.3953,$0.4427,$0.3953,$0.4274,"$15,017,092","$15,017,092"
"Jul 17, 2022",$0.4091,$0.4137,$0.394,$0.3952,"$7,453,409","$7,453,409"
"Jul 16, 2022",$0.3973,$0.4122,$0.3851,$0.4092,"$8,195,032","$8,195,032"
"Jul 15, 2022",$0.4044,$0.4233,$0.3868,$0.3975,"$11,758,173","$11,758,173"
"Jul 14, 2022",$0.3881,$0.4073,$0.3724,$0.4043,"$10,822,062","$10,822,062"
"Jul 13, 2022",$0.3721,$0.3887,$0.3538,$0.3879,"$8,786,676","$8,786,676"
"Jul 12, 2022",$0.3863,$0.3944,$0.3717,$0.372,"$9,615,021","$9,615,021"
"Jul 11, 2022",$0.3921,$0.4261,$0.3788,$0.3862,"$18,292,701","$18,292,701"
"Jul 10, 2022",$0.4185,$0.4191,$0.3849,$0.3921,"$9,579,841","$9,579,841"
"Jul 09, 2022",$0.4194,$0.4305,$0.4111,$0.4186,"$10,688,017","$10,688,017"
"Jul 08, 2022",$0.4274,$0.4523,$0.4035,$0.4193,"$16,276,132","$16,276,132"
"Jul 07, 2022",$0.4477,$0.4537,$0.4134,$0.4276,"$20,876,588","$20,876,588"
"Jul 06, 2022",$0.3802,$0.4659,$0.3802,$0.4476,"$44,856,200","$44,856,200"
"Jul 05, 2022",$0.3935,$0.3951,$0.3704,$0.3801,"$9,348,150","$9,348,150"
"Jul 04, 2022",$0.3776,$0.3966,$0.3668,$0.3936,"$10,515,249","$10,515,249"
"Jul 03, 2022",$0.3929,$0.393,$0.3653,$0.3776,"$7,268,587","$7,268,587"
"Jul 02, 2022",$0.3992,$0.4032,$0.3739,$0.393,"$8,339,479","$8,339,479"
"Jul 01, 2022",$0.4337,$0.4417,$0.399,$0.399,"$10,550,033","$10,550,033"
"Jun 30, 2022",$0.473,$0.4762,$0.413,$0.4339,"$15,569,700","$15,569,700"
"Jun 29, 2022",$0.44,$0.5471,$0.439,$0.4729,"$52,521,921","$52,521,921"
"Jun 28, 2022",$0.4166,$0.467,$0.4151,$0.4407,"$20,870,436","$20,870,436"
"Jun 27, 2022",$0.4185,$0.4836,$0.402,$0.4167,"$23,115,389","$23,115,389"
"Jun 26, 2022",$0.451,$0.4607,$0.4185,$0.4185,"$13,651,839","$13,651,839"
"Jun 25, 2022",$0.452,$0.4913,$0.4199,$0.451,"$36,692,970","$36,692,970"
"Jun 24, 2022",$0.472,$0.6454,$0.425,$0.4518,"$99,313,588","$99,313,588"
"Jun 23, 2022",$0.2924,$0.4932,$0.2923,$0.47,"$68,033,617","$68,033,617"
"Jun 22, 2022",$0.2955,$0.3051,$0.2859,$0.2924,"$8,004,855","$8,004,855"
"Jun 21, 2022",$0.2975,$0.3168,$0.2935,$0.2952,"$8,991,234","$8,991,234"
"Jun 20, 2022",$0.2975,$0.3067,$0.2863,$0.2978,"$9,084,659","$9,084,659"
"Jun 19, 2022",$0.2735,$0.3019,$0.2621,$0.2975,"$8,981,709","$8,981,709"
"Jun 18, 2022",$0.2922,$0.2986,$0.2547,$0.2736,"$9,294,827","$9,294,827"
"Jun 17, 2022",$0.2789,$0.3088,$0.2777,$0.292,"$8,949,669","$8,949,669"
"Jun 16, 2022",$0.3162,$0.3191,$0.2723,$0.2789,"$9,799,226","$9,799,226"
"Jun 15, 2022",$0.2965,$0.3166,$0.2542,$0.3161,"$13,622,731","$13,622,731"
"Jun 14, 2022",$0.299,$0.3077,$0.2709,$0.2966,"$11,076,406","$11,076,406"
"Jun 13, 2022",$0.3465,$0.3469,$0.2907,$0.2988,"$11,474,630","$11,474,630"
"Jun 12, 2022",$0.3916,$0.3964,$0.3467,$0.3467,"$9,203,726","$9,203,726"
"Jun 11, 2022",$0.4202,$0.4335,$0.3878,$0.3916,"$6,645,921","$6,645,921"
"Jun 10, 2022",$0.4561,$0.4633,$0.4183,$0.42,"$6,589,900","$6,589,900"
"Jun 09, 2022",$0.4562,$0.466,$0.446,$0.4561,"$6,595,368","$6,595,368"
"Jun 08, 2022",$0.4795,$0.4855,$0.4559,$0.4561,"$6,671,383","$6,671,383"
"Jun 07, 2022",$0.5055,$0.5056,$0.4597,$0.4796,"$8,725,956","$8,725,956"
