Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.1585,$0.165,$0.1502,$0.1591,"$4,461,804","$4,461,804"
"Sep 18, 2022",$0.1648,$0.1765,$0.1585,$0.1585,"$8,174,636","$8,174,636"
"Sep 17, 2022",$0.158,$0.1661,$0.1579,$0.1648,"$3,110,891","$3,110,891"
"Sep 16, 2022",$0.16,$0.1624,$0.1564,$0.158,"$3,486,647","$3,486,647"
"Sep 15, 2022",$0.163,$0.1669,$0.1583,$0.16,"$6,485,802","$6,485,802"
"Sep 14, 2022",$0.1602,$0.1636,$0.158,$0.1631,"$3,701,101","$3,701,101"
"Sep 13, 2022",$0.1748,$0.1785,$0.1599,$0.1606,"$4,269,676","$4,269,676"
"Sep 12, 2022",$0.1734,$0.1792,$0.1717,$0.1748,"$3,265,305","$3,265,305"
"Sep 11, 2022",$0.1702,$0.1862,$0.1686,$0.1734,"$10,257,118","$10,257,118"
"Sep 10, 2022",$0.1704,$0.1707,$0.1677,$0.1703,"$2,270,465","$2,270,465"
"Sep 09, 2022",$0.1583,$0.1705,$0.1583,$0.1705,"$3,907,555","$3,907,555"
"Sep 08, 2022",$0.1549,$0.1605,$0.154,$0.1583,"$2,826,149","$2,826,149"
"Sep 07, 2022",$0.1502,$0.156,$0.1481,$0.1549,"$1,849,887","$1,849,887"
"Sep 06, 2022",$0.1569,$0.1608,$0.1502,$0.1502,"$2,761,335","$2,761,335"
"Sep 05, 2022",$0.1578,$0.1582,$0.1555,$0.1569,"$1,291,546","$1,291,546"
"Sep 04, 2022",$0.157,$0.1579,$0.1557,$0.1577,"$1,230,299","$1,230,299"
"Sep 03, 2022",$0.1568,$0.1573,$0.1555,$0.157,"$1,215,534","$1,215,534"
"Sep 02, 2022",$0.1596,$0.1614,$0.156,$0.1568,"$2,674,415","$2,674,415"
"Sep 01, 2022",$0.1557,$0.1621,$0.1544,$0.1596,"$6,791,777","$6,791,777"
"Aug 31, 2022",$0.1544,$0.1577,$0.1544,$0.1557,"$2,277,550","$2,277,550"
