Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$0.3245,$0.3271,$0.3186,$0.3226,"$76,851,659","$76,851,659"
"Sep 09, 2022",$0.3072,$0.3257,$0.3072,$0.3246,"$106,805,291","$106,805,291"
"Sep 08, 2022",$0.2993,$0.3072,$0.2938,$0.3072,"$75,067,076","$75,067,076"
"Sep 07, 2022",$0.2855,$0.3013,$0.2821,$0.2993,"$82,659,305","$82,659,305"
"Sep 06, 2022",$0.3047,$0.3089,$0.2831,$0.2856,"$84,354,098","$84,354,098"
"Sep 05, 2022",$0.3124,$0.3133,$0.2985,$0.3046,"$51,132,956","$51,132,956"
"Sep 04, 2022",$0.3027,$0.3188,$0.3027,$0.3123,"$86,586,016","$86,586,016"
"Sep 03, 2022",$0.3017,$0.3032,$0.2965,$0.3027,"$41,683,092","$41,683,092"
"Sep 02, 2022",$0.2932,$0.3064,$0.2906,$0.3017,"$67,192,638","$67,192,638"
"Sep 01, 2022",$0.2886,$0.2933,$0.284,$0.2933,"$44,105,297","$44,105,297"
"Aug 31, 2022",$0.2914,$0.3003,$0.2878,$0.2886,"$51,561,774","$51,561,774"
"Aug 30, 2022",$0.2982,$0.3017,$0.2848,$0.2913,"$53,897,150","$53,897,150"
"Aug 29, 2022",$0.282,$0.2986,$0.2809,$0.2982,"$57,402,405","$57,402,405"
"Aug 28, 2022",$0.2892,$0.2948,$0.282,$0.282,"$51,809,064","$51,809,064"
"Aug 27, 2022",$0.2822,$0.2902,$0.2797,$0.2892,"$65,267,730","$65,267,730"
"Aug 26, 2022",$0.3072,$0.3074,$0.2805,$0.2822,"$106,667,550","$106,667,550"
"Aug 25, 2022",$0.3024,$0.3095,$0.3009,$0.3073,"$71,448,809","$71,448,809"
"Aug 24, 2022",$0.3077,$0.309,$0.2994,$0.3024,"$69,399,573","$69,399,573"
"Aug 23, 2022",$0.303,$0.309,$0.2936,$0.3077,"$70,940,068","$70,940,068"
"Aug 22, 2022",$0.3067,$0.3068,$0.2909,$0.303,"$72,896,184","$72,896,184"
"Aug 21, 2022",$0.3004,$0.3088,$0.2981,$0.3068,"$61,131,131","$61,131,131"
"Aug 20, 2022",$0.3032,$0.3123,$0.2948,$0.3005,"$75,438,839","$75,438,839"
"Aug 19, 2022",$0.3332,$0.3335,$0.3012,$0.3033,"$125,998,377","$125,998,377"
"Aug 18, 2022",$0.3398,$0.3472,$0.329,$0.3332,"$63,746,142","$63,746,142"
"Aug 17, 2022",$0.353,$0.3641,$0.3381,$0.3396,"$86,037,322","$86,037,322"
"Aug 16, 2022",$0.358,$0.3598,$0.35,$0.353,"$61,993,563","$61,993,563"
"Aug 15, 2022",$0.3643,$0.3753,$0.3515,$0.3581,"$85,536,729","$85,536,729"
"Aug 14, 2022",$0.3683,$0.383,$0.3607,$0.3643,"$105,604,975","$105,604,975"
"Aug 13, 2022",$0.3654,$0.3735,$0.3649,$0.3683,"$78,145,895","$78,145,895"
"Aug 12, 2022",$0.3614,$0.3657,$0.3534,$0.3654,"$77,094,835","$77,094,835"
"Aug 11, 2022",$0.364,$0.3699,$0.3595,$0.3615,"$89,966,072","$89,966,072"
"Aug 10, 2022",$0.3458,$0.3649,$0.3369,$0.364,"$108,677,877","$108,677,877"
"Aug 09, 2022",$0.3624,$0.3752,$0.342,$0.3458,"$121,104,397","$121,104,397"
"Aug 08, 2022",$0.3556,$0.3713,$0.3543,$0.3623,"$106,273,017","$106,273,017"
"Aug 07, 2022",$0.3491,$0.3619,$0.3438,$0.3556,"$94,236,544","$94,236,544"
"Aug 06, 2022",$0.3585,$0.3586,$0.348,$0.3491,"$82,161,456","$82,161,456"
"Aug 05, 2022",$0.3354,$0.359,$0.3352,$0.3584,"$119,089,093","$119,089,093"
"Aug 04, 2022",$0.3265,$0.3414,$0.3261,$0.3354,"$115,920,139","$115,920,139"
"Aug 03, 2022",$0.3267,$0.3384,$0.3189,$0.3265,"$100,042,864","$100,042,864"
"Aug 02, 2022",$0.3431,$0.3474,$0.321,$0.3266,"$125,403,543","$125,403,543"
"Aug 01, 2022",$0.3361,$0.3439,$0.3314,$0.3432,"$133,095,852","$133,095,852"
"Jul 31, 2022",$0.3377,$0.3549,$0.3329,$0.3361,"$136,658,200","$136,658,200"
"Jul 30, 2022",$0.3364,$0.3543,$0.3308,$0.3377,"$151,837,849","$151,837,849"
"Jul 29, 2022",$0.3367,$0.3446,$0.326,$0.3365,"$159,191,994","$159,191,994"
"Jul 28, 2022",$0.3281,$0.342,$0.3211,$0.3367,"$119,975,013","$119,975,013"
"Jul 27, 2022",$0.3114,$0.3286,$0.3063,$0.328,"$100,415,843","$100,415,843"
"Jul 26, 2022",$0.3131,$0.3131,$0.3019,$0.3113,"$75,417,463","$75,417,463"
"Jul 25, 2022",$0.3413,$0.3431,$0.3131,$0.3131,"$79,254,566","$79,254,566"
"Jul 24, 2022",$0.3355,$0.3475,$0.3353,$0.3413,"$67,318,793","$67,318,793"
"Jul 23, 2022",$0.338,$0.3438,$0.3268,$0.3355,"$76,196,465","$76,196,465"
"Jul 22, 2022",$0.3493,$0.3571,$0.3339,$0.3382,"$95,226,331","$95,226,331"
"Jul 21, 2022",$0.3448,$0.3508,$0.3341,$0.3493,"$104,121,841","$104,121,841"
"Jul 20, 2022",$0.3717,$0.3767,$0.3425,$0.3448,"$135,346,450","$135,346,450"
"Jul 19, 2022",$0.3601,$0.3762,$0.3473,$0.3717,"$148,454,143","$148,454,143"
"Jul 18, 2022",$0.3372,$0.3661,$0.3367,$0.3602,"$131,526,181","$131,526,181"
"Jul 17, 2022",$0.3398,$0.343,$0.3332,$0.3372,"$92,402,842","$92,402,842"
"Jul 16, 2022",$0.3278,$0.3447,$0.3256,$0.3398,"$110,690,477","$110,690,477"
"Jul 15, 2022",$0.329,$0.3316,$0.3212,$0.3279,"$93,453,695","$93,453,695"
"Jul 14, 2022",$0.31,$0.3316,$0.3018,$0.329,"$100,681,766","$100,681,766"
"Jul 13, 2022",$0.2928,$0.3104,$0.2905,$0.3101,"$88,967,326","$88,967,326"
"Jul 12, 2022",$0.2975,$0.3041,$0.2926,$0.2928,"$64,966,309","$64,966,309"
"Jul 11, 2022",$0.3099,$0.3099,$0.2971,$0.2976,"$69,830,983","$69,830,983"
"Jul 10, 2022",$0.3218,$0.3219,$0.3065,$0.3099,"$67,639,446","$67,639,446"
"Jul 09, 2022",$0.3149,$0.3237,$0.3144,$0.3218,"$66,699,580","$66,699,580"
"Jul 08, 2022",$0.3224,$0.3275,$0.3104,$0.3148,"$96,268,713","$96,268,713"
"Jul 07, 2022",$0.3111,$0.3249,$0.3105,$0.3225,"$81,311,071","$81,311,071"
"Jul 06, 2022",$0.3081,$0.3124,$0.3031,$0.311,"$73,547,307","$73,547,307"
"Jul 05, 2022",$0.3197,$0.322,$0.3022,$0.308,"$76,220,618","$76,220,618"
"Jul 04, 2022",$0.3096,$0.3201,$0.3006,$0.3197,"$75,740,799","$75,740,799"
"Jul 03, 2022",$0.3079,$0.3146,$0.3018,$0.3096,"$60,171,439","$60,171,439"
"Jul 02, 2022",$0.3042,$0.3112,$0.2998,$0.3078,"$89,758,994","$89,758,994"
"Jul 01, 2022",$0.315,$0.3215,$0.3005,$0.3038,"$110,957,489","$110,957,489"
"Jun 30, 2022",$0.299,$0.3159,$0.2842,$0.3147,"$141,724,278","$141,724,278"
"Jun 29, 2022",$0.3124,$0.3163,$0.296,$0.2989,"$89,771,813","$89,771,813"
"Jun 28, 2022",$0.3296,$0.3368,$0.3113,$0.3124,"$80,242,787","$80,242,787"
"Jun 27, 2022",$0.3323,$0.3452,$0.3258,$0.3296,"$74,703,461","$74,703,461"
"Jun 26, 2022",$0.351,$0.359,$0.3322,$0.3323,"$77,802,998","$77,802,998"
"Jun 25, 2022",$0.3505,$0.3566,$0.3359,$0.3511,"$79,926,291","$79,926,291"
"Jun 24, 2022",$0.336,$0.3574,$0.3356,$0.3506,"$105,834,579","$105,834,579"
"Jun 23, 2022",$0.314,$0.3369,$0.3134,$0.3361,"$83,028,157","$83,028,157"
"Jun 22, 2022",$0.3248,$0.3309,$0.3129,$0.314,"$89,396,256","$89,396,256"
"Jun 21, 2022",$0.3197,$0.3425,$0.3157,$0.3246,"$111,643,822","$111,643,822"
"Jun 20, 2022",$0.3145,$0.3262,$0.3025,$0.3198,"$95,398,833","$95,398,833"
"Jun 19, 2022",$0.2957,$0.3178,$0.2856,$0.3146,"$106,912,096","$106,912,096"
"Jun 18, 2022",$0.3103,$0.3141,$0.2765,$0.2959,"$109,765,578","$109,765,578"
"Jun 17, 2022",$0.3013,$0.3166,$0.2994,$0.3104,"$84,051,417","$84,051,417"
"Jun 16, 2022",$0.3395,$0.3431,$0.2969,$0.3012,"$129,853,331","$129,853,331"
"Jun 15, 2022",$0.3089,$0.3401,$0.2792,$0.3394,"$238,594,693","$238,594,693"
"Jun 14, 2022",$0.3022,$0.3096,$0.2832,$0.3089,"$181,406,715","$181,406,715"
"Jun 13, 2022",$0.3268,$0.3273,$0.2891,$0.3021,"$235,772,438","$235,772,438"
"Jun 12, 2022",$0.3471,$0.3511,$0.325,$0.327,"$108,432,943","$108,432,943"
"Jun 11, 2022",$0.3689,$0.3791,$0.339,$0.3469,"$103,773,596","$103,773,596"
"Jun 10, 2022",$0.4037,$0.4042,$0.3676,$0.3689,"$113,984,357","$113,984,357"
"Jun 09, 2022",$0.4169,$0.4175,$0.4012,$0.4038,"$153,734,204","$153,734,204"
"Jun 08, 2022",$0.3994,$0.4299,$0.3992,$0.4169,"$171,881,992","$171,881,992"
"Jun 07, 2022",$0.413,$0.413,$0.3781,$0.3993,"$107,880,888","$107,880,888"
"Jun 06, 2022",$0.3913,$0.4236,$0.3913,$0.413,"$109,510,773","$109,510,773"
"Jun 05, 2022",$0.3881,$0.402,$0.3802,$0.3912,"$98,276,525","$98,276,525"
"Jun 04, 2022",$0.3813,$0.39,$0.3681,$0.3881,"$72,933,964","$72,933,964"
"Jun 03, 2022",$0.3951,$0.3963,$0.3728,$0.3812,"$87,997,071","$87,997,071"
"Jun 02, 2022",$0.3849,$0.3965,$0.3775,$0.3952,"$108,089,382","$108,089,382"
"Jun 01, 2022",$0.4106,$0.4249,$0.3768,$0.3851,"$198,214,668","$198,214,668"
"May 31, 2022",$0.4198,$0.4235,$0.3973,$0.4105,"$160,903,066","$160,903,066"
"May 30, 2022",$0.3783,$0.4223,$0.3772,$0.4197,"$135,622,112","$135,622,112"
"May 29, 2022",$0.3675,$0.379,$0.3538,$0.3783,"$95,337,248","$95,337,248"
"May 28, 2022",$0.3638,$0.3712,$0.3562,$0.3676,"$103,254,390","$103,254,390"
"May 27, 2022",$0.3805,$0.3837,$0.3569,$0.3594,"$143,781,836","$143,781,836"
"May 26, 2022",$0.405,$0.4114,$0.3686,$0.3808,"$162,560,229","$162,560,229"
"May 25, 2022",$0.4183,$0.421,$0.4002,$0.4049,"$124,203,274","$124,203,274"
"May 24, 2022",$0.4155,$0.4213,$0.3928,$0.4183,"$129,473,758","$129,473,758"
"May 23, 2022",$0.4441,$0.4515,$0.4141,$0.4154,"$166,561,653","$166,561,653"
"May 22, 2022",$0.4342,$0.4479,$0.4252,$0.4443,"$133,012,863","$133,012,863"
"May 21, 2022",$0.4349,$0.4416,$0.4245,$0.4341,"$112,695,975","$112,695,975"
"May 20, 2022",$0.4491,$0.4571,$0.4212,$0.4351,"$133,976,745","$133,976,745"
"May 19, 2022",$0.4328,$0.4624,$0.4227,$0.4489,"$155,643,692","$155,643,692"
"May 18, 2022",$0.4955,$0.502,$0.433,$0.433,"$161,960,536","$161,960,536"
"May 17, 2022",$0.4574,$0.5062,$0.4574,$0.4955,"$164,358,298","$164,358,298"
"May 16, 2022",$0.4909,$0.4909,$0.4411,$0.4572,"$155,402,416","$155,402,416"
"May 15, 2022",$0.4633,$0.4925,$0.4456,$0.4912,"$121,955,453","$121,955,453"
"May 14, 2022",$0.4416,$0.4711,$0.4205,$0.4634,"$177,896,122","$177,896,122"
"May 13, 2022",$0.4188,$0.5063,$0.416,$0.4414,"$272,811,411","$272,811,411"
"May 12, 2022",$0.4457,$0.4791,$0.3574,$0.4189,"$472,506,369","$472,506,369"
"May 11, 2022",$0.5847,$0.602,$0.4105,$0.4451,"$666,386,164","$666,386,164"
"May 10, 2022",$0.5794,$0.6588,$0.5574,$0.5849,"$585,516,113","$585,516,113"
"May 09, 2022",$0.7259,$0.7526,$0.5806,$0.5806,"$601,961,290","$601,961,290"
"May 08, 2022",$0.752,$0.7812,$0.7098,$0.7259,"$627,835,795","$627,835,795"
"May 07, 2022",$0.6968,$0.7723,$0.6762,$0.7524,"$631,163,186","$631,163,186"
"May 06, 2022",$0.6342,$0.7089,$0.63,$0.6969,"$551,238,247","$551,238,247"
"May 05, 2022",$0.7145,$0.7277,$0.6186,$0.6343,"$325,775,330","$325,775,330"
"May 04, 2022",$0.6697,$0.7146,$0.655,$0.7144,"$496,140,518","$496,140,518"
"May 03, 2022",$0.616,$0.7357,$0.6133,$0.6698,"$806,953,747","$806,953,747"
"May 02, 2022",$0.6019,$0.6444,$0.5821,$0.616,"$208,512,646","$208,512,646"
"May 01, 2022",$0.568,$0.6047,$0.5676,$0.6019,"$174,632,654","$174,632,654"
"Apr 30, 2022",$0.6369,$0.6393,$0.543,$0.568,"$175,022,852","$175,022,852"
"Apr 29, 2022",$0.6993,$0.7075,$0.6232,$0.6368,"$214,364,306","$214,364,306"
"Apr 28, 2022",$0.6704,$0.713,$0.6636,$0.6995,"$227,820,442","$227,820,442"
"Apr 27, 2022",$0.6554,$0.6775,$0.6509,$0.6703,"$154,129,144","$154,129,144"
"Apr 26, 2022",$0.7033,$0.7228,$0.6469,$0.6553,"$213,615,375","$213,615,375"
"Apr 25, 2022",$0.7008,$0.7054,$0.6573,$0.7033,"$217,293,783","$217,293,783"
"Apr 24, 2022",$0.7079,$0.7143,$0.6986,$0.7006,"$99,169,601","$99,169,601"
"Apr 23, 2022",$0.7203,$0.7227,$0.706,$0.7081,"$111,792,484","$111,792,484"
"Apr 22, 2022",$0.7186,$0.7312,$0.7131,$0.7204,"$143,442,976","$143,442,976"
"Apr 21, 2022",$0.7413,$0.7701,$0.7115,$0.7187,"$220,325,412","$220,325,412"
"Apr 20, 2022",$0.7595,$0.7704,$0.7331,$0.7413,"$169,080,903","$169,080,903"
"Apr 19, 2022",$0.737,$0.7616,$0.7306,$0.7595,"$176,558,754","$176,558,754"
"Apr 18, 2022",$0.7111,$0.7396,$0.69,$0.737,"$183,130,195","$183,130,195"
"Apr 17, 2022",$0.7445,$0.745,$0.7081,$0.711,"$123,633,194","$123,633,194"
"Apr 16, 2022",$0.7394,$0.7492,$0.7304,$0.7448,"$114,846,208","$114,846,208"
"Apr 15, 2022",$0.7264,$0.7421,$0.7234,$0.7395,"$176,669,693","$176,669,693"
"Apr 14, 2022",$0.7453,$0.7603,$0.717,$0.7264,"$235,512,496","$235,512,496"
"Apr 13, 2022",$0.7249,$0.7469,$0.7162,$0.7458,"$164,241,827","$164,241,827"
"Apr 12, 2022",$0.692,$0.7431,$0.6885,$0.7248,"$179,450,303","$179,450,303"
"Apr 11, 2022",$0.7534,$0.7599,$0.6843,$0.6914,"$178,042,773","$178,042,773"
"Apr 10, 2022",$0.7887,$0.7894,$0.7538,$0.7538,"$95,242,287","$95,242,287"
"Apr 09, 2022",$0.7574,$0.7888,$0.7574,$0.7887,"$104,779,713","$104,779,713"
"Apr 08, 2022",$0.8014,$0.8089,$0.7538,$0.7574,"$142,239,348","$142,239,348"
"Apr 07, 2022",$0.7675,$0.8066,$0.7549,$0.8015,"$171,599,721","$171,599,721"
"Apr 06, 2022",$0.8347,$0.8353,$0.7673,$0.7675,"$279,034,243","$279,034,243"
"Apr 05, 2022",$0.8839,$0.8996,$0.8342,$0.8351,"$216,485,494","$216,485,494"
"Apr 04, 2022",$0.9341,$0.9355,$0.8558,$0.8838,"$258,918,098","$258,918,098"
"Apr 03, 2022",$0.9055,$0.9463,$0.8929,$0.9341,"$208,697,698","$208,697,698"
"Apr 02, 2022",$0.9393,$0.9751,$0.9044,$0.9056,"$292,730,943","$292,730,943"
"Apr 01, 2022",$0.9278,$0.9601,$0.895,$0.9392,"$266,226,735","$266,226,735"
"Mar 31, 2022",$0.927,$0.9869,$0.9125,$0.9276,"$347,770,069","$347,770,069"
"Mar 30, 2022",$0.9234,$0.9546,$0.8896,$0.9269,"$284,923,007","$284,923,007"
"Mar 29, 2022",$0.9076,$0.9618,$0.9035,$0.9234,"$297,453,002","$297,453,002"
"Mar 28, 2022",$0.9485,$0.9711,$0.9039,$0.9082,"$260,978,608","$260,978,608"
"Mar 27, 2022",$0.9124,$0.9488,$0.8973,$0.9484,"$182,786,495","$182,786,495"
"Mar 26, 2022",$0.8899,$0.919,$0.879,$0.9124,"$187,726,573","$187,726,573"
"Mar 25, 2022",$0.8915,$0.9472,$0.8839,$0.8899,"$362,026,711","$362,026,711"
"Mar 24, 2022",$0.8377,$0.9064,$0.823,$0.8916,"$342,000,462","$342,000,462"
"Mar 23, 2022",$0.8248,$0.8384,$0.8066,$0.8375,"$231,787,233","$231,787,233"
"Mar 22, 2022",$0.8256,$0.85,$0.8055,$0.8246,"$384,824,564","$384,824,564"
