Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.03988,$0.04149,$0.03954,$0.04049,"$309,266","$309,266"
"Sep 21, 2022",$0.04146,$0.04175,$0.03912,$0.03986,"$196,417","$196,417"
"Sep 20, 2022",$0.04332,$0.04353,$0.04119,$0.04149,"$158,186","$158,186"
"Sep 19, 2022",$0.04133,$0.04348,$0.04072,$0.04335,"$236,729","$236,729"
"Sep 18, 2022",$0.04424,$0.04424,$0.04118,$0.04132,"$169,906","$169,906"
"Sep 17, 2022",$0.04314,$0.04429,$0.04314,$0.0442,"$233,987","$233,987"
"Sep 16, 2022",$0.04256,$0.04391,$0.04212,$0.04312,"$248,308","$248,308"
"Sep 15, 2022",$0.04571,$0.04595,$0.04236,$0.04252,"$244,229","$244,229"
"Sep 14, 2022",$0.04676,$0.04736,$0.04356,$0.04571,"$325,541","$325,541"
"Sep 13, 2022",$0.05235,$0.05237,$0.04659,$0.04704,"$302,382","$302,382"
"Sep 12, 2022",$0.04845,$0.0537,$0.04765,$0.05234,"$833,109","$833,109"
"Sep 11, 2022",$0.04605,$0.04861,$0.04587,$0.04843,"$402,762","$402,762"
"Sep 10, 2022",$0.04584,$0.04607,$0.04458,$0.04602,"$237,643","$237,643"
"Sep 09, 2022",$0.04435,$0.04621,$0.04423,$0.04584,"$276,603","$276,603"
"Sep 08, 2022",$0.04318,$0.04441,$0.04237,$0.04419,"$188,722","$188,722"
"Sep 07, 2022",$0.03837,$0.04398,$0.03797,$0.04319,"$466,379","$466,379"
"Sep 06, 2022",$0.04074,$0.04216,$0.03834,$0.03838,"$465,812","$465,812"
"Sep 05, 2022",$0.04074,$0.04089,$0.03935,$0.04075,"$360,510","$360,510"
"Sep 04, 2022",$0.04117,$0.04122,$0.0405,$0.04073,"$194,666","$194,666"
"Sep 03, 2022",$0.04449,$0.04466,$0.04059,$0.04118,"$471,801","$471,801"
"Sep 02, 2022",$0.04545,$0.04574,$0.04381,$0.04449,"$166,714","$166,714"
"Sep 01, 2022",$0.04556,$0.04601,$0.04377,$0.04528,"$271,314","$271,314"
"Aug 31, 2022",$0.04636,$0.04713,$0.04546,$0.04553,"$231,938","$231,938"
"Aug 30, 2022",$0.04755,$0.04851,$0.04573,$0.0464,"$240,023","$240,023"
"Aug 29, 2022",$0.04637,$0.0481,$0.04605,$0.04754,"$191,049","$191,049"
"Aug 28, 2022",$0.04809,$0.04863,$0.04637,$0.04638,"$159,889","$159,889"
"Aug 27, 2022",$0.04773,$0.04839,$0.04642,$0.0481,"$230,393","$230,393"
"Aug 26, 2022",$0.05081,$0.05131,$0.04762,$0.04773,"$317,901","$317,901"
"Aug 25, 2022",$0.05009,$0.0511,$0.05006,$0.05086,"$259,213","$259,213"
"Aug 24, 2022",$0.0508,$0.05091,$0.04943,$0.05012,"$175,265","$175,265"
"Aug 23, 2022",$0.05067,$0.0522,$0.04936,$0.05079,"$296,807","$296,807"
"Aug 22, 2022",$0.05252,$0.05267,$0.04897,$0.05084,"$258,146","$258,146"
"Aug 21, 2022",$0.05002,$0.05293,$0.04996,$0.05251,"$332,081","$332,081"
"Aug 20, 2022",$0.04913,$0.05136,$0.04889,$0.05002,"$364,611","$364,611"
"Aug 19, 2022",$0.05366,$0.05375,$0.04884,$0.04915,"$428,908","$428,908"
"Aug 18, 2022",$0.05457,$0.05526,$0.05348,$0.05368,"$344,147","$344,147"
