Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.1158,$0.1159,$0.1044,$0.106,"$4,327,269","$4,327,269"
"Sep 17, 2022",$0.1124,$0.1159,$0.1122,$0.1159,"$2,348,707","$2,348,707"
"Sep 16, 2022",$0.1114,$0.113,$0.1102,$0.1124,"$2,986,280","$2,986,280"
"Sep 15, 2022",$0.1188,$0.1188,$0.1111,$0.1113,"$3,659,553","$3,659,553"
"Sep 14, 2022",$0.1166,$0.1193,$0.1157,$0.1189,"$3,604,840","$3,604,840"
"Sep 13, 2022",$0.1281,$0.1281,$0.116,$0.1181,"$4,702,980","$4,702,980"
"Sep 12, 2022",$0.1297,$0.1329,$0.1251,$0.128,"$4,737,269","$4,737,269"
"Sep 11, 2022",$0.1288,$0.1315,$0.1271,$0.1297,"$4,293,499","$4,293,499"
"Sep 10, 2022",$0.1292,$0.1318,$0.1262,$0.1288,"$11,116,240","$11,116,240"
"Sep 09, 2022",$0.1182,$0.1312,$0.1181,$0.1293,"$6,698,941","$6,698,941"
"Sep 08, 2022",$0.1171,$0.119,$0.1142,$0.1183,"$5,053,814","$5,053,814"
"Sep 07, 2022",$0.1078,$0.1194,$0.1073,$0.1171,"$5,180,206","$5,180,206"
"Sep 06, 2022",$0.1188,$0.127,$0.1079,$0.1079,"$7,570,337","$7,570,337"
"Sep 05, 2022",$0.1193,$0.1201,$0.1161,$0.1188,"$2,201,449","$2,201,449"
"Sep 04, 2022",$0.1183,$0.1196,$0.1168,$0.1193,"$1,999,686","$1,999,686"
"Sep 03, 2022",$0.1208,$0.1214,$0.1173,$0.1183,"$2,626,690","$2,626,690"
"Sep 02, 2022",$0.1226,$0.1252,$0.1201,$0.1208,"$3,830,577","$3,830,577"
"Sep 01, 2022",$0.1219,$0.1229,$0.1179,$0.1226,"$2,918,202","$2,918,202"
"Aug 31, 2022",$0.1217,$0.1262,$0.1216,$0.1219,"$3,624,924","$3,624,924"
"Aug 30, 2022",$0.1258,$0.1273,$0.1183,$0.1217,"$4,428,612","$4,428,612"
"Aug 29, 2022",$0.1147,$0.1259,$0.1139,$0.1258,"$5,043,134","$5,043,134"
"Aug 28, 2022",$0.1195,$0.1211,$0.1146,$0.1146,"$2,680,973","$2,680,973"
"Aug 27, 2022",$0.1192,$0.1215,$0.1179,$0.1195,"$3,107,646","$3,107,646"
"Aug 26, 2022",$0.1341,$0.1349,$0.1185,$0.1192,"$4,663,323","$4,663,323"
"Aug 25, 2022",$0.1314,$0.1357,$0.1311,$0.1341,"$3,590,446","$3,590,446"
