Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$3.73,$3.89,$3.55,$3.62,"$16,710,589","$16,710,589"
"Sep 17, 2022",$3.70,$3.74,$3.64,$3.73,"$7,428,465","$7,428,465"
"Sep 16, 2022",$3.73,$4.03,$3.60,$3.69,"$24,071,545","$24,071,545"
"Sep 15, 2022",$3.84,$3.84,$3.45,$3.73,"$20,279,719","$20,279,719"
"Sep 14, 2022",$4.14,$4.14,$3.74,$3.84,"$20,416,347","$20,416,347"
"Sep 13, 2022",$4.55,$4.56,$4.07,$4.09,"$23,962,046","$23,962,046"
"Sep 12, 2022",$4.68,$4.76,$4.46,$4.55,"$18,222,428","$18,222,428"
"Sep 11, 2022",$4.59,$5.17,$4.56,$4.68,"$51,723,158","$51,723,158"
"Sep 10, 2022",$4.47,$4.70,$4.38,$4.59,"$26,506,809","$26,506,809"
"Sep 09, 2022",$4.47,$4.62,$4.44,$4.48,"$21,943,907","$21,943,907"
"Sep 08, 2022",$4.63,$4.72,$4.40,$4.47,"$17,277,295","$17,277,295"
"Sep 07, 2022",$4.44,$4.80,$4.41,$4.63,"$30,054,641","$30,054,641"
"Sep 06, 2022",$4.92,$4.94,$4.38,$4.44,"$27,611,383","$27,611,383"
"Sep 05, 2022",$4.67,$5.19,$4.61,$4.92,"$70,989,387","$70,989,387"
"Sep 04, 2022",$4.81,$4.87,$4.56,$4.67,"$27,220,591","$27,220,591"
"Sep 03, 2022",$5.15,$5.69,$4.77,$4.81,"$100,763,011","$100,763,011"
"Sep 02, 2022",$4.14,$5.38,$4.09,$5.15,"$119,733,314","$119,733,314"
"Sep 01, 2022",$4.06,$4.33,$3.97,$4.14,"$28,175,111","$28,175,111"
"Aug 31, 2022",$3.85,$4.31,$3.84,$4.06,"$47,702,185","$47,702,185"
"Aug 30, 2022",$3.89,$3.97,$3.68,$3.85,"$16,418,191","$16,418,191"
"Aug 29, 2022",$3.64,$3.93,$3.64,$3.90,"$12,513,303","$12,513,303"
"Aug 28, 2022",$3.75,$4.25,$3.64,$3.64,"$41,312,578","$41,312,578"
"Aug 27, 2022",$3.68,$3.83,$3.53,$3.75,"$16,000,148","$16,000,148"
"Aug 26, 2022",$4.27,$4.27,$3.66,$3.68,"$20,562,216","$20,562,216"
"Aug 25, 2022",$4.35,$4.41,$4.24,$4.27,"$18,677,128","$18,677,128"
"Aug 24, 2022",$4.35,$4.41,$4.18,$4.35,"$17,120,912","$17,120,912"
"Aug 23, 2022",$4.51,$4.62,$4.25,$4.35,"$33,387,348","$33,387,348"
"Aug 22, 2022",$3.69,$4.72,$3.69,$4.52,"$108,876,701","$108,876,701"
"Aug 21, 2022",$3.49,$3.93,$3.43,$3.69,"$40,948,199","$40,948,199"
"Aug 20, 2022",$3.77,$3.88,$3.33,$3.49,"$31,709,408","$31,709,408"
"Aug 19, 2022",$3.90,$4.61,$3.61,$3.77,"$132,230,239","$132,230,239"
"Aug 18, 2022",$3.11,$4.95,$3.09,$3.90,"$192,775,328","$192,775,328"
"Aug 17, 2022",$3.13,$3.19,$3.08,$3.11,"$8,603,863","$8,603,863"
"Aug 16, 2022",$3.10,$3.19,$3.08,$3.13,"$6,938,938","$6,938,938"
"Aug 15, 2022",$3.18,$3.35,$3.08,$3.10,"$30,515,570","$30,515,570"
"Aug 14, 2022",$3.00,$3.25,$3.00,$3.18,"$30,124,539","$30,124,539"
"Aug 13, 2022",$3.01,$3.04,$2.98,$3.00,"$3,708,277","$3,708,277"
"Aug 12, 2022",$2.93,$3.01,$2.92,$3.01,"$3,057,389","$3,057,389"
"Aug 11, 2022",$2.96,$2.99,$2.93,$2.93,"$2,866,146","$2,866,146"
"Aug 10, 2022",$2.84,$2.97,$2.80,$2.96,"$4,865,956","$4,865,956"
"Aug 09, 2022",$3.00,$3.02,$2.82,$2.84,"$4,041,754","$4,041,754"
"Aug 08, 2022",$2.99,$3.04,$2.99,$3.00,"$3,685,405","$3,685,405"
"Aug 07, 2022",$2.98,$3.06,$2.97,$2.99,"$5,879,982","$5,879,982"
"Aug 06, 2022",$3.01,$3.02,$2.98,$2.98,"$3,956,314","$3,956,314"
"Aug 05, 2022",$2.92,$3.06,$2.90,$3.01,"$16,536,578","$16,536,578"
"Aug 04, 2022",$2.85,$3.24,$2.84,$2.91,"$30,629,909","$30,629,909"
"Aug 03, 2022",$2.82,$2.89,$2.79,$2.85,"$5,278,653","$5,278,653"
"Aug 02, 2022",$2.80,$2.88,$2.73,$2.82,"$10,653,873","$10,653,873"
"Aug 01, 2022",$2.72,$2.83,$2.70,$2.80,"$10,370,086","$10,370,086"
"Jul 31, 2022",$2.71,$2.82,$2.68,$2.72,"$5,744,769","$5,744,769"
"Jul 30, 2022",$2.84,$2.94,$2.71,$2.71,"$17,880,940","$17,880,940"
"Jul 29, 2022",$2.50,$3.20,$2.50,$2.84,"$41,788,067","$41,788,067"
"Jul 28, 2022",$2.43,$2.53,$2.42,$2.50,"$5,347,199","$5,347,199"
"Jul 27, 2022",$2.31,$2.49,$2.29,$2.43,"$8,934,645","$8,934,645"
"Jul 26, 2022",$2.31,$2.31,$2.24,$2.31,"$2,468,612","$2,468,612"
"Jul 25, 2022",$2.47,$2.53,$2.30,$2.30,"$4,809,917","$4,809,917"
"Jul 24, 2022",$2.44,$2.53,$2.44,$2.47,"$2,497,191","$2,497,191"
"Jul 23, 2022",$2.50,$2.51,$2.43,$2.44,"$1,963,665","$1,963,665"
"Jul 22, 2022",$2.52,$2.55,$2.48,$2.50,"$4,363,554","$4,363,554"
"Jul 21, 2022",$2.46,$2.54,$2.44,$2.52,"$6,257,424","$6,257,424"
"Jul 20, 2022",$2.59,$2.66,$2.45,$2.46,"$6,643,637","$6,643,637"
"Jul 19, 2022",$2.60,$2.62,$2.55,$2.59,"$7,583,800","$7,583,800"
"Jul 18, 2022",$2.52,$2.68,$2.52,$2.60,"$9,904,485","$9,904,485"
"Jul 17, 2022",$2.55,$2.60,$2.51,$2.52,"$5,949,380","$5,949,380"
"Jul 16, 2022",$2.44,$3.07,$2.44,$2.55,"$42,056,906","$42,056,906"
"Jul 15, 2022",$2.33,$2.58,$2.31,$2.44,"$16,065,404","$16,065,404"
"Jul 14, 2022",$2.26,$2.36,$2.25,$2.33,"$4,805,621","$4,805,621"
"Jul 13, 2022",$2.24,$2.29,$2.17,$2.26,"$2,338,360","$2,338,360"
"Jul 12, 2022",$2.30,$2.31,$2.24,$2.24,"$1,989,833","$1,989,833"
"Jul 11, 2022",$2.41,$2.41,$2.30,$2.30,"$1,625,585","$1,625,585"
"Jul 10, 2022",$2.44,$2.45,$2.41,$2.41,"$2,303,807","$2,303,807"
"Jul 09, 2022",$2.43,$2.47,$2.43,$2.44,"$1,898,863","$1,898,863"
"Jul 08, 2022",$2.46,$2.49,$2.41,$2.43,"$5,516,129","$5,516,129"
"Jul 07, 2022",$2.42,$2.47,$2.41,$2.46,"$4,914,364","$4,914,364"
"Jul 06, 2022",$2.42,$2.43,$2.39,$2.42,"$3,968,651","$3,968,651"
"Jul 05, 2022",$2.47,$2.49,$2.39,$2.42,"$4,119,804","$4,119,804"
"Jul 04, 2022",$2.44,$2.48,$2.41,$2.47,"$2,241,315","$2,241,315"
"Jul 03, 2022",$2.45,$2.46,$2.42,$2.44,"$1,807,669","$1,807,669"
"Jul 02, 2022",$2.41,$2.54,$2.39,$2.45,"$6,794,936","$6,794,936"
"Jul 01, 2022",$2.40,$2.52,$2.37,$2.41,"$6,871,284","$6,871,284"
"Jun 30, 2022",$2.53,$2.53,$2.32,$2.40,"$2,992,934","$2,992,934"
"Jun 29, 2022",$2.55,$2.58,$2.51,$2.53,"$1,935,054","$1,935,054"
"Jun 28, 2022",$2.61,$2.65,$2.55,$2.55,"$3,278,238","$3,278,238"
"Jun 27, 2022",$2.62,$2.71,$2.58,$2.61,"$6,631,028","$6,631,028"
"Jun 26, 2022",$2.62,$2.68,$2.61,$2.62,"$5,414,923","$5,414,923"
"Jun 25, 2022",$2.65,$2.66,$2.59,$2.62,"$5,989,158","$5,989,158"
"Jun 24, 2022",$2.57,$2.70,$2.55,$2.65,"$8,044,852","$8,044,852"
"Jun 23, 2022",$2.52,$2.57,$2.52,$2.57,"$5,375,311","$5,375,311"
"Jun 22, 2022",$2.49,$2.60,$2.46,$2.52,"$16,238,000","$16,238,000"
"Jun 21, 2022",$2.46,$2.69,$2.44,$2.49,"$13,373,813","$13,373,813"
"Jun 20, 2022",$2.45,$2.48,$2.42,$2.46,"$7,095,333","$7,095,333"
"Jun 19, 2022",$2.35,$2.49,$2.26,$2.45,"$8,137,745","$8,137,745"
"Jun 18, 2022",$2.44,$2.52,$2.20,$2.35,"$10,499,600","$10,499,600"
"Jun 17, 2022",$2.39,$2.51,$2.39,$2.44,"$5,324,935","$5,324,935"
"Jun 16, 2022",$2.63,$2.64,$2.37,$2.39,"$9,717,889","$9,717,889"
"Jun 15, 2022",$2.64,$2.70,$2.37,$2.63,"$45,872,503","$45,872,503"
"Jun 14, 2022",$2.31,$3.31,$2.21,$2.64,"$44,121,864","$44,121,864"
"Jun 13, 2022",$2.38,$2.46,$2.16,$2.31,"$8,806,688","$8,806,688"
"Jun 12, 2022",$2.69,$2.71,$2.38,$2.38,"$4,726,832","$4,726,832"
"Jun 11, 2022",$2.94,$3.03,$2.68,$2.69,"$4,431,447","$4,431,447"
"Jun 10, 2022",$3.08,$3.14,$2.93,$2.94,"$4,305,071","$4,305,071"
"Jun 09, 2022",$3.12,$3.20,$3.08,$3.08,"$10,048,140","$10,048,140"
"Jun 08, 2022",$3.14,$3.20,$3.06,$3.12,"$7,470,675","$7,470,675"
"Jun 07, 2022",$3.23,$3.27,$3.12,$3.14,"$10,261,160","$10,261,160"
"Jun 06, 2022",$3.19,$3.30,$3.19,$3.23,"$7,941,286","$7,941,286"
"Jun 05, 2022",$3.23,$3.24,$3.18,$3.19,"$4,486,213","$4,486,213"
"Jun 04, 2022",$3.15,$3.40,$3.14,$3.23,"$13,597,310","$13,597,310"
"Jun 03, 2022",$3.21,$3.22,$3.12,$3.15,"$5,824,244","$5,824,244"
"Jun 02, 2022",$3.13,$3.35,$3.12,$3.21,"$12,886,821","$12,886,821"
"Jun 01, 2022",$3.29,$3.40,$3.11,$3.13,"$11,137,395","$11,137,395"
"May 31, 2022",$3.39,$3.42,$3.24,$3.29,"$7,529,975","$7,529,975"
"May 30, 2022",$3.24,$3.42,$3.23,$3.39,"$12,089,246","$12,089,246"
"May 29, 2022",$3.32,$3.32,$3.22,$3.24,"$5,529,456","$5,529,456"
"May 28, 2022",$3.23,$3.47,$3.18,$3.32,"$12,198,421","$12,198,421"
"May 27, 2022",$3.14,$3.32,$2.93,$3.22,"$15,502,557","$15,502,557"
"May 26, 2022",$3.51,$3.62,$3.08,$3.14,"$12,655,239","$12,655,239"
"May 25, 2022",$3.52,$3.69,$3.49,$3.51,"$14,335,251","$14,335,251"
"May 24, 2022",$3.50,$3.62,$3.36,$3.52,"$9,505,276","$9,505,276"
"May 23, 2022",$3.42,$3.91,$3.42,$3.50,"$27,987,578","$27,987,578"
"May 22, 2022",$3.52,$3.53,$3.33,$3.42,"$10,334,523","$10,334,523"
"May 21, 2022",$3.71,$3.78,$3.50,$3.52,"$21,521,939","$21,521,939"
"May 20, 2022",$3.26,$4.25,$3.09,$3.74,"$89,799,130","$89,799,130"
"May 19, 2022",$3.08,$3.45,$2.95,$3.26,"$37,788,907","$37,788,907"
"May 18, 2022",$2.94,$4.53,$2.90,$3.08,"$141,698,782","$141,698,782"
"May 17, 2022",$2.60,$3.32,$2.60,$2.95,"$32,991,445","$32,991,445"
"May 16, 2022",$2.85,$2.85,$2.56,$2.60,"$8,406,677","$8,406,677"
"May 15, 2022",$2.75,$2.97,$2.58,$2.85,"$20,278,227","$20,278,227"
"May 14, 2022",$2.89,$3.05,$2.48,$2.75,"$45,545,060","$45,545,060"
"May 13, 2022",$1.43,$3.73,$1.42,$2.89,"$110,848,994","$110,848,994"
"May 12, 2022",$1.82,$1.95,$1.26,$1.43,"$11,052,676","$11,052,676"
"May 11, 2022",$3.34,$3.45,$1.69,$1.82,"$14,352,747","$14,352,747"
"May 10, 2022",$3.48,$3.82,$3.22,$3.34,"$10,748,182","$10,748,182"
"May 09, 2022",$4.51,$4.54,$3.48,$3.48,"$11,040,634","$11,040,634"
"May 08, 2022",$4.84,$4.85,$4.50,$4.51,"$17,251,568","$17,251,568"
"May 07, 2022",$4.70,$5.07,$4.64,$4.84,"$27,254,445","$27,254,445"
"May 06, 2022",$4.78,$4.80,$4.62,$4.70,"$19,049,016","$19,049,016"
"May 05, 2022",$5.06,$5.44,$4.69,$4.78,"$31,132,438","$31,132,438"
"May 04, 2022",$4.81,$5.19,$4.79,$5.06,"$12,486,907","$12,486,907"
"May 03, 2022",$4.94,$4.98,$4.81,$4.81,"$4,631,772","$4,631,772"
"May 02, 2022",$4.93,$5.10,$4.85,$4.94,"$15,956,644","$15,956,644"
"May 01, 2022",$4.85,$5.01,$4.83,$4.93,"$10,478,038","$10,478,038"
"Apr 30, 2022",$5.29,$5.61,$4.85,$4.85,"$30,174,197","$30,174,197"
"Apr 29, 2022",$5.55,$5.63,$5.17,$5.29,"$21,178,418","$21,178,418"
"Apr 28, 2022",$5.81,$5.87,$5.54,$5.55,"$35,697,300","$35,697,300"
"Apr 27, 2022",$5.50,$6.21,$5.49,$5.81,"$79,662,812","$79,662,812"
"Apr 26, 2022",$5.84,$6.00,$5.22,$5.50,"$27,022,521","$27,022,521"
"Apr 25, 2022",$6.12,$6.18,$5.64,$5.84,"$36,264,734","$36,264,734"
"Apr 24, 2022",$5.92,$6.42,$5.91,$6.12,"$81,435,234","$81,435,234"
"Apr 23, 2022",$6.01,$6.23,$5.82,$5.91,"$32,794,397","$32,794,397"
"Apr 22, 2022",$7.23,$7.28,$6.00,$6.01,"$77,640,645","$77,640,645"
"Apr 21, 2022",$5.81,$8.05,$5.78,$7.22,"$275,634,691","$275,634,691"
"Apr 20, 2022",$5.46,$6.41,$5.38,$5.82,"$65,956,772","$65,956,772"
"Apr 19, 2022",$5.36,$5.62,$5.35,$5.46,"$13,040,103","$13,040,103"
"Apr 18, 2022",$5.41,$5.41,$5.04,$5.36,"$11,603,129","$11,603,129"
"Apr 17, 2022",$5.60,$5.65,$5.41,$5.41,"$8,842,556","$8,842,556"
"Apr 16, 2022",$5.60,$5.78,$5.55,$5.60,"$11,689,079","$11,689,079"
"Apr 15, 2022",$5.68,$5.72,$5.56,$5.60,"$4,821,033","$4,821,033"
"Apr 14, 2022",$5.99,$6.06,$5.62,$5.67,"$14,621,094","$14,621,094"
"Apr 13, 2022",$5.84,$6.28,$5.69,$5.99,"$56,555,991","$56,555,991"
"Apr 12, 2022",$5.29,$6.45,$5.15,$5.83,"$72,458,039","$72,458,039"
"Apr 11, 2022",$6.16,$6.17,$5.25,$5.28,"$19,273,451","$19,273,451"
"Apr 10, 2022",$6.37,$6.45,$6.14,$6.16,"$20,268,802","$20,268,802"
"Apr 09, 2022",$6.26,$6.72,$6.20,$6.36,"$25,861,091","$25,861,091"
"Apr 08, 2022",$6.57,$6.65,$6.20,$6.26,"$18,158,461","$18,158,461"
"Apr 07, 2022",$6.48,$7.31,$6.21,$6.57,"$65,074,512","$65,074,512"
"Apr 06, 2022",$7.72,$7.94,$6.38,$6.47,"$140,213,452","$140,213,452"
"Apr 05, 2022",$6.47,$8.20,$6.21,$7.74,"$136,342,597","$136,342,597"
"Apr 04, 2022",$6.91,$6.92,$6.26,$6.47,"$24,217,460","$24,217,460"
"Apr 03, 2022",$6.96,$7.00,$6.77,$6.93,"$12,808,435","$12,808,435"
"Apr 02, 2022",$6.91,$7.36,$6.86,$6.97,"$32,108,738","$32,108,738"
"Apr 01, 2022",$6.90,$7.25,$6.68,$6.92,"$38,812,175","$38,812,175"
"Mar 31, 2022",$7.25,$8.18,$6.84,$6.89,"$73,451,097","$73,451,097"
"Mar 30, 2022",$7.49,$7.60,$7.15,$7.25,"$33,519,174","$33,519,174"
"Mar 29, 2022",$7.73,$7.98,$7.43,$7.48,"$46,509,490","$46,509,490"
"Mar 28, 2022",$7.95,$8.10,$7.70,$7.74,"$40,530,629","$40,530,629"
"Mar 27, 2022",$8.21,$8.33,$7.75,$7.96,"$34,389,684","$34,389,684"
"Mar 26, 2022",$8.43,$8.70,$8.20,$8.21,"$35,125,363","$35,125,363"
"Mar 25, 2022",$7.83,$8.97,$7.78,$8.44,"$116,516,358","$116,516,358"
"Mar 24, 2022",$8.29,$8.45,$7.83,$7.83,"$60,621,977","$60,621,977"
"Mar 23, 2022",$8.85,$8.85,$8.21,$8.30,"$79,471,821","$79,471,821"
"Mar 22, 2022",$8.94,$9.14,$8.76,$8.85,"$72,948,194","$72,948,194"
"Mar 21, 2022",$9.25,$9.44,$8.86,$8.95,"$93,387,556","$93,387,556"
"Mar 20, 2022",$9.13,$10.16,$8.84,$9.25,"$204,945,646","$204,945,646"
"Mar 19, 2022",$9.49,$10.16,$9.03,$9.14,"$147,280,145","$147,280,145"
"Mar 18, 2022",$9.08,$10.02,$8.83,$9.49,"$194,548,177","$194,548,177"
"Mar 17, 2022",$8.83,$10.55,$8.57,$9.12,"$421,118,309","$421,118,309"
"Mar 16, 2022",$8.26,$9.48,$8.05,$8.82,"$294,688,282","$294,688,282"
"Mar 15, 2022",$8.61,$9.59,$8.18,$8.26,"$216,570,331","$216,570,331"
"Mar 14, 2022",$7.77,$9.87,$7.45,$8.61,"$395,506,622","$395,506,622"
"Mar 13, 2022",$9.53,$10.28,$7.69,$7.81,"$326,197,135","$326,197,135"
"Mar 12, 2022",$8.85,$11.48,$8.85,$9.50,"$867,999,853","$867,999,853"
"Mar 11, 2022",$6.61,$11.39,$5.91,$8.83,"$1,667,735,723","$1,667,735,723"
"Mar 10, 2022",$5.15,$7.12,$4.87,$6.62,"$819,667,574","$819,667,574"
"Mar 09, 2022",$3.34,$7.34,$3.23,$5.15,"$1,166,362,349","$1,166,362,349"
"Mar 08, 2022",$2.31,$3.87,$2.30,$3.34,"$332,203,480","$332,203,480"
"Mar 07, 2022",$2.45,$2.48,$2.26,$2.31,"$13,271,130","$13,271,130"
"Mar 06, 2022",$2.84,$2.84,$2.44,$2.45,"$12,825,714","$12,825,714"
"Mar 05, 2022",$2.74,$2.87,$2.71,$2.85,"$10,028,030","$10,028,030"
"Mar 04, 2022",$3.02,$3.17,$2.74,$2.74,"$17,483,619","$17,483,619"
"Mar 03, 2022",$3.28,$3.30,$2.94,$3.02,"$13,306,783","$13,306,783"
"Mar 02, 2022",$3.44,$3.46,$3.17,$3.28,"$17,551,966","$17,551,966"
"Mar 01, 2022",$3.63,$3.71,$3.41,$3.44,"$30,401,310","$30,401,310"
