Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.01611,$0.01653,$0.01594,$0.01648,"$493,156","$493,156"
"Sep 21, 2022",$0.01589,$0.01673,$0.01549,$0.01611,"$538,679","$538,679"
"Sep 20, 2022",$0.01624,$0.01635,$0.01576,$0.01589,"$487,297","$487,297"
"Sep 19, 2022",$0.01588,$0.01636,$0.01556,$0.01624,"$520,253","$520,253"
"Sep 18, 2022",$0.01703,$0.01709,$0.0158,$0.01587,"$537,840","$537,840"
"Sep 17, 2022",$0.01633,$0.01706,$0.01587,$0.01702,"$588,199","$588,199"
"Sep 16, 2022",$0.01666,$0.01696,$0.0159,$0.01634,"$691,026","$691,026"
"Sep 15, 2022",$0.01736,$0.01798,$0.01621,$0.01665,"$666,119","$666,119"
"Sep 14, 2022",$0.01756,$0.01812,$0.01696,$0.01736,"$573,045","$573,045"
"Sep 13, 2022",$0.01933,$0.01936,$0.01736,$0.01768,"$690,121","$690,121"
"Sep 12, 2022",$0.01962,$0.02004,$0.01916,$0.01933,"$662,654","$662,654"
"Sep 11, 2022",$0.02089,$0.02127,$0.01926,$0.01962,"$788,814","$788,814"
"Sep 10, 2022",$0.02025,$0.02092,$0.02005,$0.02089,"$691,790","$691,790"
"Sep 09, 2022",$0.019,$0.02064,$0.01888,$0.02025,"$709,688","$709,688"
"Sep 08, 2022",$0.01951,$0.01988,$0.01871,$0.019,"$639,717","$639,717"
"Sep 07, 2022",$0.01903,$0.02018,$0.01822,$0.01951,"$646,901","$646,901"
"Sep 06, 2022",$0.01895,$0.01973,$0.01813,$0.01903,"$666,379","$666,379"
"Sep 05, 2022",$0.01939,$0.01981,$0.01883,$0.01895,"$648,837","$648,837"
"Sep 04, 2022",$0.01954,$0.02017,$0.01927,$0.01938,"$587,899","$587,899"
"Sep 03, 2022",$0.01988,$0.02028,$0.01943,$0.01954,"$569,307","$569,307"
"Sep 02, 2022",$0.01928,$0.02057,$0.01915,$0.01988,"$625,068","$625,068"
"Sep 01, 2022",$0.01972,$0.01995,$0.01844,$0.01928,"$620,181","$620,181"
"Aug 31, 2022",$0.01981,$0.02096,$0.01915,$0.01972,"$686,877","$686,877"
"Aug 30, 2022",$0.02107,$0.0214,$0.01896,$0.01981,"$674,564","$674,564"
"Aug 29, 2022",$0.01906,$0.02163,$0.01832,$0.02108,"$780,205","$780,205"
"Aug 28, 2022",$0.0192,$0.02002,$0.01859,$0.01906,"$592,306","$592,306"
"Aug 27, 2022",$0.02037,$0.02081,$0.01856,$0.0192,"$620,935","$620,935"
"Aug 26, 2022",$0.02192,$0.02195,$0.02005,$0.02037,"$665,226","$665,226"
"Aug 25, 2022",$0.022,$0.02213,$0.02082,$0.02192,"$772,016","$772,016"
"Aug 24, 2022",$0.02234,$0.02288,$0.02155,$0.022,"$646,617","$646,617"
"Aug 23, 2022",$0.02247,$0.02271,$0.02119,$0.02234,"$606,017","$606,017"
"Aug 22, 2022",$0.02364,$0.02418,$0.02042,$0.02247,"$886,211","$886,211"
"Aug 21, 2022",$0.02025,$0.02422,$0.02025,$0.02364,"$838,201","$838,201"
"Aug 20, 2022",$0.01897,$0.02231,$0.01892,$0.02025,"$732,300","$732,300"
"Aug 19, 2022",$0.0213,$0.02166,$0.01894,$0.01897,"$756,158","$756,158"
"Aug 18, 2022",$0.02187,$0.02198,$0.02066,$0.0213,"$650,719","$650,719"
"Aug 17, 2022",$0.0241,$0.02588,$0.02136,$0.02187,"$824,062","$824,062"
"Aug 16, 2022",$0.02443,$0.02497,$0.02361,$0.0241,"$665,615","$665,615"
"Aug 15, 2022",$0.02665,$0.02746,$0.0234,$0.02443,"$927,737","$927,737"
"Aug 14, 2022",$0.02863,$0.02875,$0.02624,$0.02665,"$946,134","$946,134"
"Aug 13, 2022",$0.02894,$0.03018,$0.02817,$0.02863,"$1,021,110","$1,021,110"
"Aug 12, 2022",$0.02836,$0.02938,$0.02768,$0.02894,"$1,040,053","$1,040,053"
"Aug 11, 2022",$0.03128,$0.03272,$0.02825,$0.02836,"$1,352,659","$1,352,659"
"Aug 10, 2022",$0.0285,$0.03186,$0.02724,$0.03128,"$1,249,774","$1,249,774"
"Aug 09, 2022",$0.02646,$0.02871,$0.02599,$0.02851,"$1,342,772","$1,342,772"
"Aug 08, 2022",$0.0255,$0.02715,$0.02536,$0.02645,"$957,054","$957,054"
"Aug 07, 2022",$0.02481,$0.02567,$0.02437,$0.02549,"$696,818","$696,818"
"Aug 06, 2022",$0.02408,$0.02565,$0.02378,$0.02481,"$734,929","$734,929"
"Aug 05, 2022",$0.02397,$0.02513,$0.02351,$0.02407,"$774,255","$774,255"
