Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.03276,$0.03385,$0.03241,$0.03302,"$30,654,589","$30,654,589"
"Sep 15, 2022",$0.03446,$0.03446,$0.03245,$0.03276,"$24,579,753","$24,579,753"
"Sep 14, 2022",$0.03375,$0.0347,$0.03354,$0.03446,"$26,137,534","$26,137,534"
"Sep 13, 2022",$0.03747,$0.03829,$0.03362,$0.0342,"$41,056,526","$41,056,526"
"Sep 12, 2022",$0.03793,$0.03873,$0.03709,$0.03747,"$40,438,826","$40,438,826"
"Sep 11, 2022",$0.03799,$0.0386,$0.03674,$0.03792,"$37,085,138","$37,085,138"
"Sep 10, 2022",$0.03912,$0.03912,$0.03729,$0.03799,"$40,783,985","$40,783,985"
"Sep 09, 2022",$0.03539,$0.04005,$0.03523,$0.03913,"$82,390,009","$82,390,009"
"Sep 08, 2022",$0.03451,$0.03639,$0.03326,$0.03539,"$57,746,129","$57,746,129"
"Sep 07, 2022",$0.0333,$0.03463,$0.03233,$0.03451,"$30,936,738","$30,936,738"
"Sep 06, 2022",$0.03552,$0.0374,$0.03326,$0.03333,"$65,635,791","$65,635,791"
"Sep 05, 2022",$0.03578,$0.03626,$0.03424,$0.03552,"$47,343,728","$47,343,728"
"Sep 04, 2022",$0.03443,$0.03714,$0.03443,$0.03578,"$49,392,720","$49,392,720"
"Sep 03, 2022",$0.03433,$0.03458,$0.03408,$0.03444,"$12,876,420","$12,876,420"
"Sep 02, 2022",$0.03505,$0.03557,$0.03391,$0.03432,"$21,877,884","$21,877,884"
"Sep 01, 2022",$0.03538,$0.0356,$0.03358,$0.03505,"$27,308,346","$27,308,346"
"Aug 31, 2022",$0.03524,$0.03652,$0.03512,$0.03539,"$34,793,603","$34,793,603"
"Aug 30, 2022",$0.03686,$0.03766,$0.03437,$0.03524,"$42,638,885","$42,638,885"
"Aug 29, 2022",$0.03559,$0.03702,$0.03503,$0.03685,"$42,715,164","$42,715,164"
"Aug 28, 2022",$0.03594,$0.03902,$0.03561,$0.03563,"$68,177,173","$68,177,173"
"Aug 27, 2022",$0.03698,$0.03753,$0.03538,$0.03594,"$39,645,843","$39,645,843"
"Aug 26, 2022",$0.04106,$0.04208,$0.03663,$0.03694,"$96,764,223","$96,764,223"
"Aug 25, 2022",$0.04027,$0.04425,$0.04022,$0.04106,"$163,665,495","$163,665,495"
