Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.0008179,$0.0008295,$0.0007252,$0.0007252,"$540,231","$540,231"
"Sep 20, 2022",$0.0007913,$0.0008443,$0.000782,$0.0008179,"$552,686","$552,686"
"Sep 19, 2022",$0.0007917,$0.0008826,$0.0007606,$0.0007913,"$698,941","$698,941"
"Sep 18, 2022",$0.0007951,$0.0008272,$0.0007835,$0.0007917,"$620,102","$620,102"
"Sep 17, 2022",$0.0008521,$0.0008633,$0.0007687,$0.0007951,"$669,695","$669,695"
"Sep 16, 2022",$0.0008489,$0.00088,$0.0008335,$0.0008521,"$516,409","$516,409"
"Sep 15, 2022",$0.0008743,$0.0009218,$0.0008447,$0.0008489,"$471,921","$471,921"
"Sep 14, 2022",$0.0008817,$0.0008894,$0.0008156,$0.0008743,"$653,499","$653,499"
"Sep 13, 2022",$0.0009844,$0.0009852,$0.0008667,$0.0008746,"$677,895","$677,895"
"Sep 12, 2022",$0.0009715,$0.001003,$0.0009488,$0.0009839,"$699,721","$699,721"
"Sep 11, 2022",$0.0009721,$0.001,$0.0009645,$0.0009715,"$623,798","$623,798"
"Sep 10, 2022",$0.000995,$0.001006,$0.0009176,$0.0009721,"$739,182","$739,182"
"Sep 09, 2022",$0.001056,$0.001103,$0.0009879,$0.0009968,"$708,442","$708,442"
"Sep 08, 2022",$0.001051,$0.001061,$0.0009565,$0.001056,"$803,537","$803,537"
"Sep 07, 2022",$0.001096,$0.001104,$0.001009,$0.001056,"$743,377","$743,377"
"Sep 06, 2022",$0.001106,$0.001157,$0.001067,$0.001097,"$669,691","$669,691"
"Sep 05, 2022",$0.001004,$0.001113,$0.0009963,$0.001104,"$581,552","$581,552"
"Sep 04, 2022",$0.001085,$0.001085,$0.0009921,$0.001004,"$529,235","$529,235"
"Sep 03, 2022",$0.001127,$0.001132,$0.001072,$0.001085,"$612,763","$612,763"
"Sep 02, 2022",$0.001128,$0.001186,$0.001027,$0.001127,"$1,498,933","$1,498,933"
"Sep 01, 2022",$0.0009669,$0.001136,$0.0009415,$0.001129,"$1,384,628","$1,384,628"
"Aug 31, 2022",$0.001063,$0.001092,$0.0009465,$0.000967,"$1,251,554","$1,251,554"
"Aug 30, 2022",$0.001025,$0.001102,$0.0009898,$0.001063,"$1,235,547","$1,235,547"
"Aug 29, 2022",$0.0008724,$0.001128,$0.000863,$0.001024,"$1,386,274","$1,386,274"
"Aug 28, 2022",$0.0008437,$0.0009301,$0.0008247,$0.0008724,"$1,021,817","$1,021,817"
"Aug 27, 2022",$0.000926,$0.001026,$0.0008222,$0.0008438,"$1,180,545","$1,180,545"
"Aug 26, 2022",$0.0008597,$0.001031,$0.0008474,$0.0009284,"$1,196,783","$1,196,783"
"Aug 25, 2022",$0.0008562,$0.0008831,$0.0008433,$0.0008606,"$1,018,974","$1,018,974"
"Aug 24, 2022",$0.0008564,$0.0008804,$0.0008236,$0.0008562,"$1,049,821","$1,049,821"
"Aug 23, 2022",$0.0008829,$0.0008867,$0.0008441,$0.0008564,"$1,056,896","$1,056,896"
"Aug 22, 2022",$0.0008775,$0.0008981,$0.0008529,$0.0008829,"$941,709","$941,709"
"Aug 21, 2022",$0.000862,$0.0008988,$0.0008546,$0.0008751,"$114,403","$114,403"
"Aug 20, 2022",$0.000843,$0.0008828,$0.000835,$0.0008619,"$641,858","$641,858"
"Aug 19, 2022",$0.0009136,$0.0009136,$0.0008421,$0.0008431,"$391,142","$391,142"
"Aug 18, 2022",$0.0009397,$0.001018,$0.0009046,$0.0009136,"$428,251","$428,251"
"Aug 17, 2022",$0.0008143,$0.0009762,$0.0007934,$0.0009397,"$709,334","$709,334"
"Aug 16, 2022",$0.0008595,$0.0008595,$0.0008072,$0.0008143,"$350,441","$350,441"
"Aug 15, 2022",$0.0008878,$0.0008996,$0.0008401,$0.000859,"$977,035","$977,035"
"Aug 14, 2022",$0.000834,$0.0009353,$0.0008212,$0.0008878,"$698,669","$698,669"
"Aug 13, 2022",$0.0009322,$0.001042,$0.0008293,$0.0008339,"$725,839","$725,839"
"Aug 12, 2022",$0.0009678,$0.0009936,$0.0009098,$0.0009311,"$1,396,859","$1,396,859"
"Aug 11, 2022",$0.00108,$0.001175,$0.0009522,$0.0009678,"$1,407,264","$1,407,264"
"Aug 10, 2022",$0.001046,$0.001269,$0.0009116,$0.00108,"$1,980,963","$1,980,963"
"Aug 09, 2022",$0.0008948,$0.001177,$0.000772,$0.001061,"$1,700,788","$1,700,788"
"Aug 08, 2022",$0.0007428,$0.0009107,$0.0007007,$0.0008881,"$887,806","$887,806"
"Aug 07, 2022",$0.0007019,$0.0007837,$0.0006669,$0.0007428,"$965,229","$965,229"
"Aug 06, 2022",$0.0007754,$0.0007835,$0.0007019,$0.0007019,"$889,464","$889,464"
"Aug 05, 2022",$0.0007127,$0.00106,$0.0006491,$0.0007754,"$1,549,936","$1,549,936"
"Aug 04, 2022",$0.0005547,$0.0009786,$0.0005508,$0.0007075,"$1,159,459","$1,159,459"
"Aug 03, 2022",$0.0005381,$0.0005685,$0.0005323,$0.0005547,"$574,748","$574,748"
"Aug 02, 2022",$0.000528,$0.000555,$0.0005023,$0.0005381,"$580,742","$580,742"
"Aug 01, 2022",$0.0005541,$0.0005555,$0.0005123,$0.000528,"$619,174","$619,174"
"Jul 31, 2022",$0.0005684,$0.0005772,$0.0005328,$0.0005541,"$619,213","$619,213"
"Jul 30, 2022",$0.0005619,$0.0005909,$0.0005529,$0.0005684,"$651,362","$651,362"
"Jul 29, 2022",$0.0005674,$0.0005819,$0.0005548,$0.0005619,"$640,793","$640,793"
"Jul 28, 2022",$0.000524,$0.0005756,$0.0005164,$0.0005674,"$671,990","$671,990"
"Jul 27, 2022",$0.0005132,$0.0005359,$0.0005044,$0.0005238,"$744,541","$744,541"
"Jul 26, 2022",$0.0005184,$0.0005222,$0.0004982,$0.0005132,"$783,286","$783,286"
"Jul 25, 2022",$0.0004759,$0.0006281,$0.0004679,$0.0005184,"$913,496","$913,496"
"Jul 24, 2022",$0.0004734,$0.0004894,$0.0004693,$0.0004759,"$656,099","$656,099"
"Jul 23, 2022",$0.0004771,$0.0004901,$0.0004629,$0.0004739,"$788,757","$788,757"
"Jul 22, 2022",$0.0004939,$0.0004989,$0.0004574,$0.0004773,"$835,783","$835,783"
"Jul 21, 2022",$0.0004939,$0.0005004,$0.0004659,$0.0004949,"$864,112","$864,112"
"Jul 20, 2022",$0.0005077,$0.000519,$0.0004845,$0.0004947,"$788,269","$788,269"
"Jul 19, 2022",$0.00048,$0.0005189,$0.0004658,$0.0005077,"$795,948","$795,948"
"Jul 18, 2022",$0.0005194,$0.0005334,$0.0004636,$0.0004803,"$885,488","$885,488"
"Jul 17, 2022",$0.0004996,$0.0005242,$0.0004832,$0.0005193,"$792,935","$792,935"
"Jul 16, 2022",$0.0004597,$0.0005039,$0.0004427,$0.0005002,"$725,965","$725,965"
"Jul 15, 2022",$0.0005002,$0.0005032,$0.0004579,$0.0004597,"$731,596","$731,596"
"Jul 14, 2022",$0.0004985,$0.0005605,$0.0004941,$0.0004993,"$818,359","$818,359"
"Jul 13, 2022",$0.0005134,$0.0005263,$0.0004823,$0.0004981,"$636,927","$636,927"
"Jul 12, 2022",$0.0005141,$0.0006049,$0.0004923,$0.0005116,"$720,129","$720,129"
"Jul 11, 2022",$0.000584,$0.0005891,$0.0004952,$0.0005141,"$676,373","$676,373"
"Jul 10, 2022",$0.0007786,$0.0008281,$0.000559,$0.0005849,"$1,480,818","$1,480,818"
"Jul 09, 2022",$0.0004126,$0.001011,$0.0004115,$0.0007736,"$1,766,087","$1,766,087"
"Jul 08, 2022",$0.0004103,$0.0004201,$0.0004011,$0.0004151,"$743,304","$743,304"
"Jul 07, 2022",$0.0004223,$0.0004245,$0.0003977,$0.0004104,"$734,942","$734,942"
"Jul 06, 2022",$0.0004219,$0.000427,$0.0004024,$0.0004223,"$787,881","$787,881"
"Jul 05, 2022",$0.0004385,$0.0004463,$0.0004013,$0.0004219,"$824,633","$824,633"
"Jul 04, 2022",$0.000397,$0.0004387,$0.000392,$0.0004387,"$488,867","$488,867"
"Jul 03, 2022",$0.0004051,$0.0004084,$0.0003811,$0.0003967,"$481,248","$481,248"
"Jul 02, 2022",$0.0004069,$0.0004101,$0.000393,$0.0004051,"$470,828","$470,828"
"Jul 01, 2022",$0.0004217,$0.0004386,$0.0004052,$0.0004067,"$504,650","$504,650"
"Jun 30, 2022",$0.0004393,$0.0004393,$0.0004077,$0.0004216,"$667,663","$667,663"
"Jun 29, 2022",$0.0004237,$0.0004432,$0.0004104,$0.0004384,"$732,246","$732,246"
"Jun 28, 2022",$0.0004285,$0.0004356,$0.0004151,$0.0004241,"$620,119","$620,119"
"Jun 27, 2022",$0.0004427,$0.000452,$0.000413,$0.0004285,"$490,493","$490,493"
"Jun 26, 2022",$0.0004325,$0.0004511,$0.0004215,$0.0004427,"$483,207","$483,207"
"Jun 25, 2022",$0.0004398,$0.0004516,$0.0004252,$0.0004325,"$478,347","$478,347"
"Jun 24, 2022",$0.0004726,$0.0004827,$0.0004223,$0.0004398,"$556,296","$556,296"
"Jun 23, 2022",$0.0004664,$0.0004768,$0.0004467,$0.0004727,"$524,454","$524,454"
"Jun 22, 2022",$0.0004929,$0.0004947,$0.0004469,$0.0004665,"$579,547","$579,547"
"Jun 21, 2022",$0.0005122,$0.0005229,$0.0004909,$0.0004933,"$692,379","$692,379"
"Jun 20, 2022",$0.0005148,$0.000539,$0.0005019,$0.0005118,"$884,240","$884,240"
