Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$5.71,$6.41,$5.33,$5.91,"$440,918","$440,918"
"Sep 21, 2022",$6.02,$6.95,$5.56,$5.71,"$742,457","$742,457"
"Sep 20, 2022",$6.17,$6.35,$5.80,$6.02,"$186,046","$186,046"
"Sep 19, 2022",$5.67,$6.32,$5.40,$6.17,"$87,323","$87,323"
"Sep 18, 2022",$5.63,$6.15,$5.53,$5.67,"$78,544","$78,544"
"Sep 17, 2022",$5.23,$5.74,$5.23,$5.64,"$172,311","$172,311"
"Sep 16, 2022",$4.75,$5.91,$4.75,$5.23,"$105,880","$105,880"
"Sep 15, 2022",$4.84,$4.93,$4.45,$4.75,"$124,876","$124,876"
"Sep 14, 2022",$4.84,$5.04,$4.72,$4.85,"$154,869","$154,869"
"Sep 13, 2022",$7.22,$7.49,$4.82,$4.90,"$419,036","$419,036"
"Sep 12, 2022",$6.82,$7.46,$6.55,$7.22,"$148,130","$148,130"
"Sep 11, 2022",$5.58,$6.90,$5.54,$6.82,"$137,347","$137,347"
"Sep 10, 2022",$6.00,$6.24,$5.47,$5.58,"$35,272","$35,272"
"Sep 09, 2022",$5.74,$6.29,$5.66,$6.00,"$47,878","$47,878"
"Sep 08, 2022",$6.01,$6.01,$5.54,$5.74,"$33,228","$33,228"
"Sep 07, 2022",$5.37,$6.01,$4.58,$6.01,"$101,772","$101,772"
"Sep 06, 2022",$6.10,$6.28,$4.96,$5.37,"$97,195","$97,195"
"Sep 05, 2022",$6.06,$6.13,$5.75,$6.10,"$146,288","$146,288"
"Sep 04, 2022",$5.83,$6.11,$5.68,$6.06,"$72,416","$72,416"
"Sep 03, 2022",$5.63,$6.17,$5.62,$5.83,"$84,326","$84,326"
"Sep 02, 2022",$5.37,$5.69,$4.95,$5.62,"$39,364","$39,364"
"Sep 01, 2022",$4.79,$5.46,$4.71,$5.37,"$147,789","$147,789"
"Aug 31, 2022",$3.97,$5.29,$3.97,$4.79,"$172,588","$172,588"
"Aug 30, 2022",$4.16,$4.50,$3.81,$3.97,"$34,042","$34,042"
"Aug 29, 2022",$3.90,$4.31,$3.71,$4.16,"$58,587","$58,587"
"Aug 28, 2022",$4.12,$4.30,$3.90,$3.90,"$22,052","$22,052"
"Aug 27, 2022",$3.84,$4.24,$3.76,$4.12,"$29,255","$29,255"
"Aug 26, 2022",$4.08,$4.58,$3.77,$3.84,"$47,590","$47,590"
