Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.2559,$0.2588,$0.247,$0.2501,"$1,005","$1,005"
"Sep 24, 2022",$0.2689,$0.2695,$0.2549,$0.256,"$10,616","$10,616"
"Sep 23, 2022",$0.2717,$0.2738,$0.2569,$0.2689,$35,$35
"Sep 22, 2022",$0.2547,$0.2733,$0.2528,$0.2717,"$1,571","$1,571"
"Sep 21, 2022",$0.2667,$0.2793,$0.2506,$0.2583,"$1,543","$1,543"
"Sep 20, 2022",$0.2808,$0.2817,$0.2665,$0.2667,$83,$83
"Sep 19, 2022",$0.2611,$0.2829,$0.2467,$0.281,"$3,684","$3,684"
"Sep 18, 2022",$0.2928,$0.2942,$0.2608,$0.2611,"$3,249","$3,249"
"Sep 17, 2022",$0.2889,$0.2933,$0.2838,$0.2927,"$1,468","$1,468"
"Sep 16, 2022",$0.2705,$0.2984,$0.2674,$0.2889,"$12,325","$12,325"
"Sep 15, 2022",$0.296,$0.2977,$0.2703,$0.2703,$109,$109
"Sep 14, 2022",$0.2902,$0.3135,$0.2857,$0.2961,$154,$154
"Sep 13, 2022",$0.3151,$0.3174,$0.2891,$0.3072,$608,$608
"Sep 12, 2022",$0.3348,$0.3371,$0.3126,$0.315,$32,$32
"Sep 11, 2022",$0.3382,$0.3383,$0.3206,$0.3347,"$1,082","$1,082"
"Sep 10, 2022",$0.3182,$0.3394,$0.3174,$0.3382,$194,$194
"Sep 09, 2022",$0.3138,$0.3313,$0.3106,$0.3182,$49,$49
"Sep 08, 2022",$0.299,$0.3143,$0.296,$0.3107,"$1,747","$1,747"
"Sep 07, 2022",$0.3018,$0.3078,$0.2874,$0.299,$169,$169
"Sep 06, 2022",$0.3005,$0.3192,$0.3005,$0.3076,"$2,940","$2,940"
"Sep 05, 2022",$0.3055,$0.3083,$0.2986,$0.3005,$210,$210
"Sep 04, 2022",$0.2981,$0.3055,$0.297,$0.3055,$238,$238
"Sep 03, 2022",$0.3047,$0.3052,$0.2958,$0.2981,$60,$60
"Sep 02, 2022",$0.3022,$0.3101,$0.298,$0.3012,$693,$693
"Sep 01, 2022",$0.2977,$0.3039,$0.2919,$0.3022,$122,$122
"Aug 31, 2022",$0.2917,$0.3063,$0.2917,$0.2976,$103,$103
"Aug 30, 2022",$0.2985,$0.3048,$0.2854,$0.2917,$169,$169
"Aug 29, 2022",$0.2781,$0.299,$0.2775,$0.2986,$254,$254
"Aug 28, 2022",$0.2884,$0.2911,$0.2781,$0.2781,$236,$236
"Aug 27, 2022",$0.2933,$0.2949,$0.2818,$0.2884,$87,$87
"Aug 26, 2022",$0.3281,$0.3281,$0.2931,$0.2933,$48,$48
"Aug 25, 2022",$0.3231,$0.3334,$0.3225,$0.3281,$168,$168
"Aug 24, 2022",$0.3217,$0.3288,$0.313,$0.3231,$324,$324
