Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.0359,$0.03604,$0.03307,$0.03321,"$10,624,015","$10,624,015"
"Sep 17, 2022",$0.03521,$0.03591,$0.0352,$0.0359,"$7,884,316","$7,884,316"
"Sep 16, 2022",$0.03556,$0.03619,$0.03453,$0.03521,"$11,350,083","$11,350,083"
"Sep 15, 2022",$0.03658,$0.03658,$0.03525,$0.03555,"$11,170,129","$11,170,129"
"Sep 14, 2022",$0.03604,$0.03695,$0.03565,$0.03658,"$12,361,060","$12,361,060"
"Sep 13, 2022",$0.03968,$0.03972,$0.03589,$0.03635,"$13,710,205","$13,710,205"
"Sep 12, 2022",$0.03922,$0.0401,$0.03842,$0.03969,"$16,069,994","$16,069,994"
"Sep 11, 2022",$0.03931,$0.03996,$0.0386,$0.03922,"$11,564,167","$11,564,167"
"Sep 10, 2022",$0.03921,$0.03986,$0.03874,$0.0393,"$14,438,623","$14,438,623"
"Sep 09, 2022",$0.03817,$0.04054,$0.03817,$0.03922,"$24,555,398","$24,555,398"
"Sep 08, 2022",$0.0386,$0.03896,$0.03727,$0.03818,"$17,748,917","$17,748,917"
"Sep 07, 2022",$0.0349,$0.03986,$0.03469,$0.0386,"$45,211,508","$45,211,508"
"Sep 06, 2022",$0.0367,$0.0382,$0.03484,$0.03492,"$16,065,025","$16,065,025"
"Sep 05, 2022",$0.03655,$0.03684,$0.0357,$0.0367,"$9,203,520","$9,203,520"
"Sep 04, 2022",$0.03553,$0.03711,$0.03552,$0.0365,"$15,456,779","$15,456,779"
"Sep 03, 2022",$0.03511,$0.03557,$0.03491,$0.03553,"$12,413,823","$12,413,823"
"Sep 02, 2022",$0.03531,$0.03592,$0.03483,$0.03512,"$18,808,513","$18,808,513"
"Sep 01, 2022",$0.03516,$0.03537,$0.03424,$0.03531,"$17,342,634","$17,342,634"
"Aug 31, 2022",$0.03536,$0.03629,$0.03508,$0.03516,"$17,891,643","$17,891,643"
"Aug 30, 2022",$0.03655,$0.037,$0.0348,$0.03536,"$18,102,933","$18,102,933"
"Aug 29, 2022",$0.0346,$0.03656,$0.03435,$0.03656,"$19,413,303","$19,413,303"
"Aug 28, 2022",$0.03484,$0.03615,$0.03453,$0.03461,"$18,099,434","$18,099,434"
"Aug 27, 2022",$0.03586,$0.03607,$0.03449,$0.03486,"$16,668,510","$16,668,510"
"Aug 26, 2022",$0.03883,$0.03918,$0.03559,$0.03585,"$23,132,754","$23,132,754"
"Aug 25, 2022",$0.0378,$0.04029,$0.03779,$0.03884,"$30,368,048","$30,368,048"
"Aug 24, 2022",$0.03821,$0.03896,$0.03736,$0.03781,"$22,352,055","$22,352,055"
"Aug 23, 2022",$0.03716,$0.03885,$0.03683,$0.03821,"$19,416,081","$19,416,081"
"Aug 22, 2022",$0.03776,$0.03848,$0.036,$0.03716,"$18,801,633","$18,801,633"
"Aug 21, 2022",$0.03915,$0.03937,$0.03704,$0.03777,"$48,542,463","$48,542,463"
"Aug 20, 2022",$0.03472,$0.04787,$0.03472,$0.03912,"$92,436,037","$92,436,037"
"Aug 19, 2022",$0.03871,$0.03874,$0.03434,$0.03473,"$17,981,805","$17,981,805"
"Aug 18, 2022",$0.04366,$0.04412,$0.03869,$0.03871,"$32,039,402","$32,039,402"
"Aug 17, 2022",$0.04262,$0.05228,$0.0407,$0.04362,"$75,659,277","$75,659,277"
"Aug 16, 2022",$0.04255,$0.04303,$0.04183,$0.04262,"$8,574,350","$8,574,350"
"Aug 15, 2022",$0.04284,$0.04375,$0.04173,$0.04256,"$10,270,577","$10,270,577"
"Aug 14, 2022",$0.0442,$0.04552,$0.04269,$0.04286,"$13,167,622","$13,167,622"
"Aug 13, 2022",$0.04451,$0.04514,$0.04398,$0.04419,"$8,915,061","$8,915,061"
"Aug 12, 2022",$0.04394,$0.04454,$0.04292,$0.04453,"$9,446,949","$9,446,949"
"Aug 11, 2022",$0.04411,$0.04484,$0.04367,$0.04395,"$11,622,965","$11,622,965"
"Aug 10, 2022",$0.04273,$0.04484,$0.04187,$0.04408,"$10,887,001","$10,887,001"
"Aug 09, 2022",$0.04534,$0.04742,$0.04172,$0.04273,"$17,913,675","$17,913,675"
"Aug 08, 2022",$0.04401,$0.04764,$0.04401,$0.04534,"$27,128,403","$27,128,403"
"Aug 07, 2022",$0.0444,$0.0449,$0.0431,$0.04399,"$16,710,227","$16,710,227"
"Aug 06, 2022",$0.04505,$0.04506,$0.04407,$0.0444,"$9,640,925","$9,640,925"
"Aug 05, 2022",$0.04219,$0.04619,$0.04213,$0.04505,"$20,536,681","$20,536,681"
"Aug 04, 2022",$0.0412,$0.04326,$0.04118,$0.0422,"$23,746,852","$23,746,852"
"Aug 03, 2022",$0.03958,$0.04443,$0.03878,$0.0412,"$38,850,467","$38,850,467"
"Aug 02, 2022",$0.0413,$0.04154,$0.03841,$0.03957,"$27,818,040","$27,818,040"
"Aug 01, 2022",$0.03864,$0.04312,$0.03861,$0.04131,"$44,869,910","$44,869,910"
"Jul 31, 2022",$0.03848,$0.04085,$0.03834,$0.03864,"$27,362,498","$27,362,498"
"Jul 30, 2022",$0.03884,$0.04115,$0.03822,$0.03849,"$30,640,381","$30,640,381"
"Jul 29, 2022",$0.03863,$0.04017,$0.03777,$0.03885,"$35,602,652","$35,602,652"
"Jul 28, 2022",$0.03566,$0.04048,$0.03503,$0.03864,"$43,041,478","$43,041,478"
"Jul 27, 2022",$0.03316,$0.03565,$0.0328,$0.03564,"$23,216,703","$23,216,703"
"Jul 26, 2022",$0.03382,$0.03382,$0.03174,$0.03315,"$19,877,819","$19,877,819"
"Jul 25, 2022",$0.0359,$0.03746,$0.03382,$0.03382,"$29,538,777","$29,538,777"
"Jul 24, 2022",$0.03613,$0.03674,$0.03589,$0.0359,"$17,764,158","$17,764,158"
"Jul 23, 2022",$0.03602,$0.03692,$0.03531,$0.03614,"$18,505,267","$18,505,267"
"Jul 22, 2022",$0.03705,$0.03769,$0.03548,$0.03602,"$21,050,578","$21,050,578"
"Jul 21, 2022",$0.03726,$0.03775,$0.03508,$0.03706,"$22,570,703","$22,570,703"
"Jul 20, 2022",$0.03986,$0.04127,$0.03681,$0.03728,"$21,410,962","$21,410,962"
"Jul 19, 2022",$0.03906,$0.04029,$0.03828,$0.03987,"$22,314,884","$22,314,884"
"Jul 18, 2022",$0.03627,$0.03966,$0.03627,$0.03907,"$24,774,491","$24,774,491"
"Jul 17, 2022",$0.03676,$0.0378,$0.03625,$0.03625,"$15,434,689","$15,434,689"
"Jul 16, 2022",$0.03613,$0.03709,$0.03558,$0.03674,"$14,445,760","$14,445,760"
"Jul 15, 2022",$0.03621,$0.03745,$0.03558,$0.03614,"$17,876,029","$17,876,029"
