Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.01989,$0.0201,$0.01955,$0.01984,"$207,519","$207,519"
"Sep 18, 2022",$0.02056,$0.02116,$0.0198,$0.01989,"$454,566","$454,566"
"Sep 17, 2022",$0.02124,$0.02144,$0.02035,$0.02055,"$387,753","$387,753"
"Sep 16, 2022",$0.02069,$0.02162,$0.02066,$0.02125,"$378,826","$378,826"
"Sep 15, 2022",$0.02108,$0.0211,$0.02068,$0.02068,"$298,607","$298,607"
"Sep 14, 2022",$0.02128,$0.02193,$0.02072,$0.02108,"$511,906","$511,906"
"Sep 13, 2022",$0.02183,$0.02253,$0.02056,$0.02122,"$548,762","$548,762"
"Sep 12, 2022",$0.02183,$0.02203,$0.02148,$0.02183,"$323,345","$323,345"
"Sep 11, 2022",$0.02169,$0.02252,$0.02149,$0.02183,"$338,765","$338,765"
"Sep 10, 2022",$0.02199,$0.02245,$0.0215,$0.02169,"$426,282","$426,282"
"Sep 09, 2022",$0.02167,$0.0235,$0.01972,$0.02198,"$674,172","$674,172"
"Sep 08, 2022",$0.02237,$0.02334,$0.0211,$0.02169,"$816,267","$816,267"
"Sep 07, 2022",$0.02153,$0.02258,$0.02068,$0.02219,"$712,691","$712,691"
"Sep 06, 2022",$0.02248,$0.02292,$0.02146,$0.02153,"$382,264","$382,264"
"Sep 05, 2022",$0.02244,$0.02261,$0.02232,$0.02247,"$217,949","$217,949"
"Sep 04, 2022",$0.02241,$0.02283,$0.02222,$0.02244,"$309,155","$309,155"
"Sep 03, 2022",$0.02253,$0.02298,$0.02233,$0.02243,"$329,522","$329,522"
"Sep 02, 2022",$0.02275,$0.0232,$0.0224,$0.02253,"$197,862","$197,862"
"Sep 01, 2022",$0.02303,$0.0231,$0.02243,$0.02275,"$323,761","$323,761"
"Aug 31, 2022",$0.02384,$0.02406,$0.02299,$0.02301,"$607,705","$607,705"
"Aug 30, 2022",$0.02341,$0.02721,$0.02285,$0.02382,"$2,857,286","$2,857,286"
"Aug 29, 2022",$0.02258,$0.02342,$0.02237,$0.02341,"$599,356","$599,356"
"Aug 28, 2022",$0.02315,$0.02342,$0.02243,$0.02258,"$361,122","$361,122"
"Aug 27, 2022",$0.02374,$0.02392,$0.02281,$0.02315,"$658,444","$658,444"
"Aug 26, 2022",$0.02357,$0.02871,$0.02343,$0.02371,"$3,290,615","$3,290,615"
"Aug 25, 2022",$0.0237,$0.02395,$0.0234,$0.02357,"$292,772","$292,772"
"Aug 24, 2022",$0.02371,$0.02408,$0.02314,$0.02359,"$499,260","$499,260"
"Aug 23, 2022",$0.02229,$0.02709,$0.02211,$0.02371,"$1,779,147","$1,779,147"
"Aug 22, 2022",$0.02238,$0.02284,$0.02215,$0.02229,"$1,378,620","$1,378,620"
"Aug 21, 2022",$0.02247,$0.02289,$0.02233,$0.02237,"$1,166,148","$1,166,148"
"Aug 20, 2022",$0.02255,$0.0235,$0.02231,$0.02249,"$1,783,891","$1,783,891"
"Aug 19, 2022",$0.0243,$0.02434,$0.02204,$0.02255,"$1,956,436","$1,956,436"
"Aug 18, 2022",$0.02509,$0.02528,$0.02418,$0.02429,"$2,010,570","$2,010,570"
"Aug 17, 2022",$0.02552,$0.02619,$0.02497,$0.02512,"$1,838,120","$1,838,120"
"Aug 16, 2022",$0.02715,$0.02719,$0.02548,$0.02552,"$1,438,864","$1,438,864"
"Aug 15, 2022",$0.02586,$0.0281,$0.02566,$0.02714,"$1,600,776","$1,600,776"
"Aug 14, 2022",$0.0275,$0.02762,$0.02562,$0.02586,"$1,800,979","$1,800,979"
"Aug 13, 2022",$0.02699,$0.02847,$0.0266,$0.02749,"$1,689,666","$1,689,666"
"Aug 12, 2022",$0.0273,$0.02748,$0.02614,$0.02699,"$1,477,128","$1,477,128"
"Aug 11, 2022",$0.02692,$0.02901,$0.02664,$0.02729,"$2,271,498","$2,271,498"
"Aug 10, 2022",$0.02637,$0.02737,$0.02579,$0.02698,"$2,051,346","$2,051,346"
"Aug 09, 2022",$0.02892,$0.0304,$0.02552,$0.0265,"$3,408,979","$3,408,979"
"Aug 08, 2022",$0.04012,$0.04301,$0.02697,$0.0287,"$15,259,474","$15,259,474"
"Aug 07, 2022",$0.02327,$0.04341,$0.02283,$0.04063,"$26,045,471","$26,045,471"
"Aug 06, 2022",$0.02222,$0.02422,$0.02219,$0.02328,"$1,752,491","$1,752,491"
"Aug 05, 2022",$0.02139,$0.02235,$0.02117,$0.02224,"$944,910","$944,910"
