Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.03763,$0.03907,$0.03508,$0.03624,"$4,022,490","$4,022,490"
"Sep 17, 2022",$0.037,$0.03814,$0.03698,$0.03762,"$2,628,140","$2,628,140"
"Sep 16, 2022",$0.03675,$0.03773,$0.03603,$0.03698,"$4,212,579","$4,212,579"
"Sep 15, 2022",$0.039,$0.04037,$0.03597,$0.03674,"$8,361,996","$8,361,996"
"Sep 14, 2022",$0.04118,$0.04193,$0.03795,$0.039,"$10,288,388","$10,288,388"
"Sep 13, 2022",$0.04067,$0.0448,$0.0388,$0.04101,"$41,868,003","$41,868,003"
"Sep 12, 2022",$0.03755,$0.04414,$0.03701,$0.04067,"$41,910,984","$41,910,984"
"Sep 11, 2022",$0.03809,$0.03873,$0.03635,$0.03754,"$9,733,149","$9,733,149"
"Sep 10, 2022",$0.03765,$0.03819,$0.03712,$0.03807,"$5,802,484","$5,802,484"
"Sep 09, 2022",$0.03517,$0.03769,$0.03514,$0.03765,"$10,554,592","$10,554,592"
"Sep 08, 2022",$0.03509,$0.03536,$0.03425,$0.03517,"$4,906,264","$4,906,264"
"Sep 07, 2022",$0.03546,$0.03565,$0.03321,$0.03509,"$7,451,027","$7,451,027"
"Sep 06, 2022",$0.03651,$0.03741,$0.03512,$0.03541,"$6,580,646","$6,580,646"
"Sep 05, 2022",$0.03653,$0.03667,$0.03591,$0.03653,"$3,516,600","$3,516,600"
"Sep 04, 2022",$0.03582,$0.0366,$0.03566,$0.03653,"$2,750,911","$2,750,911"
"Sep 03, 2022",$0.03614,$0.03638,$0.03566,$0.0358,"$2,926,378","$2,926,378"
"Sep 02, 2022",$0.03663,$0.03708,$0.03588,$0.03613,"$4,963,758","$4,963,758"
"Sep 01, 2022",$0.03574,$0.03677,$0.03547,$0.03663,"$4,939,181","$4,939,181"
"Aug 31, 2022",$0.03599,$0.03711,$0.03565,$0.03574,"$5,418,352","$5,418,352"
"Aug 30, 2022",$0.03726,$0.03743,$0.03546,$0.03598,"$5,236,073","$5,236,073"
"Aug 29, 2022",$0.03527,$0.0376,$0.03514,$0.03726,"$5,276,321","$5,276,321"
"Aug 28, 2022",$0.03696,$0.03709,$0.0352,$0.03527,"$4,721,895","$4,721,895"
"Aug 27, 2022",$0.03779,$0.03835,$0.03672,$0.03699,"$6,178,545","$6,178,545"
"Aug 26, 2022",$0.04033,$0.04082,$0.03746,$0.03775,"$9,253,680","$9,253,680"
"Aug 25, 2022",$0.04028,$0.04089,$0.04014,$0.04034,"$5,540,608","$5,540,608"
"Aug 24, 2022",$0.04048,$0.04118,$0.03989,$0.04028,"$5,991,534","$5,991,534"
"Aug 23, 2022",$0.04081,$0.04086,$0.03994,$0.04047,"$6,336,415","$6,336,415"
"Aug 22, 2022",$0.04097,$0.04097,$0.03999,$0.04083,"$5,945,291","$5,945,291"
"Aug 21, 2022",$0.04039,$0.04149,$0.0401,$0.04097,"$6,051,309","$6,051,309"
"Aug 20, 2022",$0.04006,$0.04152,$0.03993,$0.04039,"$7,319,530","$7,319,530"
"Aug 19, 2022",$0.04277,$0.04281,$0.03992,$0.04007,"$17,731,349","$17,731,349"
"Aug 18, 2022",$0.04256,$0.0447,$0.04247,$0.04275,"$7,928,453","$7,928,453"
"Aug 17, 2022",$0.0447,$0.04606,$0.04239,$0.04256,"$8,729,193","$8,729,193"
"Aug 16, 2022",$0.04517,$0.04554,$0.04452,$0.0447,"$5,720,075","$5,720,075"
"Aug 15, 2022",$0.04708,$0.0478,$0.04449,$0.04519,"$10,764,486","$10,764,486"
"Aug 14, 2022",$0.05009,$0.0501,$0.04649,$0.04705,"$12,500,108","$12,500,108"
"Aug 13, 2022",$0.0501,$0.05062,$0.04956,$0.05008,"$6,886,935","$6,886,935"
"Aug 12, 2022",$0.04915,$0.05052,$0.04876,$0.05011,"$10,514,226","$10,514,226"
"Aug 11, 2022",$0.04959,$0.05099,$0.04875,$0.04916,"$10,595,125","$10,595,125"
"Aug 10, 2022",$0.0474,$0.05138,$0.04615,$0.04957,"$12,260,618","$12,260,618"
