Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$3.13,$3.25,$2.81,$2.84,"$131,318","$131,318"
"Sep 17, 2022",$3.25,$3.45,$3.06,$3.13,"$147,941","$147,941"
"Sep 16, 2022",$3.75,$4.07,$3.12,$3.25,"$1,590,213","$1,590,213"
"Sep 15, 2022",$3.46,$3.99,$3.42,$3.75,"$1,164,560","$1,164,560"
"Sep 14, 2022",$3.38,$3.46,$3.37,$3.46,"$57,025","$57,025"
"Sep 13, 2022",$3.80,$3.90,$0,$3.38,"$184,855","$184,855"
"Sep 12, 2022",$3.53,$3.89,$3.50,$3.80,"$144,639","$144,639"
"Sep 11, 2022",$3.57,$3.58,$3.52,$3.53,"$18,441","$18,441"
"Sep 10, 2022",$3.51,$3.58,$3.50,$3.57,"$41,446","$41,446"
"Sep 09, 2022",$3.46,$3.57,$3.46,$3.51,"$75,376","$75,376"
"Sep 08, 2022",$3.35,$3.46,$3.32,$3.46,"$45,488","$45,488"
"Sep 07, 2022",$3.23,$3.37,$3.15,$3.35,"$46,697","$46,697"
"Sep 06, 2022",$3.38,$3.46,$3.23,$3.23,"$59,203","$59,203"
"Sep 05, 2022",$3.37,$3.40,$3.35,$3.38,"$42,412","$42,412"
"Sep 04, 2022",$3.36,$3.44,$3.34,$3.37,"$49,801","$49,801"
"Sep 03, 2022",$3.36,$3.37,$3.33,$3.36,"$15,278","$15,278"
"Sep 02, 2022",$3.40,$3.44,$3.34,$3.36,"$43,575","$43,575"
"Sep 01, 2022",$3.38,$3.45,$3.31,$3.40,"$100,345","$100,345"
"Aug 31, 2022",$3.35,$3.46,$3.35,$3.38,"$63,834","$63,834"
"Aug 30, 2022",$3.39,$3.44,$3.29,$3.35,"$75,822","$75,822"
"Aug 29, 2022",$3.20,$3.40,$3.17,$3.39,"$57,000","$57,000"
"Aug 28, 2022",$3.35,$3.35,$3.20,$3.20,"$44,848","$44,848"
"Aug 27, 2022",$3.25,$3.43,$3.21,$3.35,"$100,275","$100,275"
"Aug 26, 2022",$3.56,$3.56,$3.25,$3.25,"$96,432","$96,432"
"Aug 25, 2022",$3.63,$3.69,$3.54,$3.56,"$93,787","$93,787"
"Aug 24, 2022",$3.64,$3.70,$3.55,$3.63,"$56,280","$56,280"
"Aug 23, 2022",$3.52,$3.67,$3.51,$3.64,"$118,708","$118,708"
"Aug 22, 2022",$3.47,$3.77,$3.31,$3.52,"$224,134","$224,134"
"Aug 21, 2022",$3.29,$3.52,$3.29,$3.47,"$52,018","$52,018"
"Aug 20, 2022",$3.43,$3.50,$3.23,$3.29,"$74,332","$74,332"
"Aug 19, 2022",$3.74,$3.83,$3.43,$3.43,"$213,970","$213,970"
"Aug 18, 2022",$3.67,$3.92,$3.62,$3.74,"$91,581","$91,581"
"Aug 17, 2022",$3.81,$3.88,$0,$3.67,"$42,772","$42,772"
"Aug 16, 2022",$3.82,$3.89,$3.78,$3.81,"$55,688","$55,688"
"Aug 15, 2022",$3.85,$3.94,$3.75,$3.82,"$80,064","$80,064"
"Aug 14, 2022",$3.96,$3.99,$3.83,$3.86,"$58,985","$58,985"
"Aug 13, 2022",$3.83,$4.06,$3.83,$3.96,"$84,971","$84,971"
"Aug 12, 2022",$3.76,$3.83,$3.75,$3.83,"$39,709","$39,709"
"Aug 11, 2022",$4.00,$4.04,$3.75,$3.76,"$83,916","$83,916"
"Aug 10, 2022",$3.71,$4.00,$3.67,$4.00,"$106,230","$106,230"
"Aug 09, 2022",$3.81,$3.83,$3.65,$3.71,"$78,562","$78,562"
"Aug 08, 2022",$3.74,$3.89,$3.74,$3.81,"$72,086","$72,086"
"Aug 07, 2022",$3.64,$3.78,$3.61,$3.74,"$87,037","$87,037"
"Aug 06, 2022",$3.62,$3.74,$3.60,$3.64,"$104,247","$104,247"
"Aug 05, 2022",$3.48,$3.62,$3.48,$3.62,"$121,370","$121,370"
"Aug 04, 2022",$3.43,$3.51,$3.43,$3.48,"$126,437","$126,437"
"Aug 03, 2022",$3.40,$3.48,$3.34,$3.43,"$112,778","$112,778"
"Aug 02, 2022",$3.45,$3.48,$3.34,$3.40,"$101,409","$101,409"
"Aug 01, 2022",$3.49,$3.53,$3.42,$3.45,"$115,710","$115,710"
"Jul 31, 2022",$3.41,$3.55,$3.41,$3.49,"$116,050","$116,050"
"Jul 30, 2022",$3.42,$3.52,$3.39,$3.41,"$108,988","$108,988"
"Jul 29, 2022",$3.38,$3.49,$3.36,$3.42,"$182,442","$182,442"
"Jul 28, 2022",$3.37,$3.41,$3.22,$3.38,"$195,180","$195,180"
"Jul 27, 2022",$3.13,$3.37,$3.12,$3.37,"$154,105","$154,105"
"Jul 26, 2022",$3.21,$3.26,$3.03,$3.13,"$185,639","$185,639"
"Jul 25, 2022",$3.36,$3.36,$3.21,$3.21,"$146,595","$146,595"
"Jul 24, 2022",$3.36,$3.42,$3.34,$3.36,"$90,480","$90,480"
"Jul 23, 2022",$3.34,$3.41,$3.30,$3.36,"$95,270","$95,270"
"Jul 22, 2022",$3.41,$3.50,$3.25,$3.34,"$163,809","$163,809"
"Jul 21, 2022",$3.28,$3.43,$3.22,$3.41,"$261,025","$261,025"
"Jul 20, 2022",$3.14,$3.41,$3.09,$3.28,"$163,395","$163,395"
"Jul 19, 2022",$3.17,$3.21,$3.09,$3.14,"$141,283","$141,283"
"Jul 18, 2022",$2.89,$3.18,$2.88,$3.17,"$172,719","$172,719"
"Jul 17, 2022",$3.13,$3.13,$2.83,$2.89,"$286,204","$286,204"
"Jul 16, 2022",$2.74,$3.16,$2.69,$3.13,"$374,663","$374,663"
"Jul 15, 2022",$2.73,$2.81,$2.69,$2.74,"$246,816","$246,816"
