Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.002847,$0.003248,$0.00283,$0.003248,"$2,621","$2,621"
"Sep 25, 2022",$0.002721,$0.003011,$0.002703,$0.002847,"$6,496","$6,496"
"Sep 24, 2022",$0.003474,$0.003481,$0.002646,$0.002722,"$18,048","$18,048"
"Sep 23, 2022",$0.003531,$0.003592,$0.003376,$0.003475,$991,$991
"Sep 22, 2022",$0.003259,$0.003533,$0.003215,$0.003531,"$6,722","$6,722"
"Sep 21, 2022",$0.003352,$0.003567,$0.003256,$0.003261,"$1,733","$1,733"
"Sep 20, 2022",$0.0036,$0.003638,$0.003342,$0.003354,"$2,610","$2,610"
"Sep 19, 2022",$0.00389,$0.003892,$0.003177,$0.0036,"$1,224","$1,224"
"Sep 18, 2022",$0.003918,$0.004079,$0.003748,$0.003888,"$3,217","$3,217"
"Sep 17, 2022",$0.003851,$0.003942,$0.003804,$0.003916,"$3,209","$3,209"
"Sep 16, 2022",$0.00383,$0.003995,$0.003761,$0.003853,"$1,791","$1,791"
"Sep 15, 2022",$0.004015,$0.004344,$0.003646,$0.003826,"$2,516","$2,516"
"Sep 14, 2022",$0.003928,$0.004097,$0.003786,$0.004016,"$4,814","$4,814"
"Sep 13, 2022",$0.004311,$0.004427,$0.003752,$0.004005,"$10,051","$10,051"
"Sep 12, 2022",$0.004579,$0.004624,$0.004245,$0.004311,"$10,065","$10,065"
"Sep 11, 2022",$0.004188,$0.00458,$0.003958,$0.00458,"$18,876","$18,876"
"Sep 10, 2022",$0.004354,$0.004354,$0.003596,$0.004191,"$10,390","$10,390"
"Sep 09, 2022",$0.003656,$0.00435,$0.00348,$0.00371,"$5,483","$5,483"
"Sep 08, 2022",$0.004045,$0.004065,$0.003463,$0.003505,"$7,124","$7,124"
"Sep 07, 2022",$0.003995,$0.004109,$0.003694,$0.004091,"$2,252","$2,252"
"Sep 06, 2022",$0.004119,$0.004231,$0.003837,$0.003994,"$4,696","$4,696"
"Sep 05, 2022",$0.004128,$0.004164,$0.004029,$0.004119,"$3,621","$3,621"
"Sep 04, 2022",$0.004095,$0.004164,$0.003903,$0.004127,"$1,422","$1,422"
"Sep 03, 2022",$0.00417,$0.004266,$0.003883,$0.004095,"$13,188","$13,188"
"Sep 02, 2022",$0.004257,$0.004357,$0.004162,$0.00417,"$2,901","$2,901"
"Sep 01, 2022",$0.004366,$0.004493,$0.003888,$0.004256,"$9,736","$9,736"
"Aug 31, 2022",$0.004226,$0.004478,$0.00402,$0.004365,"$16,188","$16,188"
"Aug 30, 2022",$0.00449,$0.004551,$0.004159,$0.004225,"$21,480","$21,480"
"Aug 29, 2022",$0.004304,$0.004552,$0.004125,$0.004491,"$4,202","$4,202"
"Aug 28, 2022",$0.004193,$0.004432,$0.00419,$0.004305,"$2,447","$2,447"
"Aug 27, 2022",$0.004245,$0.004394,$0.004134,$0.004194,"$2,606","$2,606"
"Aug 26, 2022",$0.004801,$0.004825,$0.004241,$0.004245,"$10,627","$10,627"
"Aug 25, 2022",$0.004288,$0.004851,$0.004192,$0.004802,"$16,243","$16,243"
"Aug 24, 2022",$0.004359,$0.004383,$0.004201,$0.004288,"$3,187","$3,187"
"Aug 23, 2022",$0.004294,$0.004871,$0.004025,$0.004359,"$2,617","$2,617"
"Aug 22, 2022",$0.004499,$0.005517,$0.004132,$0.004296,"$6,048","$6,048"
"Aug 21, 2022",$0.004387,$0.004949,$0.004338,$0.004498,"$11,827","$11,827"
"Aug 20, 2022",$0.004885,$0.005988,$0.004325,$0.004387,"$10,543","$10,543"
"Aug 19, 2022",$0.005007,$0.005726,$0.004175,$0.004886,"$17,897","$17,897"
"Aug 18, 2022",$0.004987,$0.005523,$0.00481,$0.005006,"$11,713","$11,713"
"Aug 17, 2022",$0.005543,$0.006048,$0.004798,$0.004987,"$13,455","$13,455"
"Aug 16, 2022",$0.004712,$0.005639,$0.004684,$0.005544,"$9,385","$9,385"
"Aug 15, 2022",$0.00452,$0.005135,$0.004421,$0.004714,"$16,462","$16,462"
"Aug 14, 2022",$0.00445,$0.004557,$0.004321,$0.004521,"$2,589","$2,589"
"Aug 13, 2022",$0.004326,$0.004636,$0.004308,$0.004449,"$5,496","$5,496"
"Aug 12, 2022",$0.004188,$0.004325,$0.003743,$0.004325,"$11,348","$11,348"
"Aug 11, 2022",$0.004384,$0.004625,$0.004166,$0.004188,"$2,837","$2,837"
"Aug 10, 2022",$0.00402,$0.005144,$0.003902,$0.004384,"$2,814","$2,814"
"Aug 09, 2022",$0.004668,$0.004686,$0.003982,$0.00402,"$2,085","$2,085"
"Aug 08, 2022",$0.004796,$0.004974,$0.004625,$0.004667,"$2,230","$2,230"
"Aug 07, 2022",$0.00426,$0.004921,$0.004171,$0.004795,"$5,293","$5,293"
"Aug 06, 2022",$0.004233,$0.004606,$0.004212,$0.004245,"$4,775","$4,775"
"Aug 05, 2022",$0.004277,$0.004722,$0.004076,$0.004285,"$4,527","$4,527"
"Aug 04, 2022",$0.004206,$0.004365,$0.004067,$0.004262,"$1,998","$1,998"
"Aug 03, 2022",$0.00443,$0.004984,$0.00414,$0.004206,"$1,565","$1,565"
"Aug 02, 2022",$0.00427,$0.004477,$0.003787,$0.00443,"$23,315","$23,315"
"Aug 01, 2022",$0.004042,$0.004575,$0.004014,$0.00427,"$47,465","$47,465"
"Jul 31, 2022",$0.004359,$0.004391,$0.004026,$0.004042,"$25,527","$25,527"
"Jul 30, 2022",$0.004237,$0.005087,$0.004196,$0.004359,"$54,982","$54,982"
"Jul 29, 2022",$0.004183,$0.004901,$0.004012,$0.004237,"$6,427","$6,427"
"Jul 28, 2022",$0.004093,$0.004317,$0.003955,$0.004183,"$10,283","$10,283"
"Jul 27, 2022",$0.004072,$0.004267,$0.003986,$0.004093,"$15,772","$15,772"
"Jul 26, 2022",$0.003707,$0.004078,$0.003659,$0.004078,"$16,678","$16,678"
"Jul 25, 2022",$0.004102,$0.004399,$0.003516,$0.003707,"$42,913","$42,913"
"Jul 24, 2022",$0.003769,$0.004443,$0.003746,$0.004102,"$35,181","$35,181"
"Jul 23, 2022",$0.004455,$0.004615,$0.003709,$0.003769,"$64,214","$64,214"
