Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$227.72,$238.56,$226.92,$237.91,"$2,588,777","$2,588,777"
"Sep 21, 2022",$232.96,$239.36,$225.41,$227.73,"$3,152,151","$3,152,151"
"Sep 20, 2022",$237.47,$264.61,$232.25,$232.91,"$6,079,171","$6,079,171"
"Sep 19, 2022",$232.32,$238.25,$227.07,$237.37,"$2,682,606","$2,682,606"
"Sep 18, 2022",$252.11,$253.31,$232.22,$232.26,"$2,716,216","$2,716,216"
"Sep 17, 2022",$236.23,$253.95,$236.23,$252.12,"$3,183,178","$3,183,178"
"Sep 16, 2022",$241.93,$243.60,$234.76,$236.25,"$2,410,101","$2,410,101"
"Sep 15, 2022",$255.65,$255.93,$241.23,$241.82,"$2,549,581","$2,549,581"
"Sep 14, 2022",$250.76,$256.30,$249.75,$255.76,"$2,530,180","$2,530,180"
"Sep 13, 2022",$266.01,$270.25,$248.45,$251.82,"$2,737,205","$2,737,205"
"Sep 12, 2022",$272.27,$276.67,$264.95,$266.04,"$2,765,384","$2,765,384"
"Sep 11, 2022",$272.83,$277.92,$270.20,$272.31,"$2,408,692","$2,408,692"
"Sep 10, 2022",$273.47,$276.11,$271.77,$272.85,"$3,157,276","$3,157,276"
"Sep 09, 2022",$264.70,$278.05,$264.70,$273.39,"$2,905,056","$2,905,056"
"Sep 08, 2022",$262.08,$267.76,$260.35,$264.66,"$1,226,724","$1,226,724"
"Sep 07, 2022",$257.89,$262.88,$250.22,$262.04,"$1,078,924","$1,078,924"
"Sep 06, 2022",$274.83,$276.37,$257.90,$257.90,"$1,837,415","$1,837,415"
"Sep 05, 2022",$280.74,$282.22,$273.64,$274.71,"$911,407","$911,407"
"Sep 04, 2022",$279.67,$282.94,$278.06,$280.80,"$860,945","$860,945"
"Sep 03, 2022",$284.88,$285.63,$278.20,$279.51,"$821,768","$821,768"
"Sep 02, 2022",$285.24,$289.68,$281.76,$284.95,"$1,148,831","$1,148,831"
"Sep 01, 2022",$286.04,$287.15,$279.72,$285.25,"$1,156,766","$1,156,766"
"Aug 31, 2022",$291.62,$295.36,$285.78,$286.10,"$1,130,767","$1,130,767"
"Aug 30, 2022",$293.69,$298.19,$286.31,$291.51,"$1,384,844","$1,384,844"
"Aug 29, 2022",$280.14,$296.60,$279.14,$293.67,"$1,332,251","$1,332,251"
"Aug 28, 2022",$289.80,$292.30,$282.02,$282.02,"$932,626","$932,626"
"Aug 27, 2022",$289.25,$293.48,$286.17,$289.83,"$1,469,284","$1,469,284"
"Aug 26, 2022",$297.26,$320.56,$282.54,$289.23,"$4,465,423","$4,465,423"
"Aug 25, 2022",$297.44,$302.52,$296.62,$297.33,"$1,227,555","$1,227,555"
"Aug 24, 2022",$305.38,$313.50,$297.38,$297.39,"$3,374,080","$3,374,080"
"Aug 23, 2022",$303.94,$312.23,$301.47,$305.38,"$1,423,014","$1,423,014"
"Aug 22, 2022",$307.45,$312.27,$289.70,$303.88,"$3,270,820","$3,270,820"
"Aug 21, 2022",$298.18,$321.84,$297.99,$307.49,"$2,334,100","$2,334,100"
"Aug 20, 2022",$286.94,$303.14,$286.83,$298.29,"$2,114,283","$2,114,283"
"Aug 19, 2022",$312.29,$312.62,$286.81,$286.98,"$2,879,650","$2,879,650"
"Aug 18, 2022",$319.24,$327.28,$312.26,$312.31,"$1,572,266","$1,572,266"
"Aug 17, 2022",$332.95,$337.79,$317.02,$319.20,"$1,890,501","$1,890,501"
"Aug 16, 2022",$335.52,$338.89,$329.56,$333.02,"$2,296,141","$2,296,141"
"Aug 15, 2022",$335.97,$345.09,$332.95,$335.56,"$2,347,219","$2,347,219"
