Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.0008177,$0.001036,$0.0008075,$0.000852,"$157,054","$157,054"
"Sep 24, 2022",$0.0008127,$0.001001,$0.0007477,$0.0008186,"$246,321","$246,321"
"Sep 23, 2022",$0.0007982,$0.0009735,$0.0007435,$0.0008284,"$4,513,222","$4,513,222"
"Sep 22, 2022",$0.001041,$0.001052,$0.0007652,$0.0007982,"$158,393","$158,393"
"Sep 21, 2022",$0.0008186,$0.001044,$0.0007838,$0.001001,"$191,072","$191,072"
"Sep 20, 2022",$0.0008504,$0.0009214,$0.0007966,$0.000846,"$137,590","$137,590"
"Sep 19, 2022",$0.000901,$0.0009028,$0.0007981,$0.0008504,"$162,513","$162,513"
"Sep 18, 2022",$0.0008923,$0.0009439,$0.0008355,$0.0009026,"$135,108","$135,108"
"Sep 17, 2022",$0.000886,$0.0008924,$0.000848,$0.0008923,"$205,769","$205,769"
"Sep 16, 2022",$0.0008248,$0.0009322,$0.0007997,$0.000886,"$199,395","$199,395"
"Sep 15, 2022",$0.0009559,$0.001072,$0.0007668,$0.0008248,"$174,027","$174,027"
"Sep 14, 2022",$0.0008945,$0.0009719,$0.0007862,$0.0009557,"$154,129","$154,129"
"Sep 13, 2022",$0.0009323,$0.0009811,$0.0008706,$0.0008907,"$221,369","$221,369"
"Sep 12, 2022",$0.0009712,$0.0009758,$0.0008934,$0.0009323,"$130,670","$130,670"
"Sep 11, 2022",$0.0009753,$0.001017,$0.0009482,$0.0009712,"$154,694","$154,694"
"Sep 10, 2022",$0.001002,$0.00104,$0.0008827,$0.0009739,"$170,253","$170,253"
"Sep 09, 2022",$0.001003,$0.00108,$0.0009525,$0.001001,"$169,778","$169,778"
"Sep 08, 2022",$0.0009766,$0.001046,$0.000937,$0.0009981,"$232,732","$232,732"
"Sep 07, 2022",$0.0008363,$0.00108,$0.0008209,$0.0009766,"$356,903","$356,903"
"Sep 06, 2022",$0.0008815,$0.0009039,$0.0008307,$0.0008342,"$222,292","$222,292"
"Sep 05, 2022",$0.0008881,$0.0008897,$0.0008316,$0.0008811,"$248,863","$248,863"
