Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.02994,$0.0303,$0.02929,$0.03019,"$339,350","$339,350"
"Sep 21, 2022",$0.03122,$0.03127,$0.02966,$0.02996,"$278,306","$278,306"
"Sep 20, 2022",$0.03335,$0.0334,$0.03106,$0.03122,"$290,846","$290,846"
"Sep 19, 2022",$0.03545,$0.03546,$0.0326,$0.03336,"$304,049","$304,049"
"Sep 18, 2022",$0.03656,$0.03667,$0.03504,$0.03545,"$323,414","$323,414"
"Sep 17, 2022",$0.03566,$0.03677,$0.03543,$0.03657,"$318,353","$318,353"
"Sep 16, 2022",$0.03759,$0.03764,$0.03526,$0.03566,"$385,989","$385,989"
"Sep 15, 2022",$0.03865,$0.03892,$0.03551,$0.03756,"$430,333","$430,333"
"Sep 14, 2022",$0.04019,$0.04087,$0.03864,$0.03865,"$344,609","$344,609"
"Sep 13, 2022",$0.04346,$0.04349,$0.03953,$0.04031,"$475,502","$475,502"
"Sep 12, 2022",$0.04436,$0.04506,$0.04339,$0.04345,"$322,365","$322,365"
"Sep 11, 2022",$0.04387,$0.04468,$0.04336,$0.04434,"$351,395","$351,395"
"Sep 10, 2022",$0.04484,$0.04494,$0.0433,$0.04386,"$342,893","$342,893"
"Sep 09, 2022",$0.04567,$0.0485,$0.04457,$0.04484,"$425,994","$425,994"
"Sep 08, 2022",$0.04593,$0.04698,$0.0453,$0.04567,"$281,719","$281,719"
"Sep 07, 2022",$0.04583,$0.04657,$0.04535,$0.0459,"$310,340","$310,340"
"Sep 06, 2022",$0.04611,$0.0478,$0.04531,$0.04582,"$384,017","$384,017"
"Sep 05, 2022",$0.0444,$0.04613,$0.0439,$0.04603,"$367,888","$367,888"
"Sep 04, 2022",$0.04375,$0.04543,$0.04354,$0.04439,"$345,074","$345,074"
"Sep 03, 2022",$0.04413,$0.04429,$0.04338,$0.04373,"$289,621","$289,621"
"Sep 02, 2022",$0.04534,$0.04539,$0.04404,$0.04413,"$307,258","$307,258"
"Sep 01, 2022",$0.04562,$0.04679,$0.04503,$0.04533,"$409,237","$409,237"
"Aug 31, 2022",$0.04782,$0.04809,$0.04555,$0.04565,"$297,013","$297,013"
"Aug 30, 2022",$0.04804,$0.04849,$0.04777,$0.0478,"$292,243","$292,243"
"Aug 29, 2022",$0.04857,$0.04862,$0.04709,$0.04802,"$298,368","$298,368"
"Aug 28, 2022",$0.04739,$0.05075,$0.04727,$0.04858,"$356,651","$356,651"
"Aug 27, 2022",$0.04523,$0.04775,$0.04434,$0.04738,"$326,892","$326,892"
"Aug 26, 2022",$0.05196,$0.05215,$0.04508,$0.04523,"$370,388","$370,388"
"Aug 25, 2022",$0.05236,$0.05236,$0.05166,$0.05196,"$313,091","$313,091"
"Aug 24, 2022",$0.05271,$0.05336,$0.05209,$0.05237,"$329,262","$329,262"
"Aug 23, 2022",$0.05252,$0.0531,$0.05218,$0.0527,"$318,061","$318,061"
"Aug 22, 2022",$0.05344,$0.05353,$0.05221,$0.05253,"$283,765","$283,765"
"Aug 21, 2022",$0.05209,$0.05368,$0.05199,$0.05343,"$288,028","$288,028"
"Aug 20, 2022",$0.0519,$0.05249,$0.05084,$0.0521,"$320,472","$320,472"
"Aug 19, 2022",$0.05576,$0.0558,$0.05151,$0.05186,"$345,907","$345,907"
"Aug 18, 2022",$0.05205,$0.05697,$0.05186,$0.05577,"$382,669","$382,669"
"Aug 17, 2022",$0.0536,$0.05429,$0.05187,$0.05205,"$281,960","$281,960"
"Aug 16, 2022",$0.0549,$0.0549,$0.05279,$0.0536,"$291,032","$291,032"
"Aug 15, 2022",$0.05485,$0.05558,$0.05411,$0.05489,"$299,258","$299,258"
"Aug 14, 2022",$0.05738,$0.05898,$0.05452,$0.05483,"$358,151","$358,151"
"Aug 13, 2022",$0.05282,$0.05747,$0.05257,$0.05738,"$392,645","$392,645"
"Aug 12, 2022",$0.0548,$0.05484,$0.05076,$0.0528,"$396,465","$396,465"
"Aug 11, 2022",$0.05756,$0.05974,$0.05462,$0.05478,"$337,247","$337,247"
"Aug 10, 2022",$0.05992,$0.0602,$0.0555,$0.05758,"$450,389","$450,389"
"Aug 09, 2022",$0.06754,$0.06773,$0.05698,$0.05992,"$539,696","$539,696"
"Aug 08, 2022",$0.06834,$0.0687,$0.0667,$0.06758,"$432,214","$432,214"
"Aug 07, 2022",$0.06748,$0.06889,$0.06691,$0.06835,"$425,611","$425,611"
"Aug 06, 2022",$0.0676,$0.06842,$0.06712,$0.0675,"$407,547","$407,547"
"Aug 05, 2022",$0.06858,$0.06942,$0.06658,$0.06749,"$443,641","$443,641"
"Aug 04, 2022",$0.06946,$0.06946,$0.06733,$0.0686,"$422,986","$422,986"
"Aug 03, 2022",$0.06847,$0.07036,$0.06746,$0.06945,"$421,148","$421,148"
"Aug 02, 2022",$0.06741,$0.06903,$0.06582,$0.06845,"$477,025","$477,025"
"Aug 01, 2022",$0.07753,$0.07809,$0.06735,$0.06743,"$637,448","$637,448"
"Jul 31, 2022",$0.07832,$0.07842,$0.0769,$0.07753,"$465,071","$465,071"
"Jul 30, 2022",$0.07969,$0.08032,$0.07508,$0.07835,"$545,948","$545,948"
"Jul 29, 2022",$0.07864,$0.08005,$0.07837,$0.07971,"$568,304","$568,304"
"Jul 28, 2022",$0.07297,$0.07994,$0.07042,$0.07862,"$582,663","$582,663"
"Jul 27, 2022",$0.07017,$0.07306,$0.06803,$0.07301,"$575,088","$575,088"
"Jul 26, 2022",$0.06654,$0.0724,$0.06571,$0.07019,"$523,413","$523,413"
"Jul 25, 2022",$0.07281,$0.07297,$0.06595,$0.06654,"$558,590","$558,590"
"Jul 24, 2022",$0.06493,$0.07541,$0.0649,$0.07286,"$648,148","$648,148"
"Jul 23, 2022",$0.0657,$0.0666,$0.06392,$0.06493,"$667,990","$667,990"
"Jul 22, 2022",$0.07563,$0.0774,$0.06054,$0.06571,"$850,741","$850,741"
