Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.005177,$0.005238,$0.005062,$0.005125,"$84,595","$84,595"
"Sep 24, 2022",$0.005049,$0.00522,$0.005003,$0.005178,"$97,233","$97,233"
"Sep 23, 2022",$0.005039,$0.005088,$0.00491,$0.00505,"$18,728","$18,728"
"Sep 22, 2022",$0.00501,$0.00516,$0.004997,$0.005039,"$20,668","$20,668"
"Sep 21, 2022",$0.005049,$0.005214,$0.004932,$0.00501,"$19,675","$19,675"
"Sep 20, 2022",$0.005414,$0.005433,$0.005019,$0.005048,"$30,520","$30,520"
"Sep 19, 2022",$0.005202,$0.005453,$0.005159,$0.005415,"$30,468","$30,468"
"Sep 18, 2022",$0.005478,$0.005494,$0.005167,$0.005194,"$23,235","$23,235"
"Sep 17, 2022",$0.00539,$0.005489,$0.005337,$0.005477,"$16,536","$16,536"
"Sep 16, 2022",$0.005369,$0.005483,$0.005336,$0.005412,"$18,495","$18,495"
"Sep 15, 2022",$0.005569,$0.005598,$0.005171,$0.005364,"$34,627","$34,627"
"Sep 14, 2022",$0.005461,$0.005578,$0.005422,$0.00557,"$17,853","$17,853"
"Sep 13, 2022",$0.005685,$0.005753,$0.005444,$0.005452,"$98,193","$98,193"
"Sep 12, 2022",$0.005856,$0.005905,$0.005612,$0.005686,"$90,524","$90,524"
"Sep 11, 2022",$0.005952,$0.006022,$0.005728,$0.005858,"$94,587","$94,587"
"Sep 10, 2022",$0.005771,$0.006011,$0.005669,$0.005954,"$97,025","$97,025"
"Sep 09, 2022",$0.005322,$0.005772,$0.005267,$0.005772,"$107,270","$107,270"
"Sep 08, 2022",$0.005815,$0.005917,$0.004707,$0.005324,"$129,179","$129,179"
"Sep 07, 2022",$0.005635,$0.005816,$0.005553,$0.005816,"$81,721","$81,721"
"Sep 06, 2022",$0.00595,$0.006039,$0.005597,$0.005639,"$88,563","$88,563"
"Sep 05, 2022",$0.005971,$0.005997,$0.005843,$0.005946,"$81,974","$81,974"
"Sep 04, 2022",$0.00595,$0.005982,$0.005859,$0.005971,"$80,046","$80,046"
"Sep 03, 2022",$0.0061,$0.006127,$0.005905,$0.00595,"$80,642","$80,642"
"Sep 02, 2022",$0.006055,$0.006222,$0.005925,$0.006109,"$28,292","$28,292"
"Sep 01, 2022",$0.00574,$0.006065,$0.005548,$0.006055,"$100,055","$100,055"
"Aug 31, 2022",$0.005806,$0.006089,$0.005676,$0.005741,"$132,663","$132,663"
"Aug 30, 2022",$0.00581,$0.005902,$0.005685,$0.005804,"$93,591","$93,591"
"Aug 29, 2022",$0.005725,$0.005922,$0.005494,$0.005809,"$89,167","$89,167"
