Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$1.30,$1.31,$1.15,$1.16,"$9,411,277","$9,411,277"
"Sep 17, 2022",$1.23,$1.31,$1.23,$1.30,"$6,936,370","$6,936,370"
"Sep 16, 2022",$1.21,$1.24,$1.20,$1.23,"$8,455,299","$8,455,299"
"Sep 15, 2022",$1.26,$1.26,$1.20,$1.21,"$10,592,600","$10,592,600"
"Sep 14, 2022",$1.25,$1.26,$1.22,$1.26,"$8,576,509","$8,576,509"
"Sep 13, 2022",$1.35,$1.37,$1.24,$1.26,"$12,707,821","$12,707,821"
"Sep 12, 2022",$1.37,$1.42,$1.33,$1.35,"$12,365,057","$12,365,057"
"Sep 11, 2022",$1.37,$1.40,$1.35,$1.37,"$8,634,872","$8,634,872"
"Sep 10, 2022",$1.38,$1.43,$1.35,$1.37,"$11,888,492","$11,888,492"
"Sep 09, 2022",$1.27,$1.39,$1.27,$1.38,"$11,337,469","$11,337,469"
"Sep 08, 2022",$1.28,$1.31,$1.24,$1.27,"$10,824,063","$10,824,063"
"Sep 07, 2022",$1.19,$1.28,$1.17,$1.28,"$8,947,901","$8,947,901"
"Sep 06, 2022",$1.31,$1.33,$1.19,$1.19,"$10,243,753","$10,243,753"
"Sep 05, 2022",$1.33,$1.35,$1.28,$1.31,"$8,918,490","$8,918,490"
"Sep 04, 2022",$1.32,$1.34,$1.31,$1.33,"$6,184,680","$6,184,680"
"Sep 03, 2022",$1.31,$1.33,$1.30,$1.32,"$7,578,935","$7,578,935"
"Sep 02, 2022",$1.29,$1.34,$1.27,$1.31,"$11,890,230","$11,890,230"
"Sep 01, 2022",$1.28,$1.29,$1.24,$1.29,"$8,179,903","$8,179,903"
"Aug 31, 2022",$1.24,$1.33,$1.24,$1.27,"$11,675,484","$11,675,484"
"Aug 30, 2022",$1.27,$1.29,$1.21,$1.24,"$7,621,291","$7,621,291"
"Aug 29, 2022",$1.19,$1.27,$1.18,$1.27,"$9,790,923","$9,790,923"
"Aug 28, 2022",$1.22,$1.25,$1.19,$1.19,"$8,680,070","$8,680,070"
"Aug 27, 2022",$1.22,$1.25,$1.21,$1.22,"$8,702,056","$8,702,056"
"Aug 26, 2022",$1.39,$1.39,$1.21,$1.22,"$14,140,339","$14,140,339"
"Aug 25, 2022",$1.37,$1.42,$1.37,$1.39,"$10,196,451","$10,196,451"
"Aug 24, 2022",$1.38,$1.40,$1.34,$1.37,"$10,368,258","$10,368,258"
"Aug 23, 2022",$1.35,$1.43,$1.35,$1.38,"$14,078,437","$14,078,437"
"Aug 22, 2022",$1.35,$1.35,$1.28,$1.35,"$9,777,111","$9,777,111"
"Aug 21, 2022",$1.30,$1.37,$1.29,$1.35,"$12,081,820","$12,081,820"
"Aug 20, 2022",$1.33,$1.35,$1.26,$1.30,"$12,354,460","$12,354,460"
"Aug 19, 2022",$1.47,$1.47,$1.31,$1.33,"$18,495,347","$18,495,347"
"Aug 18, 2022",$1.56,$1.60,$1.47,$1.48,"$14,860,634","$14,860,634"
"Aug 17, 2022",$1.68,$1.72,$1.55,$1.56,"$16,011,564","$16,011,564"
"Aug 16, 2022",$1.71,$1.73,$1.67,$1.68,"$13,870,883","$13,870,883"
"Aug 15, 2022",$1.73,$1.77,$1.68,$1.71,"$14,723,109","$14,723,109"
"Aug 14, 2022",$1.82,$1.85,$1.70,$1.73,"$16,782,838","$16,782,838"
"Aug 13, 2022",$1.81,$1.86,$1.80,$1.82,"$20,136,128","$20,136,128"
"Aug 12, 2022",$1.77,$1.82,$1.75,$1.81,"$22,068,852","$22,068,852"
"Aug 11, 2022",$1.85,$1.89,$1.76,$1.77,"$21,242,487","$21,242,487"
"Aug 10, 2022",$1.77,$1.89,$1.72,$1.85,"$15,777,770","$15,777,770"
"Aug 09, 2022",$1.87,$1.91,$1.72,$1.77,"$17,915,830","$17,915,830"
"Aug 08, 2022",$1.81,$1.96,$1.81,$1.87,"$19,104,912","$19,104,912"
"Aug 07, 2022",$1.83,$1.86,$1.80,$1.81,"$10,221,792","$10,221,792"
"Aug 06, 2022",$1.83,$1.89,$1.80,$1.83,"$17,930,583","$17,930,583"
"Aug 05, 2022",$1.75,$1.84,$1.75,$1.83,"$21,051,398","$21,051,398"
"Aug 04, 2022",$1.69,$1.83,$1.68,$1.75,"$23,295,502","$23,295,502"
"Aug 03, 2022",$1.64,$1.73,$1.59,$1.69,"$15,236,264","$15,236,264"
"Aug 02, 2022",$1.72,$1.72,$1.57,$1.64,"$15,056,182","$15,056,182"
"Aug 01, 2022",$1.68,$1.75,$1.65,$1.72,"$19,930,161","$19,930,161"
"Jul 31, 2022",$1.79,$1.86,$1.67,$1.68,"$20,713,742","$20,713,742"
"Jul 30, 2022",$1.68,$1.87,$1.68,$1.79,"$25,334,536","$25,334,536"
"Jul 29, 2022",$1.75,$1.80,$1.64,$1.68,"$26,133,858","$26,133,858"
