Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$0.3539,$0.3583,$0.3479,$0.353,"$40,149,169","$40,149,169"
"Sep 09, 2022",$0.3299,$0.357,$0.3296,$0.3538,"$48,982,874","$48,982,874"
"Sep 08, 2022",$0.325,$0.3309,$0.3174,$0.3299,"$43,472,315","$43,472,315"
"Sep 07, 2022",$0.3155,$0.3286,$0.3099,$0.3251,"$30,723,682","$30,723,682"
"Sep 06, 2022",$0.3416,$0.3473,$0.3154,$0.3155,"$45,370,505","$45,370,505"
"Sep 05, 2022",$0.3495,$0.3512,$0.3362,$0.3415,"$24,447,661","$24,447,661"
"Sep 04, 2022",$0.3355,$0.3498,$0.3346,$0.3495,"$23,688,392","$23,688,392"
"Sep 03, 2022",$0.3368,$0.3387,$0.3338,$0.3355,"$17,029,220","$17,029,220"
"Sep 02, 2022",$0.3401,$0.3453,$0.3331,$0.3368,"$30,588,276","$30,588,276"
"Sep 01, 2022",$0.3355,$0.3406,$0.3264,$0.3402,"$30,654,201","$30,654,201"
"Aug 31, 2022",$0.337,$0.3456,$0.3349,$0.3355,"$33,573,737","$33,573,737"
"Aug 30, 2022",$0.3471,$0.3505,$0.3298,$0.337,"$32,841,560","$32,841,560"
"Aug 29, 2022",$0.3278,$0.3475,$0.3253,$0.3471,"$30,266,896","$30,266,896"
"Aug 28, 2022",$0.3382,$0.3435,$0.3278,$0.3278,"$25,166,471","$25,166,471"
"Aug 27, 2022",$0.3364,$0.3409,$0.3324,$0.3382,"$36,489,621","$36,489,621"
"Aug 26, 2022",$0.3735,$0.3754,$0.3347,$0.3364,"$67,230,001","$67,230,001"
"Aug 25, 2022",$0.3684,$0.3771,$0.3671,$0.3735,"$38,044,468","$38,044,468"
"Aug 24, 2022",$0.3716,$0.3782,$0.3605,$0.3684,"$36,934,931","$36,934,931"
"Aug 23, 2022",$0.3626,$0.3725,$0.3536,$0.3716,"$37,796,645","$37,796,645"
"Aug 22, 2022",$0.3694,$0.3694,$0.3493,$0.3626,"$31,324,927","$31,324,927"
"Aug 21, 2022",$0.358,$0.3728,$0.3561,$0.3695,"$30,557,366","$30,557,366"
"Aug 20, 2022",$0.3605,$0.3686,$0.3495,$0.3581,"$41,635,108","$41,635,108"
"Aug 19, 2022",$0.3925,$0.3925,$0.3571,$0.3604,"$72,859,067","$72,859,067"
"Aug 18, 2022",$0.4096,$0.4156,$0.3906,$0.3925,"$41,644,923","$41,644,923"
"Aug 17, 2022",$0.4298,$0.4405,$0.4067,$0.4095,"$56,955,742","$56,955,742"
"Aug 16, 2022",$0.4434,$0.4455,$0.4261,$0.4298,"$38,636,580","$38,636,580"
"Aug 15, 2022",$0.4442,$0.4589,$0.4356,$0.4434,"$63,508,309","$63,508,309"
