Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.308,$0.33,$0.306,$0.312,"$327,836","$327,836"
"Sep 20, 2022",$0.3024,$0.3189,$0.2954,$0.3079,"$334,617","$334,617"
"Sep 19, 2022",$0.3313,$0.3339,$0.3007,$0.3007,"$307,370","$307,370"
"Sep 18, 2022",$0.3079,$0.333,$0.3042,$0.3313,"$319,379","$319,379"
"Sep 17, 2022",$0.2922,$0.3142,$0.2868,$0.308,"$365,491","$365,491"
"Sep 16, 2022",$0.3035,$0.3169,$0.291,$0.2918,"$385,427","$385,427"
"Sep 15, 2022",$0.2891,$0.3197,$0.286,$0.3035,"$381,864","$381,864"
"Sep 14, 2022",$0.2577,$0.2891,$0.2563,$0.2891,"$356,006","$356,006"
"Sep 13, 2022",$0.253,$0.2638,$0.2453,$0.2577,"$416,513","$416,513"
"Sep 12, 2022",$0.2502,$0.2535,$0.2421,$0.2531,"$337,062","$337,062"
"Sep 11, 2022",$0.2436,$0.2534,$0.2393,$0.2502,"$349,624","$349,624"
"Sep 10, 2022",$0.2451,$0.2536,$0.2413,$0.2434,"$348,493","$348,493"
"Sep 09, 2022",$0.24,$0.2519,$0.2383,$0.2443,"$358,570","$358,570"
"Sep 08, 2022",$0.2429,$0.2484,$0.2382,$0.2402,"$411,740","$411,740"
"Sep 07, 2022",$0.268,$0.2715,$0.2379,$0.2435,"$362,508","$362,508"
"Sep 06, 2022",$0.261,$0.298,$0.2575,$0.268,"$467,368","$467,368"
"Sep 05, 2022",$0.2804,$0.2976,$0.251,$0.261,"$461,840","$461,840"
"Sep 04, 2022",$0.2777,$0.3199,$0.2464,$0.2805,"$475,166","$475,166"
"Sep 03, 2022",$0.2497,$0.3661,$0.2471,$0.2777,"$455,794","$455,794"
"Sep 02, 2022",$0.3149,$0.3313,$0.2289,$0.2713,"$424,665","$424,665"
"Sep 01, 2022",$0.2665,$0.321,$0.2411,$0.3151,"$843,886","$843,886"
"Aug 31, 2022",$0.2378,$0.316,$0.2365,$0.2657,"$573,460","$573,460"
"Aug 30, 2022",$0.2375,$0.2388,$0.2285,$0.2384,"$575,151","$575,151"
"Aug 29, 2022",$0.2374,$0.2388,$0.2324,$0.2372,"$665,205","$665,205"
"Aug 28, 2022",$0.2372,$0.2388,$0.2343,$0.2374,"$648,871","$648,871"
"Aug 27, 2022",$0.2368,$0.2388,$0.2281,$0.2369,"$598,213","$598,213"
"Aug 26, 2022",$0.2369,$0.2388,$0.2338,$0.2371,"$602,778","$602,778"
"Aug 25, 2022",$0.2106,$0.2388,$0.2104,$0.237,"$636,356","$636,356"
