Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.001009,$0.001055,$0.0009652,$0.001004,"$247,264","$247,264"
"Sep 24, 2022",$0.0009501,$0.00105,$0.0009405,$0.001009,"$244,743","$244,743"
"Sep 23, 2022",$0.001029,$0.001043,$0.0009496,$0.0009502,"$227,519","$227,519"
"Sep 22, 2022",$0.001019,$0.001061,$0.001016,$0.001028,"$243,534","$243,534"
"Sep 21, 2022",$0.001105,$0.001118,$0.00101,$0.001019,"$276,831","$276,831"
"Sep 20, 2022",$0.001142,$0.001148,$0.001076,$0.001104,"$258,119","$258,119"
"Sep 19, 2022",$0.001145,$0.001168,$0.001101,$0.001142,"$244,275","$244,275"
"Sep 18, 2022",$0.001218,$0.00125,$0.001135,$0.001144,"$234,738","$234,738"
"Sep 17, 2022",$0.001141,$0.001281,$0.001135,$0.001218,"$291,542","$291,542"
"Sep 16, 2022",$0.001149,$0.001197,$0.001121,$0.001141,"$231,184","$231,184"
"Sep 15, 2022",$0.001202,$0.001206,$0.001146,$0.001149,"$220,483","$220,483"
"Sep 14, 2022",$0.001233,$0.001239,$0.001165,$0.001202,"$244,596","$244,596"
"Sep 13, 2022",$0.00125,$0.001307,$0.001206,$0.001217,"$304,034","$304,034"
"Sep 12, 2022",$0.001281,$0.001294,$0.001232,$0.00125,"$274,836","$274,836"
"Sep 11, 2022",$0.001239,$0.001293,$0.001213,$0.001281,"$234,273","$234,273"
"Sep 10, 2022",$0.001182,$0.00125,$0.001173,$0.001239,"$232,023","$232,023"
"Sep 09, 2022",$0.001126,$0.001192,$0.001119,$0.001182,"$232,586","$232,586"
"Sep 08, 2022",$0.001101,$0.001136,$0.0011,$0.001126,"$227,203","$227,203"
"Sep 07, 2022",$0.001062,$0.001111,$0.001048,$0.001101,"$245,052","$245,052"
"Sep 06, 2022",$0.001096,$0.001135,$0.001051,$0.001062,"$250,798","$250,798"
"Sep 05, 2022",$0.00115,$0.001153,$0.001046,$0.001096,"$280,013","$280,013"
"Sep 04, 2022",$0.001147,$0.001166,$0.001104,$0.00115,"$155,227","$155,227"
"Sep 03, 2022",$0.001132,$0.001158,$0.001128,$0.001147,"$160,919","$160,919"
"Sep 02, 2022",$0.001122,$0.001156,$0.001114,$0.001132,"$181,178","$181,178"
"Sep 01, 2022",$0.001146,$0.001153,$0.001101,$0.001122,"$162,273","$162,273"
"Aug 31, 2022",$0.001118,$0.001156,$0.001118,$0.001146,"$170,410","$170,410"
"Aug 30, 2022",$0.001189,$0.001198,$0.001116,$0.001118,"$186,341","$186,341"
"Aug 29, 2022",$0.001215,$0.001279,$0.001158,$0.001189,"$185,332","$185,332"
"Aug 28, 2022",$0.001258,$0.00129,$0.001215,$0.001215,"$211,966","$211,966"
"Aug 27, 2022",$0.001289,$0.001312,$0.001253,$0.001258,"$193,428","$193,428"
"Aug 26, 2022",$0.001326,$0.001342,$0.001261,$0.001289,"$235,628","$235,628"
"Aug 25, 2022",$0.001333,$0.001372,$0.001323,$0.001325,"$161,451","$161,451"
"Aug 24, 2022",$0.001376,$0.001388,$0.001331,$0.001333,"$194,316","$194,316"
"Aug 23, 2022",$0.001362,$0.001394,$0.001327,$0.001377,"$182,885","$182,885"
"Aug 22, 2022",$0.001395,$0.001411,$0.00131,$0.001362,"$234,641","$234,641"
"Aug 21, 2022",$0.001316,$0.001413,$0.001314,$0.001395,"$221,967","$221,967"
"Aug 20, 2022",$0.001291,$0.001327,$0.001268,$0.001316,"$197,442","$197,442"
"Aug 19, 2022",$0.001396,$0.001401,$0.001279,$0.001291,"$263,570","$263,570"
"Aug 18, 2022",$0.001426,$0.001451,$0.001386,$0.001396,"$203,032","$203,032"
"Aug 17, 2022",$0.001443,$0.001456,$0.001383,$0.001426,"$265,919","$265,919"
"Aug 16, 2022",$0.001415,$0.001447,$0.001382,$0.001443,"$244,489","$244,489"
"Aug 15, 2022",$0.001461,$0.001489,$0.001393,$0.001415,"$195,119","$195,119"
"Aug 14, 2022",$0.001463,$0.001522,$0.001408,$0.001461,"$256,791","$256,791"
"Aug 13, 2022",$0.001425,$0.001474,$0.001421,$0.001463,"$212,877","$212,877"
"Aug 12, 2022",$0.001431,$0.001449,$0.001366,$0.001425,"$265,472","$265,472"
"Aug 11, 2022",$0.001483,$0.001518,$0.001415,$0.001431,"$372,010","$372,010"
"Aug 10, 2022",$0.001437,$0.00153,$0.001401,$0.001483,"$226,405","$226,405"
"Aug 09, 2022",$0.00147,$0.001506,$0.001397,$0.001437,"$245,596","$245,596"
"Aug 08, 2022",$0.001405,$0.001515,$0.001398,$0.00147,"$287,354","$287,354"
"Aug 07, 2022",$0.001359,$0.001413,$0.001338,$0.001405,"$225,186","$225,186"
"Aug 06, 2022",$0.00135,$0.001376,$0.001346,$0.001359,"$197,227","$197,227"
"Aug 05, 2022",$0.001341,$0.001379,$0.001292,$0.001351,"$281,436","$281,436"
"Aug 04, 2022",$0.001283,$0.001353,$0.001254,$0.001341,"$340,557","$340,557"
"Aug 03, 2022",$0.001239,$0.001348,$0.001231,$0.001283,"$238,530","$238,530"
"Aug 02, 2022",$0.001275,$0.001298,$0.001233,$0.001239,"$212,037","$212,037"
