Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.1019,$0.1019,$0.09325,$0.09396,"$2,306,099","$2,306,099"
"Sep 17, 2022",$0.09857,$0.1022,$0.09857,$0.1019,"$2,762,758","$2,762,758"
"Sep 16, 2022",$0.09961,$0.1013,$0.09692,$0.09856,"$3,420,320","$3,420,320"
"Sep 15, 2022",$0.1107,$0.1107,$0.09926,$0.09959,"$6,645,221","$6,645,221"
"Sep 14, 2022",$0.1008,$0.1146,$0.1005,$0.1107,"$24,550,690","$24,550,690"
"Sep 13, 2022",$0.1049,$0.1072,$0.09966,$0.1019,"$3,688,628","$3,688,628"
"Sep 12, 2022",$0.1106,$0.1114,$0.1048,$0.1049,"$4,696,019","$4,696,019"
"Sep 11, 2022",$0.1087,$0.1111,$0.108,$0.1106,"$3,535,537","$3,535,537"
"Sep 10, 2022",$0.1074,$0.1098,$0.1066,$0.1087,"$4,038,555","$4,038,555"
"Sep 09, 2022",$0.1026,$0.1207,$0.1025,$0.1074,"$15,844,826","$15,844,826"
"Sep 08, 2022",$0.1028,$0.1035,$0.09891,$0.1026,"$4,407,174","$4,407,174"
"Sep 07, 2022",$0.09956,$0.1037,$0.09717,$0.1028,"$2,856,211","$2,856,211"
"Sep 06, 2022",$0.1101,$0.1123,$0.09956,$0.09958,"$3,582,419","$3,582,419"
"Sep 05, 2022",$0.1123,$0.113,$0.1095,$0.1101,"$2,216,160","$2,216,160"
"Sep 04, 2022",$0.1113,$0.1125,$0.1109,$0.1123,"$1,611,303","$1,611,303"
"Sep 03, 2022",$0.1125,$0.113,$0.1109,$0.1113,"$1,307,262","$1,307,262"
"Sep 02, 2022",$0.1127,$0.1151,$0.1115,$0.1124,"$2,716,110","$2,716,110"
"Sep 01, 2022",$0.112,$0.1133,$0.1096,$0.1128,"$2,760,523","$2,760,523"
"Aug 31, 2022",$0.1117,$0.1157,$0.1117,$0.1121,"$2,439,125","$2,439,125"
"Aug 30, 2022",$0.1141,$0.1162,$0.1092,$0.1118,"$3,385,772","$3,385,772"
"Aug 29, 2022",$0.1092,$0.1147,$0.1088,$0.1141,"$3,278,504","$3,278,504"
"Aug 28, 2022",$0.1157,$0.1233,$0.1092,$0.1092,"$8,083,659","$8,083,659"
"Aug 27, 2022",$0.112,$0.1175,$0.109,$0.1157,"$4,648,231","$4,648,231"
"Aug 26, 2022",$0.118,$0.1204,$0.1117,$0.112,"$6,573,153","$6,573,153"
"Aug 25, 2022",$0.1171,$0.121,$0.1171,$0.118,"$4,823,250","$4,823,250"
"Aug 24, 2022",$0.118,$0.1219,$0.1152,$0.1171,"$8,199,936","$8,199,936"
"Aug 23, 2022",$0.1146,$0.1201,$0.1145,$0.118,"$9,913,411","$9,913,411"
"Aug 22, 2022",$0.1167,$0.1167,$0.1107,$0.1146,"$4,497,486","$4,497,486"
"Aug 21, 2022",$0.1129,$0.1185,$0.1129,$0.1167,"$4,069,769","$4,069,769"
"Aug 20, 2022",$0.1109,$0.1214,$0.1098,$0.1129,"$6,053,641","$6,053,641"
"Aug 19, 2022",$0.126,$0.126,$0.1106,$0.1109,"$6,159,974","$6,159,974"
"Aug 18, 2022",$0.1324,$0.135,$0.1256,$0.126,"$4,462,489","$4,462,489"
"Aug 17, 2022",$0.1386,$0.1424,$0.1321,$0.1323,"$5,001,736","$5,001,736"
"Aug 16, 2022",$0.1401,$0.1457,$0.1373,$0.1387,"$8,022,151","$8,022,151"
"Aug 15, 2022",$0.1417,$0.145,$0.1365,$0.1401,"$6,501,257","$6,501,257"
"Aug 14, 2022",$0.1461,$0.1513,$0.1413,$0.1417,"$5,698,132","$5,698,132"
"Aug 13, 2022",$0.1457,$0.1515,$0.1433,$0.1461,"$5,843,976","$5,843,976"
"Aug 12, 2022",$0.1456,$0.1491,$0.1412,$0.1457,"$5,929,436","$5,929,436"
"Aug 11, 2022",$0.1418,$0.1511,$0.1418,$0.1456,"$9,210,776","$9,210,776"
"Aug 10, 2022",$0.1381,$0.1449,$0.1359,$0.1418,"$7,968,303","$7,968,303"
"Aug 09, 2022",$0.146,$0.1466,$0.1368,$0.1381,"$6,728,117","$6,728,117"
"Aug 08, 2022",$0.1431,$0.1539,$0.1431,$0.146,"$9,631,035","$9,631,035"
