Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.0005285,$0.0005292,$0.0005246,$0.0005257,$2,$2
"Sep 24, 2022",$0.0005255,$0.0005422,$0.0005238,$0.0005286,$0,$0
"Sep 23, 2022",$0.0005196,$0.0005258,$0.0005106,$0.0005256,$0,$0
"Sep 22, 2022",$0.0005201,$0.0005204,$0.0005193,$0.0005196,$0,$0
"Sep 21, 2022",$0.0005178,$0.0005233,$0.0005178,$0.0005199,$0,$0
"Sep 20, 2022",$0.0005276,$0.0005282,$0.0005167,$0.0005182,$6,$6
"Sep 19, 2022",$0.0005922,$0.0005997,$0.0005121,$0.000527,$5,$5
"Sep 18, 2022",$0.0004811,$0.0006206,$0.0004571,$0.0005916,$13,$13
"Sep 17, 2022",$0.0004762,$0.0004822,$0.0004757,$0.0004811,$1,$1
"Sep 16, 2022",$0.000454,$0.0004772,$0.0004538,$0.0004766,$34,$34
"Sep 15, 2022",$0.0005385,$0.0005413,$0.0004209,$0.0004541,$57,$57
"Sep 14, 2022",$0.0005545,$0.0005547,$0.0005344,$0.0005385,$0,$0
"Sep 13, 2022",$0.0005805,$0.0005813,$0.000535,$0.0005351,$2,$2
"Sep 12, 2022",$0.0005599,$0.0005806,$0.0005597,$0.0005805,$0,$0
"Sep 11, 2022",$0.0005571,$0.0005904,$0.000557,$0.0005599,$0,$0
"Sep 10, 2022",$0.0005569,$0.0005575,$0.0005568,$0.0005572,$0,$0
"Sep 09, 2022",$0.0005403,$0.0005576,$0.000537,$0.000557,$0,$0
"Sep 08, 2022",$0.0005411,$0.0005458,$0.0005401,$0.0005401,$0,$0
"Sep 07, 2022",$0.00056,$0.0005602,$0.0005408,$0.0005411,$0,$0
"Sep 06, 2022",$0.0005606,$0.0005685,$0.0005597,$0.00056,$0,$0
"Sep 05, 2022",$0.0005542,$0.000561,$0.0005494,$0.0005606,$0,$0
"Sep 04, 2022",$0.0005576,$0.0005628,$0.000554,$0.0005542,$1,$1
"Sep 03, 2022",$0.0005688,$0.0005842,$0.000557,$0.0005576,$1,$1
"Sep 02, 2022",$0.0005696,$0.0005697,$0.0005686,$0.0005688,$0,$0
"Sep 01, 2022",$0.0006174,$0.0006777,$0.0005637,$0.0005696,$24,$24
"Aug 31, 2022",$0.0005626,$0.0006177,$0.0005626,$0.0006174,$8,$8
"Aug 30, 2022",$0.0005859,$0.000655,$0.0005625,$0.0005625,$14,$14
"Aug 29, 2022",$0.000578,$0.0005863,$0.000575,$0.000586,$0,$0
"Aug 28, 2022",$0.0005834,$0.0005917,$0.0005782,$0.0005782,$3,$3
"Aug 27, 2022",$0.0005968,$0.000597,$0.0005831,$0.0005835,$2,$2
"Aug 26, 2022",$0.0005685,$0.0007953,$0.0005685,$0.0005968,$160,$160
"Aug 25, 2022",$0.0005685,$0.0005688,$0.0005681,$0.0005685,$0,$0
"Aug 24, 2022",$0.0005825,$0.0005832,$0.0005681,$0.0005685,$0,$0
"Aug 23, 2022",$0.0005896,$0.0005899,$0.0005732,$0.0005825,$0,$0
"Aug 22, 2022",$0.0005645,$0.0005899,$0.0005642,$0.0005896,$0,$0
"Aug 21, 2022",$0.0005766,$0.0005767,$0.0005643,$0.0005645,$0,$0
"Aug 20, 2022",$0.0005657,$0.0005776,$0.0005656,$0.0005767,$2,$2
"Aug 19, 2022",$0.0005966,$0.0005966,$0.0005657,$0.0005657,$0,$0
"Aug 18, 2022",$0.0005727,$0.0005974,$0.000572,$0.0005966,$6,$6
"Aug 17, 2022",$0.0005755,$0.0005764,$0.0005726,$0.0005727,$1,$1
"Aug 16, 2022",$0.0005859,$0.0005971,$0.0005695,$0.0005755,$8,$8
"Aug 15, 2022",$0.0006068,$0.0006069,$0.0005841,$0.0005859,$0,$0
"Aug 14, 2022",$0.0006638,$0.0006644,$0.0006055,$0.0006067,$0,$0
"Aug 13, 2022",$0.0005734,$0.0006672,$0.0005672,$0.0006638,$10,$10
"Aug 12, 2022",$0.0005689,$0.0006197,$0.0005686,$0.0005734,$0,$0
"Aug 11, 2022",$0.000575,$0.000578,$0.0005685,$0.0005689,$0,$0
"Aug 10, 2022",$0.0005872,$0.0005873,$0.0005744,$0.000575,$4,$4
"Aug 09, 2022",$0.0005763,$0.0005877,$0.0005759,$0.0005872,$5,$5
"Aug 08, 2022",$0.0005857,$0.0005863,$0.0005748,$0.0005763,$0,$0
"Aug 07, 2022",$0.0005834,$0.0005859,$0.0005832,$0.0005856,$0,$0
"Aug 06, 2022",$0.0005829,$0.0005837,$0.0005823,$0.0005833,$0,$0
"Aug 05, 2022",$0.0005864,$0.0006063,$0.0005826,$0.0005828,$0,$0
"Aug 04, 2022",$0.0005964,$0.000598,$0.0005864,$0.0005864,$0,$0
"Aug 03, 2022",$0.000631,$0.0006405,$0.0005958,$0.0005964,$0,$0
"Aug 02, 2022",$0.0005953,$0.0006348,$0.0005632,$0.0006309,$0,$0
"Aug 01, 2022",$0.0006228,$0.0006258,$0.000592,$0.0005954,$0,$0
"Jul 31, 2022",$0.0006359,$0.0006524,$0.0006177,$0.0006228,$0,$0
"Jul 30, 2022",$0.0006351,$0.0006435,$0.0006311,$0.0006359,$0,$0
"Jul 29, 2022",$0.0006243,$0.0006409,$0.0006181,$0.0006352,$0,$0
"Jul 28, 2022",$0.0006375,$0.0006479,$0.0006192,$0.0006243,$0,$0
"Jul 27, 2022",$0.0006072,$0.0006421,$0.0005991,$0.0006375,$0,$0
"Jul 26, 2022",$0.0006091,$0.0006107,$0.0005923,$0.0006069,$0,$0
"Jul 25, 2022",$0.0006403,$0.0006409,$0.0006091,$0.0006091,$0,$0
"Jul 24, 2022",$0.0006335,$0.0006494,$0.0006334,$0.0006404,$0,$0
"Jul 23, 2022",$0.0006735,$0.0006804,$0.0006213,$0.0006335,$0,$0
"Jul 22, 2022",$0.0007108,$0.0007322,$0.0006708,$0.0006737,$0,$0
"Jul 21, 2022",$0.0006915,$0.0007237,$0.0006844,$0.0007108,$0,$0
"Jul 20, 2022",$0.0006991,$0.0007581,$0.0006888,$0.0006914,$0,$0
"Jul 19, 2022",$0.0007488,$0.000757,$0.0006876,$0.0006991,$0,$0
"Jul 18, 2022",$0.0007099,$0.0007514,$0.0007057,$0.000749,$0,$0
"Jul 17, 2022",$0.0007011,$0.0007203,$0.0006979,$0.0007098,$0,$0
"Jul 16, 2022",$0.000678,$0.0007077,$0.0006696,$0.000701,$0,$0
"Jul 15, 2022",$0.0006609,$0.0006858,$0.0006583,$0.0006781,$0,$0
"Jul 14, 2022",$0.0006517,$0.0006692,$0.0006359,$0.0006609,$0,$0
"Jul 13, 2022",$0.0006237,$0.0007048,$0.0006056,$0.0006518,$0,$0
"Jul 12, 2022",$0.0006082,$0.0006908,$0.0005976,$0.0006237,$0,$0
"Jul 11, 2022",$0.0005993,$0.0006395,$0.0005938,$0.0006082,$0,$0
"Jul 10, 2022",$0.0006047,$0.0006056,$0.0005949,$0.0005994,$0,$0
"Jul 09, 2022",$0.0006107,$0.0006117,$0.0006043,$0.0006047,$0,$0
"Jul 08, 2022",$0.0006086,$0.0006182,$0.0006027,$0.0006109,$0,$0
"Jul 07, 2022",$0.0006012,$0.0006176,$0.0005859,$0.0006086,$0,$0
"Jul 06, 2022",$0.0005915,$0.0006026,$0.0005866,$0.0006013,$0,$0
"Jul 05, 2022",$0.0005978,$0.0006032,$0.0005804,$0.0005914,$0,$0
"Jul 04, 2022",$0.0005775,$0.0005989,$0.0005717,$0.0005979,$0,$0
"Jul 03, 2022",$0.0005766,$0.0005818,$0.0005674,$0.0005775,$0,$0
"Jul 02, 2022",$0.0005851,$0.0005865,$0.0005657,$0.0005766,$0,$0
"Jul 01, 2022",$0.0005846,$0.0005946,$0.0005802,$0.000585,$0,$0
"Jun 30, 2022",$0.0005948,$0.0005973,$0.0005686,$0.0005841,$0,$0
"Jun 29, 2022",$0.0006071,$0.0006087,$0.0005932,$0.0005947,$0,$0
"Jun 28, 2022",$0.0006186,$0.0006304,$0.0006035,$0.0006071,$0,$0
"Jun 27, 2022",$0.0006329,$0.0006388,$0.0006163,$0.0006187,$0,$0
"Jun 26, 2022",$0.0006403,$0.0006481,$0.0006328,$0.0006329,$0,$0
"Jun 25, 2022",$0.0006393,$0.0006439,$0.0006291,$0.0006404,$0,$0
"Jun 24, 2022",$0.0006198,$0.0006437,$0.0006144,$0.0006393,$0,$0
"Jun 23, 2022",$0.0005852,$0.0006207,$0.0005842,$0.0006199,$0,$0
"Jun 22, 2022",$0.0006009,$0.0006011,$0.0005842,$0.0005853,$0,$0
"Jun 21, 2022",$0.0005998,$0.0006137,$0.000595,$0.0006007,$0,$0
"Jun 20, 2022",$0.0005977,$0.0006052,$0.0005852,$0.0005998,$0,$0
"Jun 19, 2022",$0.0005722,$0.0006,$0.0005595,$0.0005977,$0,$0
"Jun 18, 2022",$0.0005967,$0.0006034,$0.0005516,$0.0005723,$0,$0
"Jun 17, 2022",$0.0005936,$0.0006059,$0.0005913,$0.0005967,$0,$0
"Jun 16, 2022",$0.0006437,$0.0006509,$0.0005908,$0.0005935,$0,$0
"Jun 15, 2022",$0.0006341,$0.0006439,$0.0005886,$0.0006436,$0,$0
"Jun 14, 2022",$0.0006495,$0.0006525,$0.0006168,$0.0006343,$0,$0
"Jun 13, 2022",$0.0007282,$0.0007316,$0.0006445,$0.0006495,$0,$0
"Jun 12, 2022",$0.0007505,$0.0007573,$0.000725,$0.0007286,$0,$0
"Jun 11, 2022",$0.0007848,$0.0007913,$0.0007467,$0.0007503,$0,$0
"Jun 10, 2022",$0.0008213,$0.0008239,$0.0007738,$0.0007848,$0,$0
"Jun 09, 2022",$0.0008171,$0.0008251,$0.0008116,$0.0008213,$0,$0
"Jun 08, 2022",$0.0008155,$0.0008218,$0.0008065,$0.0008171,$0,$0
"Jun 07, 2022",$0.0008094,$0.0008275,$0.00079,$0.0008155,$0,$0
"Jun 06, 2022",$0.0007636,$0.0008237,$0.0007635,$0.0008094,$0,$0
"Jun 05, 2022",$0.0007739,$0.0007814,$0.0007625,$0.0007636,$0,$0
"Jun 04, 2022",$0.0007843,$0.0008065,$0.0007513,$0.0007738,$0,$0
"Jun 03, 2022",$0.0007944,$0.0008061,$0.0007544,$0.0007843,$0,$0
"Jun 02, 2022",$0.0007764,$0.0007979,$0.0007709,$0.0007944,$0,$0
"Jun 01, 2022",$0.0008352,$0.0008384,$0.0007592,$0.0007766,$0,$0
"May 31, 2022",$0.000825,$0.0008479,$0.0008194,$0.0008352,$0,$0
"May 30, 2022",$0.0008197,$0.0008279,$0.0008012,$0.000825,$0,$0
"May 29, 2022",$0.0007796,$0.0008394,$0.0007712,$0.0008197,$0,$0
"May 28, 2022",$0.0007721,$0.0007815,$0.0007656,$0.0007796,$0,$0
"May 27, 2022",$0.0007514,$0.0007876,$0.000739,$0.000767,$0,$0
"May 26, 2022",$0.00077,$0.0007797,$0.0007338,$0.0007516,$0,$0
"May 25, 2022",$0.0007704,$0.000788,$0.0007655,$0.00077,$0,$0
"May 24, 2022",$0.0007795,$0.0007912,$0.0007591,$0.0007705,$0,$0
"May 23, 2022",$0.0007969,$0.0008149,$0.0007777,$0.0007794,$0,$0
"May 22, 2022",$0.0007788,$0.0008027,$0.0007767,$0.0007971,$0,$0
"May 21, 2022",$0.0007744,$0.0007874,$0.0007505,$0.0007788,$0,$0
"May 20, 2022",$0.0007842,$0.0007949,$0.0007626,$0.0007744,$0,$0
"May 19, 2022",$0.0007567,$0.000789,$0.0007544,$0.0007843,$0,$0
"May 18, 2022",$0.0007833,$0.0007932,$0.0007553,$0.0007567,$0,$0
"May 17, 2022",$0.0007695,$0.0007939,$0.0007664,$0.0007833,$0,$0
"May 16, 2022",$0.0007507,$0.0007739,$0.0007388,$0.0007695,$0,$0
"May 15, 2022",$0.0007385,$0.0007531,$0.0007274,$0.0007507,$0,$0
"May 14, 2022",$0.000769,$0.0007846,$0.0007222,$0.0007386,$0,$0
"May 13, 2022",$0.0007417,$0.0008074,$0.0007322,$0.0007689,$0,$0
"May 12, 2022",$0.0007616,$0.0007728,$0.0006904,$0.0007421,$0,$0
"May 11, 2022",$0.001011,$0.001021,$0.0007502,$0.0007616,$0,$0
"May 10, 2022",$0.001047,$0.001063,$0.0009995,$0.001011,$0,$0
"May 09, 2022",$0.001132,$0.001141,$0.001044,$0.001048,$0,$0
"May 08, 2022",$0.001143,$0.001149,$0.001107,$0.001131,$0,$0
"May 07, 2022",$0.001141,$0.001198,$0.001136,$0.001143,$0,$0
"May 06, 2022",$0.001175,$0.001179,$0.001134,$0.001141,$0,$0
"May 05, 2022",$0.00126,$0.001281,$0.001161,$0.001175,$0,$0
"May 04, 2022",$0.001203,$0.001264,$0.001203,$0.00126,$0,$0
"May 03, 2022",$0.001259,$0.001264,$0.001202,$0.001203,$0,$0
"May 02, 2022",$0.001266,$0.001288,$0.001243,$0.001259,$0,$0
"May 01, 2022",$0.001293,$0.001294,$0.001241,$0.001266,$0,$0
"Apr 30, 2022",$0.00133,$0.001374,$0.001292,$0.001293,$0,$0
"Apr 29, 2022",$0.001409,$0.001471,$0.001322,$0.00133,$0,$0
"Apr 28, 2022",$0.00139,$0.001421,$0.001384,$0.001409,$0,$0
"Apr 27, 2022",$0.00138,$0.001395,$0.001371,$0.00139,$0,$0
"Apr 26, 2022",$0.001449,$0.001454,$0.001376,$0.00138,$0,$0
"Apr 25, 2022",$0.001464,$0.001473,$0.001405,$0.001449,$0,$0
"Apr 24, 2022",$0.001477,$0.001491,$0.001463,$0.001464,$0,$0
"Apr 23, 2022",$0.001478,$0.001487,$0.001462,$0.001477,$0,$0
"Apr 22, 2022",$0.001512,$0.00152,$0.001471,$0.001478,$0,$0
"Apr 21, 2022",$0.001598,$0.001616,$0.001503,$0.001512,$0,$0
"Apr 20, 2022",$0.001477,$0.001616,$0.001462,$0.001598,$0,$0
"Apr 19, 2022",$0.001331,$0.00148,$0.001328,$0.001477,$0,$0
"Apr 18, 2022",$0.001315,$0.001342,$0.001292,$0.001331,$0,$0
"Apr 17, 2022",$0.001353,$0.001357,$0.001315,$0.001315,$0,$0
"Apr 16, 2022",$0.001333,$0.001357,$0.001323,$0.001354,$0,$0
"Apr 15, 2022",$0.00132,$0.001335,$0.001313,$0.001333,$0,$0
"Apr 14, 2022",$0.001333,$0.001347,$0.001311,$0.00132,$0,$0
"Apr 13, 2022",$0.001311,$0.001334,$0.001299,$0.001333,$0,$0
"Apr 12, 2022",$0.001272,$0.001311,$0.001264,$0.001311,$0,$0
"Apr 11, 2022",$0.00134,$0.001348,$0.001245,$0.001272,$0,$0
"Apr 10, 2022",$0.001356,$0.001372,$0.00134,$0.00134,$0,$0
"Apr 09, 2022",$0.001391,$0.001402,$0.001342,$0.001356,$0,$0
"Apr 08, 2022",$0.001409,$0.001428,$0.001384,$0.001391,$0,$0
"Apr 07, 2022",$0.001385,$0.001413,$0.001379,$0.001409,$0,$0
"Apr 06, 2022",$0.001471,$0.001471,$0.001384,$0.001385,$0,$0
"Apr 05, 2022",$0.001509,$0.001513,$0.00147,$0.001471,$0,$0
"Apr 04, 2022",$0.00145,$0.001514,$0.001437,$0.001509,$0,$0
"Apr 03, 2022",$0.00145,$0.001466,$0.00144,$0.00145,$0,$0
"Apr 02, 2022",$0.001464,$0.001494,$0.001448,$0.00145,$0,$0
"Apr 01, 2022",$0.001516,$0.001533,$0.001418,$0.001463,$0,$0
"Mar 31, 2022",$0.00143,$0.001563,$0.001413,$0.001516,$0,$0
"Mar 30, 2022",$0.00142,$0.001473,$0.00137,$0.00143,$0,$0
"Mar 29, 2022",$0.001386,$0.00145,$0.001385,$0.00142,$0,$0
"Mar 28, 2022",$0.001383,$0.001491,$0.001378,$0.001387,$0,$0
"Mar 27, 2022",$0.00147,$0.001498,$0.001379,$0.001383,$0,$0
"Mar 26, 2022",$0.001472,$0.001486,$0.001452,$0.00147,$0,$0
"Mar 25, 2022",$0.001478,$0.0015,$0.001458,$0.001472,$0,$0
"Mar 24, 2022",$0.001471,$0.001494,$0.001447,$0.001478,$0,$0
"Mar 23, 2022",$0.001467,$0.00148,$0.001436,$0.001471,$0,$0
"Mar 22, 2022",$0.001456,$0.001488,$0.001446,$0.001467,$0,$0
"Mar 21, 2022",$0.001396,$0.001464,$0.001373,$0.001456,$0,$0
"Mar 20, 2022",$0.001426,$0.00144,$0.001363,$0.001396,$0,$0
"Mar 19, 2022",$0.001415,$0.001427,$0.001397,$0.001426,$0,$0
"Mar 18, 2022",$0.001377,$0.00143,$0.001361,$0.001415,$0,$0
"Mar 17, 2022",$0.001421,$0.001421,$0.001377,$0.001378,$0,$0
"Mar 16, 2022",$0.001395,$0.001442,$0.001349,$0.001421,$0,$0
"Mar 15, 2022",$0.001411,$0.001419,$0.001349,$0.001395,$0,$0
"Mar 14, 2022",$0.001376,$0.001412,$0.00134,$0.001412,$0,$0
"Mar 13, 2022",$0.001399,$0.001414,$0.001365,$0.001376,$0,$0
"Mar 12, 2022",$0.001393,$0.001418,$0.001391,$0.001399,$0,$0
"Mar 11, 2022",$0.001395,$0.001435,$0.001351,$0.001393,$0,$0
"Mar 10, 2022",$0.001421,$0.001429,$0.001372,$0.001395,$0,$0
"Mar 09, 2022",$0.00136,$0.001433,$0.001351,$0.001421,$0,$0
"Mar 08, 2022",$0.001313,$0.001402,$0.001311,$0.00136,$0,$0
"Mar 07, 2022",$0.001348,$0.001403,$0.001302,$0.001313,$0,$0
"Mar 06, 2022",$0.001417,$0.001453,$0.001344,$0.001348,$0,$0
"Mar 05, 2022",$0.001355,$0.001467,$0.001355,$0.001417,$0,$0
"Mar 04, 2022",$0.001508,$0.001535,$0.001354,$0.001354,$0,$0
"Mar 03, 2022",$0.001527,$0.001566,$0.001451,$0.001508,$0,$0
"Mar 02, 2022",$0.001563,$0.001586,$0.001493,$0.001527,$0,$0
"Mar 01, 2022",$0.001576,$0.001613,$0.001519,$0.001562,$0,$0
"Feb 28, 2022",$0.001487,$0.001592,$0.001459,$0.001576,$0,$0
"Feb 27, 2022",$0.001535,$0.001563,$0.001458,$0.001487,$0,$0
"Feb 26, 2022",$0.001523,$0.001557,$0.001516,$0.001535,$0,$0
"Feb 25, 2022",$0.001485,$0.001538,$0.001469,$0.001523,$0,$0
"Feb 24, 2022",$0.001474,$0.001503,$0.001363,$0.001485,$0,$0
"Feb 23, 2022",$0.001485,$0.001523,$0.001467,$0.001475,$0,$0
"Feb 22, 2022",$0.001466,$0.001486,$0.001443,$0.001485,$0,$0
"Feb 21, 2022",$0.001507,$0.001544,$0.001465,$0.001466,$0,$0
"Feb 20, 2022",$0.001555,$0.001555,$0.001498,$0.001508,$0,$0
"Feb 19, 2022",$0.001554,$0.001571,$0.001535,$0.001555,$0,$0
"Feb 18, 2022",$0.00159,$0.001612,$0.001548,$0.001555,$0,$0
"Feb 17, 2022",$0.001677,$0.001685,$0.001583,$0.00159,$0,$0
"Feb 16, 2022",$0.001695,$0.001707,$0.001586,$0.001678,$0,$0
"Feb 15, 2022",$0.001607,$0.001697,$0.001595,$0.001695,$0,$0
