Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.00006665,$0.00006677,$0.00006613,$0.00006652,"$21,614,407","$21,614,407"
"Sep 20, 2022",$0.00006632,$0.00006689,$0.00006632,$0.00006665,"$19,297,788","$19,297,788"
"Sep 19, 2022",$0.00006663,$0.00006686,$0.00006629,$0.00006649,"$22,579,739","$22,579,739"
"Sep 18, 2022",$0.00006698,$0.00006707,$0.00006647,$0.00006676,"$10,718,875","$10,718,875"
"Sep 17, 2022",$0.00006689,$0.00006703,$0.00006663,$0.00006675,"$9,214,109","$9,214,109"
"Sep 16, 2022",$0.00006696,$0.00006712,$0.00006664,$0.00006687,"$20,043,445","$20,043,445"
"Sep 15, 2022",$0.00006691,$0.00006727,$0.00006676,$0.00006695,"$25,214,716","$25,214,716"
"Sep 14, 2022",$0.00006671,$0.00006723,$0.00006661,$0.00006691,"$26,035,206","$26,035,206"
"Sep 13, 2022",$0.00006721,$0.00006738,$0.00006661,$0.00006681,"$26,490,563","$26,490,563"
"Sep 12, 2022",$0.00006725,$0.00006738,$0.00006701,$0.00006721,"$24,665,066","$24,665,066"
"Sep 11, 2022",$0.00006725,$0.00006736,$0.00006702,$0.00006725,"$12,057,571","$12,057,571"
"Sep 10, 2022",$0.00006723,$0.00006737,$0.00006703,$0.00006727,"$19,934,353","$19,934,353"
"Sep 09, 2022",$0.00006697,$0.00006733,$0.0000669,$0.00006725,"$24,925,090","$24,925,090"
"Sep 08, 2022",$0.00006709,$0.00006713,$0.00006682,$0.00006701,"$27,328,764","$27,328,764"
"Sep 07, 2022",$0.00006694,$0.00006726,$0.00006671,$0.00006712,"$23,999,575","$23,999,575"
"Sep 06, 2022",$0.00006698,$0.0000672,$0.00006673,$0.00006695,"$25,352,666","$25,352,666"
"Sep 05, 2022",$0.00006692,$0.00006707,$0.00006675,$0.00006697,"$18,199,223","$18,199,223"
"Sep 04, 2022",$0.00006692,$0.00006705,$0.00006672,$0.00006692,"$7,296,159","$7,296,159"
"Sep 03, 2022",$0.00006704,$0.00006712,$0.00006681,$0.00006692,"$9,494,725","$9,494,725"
"Sep 02, 2022",$0.00006697,$0.00006717,$0.00006677,$0.00006705,"$14,252,317","$14,252,317"
"Sep 01, 2022",$0.00006716,$0.00006726,$0.00006685,$0.00006698,"$21,641,631","$21,641,631"
"Aug 31, 2022",$0.00006704,$0.00006738,$0.00006695,$0.00006716,"$22,865,790","$22,865,790"
"Aug 30, 2022",$0.00006695,$0.00006745,$0.00006678,$0.00006707,"$19,768,345","$19,768,345"
"Aug 29, 2022",$0.00006701,$0.00006714,$0.00006682,$0.00006694,"$20,407,205","$20,407,205"
"Aug 28, 2022",$0.0000669,$0.00006719,$0.0000668,$0.00006704,"$11,365,789","$11,365,789"
"Aug 27, 2022",$0.00006704,$0.00006727,$0.00006676,$0.00006691,"$16,898,768","$16,898,768"
"Aug 26, 2022",$0.0000673,$0.00006753,$0.000067,$0.0000671,"$26,352,304","$26,352,304"
"Aug 25, 2022",$0.00006721,$0.00006745,$0.0000671,$0.00006731,"$17,757,388","$17,757,388"
"Aug 24, 2022",$0.00006724,$0.00006738,$0.00006701,$0.00006722,"$12,106,431","$12,106,431"
"Aug 23, 2022",$0.00006699,$0.0000674,$0.00006679,$0.00006724,"$15,603,847","$15,603,847"
"Aug 22, 2022",$0.00006693,$0.00006717,$0.00006681,$0.00006699,"$19,572,678","$19,572,678"
"Aug 21, 2022",$0.00006703,$0.00006715,$0.00006674,$0.00006695,"$14,398,292","$14,398,292"
"Aug 20, 2022",$0.00006694,$0.00006729,$0.00006675,$0.00006703,"$14,211,520","$14,211,520"
"Aug 19, 2022",$0.00006725,$0.0000674,$0.00006685,$0.00006696,"$26,449,509","$26,449,509"
"Aug 18, 2022",$0.00006753,$0.00006773,$0.00006708,$0.00006726,"$16,507,164","$16,507,164"
"Aug 17, 2022",$0.00006765,$0.00006779,$0.00006737,$0.0000675,"$17,221,414","$17,221,414"
"Aug 16, 2022",$0.00006766,$0.00006781,$0.00006753,$0.00006764,"$19,918,116","$19,918,116"
"Aug 15, 2022",$0.0000679,$0.00006812,$0.00006752,$0.00006765,"$25,163,636","$25,163,636"
"Aug 14, 2022",$0.00006805,$0.00006813,$0.00006777,$0.00006789,"$15,864,495","$15,864,495"
"Aug 13, 2022",$0.00006794,$0.00006818,$0.00006786,$0.00006805,"$16,944,729","$16,944,729"
"Aug 12, 2022",$0.0000677,$0.00006814,$0.00006759,$0.00006795,"$16,134,257","$16,134,257"
"Aug 11, 2022",$0.00006759,$0.00006794,$0.00006741,$0.00006777,"$24,939,668","$24,939,668"
"Aug 10, 2022",$0.00006707,$0.00006764,$0.00006692,$0.00006758,"$23,482,100","$23,482,100"
"Aug 09, 2022",$0.00006732,$0.00006741,$0.00006695,$0.00006707,"$19,225,065","$19,225,065"
"Aug 08, 2022",$0.00006706,$0.00006735,$0.00006695,$0.00006732,"$20,991,019","$20,991,019"
"Aug 07, 2022",$0.00006708,$0.00006718,$0.00006697,$0.00006705,"$12,610,969","$12,610,969"
"Aug 06, 2022",$0.00006706,$0.00006716,$0.00006695,$0.00006706,"$10,925,295","$10,925,295"
"Aug 05, 2022",$0.00006706,$0.00006716,$0.0000669,$0.00006705,"$22,178,492","$22,178,492"
"Aug 04, 2022",$0.00006706,$0.00006719,$0.00006686,$0.00006703,"$19,756,032","$19,756,032"
"Aug 03, 2022",$0.00006709,$0.00006722,$0.00006695,$0.00006707,"$21,694,912","$21,694,912"
"Aug 02, 2022",$0.00006715,$0.00006726,$0.00006687,$0.00006707,"$25,294,813","$25,294,813"
"Aug 01, 2022",$0.00006707,$0.00006727,$0.00006695,$0.00006715,"$26,476,002","$26,476,002"
"Jul 31, 2022",$0.00006712,$0.00006729,$0.00006695,$0.00006705,"$27,300,126","$27,300,126"
"Jul 30, 2022",$0.00006719,$0.0000674,$0.00006694,$0.00006707,"$32,842,956","$32,842,956"
"Jul 29, 2022",$0.00006708,$0.00006734,$0.00006694,$0.00006718,"$59,091,387","$59,091,387"
"Jul 28, 2022",$0.00006679,$0.0000672,$0.00006666,$0.00006707,"$54,840,158","$54,840,158"
"Jul 27, 2022",$0.00006658,$0.00006694,$0.00006638,$0.00006684,"$31,462,200","$31,462,200"
"Jul 26, 2022",$0.00006654,$0.00006677,$0.00006638,$0.00006658,"$25,445,322","$25,445,322"
"Jul 25, 2022",$0.00006653,$0.00006684,$0.00006643,$0.00006654,"$26,733,728","$26,733,728"
"Jul 24, 2022",$0.0000665,$0.00006664,$0.00006635,$0.00006654,"$21,368,118","$21,368,118"
"Jul 23, 2022",$0.00006652,$0.00006668,$0.00006637,$0.00006649,"$16,050,587","$16,050,587"
"Jul 22, 2022",$0.00006665,$0.00006672,$0.00006641,$0.00006656,"$20,434,268","$20,434,268"
"Jul 21, 2022",$0.00006672,$0.00006682,$0.0000664,$0.00006664,"$25,855,264","$25,855,264"
"Jul 20, 2022",$0.00006677,$0.00006693,$0.00006656,$0.00006673,"$31,760,855","$31,760,855"
"Jul 19, 2022",$0.00006681,$0.00006692,$0.00006651,$0.00006678,"$30,057,809","$30,057,809"
"Jul 18, 2022",$0.00006681,$0.00006699,$0.00006664,$0.00006686,"$28,580,158","$28,580,158"
"Jul 17, 2022",$0.0000668,$0.00006702,$0.00006655,$0.00006682,"$11,726,658","$11,726,658"
"Jul 16, 2022",$0.00006666,$0.00006692,$0.00006658,$0.00006678,"$16,169,176","$16,169,176"
"Jul 15, 2022",$0.00006659,$0.00006692,$0.00006648,$0.00006667,"$17,843,725","$17,843,725"
"Jul 14, 2022",$0.00006661,$0.00006684,$0.00006636,$0.00006656,"$21,175,591","$21,175,591"
"Jul 13, 2022",$0.00006659,$0.0000668,$0.00006632,$0.0000666,"$17,594,263","$17,594,263"
"Jul 12, 2022",$0.00006665,$0.0000667,$0.00006644,$0.00006655,"$14,286,439","$14,286,439"
"Jul 11, 2022",$0.00006665,$0.00006684,$0.00006653,$0.00006664,"$13,926,139","$13,926,139"
"Jul 10, 2022",$0.00006677,$0.00006691,$0.00006657,$0.00006667,"$7,938,758","$7,938,758"
"Jul 09, 2022",$0.00006668,$0.00006689,$0.0000666,$0.00006677,"$8,408,793","$8,408,793"
"Jul 08, 2022",$0.00006671,$0.00006686,$0.00006653,$0.00006667,"$21,061,616","$21,061,616"
"Jul 07, 2022",$0.00006659,$0.0000668,$0.00006656,$0.00006669,"$21,218,724","$21,218,724"
"Jul 06, 2022",$0.00006666,$0.00006675,$0.00006644,$0.00006661,"$16,821,679","$16,821,679"
"Jul 05, 2022",$0.00006675,$0.00006689,$0.0000664,$0.00006664,"$18,364,723","$18,364,723"
"Jul 04, 2022",$0.00006679,$0.00006692,$0.00006653,$0.00006673,"$23,188,065","$23,188,065"
"Jul 03, 2022",$0.0000667,$0.00006772,$0.00006647,$0.00006679,"$23,069,427","$23,069,427"
"Jul 02, 2022",$0.00006667,$0.00006685,$0.00006652,$0.00006672,"$9,443,841","$9,443,841"
"Jul 01, 2022",$0.00006684,$0.00006695,$0.00006649,$0.00006666,"$26,437,238","$26,437,238"
"Jun 30, 2022",$0.00006733,$0.00006743,$0.00006664,$0.00006681,"$23,817,433","$23,817,433"
"Jun 29, 2022",$0.00006733,$0.00006747,$0.00006704,$0.00006733,"$19,399,554","$19,399,554"
"Jun 28, 2022",$0.00006743,$0.00006759,$0.00006718,$0.00006741,"$17,623,767","$17,623,767"
"Jun 27, 2022",$0.0000672,$0.00006759,$0.00006702,$0.00006747,"$17,125,404","$17,125,404"
"Jun 26, 2022",$0.00006725,$0.00006737,$0.00006706,$0.00006723,"$12,396,735","$12,396,735"
"Jun 25, 2022",$0.00006727,$0.00006753,$0.00006709,$0.00006722,"$13,050,148","$13,050,148"
"Jun 24, 2022",$0.00006737,$0.0000675,$0.00006709,$0.00006725,"$20,570,825","$20,570,825"
"Jun 23, 2022",$0.00006717,$0.00006763,$0.00006704,$0.00006735,"$19,796,538","$19,796,538"
"Jun 22, 2022",$0.00006729,$0.00006747,$0.00006696,$0.00006718,"$18,113,233","$18,113,233"
