Day,Open,High,Low,Close,Volume,Market Cap
"Sep 09, 2022",$127.10,$138.00,$126.39,$132.78,"$460,606,403","$460,606,403"
"Sep 08, 2022",$118.65,$129.38,$116.56,$127.14,"$487,324,244","$487,324,244"
"Sep 07, 2022",$112.43,$119.16,$111.37,$118.65,"$263,199,586","$263,199,586"
"Sep 06, 2022",$125.69,$127.48,$112.49,$112.50,"$295,404,896","$295,404,896"
"Sep 05, 2022",$118.13,$125.90,$117.30,$125.67,"$251,185,197","$251,185,197"
"Sep 04, 2022",$117.71,$118.14,$116.45,$118.14,"$175,273,025","$175,273,025"
"Sep 03, 2022",$116.37,$118.58,$116.08,$117.70,"$231,099,662","$231,099,662"
"Sep 02, 2022",$116.71,$119.71,$115.28,$116.37,"$271,983,506","$271,983,506"
"Sep 01, 2022",$115.34,$117.07,$113.55,$116.71,"$227,533,596","$227,533,596"
"Aug 31, 2022",$114.67,$117.73,$114.67,$115.34,"$206,762,052","$206,762,052"
"Aug 30, 2022",$119.63,$120.51,$112.84,$114.65,"$242,607,410","$242,607,410"
"Aug 29, 2022",$113.41,$119.72,$112.34,$119.61,"$264,119,990","$264,119,990"
"Aug 28, 2022",$115.36,$119.72,$113.47,$113.47,"$235,232,305","$235,232,305"
"Aug 27, 2022",$116.29,$118.13,$113.89,$115.35,"$268,806,259","$268,806,259"
"Aug 26, 2022",$130.67,$130.67,$115.85,$116.29,"$335,487,137","$335,487,137"
"Aug 25, 2022",$131.20,$132.39,$129.40,$130.68,"$265,805,093","$265,805,093"
"Aug 24, 2022",$133.48,$138.12,$131.21,$131.21,"$382,734,219","$382,734,219"
"Aug 23, 2022",$122.84,$135.32,$120.60,$133.49,"$446,011,678","$446,011,678"
"Aug 22, 2022",$119.30,$122.91,$114.23,$122.86,"$296,849,422","$296,849,422"
"Aug 21, 2022",$114.67,$120.41,$114.67,$119.31,"$231,205,419","$231,205,419"
"Aug 20, 2022",$114.60,$118.07,$112.32,$114.68,"$237,502,981","$237,502,981"
"Aug 19, 2022",$129.28,$129.28,$114.32,$114.60,"$357,560,698","$357,560,698"
"Aug 18, 2022",$133.75,$136.10,$129.24,$129.26,"$245,877,210","$245,877,210"
"Aug 17, 2022",$136.56,$144.34,$133.27,$133.75,"$326,069,878","$326,069,878"
"Aug 16, 2022",$137.49,$138.20,$135.40,$136.57,"$218,356,838","$218,356,838"
"Aug 15, 2022",$139.62,$143.23,$134.49,$137.52,"$260,272,051","$260,272,051"
"Aug 14, 2022",$144.33,$147.03,$138.88,$139.60,"$242,271,081","$242,271,081"
"Aug 13, 2022",$143.10,$146.79,$142.93,$144.31,"$224,051,962","$224,051,962"
"Aug 12, 2022",$142.95,$143.34,$139.31,$143.10,"$222,980,965","$222,980,965"
"Aug 11, 2022",$142.08,$148.03,$142.03,$142.97,"$304,100,155","$304,100,155"
"Aug 10, 2022",$134.74,$143.09,$132.35,$142.07,"$285,265,503","$285,265,503"
"Aug 09, 2022",$143.53,$144.25,$134.00,$134.74,"$254,120,085","$254,120,085"
"Aug 08, 2022",$141.37,$147.62,$140.68,$143.54,"$264,673,057","$264,673,057"
"Aug 07, 2022",$141.80,$143.65,$139.26,$141.36,"$206,578,300","$206,578,300"
"Aug 06, 2022",$141.26,$143.03,$139.54,$141.84,"$214,963,349","$214,963,349"
"Aug 05, 2022",$134.62,$141.23,$134.28,$141.23,"$247,420,453","$247,420,453"
"Aug 04, 2022",$134.47,$138.29,$133.14,$134.65,"$332,987,332","$332,987,332"
"Aug 03, 2022",$134.06,$141.99,$131.18,$134.50,"$276,340,987","$276,340,987"
"Aug 02, 2022",$138.18,$138.51,$129.61,$134.05,"$316,355,200","$316,355,200"
"Aug 01, 2022",$139.97,$141.99,$134.70,$138.21,"$282,082,392","$282,082,392"
"Jul 31, 2022",$145.05,$149.80,$139.52,$139.99,"$417,358,573","$417,358,573"
"Jul 30, 2022",$152.30,$153.80,$144.23,$145.05,"$512,282,965","$512,282,965"
"Jul 29, 2022",$155.32,$163.60,$148.79,$152.30,"$944,041,659","$944,041,659"
"Jul 28, 2022",$127.11,$157.47,$127.11,$154.74,"$918,307,842","$918,307,842"
"Jul 27, 2022",$118.65,$127.10,$116.49,$127.09,"$282,460,841","$282,460,841"
"Jul 26, 2022",$119.28,$119.28,$114.54,$118.63,"$220,203,623","$220,203,623"
"Jul 25, 2022",$132.30,$132.62,$119.30,$119.33,"$310,699,338","$310,699,338"
"Jul 24, 2022",$122.70,$134.44,$122.67,$132.39,"$329,204,445","$329,204,445"
"Jul 23, 2022",$123.45,$126.58,$119.02,$122.71,"$246,810,479","$246,810,479"
"Jul 22, 2022",$122.99,$128.56,$120.79,$123.51,"$413,046,002","$413,046,002"
"Jul 21, 2022",$121.82,$123.77,$118.48,$122.98,"$305,920,034","$305,920,034"
"Jul 20, 2022",$128.45,$130.64,$120.82,$121.82,"$367,420,156","$367,420,156"
"Jul 19, 2022",$121.58,$129.12,$116.56,$128.44,"$541,861,862","$541,861,862"
"Jul 18, 2022",$110.64,$121.63,$110.64,$121.63,"$412,280,051","$412,280,051"
"Jul 17, 2022",$109.61,$115.12,$108.13,$110.63,"$355,265,041","$355,265,041"
"Jul 16, 2022",$106.07,$110.37,$104.13,$109.60,"$615,055,280","$615,055,280"
"Jul 15, 2022",$103.01,$106.53,$102.37,$106.09,"$547,465,009","$547,465,009"
"Jul 14, 2022",$102.32,$103.80,$99.39,$103.00,"$1,243,950,769","$1,243,950,769"
"Jul 13, 2022",$97.53,$102.34,$96.00,$102.34,"$1,209,984,234","$1,209,984,234"
"Jul 12, 2022",$99.31,$100.62,$97.50,$97.54,"$1,179,157,071","$1,179,157,071"
"Jul 11, 2022",$107.03,$107.11,$99.13,$99.30,"$1,223,361,760","$1,223,361,760"
"Jul 10, 2022",$111.56,$111.56,$105.80,$107.04,"$1,259,130,239","$1,259,130,239"
"Jul 09, 2022",$108.98,$112.80,$108.81,$111.58,"$1,334,656,388","$1,334,656,388"
"Jul 08, 2022",$111.66,$112.83,$107.41,$109.01,"$632,161,393","$632,161,393"
"Jul 07, 2022",$106.16,$112.03,$105.24,$111.64,"$1,101,358,631","$1,101,358,631"
"Jul 06, 2022",$104.33,$106.87,$103.24,$106.17,"$1,266,533,088","$1,266,533,088"
"Jul 05, 2022",$108.12,$108.28,$102.19,$104.32,"$1,291,077,986","$1,291,077,986"
"Jul 04, 2022",$105.58,$108.15,$102.86,$108.13,"$1,249,269,541","$1,249,269,541"
"Jul 03, 2022",$106.46,$107.25,$102.16,$105.58,"$1,187,978,767","$1,187,978,767"
"Jul 02, 2022",$101.44,$106.81,$100.92,$106.48,"$1,199,030,331","$1,199,030,331"
"Jul 01, 2022",$102.81,$105.56,$98.77,$101.42,"$760,197,665","$760,197,665"
"Jun 30, 2022",$104.42,$104.67,$98.29,$102.73,"$1,053,256,061","$1,053,256,061"
"Jun 29, 2022",$103.17,$107.17,$102.08,$104.40,"$726,870,704","$726,870,704"
"Jun 28, 2022",$111.42,$112.52,$102.86,$103.17,"$1,207,384,600","$1,207,384,600"
"Jun 27, 2022",$113.10,$116.63,$110.83,$111.43,"$1,386,986,480","$1,386,986,480"
"Jun 26, 2022",$115.26,$118.95,$113.07,$113.08,"$1,484,787,303","$1,484,787,303"
"Jun 25, 2022",$114.57,$115.94,$111.84,$115.27,"$1,522,627,566","$1,522,627,566"
"Jun 24, 2022",$116.16,$120.70,$114.54,$114.54,"$1,542,360,255","$1,542,360,255"
"Jun 23, 2022",$113.31,$117.72,$112.55,$116.17,"$1,253,332,573","$1,253,332,573"
"Jun 22, 2022",$118.94,$119.24,$113.03,$113.31,"$1,422,857,193","$1,422,857,193"
"Jun 21, 2022",$118.97,$122.58,$116.02,$118.88,"$1,562,491,556","$1,562,491,556"
"Jun 20, 2022",$120.19,$124.17,$116.47,$118.98,"$1,569,058,756","$1,569,058,756"
"Jun 19, 2022",$116.48,$122.26,$111.78,$120.19,"$1,578,105,198","$1,578,105,198"
"Jun 18, 2022",$120.94,$123.31,$110.71,$116.52,"$1,955,594,257","$1,955,594,257"
"Jun 17, 2022",$109.37,$121.20,$108.09,$120.94,"$1,860,195,195","$1,860,195,195"
"Jun 16, 2022",$127.55,$129.63,$108.11,$109.38,"$1,601,917,679","$1,601,917,679"
"Jun 15, 2022",$126.28,$129.96,$112.16,$127.57,"$1,699,975,336","$1,699,975,336"
"Jun 14, 2022",$126.73,$133.00,$118.69,$126.29,"$1,681,543,805","$1,681,543,805"
"Jun 13, 2022",$147.03,$148.12,$125.16,$126.71,"$2,044,007,399","$2,044,007,399"
"Jun 12, 2022",$157.01,$157.94,$147.11,$147.11,"$1,935,626,592","$1,935,626,592"
"Jun 11, 2022",$167.90,$169.54,$155.90,$156.95,"$2,035,539,813","$2,035,539,813"
"Jun 10, 2022",$175.60,$176.50,$167.17,$167.91,"$2,142,235,323","$2,142,235,323"
"Jun 09, 2022",$177.03,$180.26,$173.79,$175.60,"$2,090,813,873","$2,090,813,873"
"Jun 08, 2022",$182.37,$182.74,$176.06,$177.04,"$2,155,743,341","$2,155,743,341"
"Jun 07, 2022",$185.79,$187.67,$173.83,$182.37,"$2,206,363,272","$2,206,363,272"
"Jun 06, 2022",$180.00,$188.61,$179.88,$185.79,"$2,251,990,334","$2,251,990,334"
"Jun 05, 2022",$188.64,$189.81,$179.81,$180.03,"$2,226,194,881","$2,226,194,881"
"Jun 04, 2022",$183.29,$189.28,$180.76,$188.63,"$2,154,747,013","$2,154,747,013"
