Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.1626,$0.1656,$0.1561,$0.1618,"$1,032,534","$1,032,534"
"Sep 18, 2022",$0.1694,$0.1716,$0.1624,$0.1626,"$317,881","$317,881"
"Sep 17, 2022",$0.1672,$0.1722,$0.1664,$0.1695,"$185,545","$185,545"
"Sep 16, 2022",$0.1712,$0.1716,$0.1641,$0.1672,"$197,584","$197,584"
"Sep 15, 2022",$0.1775,$0.1777,$0.1672,$0.1713,"$236,184","$236,184"
"Sep 14, 2022",$0.1761,$0.1785,$0.1677,$0.1775,"$273,260","$273,260"
"Sep 13, 2022",$0.1845,$0.19,$0.1734,$0.1763,"$373,094","$373,094"
"Sep 12, 2022",$0.1831,$0.1944,$0.1818,$0.1845,"$563,899","$563,899"
"Sep 11, 2022",$0.1876,$0.1877,$0.1796,$0.1832,"$373,916","$373,916"
"Sep 10, 2022",$0.1894,$0.1913,$0.1844,$0.1876,"$394,095","$394,095"
"Sep 09, 2022",$0.1817,$0.1949,$0.1746,$0.1897,"$797,642","$797,642"
"Sep 08, 2022",$0.1628,$0.1865,$0.1597,$0.1817,"$813,174","$813,174"
"Sep 07, 2022",$0.1637,$0.1646,$0.1557,$0.1628,"$316,255","$316,255"
"Sep 06, 2022",$0.1719,$0.1734,$0.1637,$0.1637,"$333,020","$333,020"
"Sep 05, 2022",$0.1664,$0.1722,$0.1624,$0.1717,"$275,848","$275,848"
"Sep 04, 2022",$0.1651,$0.1677,$0.1637,$0.1664,"$220,526","$220,526"
"Sep 03, 2022",$0.1634,$0.1673,$0.1603,$0.1651,"$283,986","$283,986"
"Sep 02, 2022",$0.1642,$0.1666,$0.1602,$0.1635,"$270,836","$270,836"
"Sep 01, 2022",$0.1542,$0.1679,$0.1532,$0.1643,"$285,480","$285,480"
"Aug 31, 2022",$0.1562,$0.1577,$0.1537,$0.1542,"$206,798","$206,798"
"Aug 30, 2022",$0.1603,$0.1624,$0.1552,$0.1562,"$173,536","$173,536"
"Aug 29, 2022",$0.1564,$0.1605,$0.1547,$0.1604,"$171,768","$171,768"
"Aug 28, 2022",$0.1541,$0.1581,$0.1532,$0.1565,"$182,451","$182,451"
"Aug 27, 2022",$0.1548,$0.1557,$0.1524,$0.1541,"$191,598","$191,598"
"Aug 26, 2022",$0.1687,$0.1699,$0.154,$0.154,"$262,633","$262,633"
"Aug 25, 2022",$0.1702,$0.1725,$0.1657,$0.1688,"$258,986","$258,986"
"Aug 24, 2022",$0.1761,$0.1782,$0.1678,$0.1701,"$787,891","$787,891"
"Aug 23, 2022",$0.1728,$0.1781,$0.1704,$0.1762,"$558,663","$558,663"
"Aug 22, 2022",$0.1714,$0.1741,$0.1676,$0.1727,"$657,701","$657,701"
"Aug 21, 2022",$0.1631,$0.172,$0.1612,$0.1716,"$350,811","$350,811"
"Aug 20, 2022",$0.163,$0.1685,$0.1618,$0.1631,"$555,700","$555,700"
"Aug 19, 2022",$0.1763,$0.1766,$0.1622,$0.1631,"$647,036","$647,036"
"Aug 18, 2022",$0.1767,$0.1815,$0.1758,$0.1762,"$545,304","$545,304"
"Aug 17, 2022",$0.1893,$0.1979,$0.1761,$0.1768,"$407,059","$407,059"
"Aug 16, 2022",$0.1919,$0.1925,$0.1844,$0.1892,"$347,784","$347,784"
"Aug 15, 2022",$0.2022,$0.2052,$0.1904,$0.192,"$479,827","$479,827"
"Aug 14, 2022",$0.2102,$0.2106,$0.1985,$0.2021,"$694,179","$694,179"
"Aug 13, 2022",$0.2002,$0.2115,$0.1968,$0.2101,"$760,243","$760,243"
"Aug 12, 2022",$0.1848,$0.2005,$0.1823,$0.2001,"$586,187","$586,187"
"Aug 11, 2022",$0.1784,$0.1879,$0.1783,$0.1846,"$261,831","$261,831"
"Aug 10, 2022",$0.1734,$0.182,$0.1731,$0.1783,"$462,615","$462,615"
"Aug 09, 2022",$0.1809,$0.1829,$0.1725,$0.1743,"$494,630","$494,630"
"Aug 08, 2022",$0.1784,$0.1856,$0.1777,$0.1808,"$593,482","$593,482"
"Aug 07, 2022",$0.178,$0.1801,$0.1746,$0.1785,"$269,395","$269,395"
"Aug 06, 2022",$0.1783,$0.1791,$0.1737,$0.1779,"$285,499","$285,499"
"Aug 05, 2022",$0.1729,$0.1779,$0.1719,$0.177,"$322,170","$322,170"
"Aug 04, 2022",$0.1757,$0.1776,$0.1701,$0.173,"$327,967","$327,967"
"Aug 03, 2022",$0.1766,$0.1775,$0.1738,$0.1757,"$204,109","$204,109"
"Aug 02, 2022",$0.1764,$0.1781,$0.17,$0.1766,"$175,245","$175,245"
"Aug 01, 2022",$0.1803,$0.1803,$0.1728,$0.1764,"$227,095","$227,095"
"Jul 31, 2022",$0.1833,$0.1873,$0.18,$0.18,"$257,794","$257,794"
"Jul 30, 2022",$0.1761,$0.1845,$0.1739,$0.1833,"$313,124","$313,124"
"Jul 29, 2022",$0.1754,$0.1791,$0.1718,$0.1762,"$322,214","$322,214"
"Jul 28, 2022",$0.1674,$0.1817,$0.1657,$0.1755,"$346,225","$346,225"
"Jul 27, 2022",$0.1618,$0.1673,$0.1579,$0.1673,"$225,699","$225,699"
"Jul 26, 2022",$0.1648,$0.1662,$0.1594,$0.1625,"$198,937","$198,937"
"Jul 25, 2022",$0.1742,$0.1742,$0.1639,$0.1649,"$218,446","$218,446"
"Jul 24, 2022",$0.1726,$0.1763,$0.1712,$0.1742,"$156,753","$156,753"
"Jul 23, 2022",$0.1682,$0.1754,$0.1681,$0.1725,"$178,913","$178,913"
"Jul 22, 2022",$0.1686,$0.1762,$0.166,$0.1682,"$283,250","$283,250"
"Jul 21, 2022",$0.1718,$0.1729,$0.1656,$0.1686,"$213,810","$213,810"
"Jul 20, 2022",$0.1794,$0.183,$0.1715,$0.1718,"$243,743","$243,743"
"Jul 19, 2022",$0.1761,$0.1813,$0.1714,$0.1797,"$269,447","$269,447"
"Jul 18, 2022",$0.1623,$0.1762,$0.1623,$0.1761,"$300,443","$300,443"
"Jul 17, 2022",$0.1683,$0.1707,$0.1623,$0.1623,"$221,280","$221,280"
"Jul 16, 2022",$0.1627,$0.1743,$0.1608,$0.1683,"$187,143","$187,143"
"Jul 15, 2022",$0.1675,$0.1729,$0.1624,$0.1624,"$204,777","$204,777"
"Jul 14, 2022",$0.1543,$0.1693,$0.1531,$0.1675,"$335,284","$335,284"
"Jul 13, 2022",$0.1555,$0.1578,$0.1502,$0.1543,"$245,102","$245,102"
"Jul 12, 2022",$0.1625,$0.1642,$0.1509,$0.1555,"$318,866","$318,866"
"Jul 11, 2022",$0.1645,$0.1682,$0.1588,$0.1596,"$253,317","$253,317"
"Jul 10, 2022",$0.1675,$0.1727,$0.1633,$0.1646,"$223,463","$223,463"
"Jul 09, 2022",$0.1692,$0.1699,$0.1653,$0.1677,"$245,054","$245,054"
"Jul 08, 2022",$0.1796,$0.1802,$0.1662,$0.1692,"$272,892","$272,892"
"Jul 07, 2022",$0.1731,$0.1797,$0.17,$0.1795,"$211,757","$211,757"
"Jul 06, 2022",$0.171,$0.1738,$0.1681,$0.1732,"$157,750","$157,750"
"Jul 05, 2022",$0.1775,$0.1791,$0.168,$0.1709,"$230,787","$230,787"
"Jul 04, 2022",$0.1702,$0.178,$0.1677,$0.1774,"$212,582","$212,582"
"Jul 03, 2022",$0.1732,$0.1732,$0.1693,$0.1702,"$164,011","$164,011"
"Jul 02, 2022",$0.1721,$0.1747,$0.1703,$0.1732,"$180,669","$180,669"
"Jul 01, 2022",$0.1758,$0.1833,$0.1693,$0.172,"$285,993","$285,993"
"Jun 30, 2022",$0.1887,$0.2042,$0.1703,$0.1757,"$860,468","$860,468"
"Jun 29, 2022",$0.1629,$0.204,$0.1607,$0.1887,"$671,252","$671,252"
"Jun 28, 2022",$0.1672,$0.1721,$0.1626,$0.1627,"$170,787","$170,787"
"Jun 27, 2022",$0.1721,$0.1789,$0.1662,$0.1673,"$208,988","$208,988"
"Jun 26, 2022",$0.1754,$0.1768,$0.1708,$0.1718,"$131,669","$131,669"
"Jun 25, 2022",$0.1711,$0.1755,$0.1662,$0.1755,"$196,083","$196,083"
"Jun 24, 2022",$0.1648,$0.174,$0.1642,$0.1711,"$280,567","$280,567"
"Jun 23, 2022",$0.1549,$0.1664,$0.1548,$0.1648,"$129,812","$129,812"
"Jun 22, 2022",$0.1617,$0.163,$0.1537,$0.1549,"$164,488","$164,488"
"Jun 21, 2022",$0.1585,$0.1685,$0.1578,$0.1617,"$177,705","$177,705"
"Jun 20, 2022",$0.1679,$0.1681,$0.1552,$0.1583,"$192,293","$192,293"
"Jun 19, 2022",$0.1539,$0.171,$0.1483,$0.1682,"$197,836","$197,836"
"Jun 18, 2022",$0.1585,$0.1604,$0.1381,$0.1539,"$286,805","$286,805"
"Jun 17, 2022",$0.148,$0.1615,$0.1466,$0.1585,"$118,584","$118,584"
"Jun 16, 2022",$0.1633,$0.1636,$0.1466,$0.148,"$115,926","$115,926"
"Jun 15, 2022",$0.1551,$0.1635,$0.1432,$0.1633,"$236,615","$236,615"
"Jun 14, 2022",$0.1506,$0.1574,$0.1366,$0.1552,"$352,898","$352,898"
"Jun 13, 2022",$0.1778,$0.1785,$0.1362,$0.1506,"$776,743","$776,743"
"Jun 12, 2022",$0.1747,$0.1869,$0.1674,$0.1778,"$218,930","$218,930"
"Jun 11, 2022",$0.1829,$0.1849,$0.1696,$0.1747,"$143,446","$143,446"
"Jun 10, 2022",$0.1994,$0.201,$0.1809,$0.1829,"$204,018","$204,018"
"Jun 09, 2022",$0.1975,$0.2039,$0.1955,$0.1995,"$308,680","$308,680"
"Jun 08, 2022",$0.2021,$0.2055,$0.1958,$0.1974,"$366,371","$366,371"
"Jun 07, 2022",$0.202,$0.207,$0.1906,$0.2021,"$498,397","$498,397"
"Jun 06, 2022",$0.2128,$0.2203,$0.1976,$0.202,"$402,946","$402,946"
"Jun 05, 2022",$0.2189,$0.2197,$0.2089,$0.2128,"$197,699","$197,699"
"Jun 04, 2022",$0.2074,$0.2202,$0.2036,$0.2189,"$163,399","$163,399"
"Jun 03, 2022",$0.2143,$0.2178,$0.2043,$0.2074,"$170,469","$170,469"
"Jun 02, 2022",$0.2112,$0.2162,$0.2088,$0.2143,"$172,156","$172,156"
"Jun 01, 2022",$0.2257,$0.2278,$0.2094,$0.2112,"$218,454","$218,454"
"May 31, 2022",$0.2292,$0.2377,$0.2245,$0.2257,"$337,673","$337,673"
"May 30, 2022",$0.2309,$0.2369,$0.2144,$0.2292,"$524,763","$524,763"
"May 29, 2022",$0.2143,$0.2363,$0.2123,$0.2309,"$390,386","$390,386"
