Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.009127,$0.00928,$0.009045,$0.009128,"$87,148","$87,148"
"Sep 24, 2022",$0.009093,$0.009428,$0.008975,$0.009128,"$170,121","$170,121"
"Sep 23, 2022",$0.00927,$0.009302,$0.008982,$0.009093,"$126,515","$126,515"
"Sep 22, 2022",$0.009084,$0.009359,$0.00898,$0.009271,"$137,688","$137,688"
"Sep 21, 2022",$0.009448,$0.009605,$0.009024,$0.009088,"$224,441","$224,441"
"Sep 20, 2022",$0.009639,$0.009813,$0.009399,$0.009448,"$373,100","$373,100"
"Sep 19, 2022",$0.0116,$0.0117,$0.009499,$0.009639,"$1,662,735","$1,662,735"
"Sep 18, 2022",$0.009494,$0.01244,$0.009485,$0.01165,"$4,318,105","$4,318,105"
"Sep 17, 2022",$0.009643,$0.009758,$0.009373,$0.009495,"$172,440","$172,440"
"Sep 16, 2022",$0.009803,$0.009945,$0.009626,$0.009641,"$131,426","$131,426"
"Sep 15, 2022",$0.0102,$0.01022,$0.009689,$0.009803,"$149,132","$149,132"
"Sep 14, 2022",$0.009845,$0.01023,$0.009742,$0.0102,"$120,982","$120,982"
"Sep 13, 2022",$0.01093,$0.01093,$0.009718,$0.009837,"$303,720","$303,720"
"Sep 12, 2022",$0.01104,$0.0111,$0.01082,$0.01093,"$176,326","$176,326"
"Sep 11, 2022",$0.01099,$0.01109,$0.01081,$0.01104,"$150,948","$150,948"
"Sep 10, 2022",$0.01111,$0.0112,$0.01076,$0.01099,"$142,176","$142,176"
"Sep 09, 2022",$0.0106,$0.01138,$0.01056,$0.01111,"$235,788","$235,788"
"Sep 08, 2022",$0.01054,$0.01102,$0.01044,$0.0106,"$255,311","$255,311"
"Sep 07, 2022",$0.0108,$0.01174,$0.01048,$0.01058,"$998,914","$998,914"
"Sep 06, 2022",$0.01072,$0.01144,$0.01027,$0.01081,"$1,014,632","$1,014,632"
"Sep 05, 2022",$0.01031,$0.01103,$0.01016,$0.01072,"$266,462","$266,462"
"Sep 04, 2022",$0.01024,$0.01103,$0.01024,$0.01031,"$360,036","$360,036"
"Sep 03, 2022",$0.01023,$0.01056,$0.01004,$0.01024,"$243,184","$243,184"
"Sep 02, 2022",$0.0104,$0.01052,$0.01014,$0.01023,"$200,082","$200,082"
"Sep 01, 2022",$0.01042,$0.01057,$0.01016,$0.01037,"$157,259","$157,259"
"Aug 31, 2022",$0.01045,$0.01072,$0.01023,$0.01042,"$191,275","$191,275"
"Aug 30, 2022",$0.01054,$0.01084,$0.01033,$0.01045,"$152,241","$152,241"
"Aug 29, 2022",$0.01027,$0.01091,$0.01013,$0.01054,"$399,550","$399,550"
"Aug 28, 2022",$0.01079,$0.0109,$0.01027,$0.01027,"$201,211","$201,211"
"Aug 27, 2022",$0.01069,$0.011,$0.0105,$0.01079,"$390,258","$390,258"
"Aug 26, 2022",$0.01102,$0.01145,$0.01064,$0.01069,"$670,655","$670,655"
"Aug 25, 2022",$0.01235,$0.0149,$0.01082,$0.01102,"$7,054,822","$7,054,822"
"Aug 24, 2022",$0.01081,$0.01405,$0.01019,$0.01238,"$2,199,495","$2,199,495"
"Aug 23, 2022",$0.01071,$0.01104,$0.01054,$0.01071,"$182,480","$182,480"
"Aug 22, 2022",$0.01146,$0.01163,$0.01048,$0.01071,"$323,558","$323,558"
"Aug 21, 2022",$0.01133,$0.01171,$0.01128,$0.01141,"$130,856","$130,856"
"Aug 20, 2022",$0.01119,$0.01211,$0.0109,$0.01133,"$222,906","$222,906"
"Aug 19, 2022",$0.01298,$0.01298,$0.01099,$0.01119,"$449,156","$449,156"
"Aug 18, 2022",$0.01285,$0.0134,$0.01246,$0.01298,"$305,550","$305,550"
"Aug 17, 2022",$0.01284,$0.01426,$0.01265,$0.01285,"$817,277","$817,277"
"Aug 16, 2022",$0.01241,$0.01382,$0.01226,$0.01284,"$491,472","$491,472"
"Aug 15, 2022",$0.01353,$0.01358,$0.01229,$0.01241,"$614,941","$614,941"
"Aug 14, 2022",$0.01516,$0.01516,$0.01316,$0.01362,"$2,352,456","$2,352,456"
"Aug 13, 2022",$0.01325,$0.01658,$0.0128,$0.01518,"$5,405,725","$5,405,725"
"Aug 12, 2022",$0.01252,$0.01337,$0.01235,$0.01316,"$672,470","$672,470"
"Aug 11, 2022",$0.01293,$0.01331,$0.01225,$0.01252,"$725,714","$725,714"
"Aug 10, 2022",$0.01278,$0.01573,$0.0126,$0.01294,"$2,498,309","$2,498,309"
"Aug 09, 2022",$0.01409,$0.01811,$0.01262,$0.01283,"$10,245,574","$10,245,574"
"Aug 08, 2022",$0.01203,$0.01476,$0.01148,$0.01408,"$3,002,101","$3,002,101"
"Aug 07, 2022",$0.0174,$0.01839,$0.0119,$0.01206,"$7,051,571","$7,051,571"
"Aug 06, 2022",$0.01187,$0.01868,$0.01121,$0.01778,"$13,391,775","$13,391,775"
"Aug 05, 2022",$0.0101,$0.01274,$0.01004,$0.01185,"$1,653,652","$1,653,652"
"Aug 04, 2022",$0.009567,$0.01034,$0.009566,$0.01011,"$486,564","$486,564"
"Aug 03, 2022",$0.009722,$0.009811,$0.009572,$0.009572,"$84,977","$84,977"
"Aug 02, 2022",$0.009819,$0.009971,$0.009691,$0.009721,"$92,174","$92,174"
"Aug 01, 2022",$0.009953,$0.009963,$0.00973,$0.00982,"$101,592","$101,592"
"Jul 31, 2022",$0.009899,$0.01034,$0.009851,$0.009956,"$145,154","$145,154"
"Jul 30, 2022",$0.01011,$0.01016,$0.009861,$0.009902,"$117,987","$117,987"
"Jul 29, 2022",$0.009934,$0.01031,$0.009784,$0.01011,"$115,516","$115,516"
"Jul 28, 2022",$0.009504,$0.01002,$0.009377,$0.009933,"$175,009","$175,009"
"Jul 27, 2022",$0.009215,$0.009503,$0.009092,$0.009502,"$98,359","$98,359"
"Jul 26, 2022",$0.009226,$0.009277,$0.009091,$0.009211,"$98,963","$98,963"
"Jul 25, 2022",$0.009549,$0.009605,$0.009166,$0.009224,"$280,546","$280,546"
"Jul 24, 2022",$0.009442,$0.01052,$0.009334,$0.009549,"$876,101","$876,101"
"Jul 23, 2022",$0.00933,$0.01041,$0.009294,$0.009421,"$581,083","$581,083"
"Jul 22, 2022",$0.008819,$0.01089,$0.008819,$0.009616,"$1,682,016","$1,682,016"
"Jul 21, 2022",$0.008958,$0.009079,$0.008632,$0.008818,"$155,656","$155,656"
"Jul 20, 2022",$0.00927,$0.009327,$0.008893,$0.009022,"$175,799","$175,799"
"Jul 19, 2022",$0.008965,$0.009317,$0.008898,$0.009269,"$130,540","$130,540"
"Jul 18, 2022",$0.008682,$0.009167,$0.00868,$0.009033,"$177,615","$177,615"
"Jul 17, 2022",$0.008743,$0.009213,$0.00868,$0.00868,"$217,015","$217,015"
"Jul 16, 2022",$0.008967,$0.008968,$0.00846,$0.008743,"$206,737","$206,737"
"Jul 15, 2022",$0.008196,$0.01142,$0.008151,$0.008967,"$68,364","$68,364"
"Jul 14, 2022",$0.008269,$0.008455,$0.008142,$0.008196,"$99,342","$99,342"
"Jul 13, 2022",$0.008285,$0.00837,$0.008044,$0.008278,"$131,291","$131,291"
"Jul 12, 2022",$0.008235,$0.008622,$0.008235,$0.008284,"$176,445","$176,445"
"Jul 11, 2022",$0.008693,$0.00878,$0.008233,$0.008235,"$139,362","$139,362"
"Jul 10, 2022",$0.009069,$0.009152,$0.008599,$0.008694,"$159,736","$159,736"
"Jul 09, 2022",$0.008543,$0.009131,$0.008478,$0.009068,"$150,436","$150,436"
"Jul 08, 2022",$0.008395,$0.00905,$0.008228,$0.008544,"$166,567","$166,567"
"Jul 07, 2022",$0.008147,$0.009595,$0.008046,$0.008416,"$479,163","$479,163"
