Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.001783,$0.00181,$0.001651,$0.00168,$961,$961
"Sep 24, 2022",$0.001991,$0.002002,$0.001711,$0.001791,$764,$764
"Sep 23, 2022",$0.001986,$0.002001,$0.001797,$0.001991,$491,$491
"Sep 22, 2022",$0.001894,$0.001987,$0.001881,$0.001987,$226,$226
"Sep 21, 2022",$0.001961,$0.002039,$0.001878,$0.001894,$262,$262
"Sep 20, 2022",$0.001898,$0.001998,$0.001887,$0.001961,$329,$329
"Sep 19, 2022",$0.001829,$0.001948,$0.001785,$0.001895,$309,$309
"Sep 18, 2022",$0.002152,$0.002242,$0.001819,$0.001843,$880,$880
"Sep 17, 2022",$0.002067,$0.002157,$0.001874,$0.002152,$564,$564
"Sep 16, 2022",$0.002162,$0.002195,$0.001859,$0.002067,"$3,627","$3,627"
"Sep 15, 2022",$0.002203,$0.00228,$0.001992,$0.00207,$815,$815
"Sep 14, 2022",$0.002212,$0.002231,$0.002067,$0.002203,"$1,520","$1,520"
"Sep 13, 2022",$0.002344,$0.00252,$0.002184,$0.002209,"$5,691","$5,691"
"Sep 12, 2022",$0.002317,$0.002381,$0.002178,$0.002343,"$1,142","$1,142"
"Sep 11, 2022",$0.002178,$0.002425,$0.002178,$0.002318,"$6,190","$6,190"
"Sep 10, 2022",$0.001965,$0.002194,$0.001963,$0.00216,"$2,491","$2,491"
"Sep 09, 2022",$0.001923,$0.001989,$0.001922,$0.001965,"$2,146","$2,146"
"Sep 08, 2022",$0.001831,$0.002004,$0.00183,$0.001923,$878,$878
"Sep 07, 2022",$0.001791,$0.001832,$0.001744,$0.001831,$782,$782
"Sep 06, 2022",$0.001882,$0.001901,$0.00179,$0.001791,"$2,969","$2,969"
"Sep 05, 2022",$0.001761,$0.001885,$0.001726,$0.001883,$625,$625
"Sep 04, 2022",$0.001728,$0.001779,$0.001651,$0.001761,"$2,911","$2,911"
"Sep 03, 2022",$0.001712,$0.001737,$0.001709,$0.001728,"$1,707","$1,707"
"Sep 02, 2022",$0.00171,$0.001715,$0.00171,$0.001712,"$1,117","$1,117"
"Sep 01, 2022",$0.001709,$0.00171,$0.001705,$0.00171,"$1,117","$1,117"
"Aug 31, 2022",$0.001701,$0.001715,$0.001701,$0.001709,"$1,115","$1,115"
