Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.0791,$0.0814,$0.07702,$0.08102,"$5,878,946","$5,878,946"
"Sep 18, 2022",$0.08696,$0.08833,$0.07802,$0.07909,"$7,663,111","$7,663,111"
"Sep 17, 2022",$0.08382,$0.08717,$0.08379,$0.08701,"$5,548,587","$5,548,587"
"Sep 16, 2022",$0.08302,$0.08403,$0.07975,$0.0838,"$8,714,673","$8,714,673"
"Sep 15, 2022",$0.08138,$0.08468,$0.07899,$0.08301,"$9,374,743","$9,374,743"
"Sep 14, 2022",$0.08206,$0.08442,$0.07932,$0.08139,"$7,414,781","$7,414,781"
"Sep 13, 2022",$0.08859,$0.0889,$0.08142,$0.08308,"$9,605,181","$9,605,181"
"Sep 12, 2022",$0.08686,$0.09117,$0.08559,$0.08859,"$8,845,817","$8,845,817"
"Sep 11, 2022",$0.08822,$0.09226,$0.08552,$0.08687,"$8,152,905","$8,152,905"
"Sep 10, 2022",$0.0908,$0.09264,$0.08734,$0.08822,"$7,329,316","$7,329,316"
"Sep 09, 2022",$0.08591,$0.09225,$0.0859,$0.09081,"$7,065,522","$7,065,522"
"Sep 08, 2022",$0.08728,$0.08799,$0.08398,$0.08592,"$7,742,286","$7,742,286"
"Sep 07, 2022",$0.08279,$0.08862,$0.08279,$0.0873,"$7,292,363","$7,292,363"
"Sep 06, 2022",$0.09342,$0.09496,$0.08279,$0.0828,"$9,545,027","$9,545,027"
"Sep 05, 2022",$0.09637,$0.09691,$0.09211,$0.09341,"$4,107,036","$4,107,036"
"Sep 04, 2022",$0.09543,$0.09651,$0.09378,$0.09636,"$4,253,746","$4,253,746"
"Sep 03, 2022",$0.09612,$0.09679,$0.09485,$0.09544,"$4,465,944","$4,465,944"
"Sep 02, 2022",$0.09818,$0.09924,$0.09222,$0.09611,"$10,266,204","$10,266,204"
"Sep 01, 2022",$0.09971,$0.1003,$0.09464,$0.09818,"$9,516,910","$9,516,910"
"Aug 31, 2022",$0.1021,$0.105,$0.09968,$0.09971,"$7,795,499","$7,795,499"
"Aug 30, 2022",$0.1106,$0.1125,$0.09915,$0.102,"$15,965,637","$15,965,637"
"Aug 29, 2022",$0.1039,$0.1109,$0.1026,$0.1107,"$15,055,813","$15,055,813"
"Aug 28, 2022",$0.1093,$0.1119,$0.1037,$0.1039,"$12,700,847","$12,700,847"
"Aug 27, 2022",$0.1208,$0.1208,$0.106,$0.1093,"$38,657,026","$38,657,026"
"Aug 26, 2022",$0.1205,$0.1357,$0.1101,$0.1209,"$105,444,781","$105,444,781"
"Aug 25, 2022",$0.1266,$0.1881,$0.1148,$0.1205,"$282,448,080","$282,448,080"
"Aug 24, 2022",$0.09381,$0.1754,$0.09105,$0.1265,"$142,333,602","$142,333,602"
"Aug 23, 2022",$0.07797,$0.09379,$0.07606,$0.09376,"$13,723,319","$13,723,319"
"Aug 22, 2022",$0.08003,$0.08003,$0.07511,$0.07797,"$3,847,530","$3,847,530"
"Aug 21, 2022",$0.07832,$0.08113,$0.07823,$0.08004,"$2,839,965","$2,839,965"
"Aug 20, 2022",$0.07916,$0.08801,$0.07654,$0.07832,"$12,625,355","$12,625,355"
"Aug 19, 2022",$0.07861,$0.08242,$0.07285,$0.07919,"$15,938,333","$15,938,333"
"Aug 18, 2022",$0.08537,$0.08844,$0.07841,$0.07861,"$5,546,663","$5,546,663"
"Aug 17, 2022",$0.09422,$0.09697,$0.08523,$0.08536,"$7,713,300","$7,713,300"
"Aug 16, 2022",$0.09585,$0.09691,$0.09376,$0.09423,"$3,334,805","$3,334,805"
"Aug 15, 2022",$0.09803,$0.1011,$0.09467,$0.09588,"$4,926,990","$4,926,990"
"Aug 14, 2022",$0.1037,$0.1065,$0.09782,$0.09803,"$4,283,071","$4,283,071"
"Aug 13, 2022",$0.1082,$0.1087,$0.1031,$0.1033,"$3,786,312","$3,786,312"
"Aug 12, 2022",$0.1063,$0.1083,$0.1036,$0.1082,"$4,102,615","$4,102,615"
"Aug 11, 2022",$0.1044,$0.1104,$0.1043,$0.1063,"$8,624,241","$8,624,241"
"Aug 10, 2022",$0.09933,$0.1045,$0.09693,$0.1045,"$5,905,062","$5,905,062"
"Aug 09, 2022",$0.1049,$0.1086,$0.09862,$0.09934,"$6,814,651","$6,814,651"
"Aug 08, 2022",$0.1021,$0.1087,$0.1021,$0.1049,"$6,412,757","$6,412,757"
"Aug 07, 2022",$0.1034,$0.1057,$0.1021,$0.1021,"$3,547,619","$3,547,619"
"Aug 06, 2022",$0.1062,$0.1075,$0.1029,$0.1034,"$4,057,652","$4,057,652"
"Aug 05, 2022",$0.1017,$0.1073,$0.1013,$0.1062,"$4,554,736","$4,554,736"
"Aug 04, 2022",$0.09863,$0.1023,$0.09853,$0.1017,"$3,681,256","$3,681,256"
"Aug 03, 2022",$0.1011,$0.1039,$0.09745,$0.09866,"$3,625,155","$3,625,155"
"Aug 02, 2022",$0.1059,$0.107,$0.09833,$0.1011,"$5,237,573","$5,237,573"
"Aug 01, 2022",$0.1023,$0.1087,$0.102,$0.1059,"$6,353,737","$6,353,737"
"Jul 31, 2022",$0.1057,$0.1124,$0.1014,$0.1023,"$11,701,844","$11,701,844"
"Jul 30, 2022",$0.1013,$0.1129,$0.1012,$0.1057,"$13,286,322","$13,286,322"
"Jul 29, 2022",$0.1042,$0.1076,$0.09968,$0.1013,"$9,139,861","$9,139,861"
"Jul 28, 2022",$0.09771,$0.1063,$0.09696,$0.1042,"$9,613,830","$9,613,830"
"Jul 27, 2022",$0.09013,$0.09789,$0.08865,$0.0977,"$9,130,311","$9,130,311"
"Jul 26, 2022",$0.09135,$0.09146,$0.08675,$0.09005,"$3,309,463","$3,309,463"
"Jul 25, 2022",$0.1015,$0.102,$0.09132,$0.09136,"$3,706,717","$3,706,717"
"Jul 24, 2022",$0.101,$0.1032,$0.09996,$0.1016,"$4,036,470","$4,036,470"
"Jul 23, 2022",$0.1114,$0.1115,$0.1003,$0.101,"$7,989,140","$7,989,140"
"Jul 22, 2022",$0.09846,$0.1155,$0.0983,$0.1115,"$21,732,520","$21,732,520"
"Jul 21, 2022",$0.0971,$0.09912,$0.09337,$0.09847,"$4,634,194","$4,634,194"
"Jul 20, 2022",$0.1018,$0.1053,$0.09619,$0.09711,"$8,300,994","$8,300,994"
"Jul 19, 2022",$0.09925,$0.1028,$0.0967,$0.1018,"$7,807,320","$7,807,320"
"Jul 18, 2022",$0.0913,$0.09947,$0.0913,$0.09934,"$6,554,760","$6,554,760"
"Jul 17, 2022",$0.09259,$0.09718,$0.09127,$0.09128,"$5,374,214","$5,374,214"
"Jul 16, 2022",$0.09074,$0.09376,$0.08844,$0.09257,"$4,186,495","$4,186,495"
"Jul 15, 2022",$0.08888,$0.09344,$0.08852,$0.09075,"$6,462,500","$6,462,500"
"Jul 14, 2022",$0.08774,$0.0895,$0.08523,$0.08887,"$4,633,323","$4,633,323"
"Jul 13, 2022",$0.08476,$0.08773,$0.07961,$0.08773,"$6,709,795","$6,709,795"
"Jul 12, 2022",$0.08531,$0.08831,$0.08465,$0.08476,"$3,694,600","$3,694,600"
"Jul 11, 2022",$0.09617,$0.09617,$0.08461,$0.08531,"$4,885,742","$4,885,742"
"Jul 10, 2022",$0.1016,$0.1035,$0.09547,$0.09627,"$11,327,409","$11,327,409"
"Jul 09, 2022",$0.09305,$0.1031,$0.09278,$0.1016,"$5,729,931","$5,729,931"
"Jul 08, 2022",$0.09286,$0.09693,$0.09122,$0.09309,"$5,193,545","$5,193,545"
"Jul 07, 2022",$0.09013,$0.09348,$0.08994,$0.09287,"$5,064,999","$5,064,999"
"Jul 06, 2022",$0.08856,$0.0909,$0.08755,$0.09013,"$4,195,943","$4,195,943"
"Jul 05, 2022",$0.09234,$0.09428,$0.087,$0.08855,"$5,588,492","$5,588,492"
"Jul 04, 2022",$0.08751,$0.09279,$0.08603,$0.09237,"$7,254,640","$7,254,640"
"Jul 03, 2022",$0.08453,$0.08856,$0.08382,$0.08754,"$6,832,013","$6,832,013"
"Jul 02, 2022",$0.0851,$0.08574,$0.08289,$0.08452,"$3,495,080","$3,495,080"
"Jul 01, 2022",$0.08666,$0.09079,$0.08462,$0.08502,"$6,577,194","$6,577,194"
"Jun 30, 2022",$0.09253,$0.0933,$0.08324,$0.08655,"$6,849,196","$6,849,196"
"Jun 29, 2022",$0.08866,$0.09512,$0.08841,$0.09247,"$8,611,353","$8,611,353"
"Jun 28, 2022",$0.09247,$0.09456,$0.08837,$0.08868,"$5,464,141","$5,464,141"
"Jun 27, 2022",$0.09125,$0.09638,$0.09071,$0.09253,"$6,389,424","$6,389,424"
"Jun 26, 2022",$0.102,$0.1026,$0.09106,$0.09124,"$8,101,335","$8,101,335"
"Jun 25, 2022",$0.09607,$0.1046,$0.0936,$0.102,"$27,859,699","$27,859,699"
"Jun 24, 2022",$0.0917,$0.0971,$0.09105,$0.09609,"$11,111,573","$11,111,573"
"Jun 23, 2022",$0.0827,$0.09325,$0.08267,$0.09172,"$9,189,002","$9,189,002"
"Jun 22, 2022",$0.08831,$0.0885,$0.08203,$0.08272,"$8,442,608","$8,442,608"
"Jun 21, 2022",$0.09013,$0.09507,$0.08801,$0.08828,"$12,114,362","$12,114,362"
"Jun 20, 2022",$0.09072,$0.09331,$0.0862,$0.09014,"$11,193,931","$11,193,931"
"Jun 19, 2022",$0.08732,$0.09505,$0.08559,$0.09072,"$17,031,301","$17,031,301"
"Jun 18, 2022",$0.08957,$0.09055,$0.07853,$0.08735,"$14,838,021","$14,838,021"
"Jun 17, 2022",$0.08906,$0.09559,$0.08823,$0.08957,"$11,266,905","$11,266,905"
"Jun 16, 2022",$0.1095,$0.1134,$0.0867,$0.08904,"$17,196,646","$17,196,646"
"Jun 15, 2022",$0.1117,$0.1117,$0.09151,$0.1095,"$24,047,033","$24,047,033"
"Jun 14, 2022",$0.1126,$0.123,$0.1043,$0.1118,"$22,469,942","$22,469,942"
"Jun 13, 2022",$0.1399,$0.1404,$0.108,$0.1126,"$36,867,728","$36,867,728"
"Jun 12, 2022",$0.162,$0.1636,$0.1378,$0.1401,"$37,373,936","$37,373,936"
"Jun 11, 2022",$0.1676,$0.1801,$0.1557,$0.1621,"$56,706,531","$56,706,531"
"Jun 10, 2022",$0.1722,$0.2059,$0.1669,$0.1676,"$107,153,959","$107,153,959"
"Jun 09, 2022",$0.1563,$0.1843,$0.1428,$0.1723,"$77,991,790","$77,991,790"
