Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$1.15,$1.44,$1.14,$1.42,"$10,081,943","$10,081,943"
"Sep 21, 2022",$1.19,$1.24,$1.12,$1.15,"$8,215,208","$8,215,208"
"Sep 20, 2022",$1.28,$1.28,$1.19,$1.19,"$7,214,562","$7,214,562"
"Sep 19, 2022",$1.17,$1.31,$1.08,$1.28,"$15,297,394","$15,297,394"
"Sep 18, 2022",$1.34,$1.42,$1.11,$1.17,"$16,912,655","$16,912,655"
"Sep 17, 2022",$1.46,$1.59,$1.34,$1.34,"$13,131,311","$13,131,311"
"Sep 16, 2022",$1.69,$1.69,$1.41,$1.46,"$18,487,793","$18,487,793"
"Sep 15, 2022",$1.85,$1.86,$1.66,$1.69,"$13,504,143","$13,504,143"
"Sep 14, 2022",$1.81,$1.88,$1.74,$1.85,"$16,980,111","$16,980,111"
"Sep 13, 2022",$1.99,$2.07,$1.78,$1.81,"$18,296,613","$18,296,613"
"Sep 12, 2022",$1.99,$2.01,$1.77,$1.99,"$30,543,823","$30,543,823"
"Sep 11, 2022",$1.80,$2.04,$1.65,$1.98,"$25,983,244","$25,983,244"
"Sep 10, 2022",$1.86,$1.88,$1.76,$1.80,"$9,761,999","$9,761,999"
"Sep 09, 2022",$1.78,$1.91,$1.77,$1.86,"$14,392,762","$14,392,762"
"Sep 08, 2022",$1.79,$1.81,$1.66,$1.78,"$13,673,687","$13,673,687"
"Sep 07, 2022",$1.74,$1.86,$1.53,$1.79,"$28,242,590","$28,242,590"
"Sep 06, 2022",$1.87,$1.94,$1.70,$1.74,"$17,150,007","$17,150,007"
"Sep 05, 2022",$2.00,$2.01,$1.85,$1.87,"$13,975,913","$13,975,913"
"Sep 04, 2022",$1.86,$2.02,$1.83,$2.00,"$16,116,471","$16,116,471"
"Sep 03, 2022",$1.72,$1.94,$1.53,$1.86,"$24,378,477","$24,378,477"
"Sep 02, 2022",$1.90,$1.90,$1.67,$1.71,"$14,030,213","$14,030,213"
"Sep 01, 2022",$2.02,$2.08,$1.80,$1.90,"$15,212,841","$15,212,841"
"Aug 31, 2022",$1.87,$2.11,$1.87,$2.02,"$19,368,698","$19,368,698"
"Aug 30, 2022",$1.64,$2.20,$1.59,$1.87,"$55,344,430","$55,344,430"
"Aug 29, 2022",$1.08,$1.69,$1.07,$1.62,"$44,040,483","$44,040,483"
"Aug 28, 2022",$1.02,$1.15,$1.00,$1.08,"$12,240,948","$12,240,948"
