Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.225,$0.2293,$0.2218,$0.2288,"$2,636,940","$2,636,940"
"Sep 18, 2022",$0.2386,$0.2429,$0.2223,$0.2249,"$2,302,449","$2,302,449"
"Sep 17, 2022",$0.234,$0.2412,$0.2327,$0.2385,"$2,810,529","$2,810,529"
"Sep 16, 2022",$0.2401,$0.243,$0.231,$0.234,"$898,775","$898,775"
"Sep 15, 2022",$0.25,$0.2521,$0.2373,$0.24,"$818,864","$818,864"
"Sep 14, 2022",$0.2445,$0.2505,$0.2361,$0.2503,"$2,519,147","$2,519,147"
"Sep 13, 2022",$0.2653,$0.2717,$0.2417,$0.2478,"$1,124,832","$1,124,832"
"Sep 12, 2022",$0.258,$0.2713,$0.2562,$0.2653,"$848,492","$848,492"
"Sep 11, 2022",$0.2708,$0.2802,$0.2553,$0.2579,"$954,979","$954,979"
"Sep 10, 2022",$0.2688,$0.2764,$0.255,$0.2706,"$2,499,587","$2,499,587"
"Sep 09, 2022",$0.2586,$0.2799,$0.2557,$0.2688,"$857,030","$857,030"
"Sep 08, 2022",$0.2611,$0.2611,$0.243,$0.2584,"$2,120,229","$2,120,229"
"Sep 07, 2022",$0.2499,$0.2615,$0.2435,$0.2609,"$2,614,740","$2,614,740"
"Sep 06, 2022",$0.2707,$0.2965,$0.2468,$0.2502,"$3,167,295","$3,167,295"
"Sep 05, 2022",$0.2502,$0.2713,$0.2454,$0.2707,"$707,403","$707,403"
"Sep 04, 2022",$0.2462,$0.2512,$0.2396,$0.2503,"$2,350,976","$2,350,976"
"Sep 03, 2022",$0.2508,$0.2548,$0.2401,$0.2464,"$2,175,345","$2,175,345"
"Sep 02, 2022",$0.2577,$0.262,$0.2485,$0.2506,"$2,049,931","$2,049,931"
"Sep 01, 2022",$0.2613,$0.2619,$0.2431,$0.2577,"$2,046,262","$2,046,262"
"Aug 31, 2022",$0.2611,$0.2637,$0.259,$0.2614,"$727,537","$727,537"
"Aug 30, 2022",$0.2855,$0.3019,$0.2465,$0.2608,"$1,233,103","$1,233,103"
"Aug 29, 2022",$0.2778,$0.2893,$0.2554,$0.2855,"$949,171","$949,171"
"Aug 28, 2022",$0.2892,$0.2982,$0.2775,$0.2778,"$2,780,859","$2,780,859"
"Aug 27, 2022",$0.3002,$0.3014,$0.2855,$0.289,"$2,710,760","$2,710,760"
"Aug 26, 2022",$0.3307,$0.3307,$0.2911,$0.3003,"$2,896,974","$2,896,974"
"Aug 25, 2022",$0.3318,$0.3392,$0.3225,$0.3308,"$3,745,809","$3,745,809"
"Aug 24, 2022",$0.3349,$0.3443,$0.3264,$0.3318,"$3,128,522","$3,128,522"
"Aug 23, 2022",$0.3329,$0.3418,$0.3257,$0.335,"$2,780,678","$2,780,678"
"Aug 22, 2022",$0.3595,$0.3626,$0.3272,$0.3328,"$3,320,513","$3,320,513"
