Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.1297,$0.1353,$0.1295,$0.1349,"$59,135","$59,135"
"Sep 21, 2022",$0.1252,$0.135,$0.1221,$0.1297,"$164,434","$164,434"
"Sep 20, 2022",$0.1353,$0.1357,$0.1244,$0.1254,"$118,549","$118,549"
"Sep 19, 2022",$0.1317,$0.1397,$0.1262,$0.1352,"$279,456","$279,456"
"Sep 18, 2022",$0.1385,$0.1404,$0.1312,$0.1316,"$99,791","$99,791"
"Sep 17, 2022",$0.1405,$0.1439,$0.1375,$0.1385,"$108,338","$108,338"
"Sep 16, 2022",$0.1379,$0.1412,$0.1369,$0.1406,"$104,190","$104,190"
"Sep 15, 2022",$0.1407,$0.1412,$0.1354,$0.1377,"$121,942","$121,942"
"Sep 14, 2022",$0.1405,$0.1424,$0.1368,$0.1407,"$72,908","$72,908"
"Sep 13, 2022",$0.1459,$0.1511,$0.1392,$0.1408,"$258,213","$258,213"
"Sep 12, 2022",$0.1571,$0.1581,$0.1421,$0.1459,"$140,971","$140,971"
"Sep 11, 2022",$0.148,$0.1574,$0.1466,$0.1571,"$211,597","$211,597"
"Sep 10, 2022",$0.1487,$0.1521,$0.1446,$0.1481,"$82,516","$82,516"
"Sep 09, 2022",$0.1394,$0.1502,$0.1394,$0.1487,"$86,128","$86,128"
"Sep 08, 2022",$0.1447,$0.1457,$0.1382,$0.1393,"$110,742","$110,742"
"Sep 07, 2022",$0.1403,$0.1458,$0.1362,$0.1446,"$65,453","$65,453"
"Sep 06, 2022",$0.1483,$0.1512,$0.1371,$0.1404,"$133,312","$133,312"
"Sep 05, 2022",$0.1431,$0.1517,$0.1405,$0.1483,"$139,454","$139,454"
"Sep 04, 2022",$0.1441,$0.1463,$0.1399,$0.1431,"$178,344","$178,344"
"Sep 03, 2022",$0.1451,$0.1467,$0.1429,$0.1441,"$48,922","$48,922"
"Sep 02, 2022",$0.1457,$0.1478,$0.1435,$0.1451,"$107,035","$107,035"
"Sep 01, 2022",$0.147,$0.1474,$0.1398,$0.1457,"$122,938","$122,938"
"Aug 31, 2022",$0.1461,$0.152,$0.1438,$0.147,"$110,988","$110,988"
"Aug 30, 2022",$0.1443,$0.1509,$0.1399,$0.146,"$117,607","$117,607"
"Aug 29, 2022",$0.145,$0.1481,$0.1402,$0.1443,"$110,623","$110,623"
"Aug 28, 2022",$0.1455,$0.1524,$0.1445,$0.1451,"$184,002","$184,002"
"Aug 27, 2022",$0.1451,$0.1491,$0.1439,$0.1455,"$71,129","$71,129"
"Aug 26, 2022",$0.1558,$0.1576,$0.1446,$0.1451,"$174,618","$174,618"
"Aug 25, 2022",$0.1694,$0.1741,$0.1551,$0.1558,"$122,541","$122,541"
