Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$4.15,$4.17,$3.95,$3.97,"$459,739","$459,739"
"Sep 20, 2022",$4.46,$4.46,$4.13,$4.15,"$135,013","$135,013"
"Sep 19, 2022",$4.31,$4.55,$4.25,$4.46,"$349,735","$349,735"
"Sep 18, 2022",$4.41,$4.42,$4.26,$4.31,"$432,470","$432,470"
"Sep 17, 2022",$4.34,$4.45,$4.30,$4.41,"$356,231","$356,231"
"Sep 16, 2022",$4.50,$4.52,$4.29,$4.34,"$471,331","$471,331"
"Sep 15, 2022",$4.45,$4.54,$4.43,$4.50,"$562,470","$562,470"
"Sep 14, 2022",$4.46,$4.53,$4.43,$4.45,"$480,565","$480,565"
"Sep 13, 2022",$4.48,$4.56,$4.44,$4.49,"$634,941","$634,941"
"Sep 12, 2022",$4.50,$4.53,$4.43,$4.48,"$210,758","$210,758"
"Sep 11, 2022",$4.55,$4.63,$4.41,$4.50,"$342,266","$342,266"
"Sep 10, 2022",$4.38,$4.57,$4.38,$4.55,"$64,218","$64,218"
"Sep 09, 2022",$4.29,$4.48,$4.23,$4.38,"$147,958","$147,958"
"Sep 08, 2022",$4.35,$4.36,$4.17,$4.29,"$1,000,962","$1,000,962"
"Sep 07, 2022",$4.09,$4.35,$4.06,$4.35,"$2,073,215","$2,073,215"
"Sep 06, 2022",$4.22,$4.28,$4.05,$4.09,"$2,208,302","$2,208,302"
"Sep 05, 2022",$4.22,$4.29,$4.11,$4.22,"$990,842","$990,842"
"Sep 04, 2022",$4.27,$4.28,$4.13,$4.22,"$1,313,752","$1,313,752"
"Sep 03, 2022",$4.21,$4.29,$4.08,$4.27,"$1,632,914","$1,632,914"
"Sep 02, 2022",$4.08,$4.30,$4.03,$4.21,"$924,072","$924,072"
"Sep 01, 2022",$4.19,$4.28,$4.02,$4.08,"$917,502","$917,502"
"Aug 31, 2022",$4.06,$4.27,$4.05,$4.19,"$617,690","$617,690"
"Aug 30, 2022",$4.08,$4.17,$4.01,$4.06,"$754,879","$754,879"
"Aug 29, 2022",$4.08,$4.18,$4.00,$4.08,"$551,345","$551,345"
"Aug 28, 2022",$4.08,$4.15,$4.02,$4.08,"$6,682","$6,682"
"Aug 27, 2022",$4.11,$4.15,$4.02,$4.08,"$1,970,180","$1,970,180"
"Aug 26, 2022",$4.15,$4.32,$4.07,$4.11,"$1,954,975","$1,954,975"
"Aug 25, 2022",$4.22,$4.29,$4.11,$4.15,"$2,166,597","$2,166,597"
"Aug 24, 2022",$4.20,$4.24,$4.09,$4.22,"$1,125,124","$1,125,124"
"Aug 23, 2022",$4.11,$4.20,$4.03,$4.20,"$1,541,213","$1,541,213"
"Aug 22, 2022",$4.24,$4.30,$4.07,$4.11,"$908,322","$908,322"
"Aug 21, 2022",$4.07,$4.28,$4.01,$4.24,"$721,157","$721,157"
"Aug 20, 2022",$4.15,$4.18,$4.00,$4.07,"$651,538","$651,538"
"Aug 19, 2022",$4.33,$4.33,$4.11,$4.15,"$1,140,296","$1,140,296"
"Aug 18, 2022",$4.47,$4.55,$4.28,$4.33,"$677,906","$677,906"
"Aug 17, 2022",$4.53,$4.66,$4.45,$4.47,"$689,355","$689,355"
"Aug 16, 2022",$4.64,$4.66,$4.49,$4.53,"$610,532","$610,532"
"Aug 15, 2022",$4.70,$4.86,$4.59,$4.64,"$981,906","$981,906"
"Aug 14, 2022",$4.74,$4.77,$4.66,$4.70,"$881,582","$881,582"
"Aug 13, 2022",$4.49,$4.75,$4.49,$4.74,"$490,593","$490,593"
"Aug 12, 2022",$4.54,$4.66,$4.49,$4.49,"$437,098","$437,098"
"Aug 11, 2022",$4.16,$4.74,$4.13,$4.54,"$897,986","$897,986"
