Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.009439,$0.009752,$0.009153,$0.009186,"$1,271,266","$1,271,266"
"Sep 20, 2022",$0.009388,$0.009645,$0.009232,$0.009439,"$7,242,355","$7,242,355"
"Sep 19, 2022",$0.009355,$0.009424,$0.009044,$0.009399,"$3,571,234","$3,571,234"
"Sep 18, 2022",$0.009714,$0.009762,$0.00931,$0.009362,"$2,054,382","$2,054,382"
"Sep 17, 2022",$0.009721,$0.009774,$0.00957,$0.009721,"$1,058,693","$1,058,693"
"Sep 16, 2022",$0.009692,$0.009762,$0.00957,$0.009734,"$783,820","$783,820"
"Sep 15, 2022",$0.009905,$0.01013,$0.009623,$0.009691,"$1,618,321","$1,618,321"
"Sep 14, 2022",$0.009797,$0.009997,$0.009732,$0.009904,"$698,306","$698,306"
"Sep 13, 2022",$0.01018,$0.01022,$0.009707,$0.009982,"$1,883,580","$1,883,580"
"Sep 12, 2022",$0.01007,$0.01036,$0.01002,$0.01018,"$6,253,580","$6,253,580"
"Sep 11, 2022",$0.01037,$0.01041,$0.009862,$0.01008,"$4,924,237","$4,924,237"
"Sep 10, 2022",$0.01023,$0.01085,$0.009665,$0.01037,"$3,484,398","$3,484,398"
"Sep 09, 2022",$0.01002,$0.01049,$0.009997,$0.01024,"$4,150,097","$4,150,097"
"Sep 08, 2022",$0.009625,$0.01015,$0.009588,$0.01002,"$3,431,655","$3,431,655"
"Sep 07, 2022",$0.009751,$0.009751,$0.009387,$0.009617,"$2,770,419","$2,770,419"
"Sep 06, 2022",$0.009817,$0.01031,$0.009722,$0.009766,"$12,160,247","$12,160,247"
"Sep 05, 2022",$0.009846,$0.009941,$0.009738,$0.009822,"$1,725,435","$1,725,435"
"Sep 04, 2022",$0.00962,$0.01003,$0.009551,$0.009833,"$1,635,323","$1,635,323"
"Sep 03, 2022",$0.009527,$0.009755,$0.009433,$0.009609,"$1,457,026","$1,457,026"
"Sep 02, 2022",$0.009491,$0.009762,$0.009456,$0.009533,"$2,818,318","$2,818,318"
"Sep 01, 2022",$0.009172,$0.009977,$0.008946,$0.009491,"$3,984,952","$3,984,952"
"Aug 31, 2022",$0.009097,$0.009392,$0.008967,$0.009169,"$6,920,792","$6,920,792"
"Aug 30, 2022",$0.009709,$0.009783,$0.008724,$0.009094,"$7,045,971","$7,045,971"
"Aug 29, 2022",$0.009584,$0.009715,$0.009439,$0.00971,"$5,736,092","$5,736,092"
"Aug 28, 2022",$0.009982,$0.01006,$0.009584,$0.009587,"$2,405,937","$2,405,937"
"Aug 27, 2022",$0.01048,$0.01048,$0.009903,$0.009979,"$40,017,587","$40,017,587"
"Aug 26, 2022",$0.01105,$0.01106,$0.01047,$0.01049,"$66,985,545","$66,985,545"
"Aug 25, 2022",$0.01126,$0.01126,$0.011,$0.01105,"$23,805,929","$23,805,929"
"Aug 24, 2022",$0.01105,$0.01131,$0.01101,$0.01126,"$9,966,007","$9,966,007"
"Aug 23, 2022",$0.01053,$0.01119,$0.01044,$0.01105,"$16,937,547","$16,937,547"
"Aug 22, 2022",$0.01064,$0.01066,$0.01036,$0.01052,"$3,217,378","$3,217,378"
"Aug 21, 2022",$0.01051,$0.01078,$0.01051,$0.01064,"$1,540,208","$1,540,208"
"Aug 20, 2022",$0.01071,$0.01083,$0.01046,$0.01052,"$1,499,156","$1,499,156"
"Aug 19, 2022",$0.01171,$0.01172,$0.01063,$0.01071,"$1,723,477","$1,723,477"
"Aug 18, 2022",$0.01163,$0.012,$0.01158,$0.0117,"$1,630,134","$1,630,134"
"Aug 17, 2022",$0.01245,$0.01327,$0.01149,$0.01163,"$1,868,047","$1,868,047"
"Aug 16, 2022",$0.01224,$0.01249,$0.01204,$0.01245,"$1,894,767","$1,894,767"
"Aug 15, 2022",$0.01266,$0.01301,$0.01205,$0.01224,"$1,866,507","$1,866,507"
"Aug 14, 2022",$0.01281,$0.01325,$0.01244,$0.01266,"$1,542,939","$1,542,939"
"Aug 13, 2022",$0.01275,$0.0133,$0.01267,$0.01281,"$1,878,044","$1,878,044"
"Aug 12, 2022",$0.0144,$0.01516,$0.01263,$0.01275,"$3,250,697","$3,250,697"
"Aug 11, 2022",$0.01286,$0.01449,$0.0128,$0.01438,"$2,739,359","$2,739,359"
"Aug 10, 2022",$0.01249,$0.01305,$0.01227,$0.01285,"$1,242,062","$1,242,062"
"Aug 09, 2022",$0.01316,$0.01339,$0.01227,$0.01249,"$1,060,795","$1,060,795"
"Aug 08, 2022",$0.01293,$0.01343,$0.01287,$0.01316,"$1,225,010","$1,225,010"
"Aug 07, 2022",$0.01262,$0.01304,$0.01251,$0.01293,"$853,446","$853,446"
"Aug 06, 2022",$0.01298,$0.013,$0.01261,$0.01261,"$919,150","$919,150"
"Aug 05, 2022",$0.0121,$0.01299,$0.0121,$0.01299,"$1,541,658","$1,541,658"
"Aug 04, 2022",$0.01209,$0.01233,$0.01189,$0.01211,"$1,153,375","$1,153,375"
"Aug 03, 2022",$0.01218,$0.01248,$0.01194,$0.01207,"$1,209,090","$1,209,090"
"Aug 02, 2022",$0.01254,$0.01258,$0.01166,$0.01218,"$1,627,771","$1,627,771"
"Aug 01, 2022",$0.01239,$0.01279,$0.01231,$0.01254,"$1,391,352","$1,391,352"
"Jul 31, 2022",$0.01239,$0.01268,$0.01213,$0.01239,"$1,379,879","$1,379,879"
"Jul 30, 2022",$0.01211,$0.01337,$0.01203,$0.0124,"$1,840,157","$1,840,157"
"Jul 29, 2022",$0.01228,$0.01261,$0.01181,$0.01211,"$1,635,839","$1,635,839"
"Jul 28, 2022",$0.01201,$0.01243,$0.0118,$0.01228,"$1,501,424","$1,501,424"
"Jul 27, 2022",$0.01112,$0.01205,$0.01098,$0.01202,"$1,491,474","$1,491,474"
"Jul 26, 2022",$0.01124,$0.01124,$0.01075,$0.01112,"$1,749,109","$1,749,109"
"Jul 25, 2022",$0.01213,$0.01214,$0.01123,$0.01123,"$1,539,078","$1,539,078"
"Jul 24, 2022",$0.01189,$0.01239,$0.0118,$0.01213,"$981,770","$981,770"
"Jul 23, 2022",$0.01186,$0.01224,$0.01155,$0.01187,"$1,214,988","$1,214,988"
"Jul 22, 2022",$0.01212,$0.01228,$0.01184,$0.01187,"$1,337,350","$1,337,350"
"Jul 21, 2022",$0.01243,$0.01274,$0.01172,$0.01211,"$1,591,111","$1,591,111"
"Jul 20, 2022",$0.01217,$0.01296,$0.01197,$0.01244,"$1,970,713","$1,970,713"
"Jul 19, 2022",$0.01209,$0.01239,$0.01158,$0.01217,"$1,687,503","$1,687,503"
"Jul 18, 2022",$0.01122,$0.01226,$0.0112,$0.01209,"$1,612,765","$1,612,765"
"Jul 17, 2022",$0.01141,$0.01151,$0.01121,$0.01121,"$1,091,167","$1,091,167"
"Jul 16, 2022",$0.01113,$0.01153,$0.01099,$0.0114,"$1,588,864","$1,588,864"
"Jul 15, 2022",$0.01108,$0.01187,$0.01102,$0.01115,"$1,648,390","$1,648,390"
"Jul 14, 2022",$0.01107,$0.01112,$0.01043,$0.01109,"$1,350,250","$1,350,250"
"Jul 13, 2022",$0.01104,$0.01121,$0.01013,$0.01107,"$1,971,825","$1,971,825"
"Jul 12, 2022",$0.01168,$0.01168,$0.01104,$0.01105,"$1,700,542","$1,700,542"
"Jul 11, 2022",$0.01095,$0.01229,$0.01078,$0.01168,"$2,471,848","$2,471,848"
"Jul 10, 2022",$0.01158,$0.01159,$0.0109,$0.01096,"$1,437,153","$1,437,153"
"Jul 09, 2022",$0.01171,$0.01171,$0.01145,$0.01158,"$1,114,247","$1,114,247"
"Jul 08, 2022",$0.01209,$0.01236,$0.01156,$0.01172,"$1,165,609","$1,165,609"
"Jul 07, 2022",$0.01224,$0.01246,$0.01191,$0.0121,"$1,665,918","$1,665,918"
"Jul 06, 2022",$0.01119,$0.0129,$0.01106,$0.01225,"$1,848,483","$1,848,483"
"Jul 05, 2022",$0.01155,$0.0116,$0.01102,$0.01118,"$1,350,884","$1,350,884"
"Jul 04, 2022",$0.0111,$0.01158,$0.01096,$0.01155,"$952,414","$952,414"
"Jul 03, 2022",$0.01113,$0.01129,$0.01095,$0.01111,"$726,106","$726,106"
"Jul 02, 2022",$0.01121,$0.01124,$0.01083,$0.01113,"$941,478","$941,478"
"Jul 01, 2022",$0.01114,$0.01144,$0.01094,$0.01121,"$1,237,910","$1,237,910"
"Jun 30, 2022",$0.01145,$0.01149,$0.01065,$0.01112,"$1,400,017","$1,400,017"
"Jun 29, 2022",$0.01128,$0.01267,$0.01114,$0.01144,"$1,815,013","$1,815,013"
