Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$53.37,$54.00,$51.64,$53.14,$0,$0
"Sep 25, 2022",$53.07,$53.64,$52.24,$53.39,"$10,059","$10,059"
"Sep 24, 2022",$54.21,$54.57,$52.86,$53.08,"$6,274","$6,274"
"Sep 23, 2022",$54.84,$67.89,$51.96,$54.22,"$7,515","$7,515"
"Sep 22, 2022",$53.61,$73.34,$52.58,$67.41,"$61,347","$61,347"
"Sep 21, 2022",$53.14,$54.62,$52.16,$53.64,"$38,132","$38,132"
"Sep 20, 2022",$55.23,$55.42,$52.63,$52.69,$0,$0
"Sep 19, 2022",$53.18,$55.95,$52.37,$55.27,"$54,505","$54,505"
"Sep 18, 2022",$53.93,$53.93,$51.95,$53.14,"$28,763","$28,763"
"Sep 17, 2022",$53.11,$54.17,$52.55,$53.91,$41,$41
"Sep 16, 2022",$52.99,$53.42,$52.08,$53.10,"$12,621","$12,621"
"Sep 15, 2022",$55.50,$55.80,$52.50,$53.01,"$59,105","$59,105"
"Sep 14, 2022",$50.12,$56.35,$49.97,$55.50,"$12,466","$12,466"
"Sep 13, 2022",$56.19,$57.12,$49.81,$50.36,$30,$30
"Sep 12, 2022",$55.09,$56.74,$54.87,$56.19,$0,$0
"Sep 11, 2022",$58.71,$58.72,$54.17,$55.09,$33,$33
"Sep 10, 2022",$58.91,$59.53,$54.18,$55.74,"$15,270","$15,270"
"Sep 09, 2022",$55.32,"$49,716.79",$55.26,$55.97,"$7,406","$7,406"
"Sep 08, 2022",$58.87,$59.19,$54.43,$55.32,$33,$33
"Sep 07, 2022",$54.75,$59.52,$52.40,$55.79,"$6,784","$6,784"
"Sep 06, 2022",$55.58,$58.64,$53.93,$54.75,$0,$0
"Sep 05, 2022",$54.84,$55.58,$53.42,$55.58,$0,$0
"Sep 04, 2022",$54.63,$55.58,$53.75,$54.84,$0,$0
"Sep 03, 2022",$54.81,$55.58,$53.65,$54.63,$0,$0
"Sep 02, 2022",$56.66,$60.57,$53.91,$54.81,$0,$0
"Sep 01, 2022",$55.58,$60.58,$53.19,$60.57,$33,$33
"Aug 31, 2022",$56.11,$60.58,$55.31,$60.57,"$13,617","$13,617"
"Aug 30, 2022",$57.43,$57.77,$54.14,$55.75,"$5,070","$5,070"
"Aug 29, 2022",$55.33,$57.73,$54.67,$57.44,"$13,142","$13,142"
"Aug 28, 2022",$56.62,$57.30,$54.67,$54.67,$35,$35
"Aug 27, 2022",$54.68,$56.92,$54.34,$56.78,"$64,094","$64,094"
"Aug 26, 2022",$56.61,$57.49,$54.29,$54.67,"$44,962","$44,962"
"Aug 25, 2022",$56.55,$57.15,$55.04,$56.62,"$34,657","$34,657"
"Aug 24, 2022",$57.19,$58.20,$55.82,$56.57,"$7,141","$7,141"
"Aug 23, 2022",$57.05,$57.71,$54.94,$57.18,"$45,096","$45,096"
"Aug 22, 2022",$57.21,$57.48,$54.98,$57.09,"$11,512","$11,512"
"Aug 21, 2022",$56.63,$57.94,$56.23,$57.19,"$17,552","$17,552"
"Aug 20, 2022",$55.80,$57.29,$54.69,$56.63,"$17,556","$17,556"
"Aug 19, 2022",$57.36,$57.37,$54.94,$55.81,"$89,342","$89,342"
"Aug 18, 2022",$56.72,$58.04,$56.53,$57.35,"$8,268","$8,268"
"Aug 17, 2022",$57.78,$59.17,$56.13,$56.72,"$26,211","$26,211"
"Aug 16, 2022",$57.32,$57.97,$56.32,$57.78,"$94,305","$94,305"
"Aug 15, 2022",$57.47,$59.26,$56.61,$57.49,"$45,738","$45,738"
"Aug 14, 2022",$58.81,$59.27,$56.51,$57.50,"$30,413","$30,413"
"Aug 13, 2022",$59.29,$59.54,$58.04,$58.80,"$38,250","$38,250"
"Aug 12, 2022",$58.11,$60.06,$57.64,$59.10,"$28,964","$28,964"
"Aug 11, 2022",$58.15,$59.74,$57.82,$58.11,"$7,440","$7,440"
"Aug 10, 2022",$57.29,$60.23,$56.80,$58.14,"$61,419","$61,419"
"Aug 09, 2022",$57.60,$57.97,$56.29,$57.29,"$20,786","$20,786"
"Aug 08, 2022",$56.66,$58.74,$55.12,$57.60,"$12,750","$12,750"
"Aug 07, 2022",$56.48,$57.43,$55.77,$56.55,$65,$65
"Aug 06, 2022",$58.43,$58.85,$56.43,$57.05,"$13,187","$13,187"
"Aug 05, 2022",$56.76,$59.02,$56.14,$58.43,"$34,038","$34,038"
"Aug 04, 2022",$56.13,$57.71,$54.85,$56.76,"$7,108","$7,108"
"Aug 03, 2022",$56.13,$58.27,$55.10,$56.13,"$13,051","$13,051"
"Aug 02, 2022",$56.85,$58.25,$55.69,$56.13,"$39,088","$39,088"
"Aug 01, 2022",$57.25,$57.99,$55.47,$56.85,"$23,485","$23,485"
"Jul 31, 2022",$56.44,$57.54,$54.69,$57.25,"$8,863","$8,863"
"Jul 30, 2022",$57.30,$57.95,$55.97,$56.44,$57,$57
"Jul 29, 2022",$56.56,$58.63,$55.10,$57.64,"$28,472","$28,472"
"Jul 28, 2022",$57.86,$58.68,$55.26,$56.56,"$50,331","$50,331"
"Jul 27, 2022",$55.84,$57.86,$54.84,$57.86,"$77,607","$77,607"
"Jul 26, 2022",$53.77,$56.91,$53.60,$56.91,"$48,806","$48,806"
"Jul 25, 2022",$55.26,$55.96,$53.75,$53.77,"$37,019","$37,019"
"Jul 24, 2022",$56.06,$57.38,$55.04,$55.42,"$31,360","$31,360"
"Jul 23, 2022",$54.72,$56.58,$54.11,$56.06,"$10,328","$10,328"
"Jul 22, 2022",$55.95,$57.35,$53.91,$54.68,"$69,323","$69,323"
"Jul 21, 2022",$54.45,$57.41,$52.71,$55.45,"$28,866","$28,866"
"Jul 20, 2022",$54.95,$57.02,$53.01,$54.45,"$13,601","$13,601"
"Jul 19, 2022",$55.81,$57.00,$53.55,$54.95,"$1,261","$1,261"
"Jul 18, 2022",$52.87,$57.01,$52.84,$55.77,"$68,746","$68,746"
"Jul 17, 2022",$55.52,$56.45,$52.76,$52.86,$43,$43
"Jul 16, 2022",$54.76,$56.86,$53.47,$55.56,"$52,629","$52,629"
"Jul 15, 2022",$55.92,$57.01,$54.47,$54.50,"$32,307","$32,307"
"Jul 14, 2022",$57.24,$57.44,$54.39,$55.93,"$45,905","$45,905"
"Jul 13, 2022",$53.88,$57.24,$53.30,$57.24,"$17,001","$17,001"
"Jul 12, 2022",$54.55,$55.49,$53.72,$53.88,"$28,871","$28,871"
"Jul 11, 2022",$55.01,$55.73,$53.67,$54.55,"$65,705","$65,705"
"Jul 10, 2022",$56.26,$56.52,$54.08,$55.01,"$6,459","$6,459"
"Jul 09, 2022",$55.37,$57.05,$52.33,$56.48,"$19,389","$19,389"
"Jul 08, 2022",$56.90,$57.82,$54.06,$55.37,"$26,384","$26,384"
"Jul 07, 2022",$56.93,$58.08,$55.98,$56.89,"$36,914","$36,914"
"Jul 06, 2022",$56.50,$57.90,$55.43,$56.93,"$28,410","$28,410"
"Jul 05, 2022",$58.33,$58.74,$52.85,$56.41,"$200,873","$200,873"
"Jul 04, 2022",$58.00,$60.12,$56.41,$58.33,"$35,052","$35,052"
"Jul 03, 2022",$58.01,$59.44,$57.03,$58.24,"$8,977","$8,977"
"Jul 02, 2022",$57.99,$58.68,$56.48,$58.00,$0,$0
"Jul 01, 2022",$58.82,$60.34,$56.00,$57.96,"$32,342","$32,342"
"Jun 30, 2022",$57.16,$59.58,$56.04,$58.81,"$81,825","$81,825"
"Jun 29, 2022",$56.88,$58.14,$56.16,$56.93,"$31,058","$31,058"
"Jun 28, 2022",$57.76,$59.62,$56.18,$56.88,"$15,167","$15,167"
"Jun 27, 2022",$57.37,$58.95,$56.49,$57.76,"$11,296","$11,296"
"Jun 26, 2022",$60.40,$60.76,$57.36,$57.37,"$6,765","$6,765"
"Jun 25, 2022",$59.65,$60.56,$57.44,$59.60,"$2,466","$2,466"
"Jun 24, 2022",$60.33,$60.64,$58.72,$59.65,"$40,034","$40,034"
"Jun 23, 2022",$57.48,$60.69,$56.70,$60.33,"$8,888","$8,888"
"Jun 22, 2022",$57.58,$58.85,$56.10,$56.78,"$61,072","$61,072"
"Jun 21, 2022",$57.60,$60.21,$56.40,$57.64,"$15,010","$15,010"
"Jun 20, 2022",$58.78,$61.19,$55.52,$57.56,"$21,993","$21,993"
"Jun 19, 2022",$41.40,$61.18,$37.27,$58.70,"$86,739","$86,739"
"Jun 18, 2022",$56.76,$57.18,$40.76,$53.11,"$57,830","$57,830"
"Jun 17, 2022",$55.41,$58.13,$54.96,$56.73,"$19,852","$19,852"
"Jun 16, 2022",$59.75,$60.82,$54.94,$55.41,"$21,106","$21,106"
"Jun 15, 2022",$57.49,$60.74,$51.02,$59.76,"$93,661","$93,661"
"Jun 14, 2022",$57.02,$59.48,$55.56,$57.51,"$177,062","$177,062"
