Day,Open,High,Low,Close,Volume,Market Cap
"Sep 09, 2022",$0.4793,$0.5029,$0.4787,$0.5029,"$858,927,416","$858,927,416"
"Sep 08, 2022",$0.4793,$0.4814,$0.4646,$0.4793,"$647,768,733","$647,768,733"
"Sep 07, 2022",$0.463,$0.4816,$0.4555,$0.4793,"$693,147,052","$693,147,052"
"Sep 06, 2022",$0.4991,$0.5112,$0.463,$0.4631,"$982,012,136","$982,012,136"
"Sep 05, 2022",$0.5032,$0.5053,$0.4839,$0.4991,"$646,475,147","$646,475,147"
"Sep 04, 2022",$0.4804,$0.5058,$0.4768,$0.5031,"$907,968,827","$907,968,827"
"Sep 03, 2022",$0.4545,$0.4848,$0.454,$0.4804,"$778,592,386","$778,592,386"
"Sep 02, 2022",$0.4575,$0.4656,$0.4499,$0.4546,"$525,812,957","$525,812,957"
"Sep 01, 2022",$0.4467,$0.4585,$0.4425,$0.4575,"$582,859,437","$582,859,437"
"Aug 31, 2022",$0.4523,$0.4628,$0.4461,$0.4467,"$521,553,602","$521,553,602"
"Aug 30, 2022",$0.4507,$0.4625,$0.44,$0.4522,"$640,051,711","$640,051,711"
"Aug 29, 2022",$0.4301,$0.452,$0.4277,$0.4507,"$587,946,527","$587,946,527"
"Aug 28, 2022",$0.4497,$0.4534,$0.43,$0.43,"$519,341,943","$519,341,943"
"Aug 27, 2022",$0.431,$0.4508,$0.4281,$0.4497,"$733,099,946","$733,099,946"
"Aug 26, 2022",$0.465,$0.4816,$0.4282,$0.4309,"$1,299,179,883","$1,299,179,883"
"Aug 25, 2022",$0.4581,$0.4734,$0.458,$0.465,"$525,337,287","$525,337,287"
"Aug 24, 2022",$0.4652,$0.4666,$0.4545,$0.4581,"$494,717,036","$494,717,036"
"Aug 23, 2022",$0.4615,$0.4688,$0.4478,$0.4652,"$562,953,519","$562,953,519"
"Aug 22, 2022",$0.4635,$0.4635,$0.44,$0.4614,"$722,091,304","$722,091,304"
"Aug 21, 2022",$0.4513,$0.4723,$0.4485,$0.4635,"$616,272,980","$616,272,980"
"Aug 20, 2022",$0.4509,$0.463,$0.4389,$0.4514,"$792,647,751","$792,647,751"
"Aug 19, 2022",$0.5127,$0.5127,$0.4493,$0.451,"$1,294,433,367","$1,294,433,367"
"Aug 18, 2022",$0.5373,$0.543,$0.5114,$0.5126,"$642,877,241","$642,877,241"
"Aug 17, 2022",$0.5579,$0.5799,$0.533,$0.537,"$1,035,477,916","$1,035,477,916"
"Aug 16, 2022",$0.551,$0.5693,$0.5492,$0.5579,"$734,187,541","$734,187,541"
"Aug 15, 2022",$0.5704,$0.581,$0.5456,$0.5512,"$876,107,175","$876,107,175"
"Aug 14, 2022",$0.5598,$0.5939,$0.5576,$0.5703,"$1,180,283,864","$1,180,283,864"
"Aug 13, 2022",$0.5407,$0.5664,$0.5387,$0.5598,"$930,190,208","$930,190,208"
"Aug 12, 2022",$0.5312,$0.5414,$0.522,$0.5408,"$538,287,825","$538,287,825"
"Aug 11, 2022",$0.5371,$0.5466,$0.5299,$0.5313,"$819,277,170","$819,277,170"
"Aug 10, 2022",$0.514,$0.5379,$0.5041,$0.5371,"$816,259,967","$816,259,967"
"Aug 09, 2022",$0.5367,$0.5371,$0.5076,$0.5141,"$636,681,258","$636,681,258"
"Aug 08, 2022",$0.5275,$0.5484,$0.5236,$0.5366,"$782,794,306","$782,794,306"
"Aug 07, 2022",$0.5114,$0.5367,$0.5077,$0.5275,"$495,713,645","$495,713,645"
"Aug 06, 2022",$0.5176,$0.5215,$0.5112,$0.5113,"$370,884,770","$370,884,770"
"Aug 05, 2022",$0.4996,$0.5184,$0.4995,$0.5175,"$536,832,135","$536,832,135"
"Aug 04, 2022",$0.501,$0.5104,$0.4949,$0.4997,"$499,753,654","$499,753,654"
"Aug 03, 2022",$0.4969,$0.5157,$0.4902,$0.501,"$553,477,710","$553,477,710"
"Aug 02, 2022",$0.5139,$0.5146,$0.4902,$0.4968,"$709,947,033","$709,947,033"
"Aug 01, 2022",$0.5171,$0.5257,$0.5025,$0.5141,"$647,889,797","$647,889,797"
"Jul 31, 2022",$0.5256,$0.5425,$0.515,$0.517,"$875,157,898","$875,157,898"
"Jul 30, 2022",$0.5232,$0.5512,$0.512,$0.5256,"$1,247,885,850","$1,247,885,850"
"Jul 29, 2022",$0.5132,$0.5441,$0.5083,$0.5233,"$1,601,170,272","$1,601,170,272"
"Jul 28, 2022",$0.5106,$0.5229,$0.4921,$0.5133,"$1,404,871,202","$1,404,871,202"
"Jul 27, 2022",$0.4677,$0.5106,$0.4598,$0.5106,"$1,108,377,917","$1,108,377,917"
"Jul 26, 2022",$0.4763,$0.4766,$0.4521,$0.4676,"$753,266,177","$753,266,177"
"Jul 25, 2022",$0.5138,$0.5148,$0.4762,$0.4763,"$747,132,740","$747,132,740"
"Jul 24, 2022",$0.5174,$0.5341,$0.5106,$0.5138,"$910,596,091","$910,596,091"
"Jul 23, 2022",$0.4837,$0.5175,$0.4755,$0.5174,"$837,188,756","$837,188,756"
"Jul 22, 2022",$0.5001,$0.5106,$0.4789,$0.4839,"$783,147,406","$783,147,406"
"Jul 21, 2022",$0.4911,$0.5014,$0.4772,$0.5001,"$929,201,777","$929,201,777"
"Jul 20, 2022",$0.5158,$0.546,$0.4893,$0.491,"$1,559,480,054","$1,559,480,054"
"Jul 19, 2022",$0.4921,$0.5246,$0.4746,$0.5158,"$1,558,576,681","$1,558,576,681"
"Jul 18, 2022",$0.4474,$0.4972,$0.4464,$0.4925,"$1,514,608,156","$1,514,608,156"
"Jul 17, 2022",$0.4573,$0.4651,$0.4438,$0.4474,"$695,937,971","$695,937,971"
"Jul 16, 2022",$0.4424,$0.4579,$0.4325,$0.4572,"$653,009,372","$653,009,372"
"Jul 15, 2022",$0.4411,$0.4516,$0.434,$0.4425,"$739,541,229","$739,541,229"
"Jul 14, 2022",$0.4381,$0.4444,$0.4177,$0.441,"$861,474,952","$861,474,952"
"Jul 13, 2022",$0.4179,$0.4397,$0.4064,$0.4381,"$977,278,539","$977,278,539"
"Jul 12, 2022",$0.4356,$0.4409,$0.4174,$0.4179,"$707,915,451","$707,915,451"
"Jul 11, 2022",$0.4632,$0.4632,$0.4339,$0.4355,"$737,643,033","$737,643,033"
"Jul 10, 2022",$0.4788,$0.4794,$0.4571,$0.4632,"$612,314,122","$612,314,122"
"Jul 09, 2022",$0.4673,$0.4843,$0.4665,$0.4788,"$666,827,059","$666,827,059"
"Jul 08, 2022",$0.4778,$0.4909,$0.4619,$0.4673,"$827,327,238","$827,327,238"
"Jul 07, 2022",$0.4622,$0.4819,$0.4616,$0.4778,"$619,107,061","$619,107,061"
"Jul 06, 2022",$0.4577,$0.4643,$0.4491,$0.4622,"$622,551,308","$622,551,308"
"Jul 05, 2022",$0.4696,$0.4707,$0.4454,$0.4576,"$766,706,338","$766,706,338"
"Jul 04, 2022",$0.4556,$0.4732,$0.4453,$0.4696,"$808,524,892","$808,524,892"
"Jul 03, 2022",$0.4563,$0.4589,$0.4445,$0.4556,"$439,469,536","$439,469,536"
"Jul 02, 2022",$0.4482,$0.4606,$0.4423,$0.4564,"$494,852,064","$494,852,064"
"Jul 01, 2022",$0.4593,$0.4703,$0.4444,$0.4481,"$796,619,668","$796,619,668"
"Jun 30, 2022",$0.4656,$0.4667,$0.4362,$0.4588,"$903,962,268","$903,962,268"
"Jun 29, 2022",$0.4697,$0.4759,$0.4605,$0.4655,"$769,352,065","$769,352,065"
"Jun 28, 2022",$0.4856,$0.4965,$0.4682,$0.4697,"$724,759,074","$724,759,074"
"Jun 27, 2022",$0.4896,$0.5076,$0.4786,$0.4858,"$709,992,597","$709,992,597"
"Jun 26, 2022",$0.4989,$0.524,$0.4894,$0.4897,"$842,528,877","$842,528,877"
"Jun 25, 2022",$0.4992,$0.5069,$0.4795,$0.4989,"$649,820,170","$649,820,170"
"Jun 24, 2022",$0.4802,$0.5088,$0.477,$0.4992,"$945,924,412","$945,924,412"
"Jun 23, 2022",$0.4587,$0.4822,$0.458,$0.4803,"$711,554,788","$711,554,788"
"Jun 22, 2022",$0.4795,$0.481,$0.4579,$0.4586,"$818,977,392","$818,977,392"
"Jun 21, 2022",$0.4923,$0.5097,$0.4773,$0.4792,"$1,018,828,248","$1,018,828,248"
"Jun 20, 2022",$0.4844,$0.508,$0.4629,$0.4923,"$1,096,263,588","$1,096,263,588"
"Jun 19, 2022",$0.456,$0.4872,$0.4372,$0.4844,"$1,050,008,285","$1,050,008,285"
"Jun 18, 2022",$0.4874,$0.4947,$0.4234,$0.4562,"$1,214,101,657","$1,214,101,657"
"Jun 17, 2022",$0.4752,$0.5027,$0.4735,$0.4874,"$872,710,309","$872,710,309"
"Jun 16, 2022",$0.5335,$0.544,$0.469,$0.475,"$1,226,235,066","$1,226,235,066"
