Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.1505,$0.1526,$0.1489,$0.1514,"$5,454,206","$5,454,206"
"Sep 16, 2022",$0.1499,$0.1525,$0.1478,$0.1505,"$9,828,634","$9,828,634"
"Sep 15, 2022",$0.1584,$0.1591,$0.1499,$0.1499,"$6,987,435","$6,987,435"
"Sep 14, 2022",$0.1625,$0.1631,$0.1552,$0.1584,"$8,682,155","$8,682,155"
"Sep 13, 2022",$0.1703,$0.1712,$0.161,$0.162,"$6,943,799","$6,943,799"
"Sep 12, 2022",$0.1707,$0.1746,$0.1688,$0.1703,"$6,554,959","$6,554,959"
"Sep 11, 2022",$0.1743,$0.1773,$0.1704,$0.1707,"$6,535,805","$6,535,805"
"Sep 10, 2022",$0.1732,$0.1787,$0.1713,$0.1743,"$8,509,149","$8,509,149"
"Sep 09, 2022",$0.1659,$0.1744,$0.1659,$0.1732,"$10,648,129","$10,648,129"
"Sep 08, 2022",$0.171,$0.172,$0.1645,$0.1659,"$8,279,843","$8,279,843"
"Sep 07, 2022",$0.1631,$0.1721,$0.1613,$0.1711,"$10,117,734","$10,117,734"
"Sep 06, 2022",$0.1738,$0.1742,$0.1626,$0.163,"$7,922,767","$7,922,767"
"Sep 05, 2022",$0.1709,$0.1748,$0.1666,$0.1738,"$9,185,741","$9,185,741"
"Sep 04, 2022",$0.1733,$0.1751,$0.1696,$0.1709,"$19,341,849","$19,341,849"
"Sep 03, 2022",$0.166,$0.1768,$0.1653,$0.1734,"$22,306,867","$22,306,867"
"Sep 02, 2022",$0.1661,$0.1694,$0.1649,$0.1661,"$11,002,073","$11,002,073"
"Sep 01, 2022",$0.1676,$0.1694,$0.163,$0.1662,"$16,344,435","$16,344,435"
"Aug 31, 2022",$0.1676,$0.1754,$0.1672,$0.1675,"$23,678,404","$23,678,404"
"Aug 30, 2022",$0.1739,$0.1779,$0.1661,$0.1676,"$22,832,189","$22,832,189"
"Aug 29, 2022",$0.1697,$0.1766,$0.165,$0.1741,"$29,127,465","$29,127,465"
"Aug 28, 2022",$0.1735,$0.1782,$0.1697,$0.1697,"$20,131,651","$20,131,651"
"Aug 27, 2022",$0.1785,$0.1801,$0.1716,$0.1735,"$21,396,094","$21,396,094"
"Aug 26, 2022",$0.1952,$0.1953,$0.1761,$0.1785,"$23,374,930","$23,374,930"
"Aug 25, 2022",$0.1986,$0.199,$0.1915,$0.1953,"$19,683,764","$19,683,764"
"Aug 24, 2022",$0.1988,$0.2018,$0.1951,$0.1986,"$13,237,657","$13,237,657"
"Aug 23, 2022",$0.2006,$0.201,$0.194,$0.1988,"$23,118,681","$23,118,681"
"Aug 22, 2022",$0.2074,$0.2075,$0.1919,$0.2006,"$11,602,854","$11,602,854"
"Aug 21, 2022",$0.187,$0.2102,$0.1866,$0.2074,"$24,566,888","$24,566,888"
