Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.03512,$0.03513,$0.02863,$0.03248,"$251,414","$251,414"
"Sep 18, 2022",$0.03559,$0.03607,$0.03457,$0.03512,"$205,059","$205,059"
"Sep 17, 2022",$0.03537,$0.03605,$0.03514,$0.03559,"$78,987","$78,987"
"Sep 16, 2022",$0.03588,$0.0359,$0.03428,$0.03537,"$145,250","$145,250"
"Sep 15, 2022",$0.0371,$0.0372,$0.03513,$0.03588,"$159,114","$159,114"
"Sep 14, 2022",$0.03756,$0.03823,$0.03614,$0.0371,"$449,530","$449,530"
"Sep 13, 2022",$0.03978,$0.04587,$0.03686,$0.03773,"$1,226,330","$1,226,330"
"Sep 12, 2022",$0.03952,$0.04014,$0.03872,$0.03978,"$267,963","$267,963"
"Sep 11, 2022",$0.04157,$0.04218,$0.03888,$0.03953,"$196,244","$196,244"
"Sep 10, 2022",$0.04141,$0.04157,$0.03971,$0.04157,"$176,353","$176,353"
"Sep 09, 2022",$0.0382,$0.04368,$0.03784,$0.04134,"$509,199","$509,199"
"Sep 08, 2022",$0.03762,$0.04001,$0.03669,$0.0382,"$280,224","$280,224"
"Sep 07, 2022",$0.04069,$0.04161,$0.03557,$0.03762,"$412,459","$412,459"
"Sep 06, 2022",$0.04346,$0.04376,$0.03795,$0.04049,"$222,494","$222,494"
"Sep 05, 2022",$0.04314,$0.04368,$0.04253,$0.04351,"$152,933","$152,933"
"Sep 04, 2022",$0.04321,$0.04473,$0.04268,$0.04314,"$310,658","$310,658"
"Sep 03, 2022",$0.04361,$0.04521,$0.04217,$0.04289,"$332,107","$332,107"
"Sep 02, 2022",$0.0439,$0.04453,$0.04316,$0.04361,"$206,200","$206,200"
"Sep 01, 2022",$0.04516,$0.04605,$0.04351,$0.0439,"$413,423","$413,423"
"Aug 31, 2022",$0.04271,$0.05062,$0.04267,$0.04516,"$2,560,099","$2,560,099"
"Aug 30, 2022",$0.04388,$0.04429,$0.042,$0.04271,"$229,281","$229,281"
"Aug 29, 2022",$0.04421,$0.04433,$0.04147,$0.04385,"$238,151","$238,151"
"Aug 28, 2022",$0.04479,$0.04522,$0.0434,$0.04421,"$178,058","$178,058"
"Aug 27, 2022",$0.04681,$0.04696,$0.04432,$0.04479,"$156,011","$156,011"
"Aug 26, 2022",$0.04846,$0.0497,$0.04599,$0.04681,"$305,543","$305,543"
"Aug 25, 2022",$0.04746,$0.05062,$0.04724,$0.04846,"$351,834","$351,834"
"Aug 24, 2022",$0.04753,$0.05429,$0.04605,$0.04746,"$930,558","$930,558"
"Aug 23, 2022",$0.04795,$0.04899,$0.04682,$0.04753,"$253,434","$253,434"
"Aug 22, 2022",$0.0499,$0.05093,$0.04773,$0.04795,"$213,586","$213,586"
"Aug 21, 2022",$0.05042,$0.05398,$0.04889,$0.0499,"$427,715","$427,715"
"Aug 20, 2022",$0.04894,$0.05119,$0.04885,$0.05042,"$135,542","$135,542"
"Aug 19, 2022",$0.05544,$0.05594,$0.04892,$0.04894,"$313,302","$313,302"
"Aug 18, 2022",$0.05472,$0.05664,$0.05324,$0.05591,"$285,462","$285,462"
"Aug 17, 2022",$0.057,$0.0577,$0.0545,$0.05472,"$233,271","$233,271"
"Aug 16, 2022",$0.05653,$0.05837,$0.05576,$0.057,"$250,748","$250,748"
"Aug 15, 2022",$0.05931,$0.06,$0.05591,$0.05653,"$365,058","$365,058"
"Aug 14, 2022",$0.06024,$0.06045,$0.05913,$0.05931,"$260,871","$260,871"
"Aug 13, 2022",$0.05913,$0.06134,$0.05882,$0.06017,"$318,593","$318,593"
"Aug 12, 2022",$0.05998,$0.06236,$0.05836,$0.05912,"$569,859","$569,859"
"Aug 11, 2022",$0.06021,$0.06806,$0.05795,$0.05998,"$2,470,622","$2,470,622"
"Aug 10, 2022",$0.05456,$0.07293,$0.05372,$0.0602,"$5,190,651","$5,190,651"
"Aug 09, 2022",$0.06495,$0.06497,$0.05358,$0.05422,"$4,487,689","$4,487,689"
"Aug 08, 2022",$0.05253,$0.07531,$0.05253,$0.06508,"$11,271,174","$11,271,174"
"Aug 07, 2022",$0.04923,$0.0531,$0.04907,$0.05253,"$716,503","$716,503"
"Aug 06, 2022",$0.04783,$0.05079,$0.04756,$0.04923,"$591,191","$591,191"
"Aug 05, 2022",$0.04786,$0.04794,$0.0471,$0.04783,"$111,903","$111,903"
"Aug 04, 2022",$0.04752,$0.04876,$0.0471,$0.04786,"$145,434","$145,434"
"Aug 03, 2022",$0.04825,$0.04895,$0.04752,$0.04752,"$161,253","$161,253"
"Aug 02, 2022",$0.05001,$0.0501,$0.04761,$0.04825,"$301,001","$301,001"
"Aug 01, 2022",$0.04799,$0.05868,$0.04724,$0.05001,"$2,399,743","$2,399,743"
"Jul 31, 2022",$0.04814,$0.04944,$0.04686,$0.04816,"$440,404","$440,404"
"Jul 30, 2022",$0.0469,$0.04929,$0.04662,$0.04814,"$160,576","$160,576"
"Jul 29, 2022",$0.0484,$0.04978,$0.04683,$0.0469,"$274,129","$274,129"
"Jul 28, 2022",$0.04803,$0.04894,$0.04725,$0.04871,"$263,039","$263,039"
"Jul 27, 2022",$0.04602,$0.04818,$0.0458,$0.04803,"$209,003","$209,003"
"Jul 26, 2022",$0.04625,$0.04724,$0.04515,$0.04602,"$190,408","$190,408"
"Jul 25, 2022",$0.04895,$0.0496,$0.04614,$0.04625,"$548,537","$548,537"
"Jul 24, 2022",$0.04687,$0.05986,$0.04687,$0.04895,"$4,648,838","$4,648,838"
"Jul 23, 2022",$0.04596,$0.05153,$0.04575,$0.04687,"$722,878","$722,878"
"Jul 22, 2022",$0.04516,$0.05513,$0.04516,$0.04596,"$498,670","$498,670"
"Jul 21, 2022",$0.044,$0.04703,$0.04305,$0.04568,"$413,220","$413,220"
"Jul 20, 2022",$0.04499,$0.04665,$0.04381,$0.044,"$216,941","$216,941"
"Jul 19, 2022",$0.04424,$0.04573,$0.04342,$0.04499,"$355,364","$355,364"
"Jul 18, 2022",$0.04419,$0.0455,$0.04297,$0.04424,"$317,366","$317,366"
"Jul 17, 2022",$0.04486,$0.04511,$0.044,$0.04419,"$132,687","$132,687"
"Jul 16, 2022",$0.04373,$0.06226,$0.04316,$0.04486,"$312,927","$312,927"
"Jul 15, 2022",$0.04232,$0.04852,$0.0414,$0.04373,"$95,717","$95,717"
"Jul 14, 2022",$0.04171,$0.04287,$0.04137,$0.04232,"$135,458","$135,458"
"Jul 13, 2022",$0.04174,$0.04213,$0.04021,$0.04171,"$151,268","$151,268"
"Jul 12, 2022",$0.04407,$0.04407,$0.04138,$0.04174,"$184,906","$184,906"
"Jul 11, 2022",$0.04558,$0.04584,$0.04205,$0.04407,"$469,174","$469,174"
"Jul 10, 2022",$0.04893,$0.04906,$0.04512,$0.04567,"$235,017","$235,017"
"Jul 09, 2022",$0.05039,$0.05039,$0.04798,$0.04893,"$153,031","$153,031"
"Jul 08, 2022",$0.05092,$0.05092,$0.04886,$0.05021,"$214,509","$214,509"
"Jul 07, 2022",$0.04771,$0.05092,$0.04715,$0.05092,"$243,479","$243,479"
"Jul 06, 2022",$0.0481,$0.05019,$0.04674,$0.04771,"$364,377","$364,377"
"Jul 05, 2022",$0.04466,$0.05679,$0.04423,$0.0481,"$1,763,811","$1,763,811"
