Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$1.03,$1.05,$0.9729,$1.05,"$107,029","$107,029"
"Sep 18, 2022",$1.09,$1.11,$1.01,$1.03,"$99,921","$99,921"
"Sep 17, 2022",$1.10,$1.11,$1.04,$1.09,"$96,225","$96,225"
"Sep 16, 2022",$1.08,$1.11,$1.03,$1.10,"$94,608","$94,608"
"Sep 15, 2022",$1.15,$1.17,$1.06,$1.08,"$89,545","$89,545"
"Sep 14, 2022",$1.13,$1.18,$1.09,$1.15,"$104,144","$104,144"
"Sep 13, 2022",$1.24,$1.28,$1.11,$1.14,"$115,582","$115,582"
"Sep 12, 2022",$1.22,$1.28,$1.19,$1.24,"$109,115","$109,115"
"Sep 11, 2022",$1.25,$1.27,$1.20,$1.22,"$114,673","$114,673"
"Sep 10, 2022",$1.20,$1.26,$1.18,$1.25,"$117,351","$117,351"
"Sep 09, 2022",$1.14,$1.24,$1.10,$1.20,"$115,022","$115,022"
"Sep 08, 2022",$1.11,$1.15,$1.08,$1.14,"$107,824","$107,824"
"Sep 07, 2022",$1.08,$1.14,$1.04,$1.11,"$108,392","$108,392"
"Sep 06, 2022",$1.15,$1.17,$1.06,$1.08,"$99,068","$99,068"
"Sep 05, 2022",$1.10,$1.15,$1.07,$1.15,"$101,187","$101,187"
"Sep 04, 2022",$1.12,$1.13,$1.07,$1.10,"$104,669","$104,669"
"Sep 03, 2022",$1.12,$1.13,$1.07,$1.12,"$100,308","$100,308"
"Sep 02, 2022",$1.12,$1.17,$1.08,$1.12,"$107,301","$107,301"
"Sep 01, 2022",$1.11,$1.14,$1.07,$1.12,"$107,533","$107,533"
"Aug 31, 2022",$1.08,$1.16,$1.07,$1.11,"$106,818","$106,818"
"Aug 30, 2022",$1.10,$1.15,$1.05,$1.08,"$89,959","$89,959"
"Aug 29, 2022",$1.07,$1.13,$1.03,$1.10,"$91,414","$91,414"
"Aug 28, 2022",$1.11,$1.12,$1.05,$1.07,"$99,097","$99,097"
"Aug 27, 2022",$1.13,$1.13,$1.05,$1.11,"$97,944","$97,944"
"Aug 26, 2022",$1.21,$1.23,$1.10,$1.13,"$98,728","$98,728"
"Aug 25, 2022",$1.22,$1.25,$1.18,$1.21,"$114,445","$114,445"
"Aug 24, 2022",$1.21,$1.24,$1.17,$1.22,"$112,988","$112,988"
"Aug 23, 2022",$1.23,$1.27,$1.16,$1.21,"$101,546","$101,546"
"Aug 22, 2022",$1.26,$1.26,$1.14,$1.23,"$105,704","$105,704"
"Aug 21, 2022",$1.21,$1.27,$1.15,$1.26,"$103,411","$103,411"
"Aug 20, 2022",$1.18,$1.25,$1.15,$1.21,"$103,489","$103,489"
"Aug 19, 2022",$1.35,$1.37,$1.16,$1.18,"$111,751","$111,751"
"Aug 18, 2022",$1.29,$1.41,$1.29,$1.35,"$126,812","$126,812"
"Aug 17, 2022",$1.38,$1.44,$1.29,$1.29,"$122,580","$122,580"
"Aug 16, 2022",$1.42,$1.44,$1.31,$1.38,"$115,206","$115,206"
"Aug 15, 2022",$1.41,$1.48,$1.32,$1.42,"$129,960","$129,960"
"Aug 14, 2022",$1.43,$1.50,$1.35,$1.41,"$138,117","$138,117"
"Aug 13, 2022",$1.39,$1.49,$1.37,$1.43,"$111,939","$111,939"
"Aug 12, 2022",$1.36,$1.42,$1.31,$1.39,"$138,232","$138,232"
"Aug 11, 2022",$1.32,$1.44,$1.32,$1.36,"$126,508","$126,508"
"Aug 10, 2022",$1.26,$1.40,$1.23,$1.32,"$125,475","$125,475"
"Aug 09, 2022",$1.34,$1.38,$1.24,$1.26,"$119,027","$119,027"
"Aug 08, 2022",$1.25,$1.39,$1.25,$1.34,"$126,444","$126,444"
"Aug 07, 2022",$1.29,$1.34,$1.21,$1.25,"$121,808","$121,808"
"Aug 06, 2022",$1.34,$1.35,$1.23,$1.29,"$120,030","$120,030"
"Aug 05, 2022",$1.27,$1.34,$1.22,$1.34,"$115,000","$115,000"
"Aug 04, 2022",$1.24,$1.31,$1.19,$1.27,"$121,182","$121,182"
"Aug 03, 2022",$1.22,$1.34,$1.19,$1.24,"$113,687","$113,687"
"Aug 02, 2022",$1.24,$1.32,$1.19,$1.22,"$113,528","$113,528"
"Aug 01, 2022",$1.27,$1.34,$1.21,$1.24,"$104,849","$104,849"
"Jul 31, 2022",$1.26,$1.36,$1.24,$1.27,"$114,793","$114,793"
"Jul 30, 2022",$1.28,$1.39,$1.24,$1.26,"$118,474","$118,474"
"Jul 29, 2022",$1.33,$1.37,$1.23,$1.28,"$116,203","$116,203"
"Jul 28, 2022",$1.27,$1.37,$1.20,$1.33,"$126,890","$126,890"
"Jul 27, 2022",$1.18,$1.28,$1.08,$1.27,"$120,878","$120,878"
"Jul 26, 2022",$1.12,$1.18,$1.05,$1.18,"$98,333","$98,333"
"Jul 25, 2022",$1.24,$1.32,$1.12,$1.12,"$114,402","$114,402"
"Jul 24, 2022",$1.23,$1.33,$1.18,$1.24,"$119,838","$119,838"
"Jul 23, 2022",$1.27,$1.31,$1.14,$1.23,"$109,122","$109,122"
"Jul 22, 2022",$1.32,$1.35,$1.20,$1.27,"$105,093","$105,093"
"Jul 21, 2022",$1.30,$1.35,$1.15,$1.32,"$106,236","$106,236"
"Jul 20, 2022",$1.24,$1.38,$1.19,$1.30,"$114,446","$114,446"
"Jul 19, 2022",$1.22,$1.34,$1.14,$1.24,"$113,642","$113,642"
"Jul 18, 2022",$1.09,$1.25,$1.09,$1.22,"$108,542","$108,542"
"Jul 17, 2022",$1.16,$1.22,$1.08,$1.09,"$101,724","$101,724"
"Jul 16, 2022",$1.10,$1.21,$1.03,$1.16,"$97,889","$97,889"
"Jul 15, 2022",$1.09,$1.17,$1.03,$1.10,"$97,227","$97,227"
"Jul 14, 2022",$1.00,$1.13,$0.9662,$1.09,"$90,665","$90,665"
"Jul 13, 2022",$0.981,$1.07,$0.9362,$1.00,"$90,792","$90,792"
"Jul 12, 2022",$1.01,$1.10,$0.9355,$0.9809,"$89,716","$89,716"
"Jul 11, 2022",$1.10,$1.13,$0.993,$1.01,"$89,926","$89,926"
"Jul 10, 2022",$1.20,$1.20,$1.01,$1.10,"$93,080","$93,080"
"Jul 09, 2022",$1.09,$1.20,$1.03,$1.20,"$97,788","$97,788"
"Jul 08, 2022",$1.13,$1.23,$1.01,$1.09,"$93,869","$93,869"
"Jul 07, 2022",$1.06,$1.20,$0.982,$1.13,"$98,026","$98,026"
"Jul 06, 2022",$1.08,$1.12,$0.9416,$1.06,"$94,286","$94,286"
"Jul 05, 2022",$1.08,$1.14,$0.9327,$1.08,"$92,062","$92,062"
"Jul 04, 2022",$1.00,$1.09,$0.909,$1.08,"$81,713","$81,713"
"Jul 03, 2022",$1.09,$1.09,$0.8875,$1.00,"$85,062","$85,062"
"Jul 02, 2022",$1.05,$1.09,$0.8848,$1.09,"$83,135","$83,135"
"Jul 01, 2022",$0.9467,$1.09,$0.8951,$1.05,"$93,396","$93,396"
"Jun 30, 2022",$1.06,$1.09,$0.8671,$0.9452,"$88,326","$88,326"
"Jun 29, 2022",$1.02,$1.09,$0.9306,$1.06,"$86,579","$86,579"
"Jun 28, 2022",$1.05,$1.11,$0.9507,$1.02,"$91,104","$91,104"
"Jun 27, 2022",$0.996,$1.12,$0.9767,$1.05,"$86,666","$86,666"
"Jun 26, 2022",$1.06,$1.14,$0.9893,$0.996,"$103,009","$103,009"
"Jun 25, 2022",$1.04,$1.12,$0.9958,$1.06,"$91,504","$91,504"
"Jun 24, 2022",$1.05,$1.12,$0.9687,$1.04,"$101,532","$101,532"
"Jun 23, 2022",$0.9744,$1.05,$0.9371,$1.05,"$98,446","$98,446"
"Jun 22, 2022",$1.04,$1.06,$0.9273,$0.9744,"$97,419","$97,419"
"Jun 21, 2022",$0.9938,$1.11,$0.9653,$1.04,"$92,258","$92,258"
"Jun 20, 2022",$1.01,$1.08,$0.9098,$0.994,"$94,925","$94,925"
"Jun 19, 2022",$0.8724,$1.05,$0.8316,$1.01,"$84,750","$84,750"
"Jun 18, 2022",$0.977,$1.05,$0.805,$0.8727,"$86,126","$86,126"
"Jun 17, 2022",$0.985,$1.06,$0.9285,$0.977,"$90,385","$90,385"
"Jun 16, 2022",$1.16,$1.16,$0.9429,$0.9848,"$101,131","$101,131"
"Jun 15, 2022",$1.12,$1.15,$0.9134,$1.15,"$94,636","$94,636"
"Jun 14, 2022",$1.04,$1.16,$0.9783,$1.12,"$96,527","$96,527"
"Jun 13, 2022",$1.31,$1.35,$1.02,$1.04,"$96,416","$96,416"
"Jun 12, 2022",$1.35,$1.42,$1.25,$1.32,"$111,234","$111,234"
"Jun 11, 2022",$1.42,$1.49,$1.30,$1.35,"$105,227","$105,227"
"Jun 10, 2022",$1.53,$1.57,$1.38,$1.42,"$136,903","$136,903"
"Jun 09, 2022",$1.56,$1.58,$1.44,$1.53,"$143,307","$143,307"
"Jun 08, 2022",$1.53,$1.59,$1.45,$1.56,"$152,635","$152,635"
"Jun 07, 2022",$1.57,$1.65,$1.41,$1.53,"$144,852","$144,852"
"Jun 06, 2022",$1.57,$1.66,$1.50,$1.57,"$162,932","$162,932"
