Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$68.13,$79.24,$67.55,$74.63,"$1,417,825","$1,417,825"
"Sep 17, 2022",$63.01,$68.28,$62.85,$68.11,"$661,187","$661,187"
"Sep 16, 2022",$60.09,$63.63,$59.85,$63.00,"$489,289","$489,289"
"Sep 15, 2022",$60.63,$62.78,$58.48,$60.07,"$746,001","$746,001"
"Sep 14, 2022",$55.67,$67.57,$55.43,$60.60,"$1,246,909","$1,246,909"
"Sep 13, 2022",$57.12,$57.84,$55.43,$55.75,"$411,314","$411,314"
"Sep 12, 2022",$58.73,$58.78,$56.90,$57.13,"$439,705","$439,705"
"Sep 11, 2022",$56.34,$59.85,$55.50,$58.71,"$374,111","$374,111"
"Sep 10, 2022",$56.88,$57.47,$56.28,$56.35,"$103,423","$103,423"
"Sep 09, 2022",$54.44,$60.60,$53.66,$56.84,"$576,438","$576,438"
"Sep 08, 2022",$56.13,$56.63,$54.16,$54.41,"$190,477","$190,477"
"Sep 07, 2022",$55.54,$56.74,$54.51,$56.13,"$398,755","$398,755"
"Sep 06, 2022",$57.91,$58.69,$55.14,$55.55,"$411,512","$411,512"
"Sep 05, 2022",$58.70,$59.55,$57.59,$57.87,"$205,390","$205,390"
"Sep 04, 2022",$58.58,$58.98,$57.86,$58.70,"$205,911","$205,911"
"Sep 03, 2022",$62.36,$62.39,$57.78,$58.59,"$599,674","$599,674"
"Sep 02, 2022",$61.22,$62.40,$58.61,$62.10,"$463,755","$463,755"
"Sep 01, 2022",$59.39,$61.00,$56.94,$61.00,"$700,224","$700,224"
"Aug 31, 2022",$57.33,$63.08,$57.33,$59.38,"$637,607","$637,607"
"Aug 30, 2022",$59.91,$59.91,$56.88,$57.29,"$408,205","$408,205"
"Aug 29, 2022",$59.12,$63.86,$55.36,$59.91,"$1,465,036","$1,465,036"
"Aug 28, 2022",$52.93,$74.61,$51.87,$59.66,"$1,709,891","$1,709,891"
"Aug 27, 2022",$55.52,$55.72,$52.56,$52.89,"$276,805","$276,805"
"Aug 26, 2022",$61.14,$61.25,$55.44,$55.52,"$299,485","$299,485"
"Aug 25, 2022",$61.06,$63.27,$60.27,$61.21,"$227,693","$227,693"
"Aug 24, 2022",$60.03,$62.11,$59.00,$61.09,"$319,558","$319,558"
"Aug 23, 2022",$60.81,$60.97,$59.46,$60.01,"$284,680","$284,680"
"Aug 22, 2022",$61.35,$61.85,$59.05,$60.80,"$343,640","$343,640"
"Aug 21, 2022",$58.94,$63.75,$58.80,$61.36,"$344,451","$344,451"
"Aug 20, 2022",$60.96,$61.37,$57.80,$58.96,"$403,602","$403,602"
"Aug 19, 2022",$67.73,$67.77,$59.24,$60.92,"$619,170","$619,170"
"Aug 18, 2022",$69.09,$75.92,$65.27,$67.74,"$1,134,636","$1,134,636"
"Aug 17, 2022",$69.28,$82.30,$62.70,$69.09,"$1,395,796","$1,395,796"
"Aug 16, 2022",$70.96,$71.38,$68.43,$69.27,"$146,417","$146,417"
"Aug 15, 2022",$70.56,$72.69,$70.04,$70.95,"$229,286","$229,286"
"Aug 14, 2022",$73.21,$73.99,$70.00,$70.50,"$273,567","$273,567"
"Aug 13, 2022",$74.55,$74.94,$73.01,$73.24,"$237,697","$237,697"
"Aug 12, 2022",$72.62,$74.74,$72.01,$74.54,"$275,026","$275,026"
"Aug 11, 2022",$74.47,$74.70,$72.07,$72.68,"$514,344","$514,344"
"Aug 10, 2022",$72.70,$75.78,$71.91,$74.47,"$492,785","$492,785"
"Aug 09, 2022",$77.07,$77.07,$71.89,$72.64,"$434,873","$434,873"
"Aug 08, 2022",$76.12,$77.08,$75.23,$77.06,"$502,177","$502,177"
"Aug 07, 2022",$78.40,$78.65,$75.32,$76.11,"$935,720","$935,720"
"Aug 06, 2022",$80.93,$81.07,$78.30,$78.38,"$1,037,478","$1,037,478"
"Aug 05, 2022",$77.07,$82.75,$76.84,$80.92,"$1,657,212","$1,657,212"
"Aug 04, 2022",$77.57,$79.91,$76.47,$77.10,"$1,332,617","$1,332,617"
"Aug 03, 2022",$76.09,$81.86,$73.73,$77.63,"$1,610,180","$1,610,180"
"Aug 02, 2022",$76.42,$81.55,$72.18,$76.10,"$1,536,376","$1,536,376"
"Aug 01, 2022",$80.69,$81.18,$75.74,$76.41,"$974,883","$974,883"
"Jul 31, 2022",$75.81,$89.88,$73.68,$80.72,"$2,593,740","$2,593,740"
"Jul 30, 2022",$70.31,$95.16,$69.67,$75.71,"$2,851,663","$2,851,663"
"Jul 29, 2022",$72.38,$74.14,$69.06,$70.33,"$686,284","$686,284"
"Jul 28, 2022",$71.80,$75.42,$69.25,$72.46,"$1,734,072","$1,734,072"
"Jul 27, 2022",$82.25,$93.17,$69.17,$71.73,"$3,600,346","$3,600,346"
"Jul 26, 2022",$60.27,$98.43,$56.56,$82.52,"$4,285,192","$4,285,192"
"Jul 25, 2022",$64.95,$64.95,$60.25,$60.32,"$506,619","$506,619"
