Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.1282,$0.1298,$0.1274,$0.1293,"$785,929","$785,929"
"Sep 24, 2022",$0.1291,$0.1301,$0.1262,$0.1282,"$777,413","$777,413"
"Sep 23, 2022",$0.1308,$0.1308,$0.1277,$0.1291,"$783,566","$783,566"
"Sep 22, 2022",$0.1307,$0.1317,$0.1293,$0.1308,"$693,121","$693,121"
"Sep 21, 2022",$0.1332,$0.1332,$0.1297,$0.1307,"$747,226","$747,226"
"Sep 20, 2022",$0.1361,$0.1367,$0.1328,$0.1332,"$722,276","$722,276"
"Sep 19, 2022",$0.1336,$0.1361,$0.1305,$0.136,"$775,643","$775,643"
"Sep 18, 2022",$0.1391,$0.1405,$0.1332,$0.1336,"$753,484","$753,484"
"Sep 17, 2022",$0.1367,$0.1404,$0.1365,$0.1391,"$731,469","$731,469"
"Sep 16, 2022",$0.1377,$0.1377,$0.1352,$0.1367,"$706,745","$706,745"
"Sep 15, 2022",$0.1428,$0.1445,$0.1322,$0.1377,"$730,456","$730,456"
"Sep 14, 2022",$0.1484,$0.1503,$0.142,$0.1428,"$725,479","$725,479"
"Sep 13, 2022",$0.1502,$0.1511,$0.1453,$0.1476,"$711,254","$711,254"
"Sep 12, 2022",$0.1492,$0.1505,$0.1486,$0.1502,"$685,669","$685,669"
"Sep 11, 2022",$0.1487,$0.1506,$0.1482,$0.1492,"$662,555","$662,555"
"Sep 10, 2022",$0.1497,$0.1499,$0.1464,$0.1487,"$739,873","$739,873"
"Sep 09, 2022",$0.1446,$0.1499,$0.143,$0.1497,"$795,294","$795,294"
"Sep 08, 2022",$0.1455,$0.1456,$0.1431,$0.1447,"$674,729","$674,729"
"Sep 07, 2022",$0.1482,$0.1488,$0.1436,$0.1454,"$779,381","$779,381"
"Sep 06, 2022",$0.1475,$0.1496,$0.147,$0.1482,"$702,261","$702,261"
"Sep 05, 2022",$0.1511,$0.1515,$0.1454,$0.1475,"$719,683","$719,683"
"Sep 04, 2022",$0.1612,$0.1613,$0.1504,$0.1511,"$743,276","$743,276"
"Sep 03, 2022",$0.1541,$0.162,$0.1536,$0.1611,"$683,797","$683,797"
"Sep 02, 2022",$0.1558,$0.1572,$0.1535,$0.1541,"$768,830","$768,830"
"Sep 01, 2022",$0.1597,$0.1654,$0.1532,$0.1557,"$727,765","$727,765"
"Aug 31, 2022",$0.1549,$0.1609,$0.1542,$0.1597,"$684,581","$684,581"
"Aug 30, 2022",$0.1541,$0.1563,$0.1532,$0.1549,"$738,410","$738,410"
"Aug 29, 2022",$0.1539,$0.1544,$0.1534,$0.1541,"$692,203","$692,203"
"Aug 28, 2022",$0.1517,$0.1545,$0.1516,$0.1539,"$680,341","$680,341"
"Aug 27, 2022",$0.1522,$0.1543,$0.1489,$0.1517,"$699,966","$699,966"
"Aug 26, 2022",$0.1573,$0.1573,$0.1521,$0.1522,"$468,840","$468,840"
"Aug 25, 2022",$0.1564,$0.1608,$0.1562,$0.1573,"$755,598","$755,598"
"Aug 24, 2022",$0.1633,$0.1639,$0.1563,$0.1564,"$733,647","$733,647"
"Aug 23, 2022",$0.162,$0.1643,$0.1602,$0.1633,"$774,801","$774,801"
"Aug 22, 2022",$0.1607,$0.1648,$0.159,$0.162,"$678,718","$678,718"
"Aug 21, 2022",$0.1626,$0.1664,$0.1603,$0.1607,"$729,335","$729,335"
"Aug 20, 2022",$0.1482,$0.1663,$0.1481,$0.1625,"$852,376","$852,376"
"Aug 19, 2022",$0.1502,$0.1508,$0.1465,$0.1482,"$732,457","$732,457"
"Aug 18, 2022",$0.1487,$0.1518,$0.1479,$0.1502,"$748,059","$748,059"
"Aug 17, 2022",$0.1465,$0.1489,$0.1448,$0.1487,"$667,355","$667,355"
"Aug 16, 2022",$0.1534,$0.1541,$0.146,$0.1466,"$666,149","$666,149"
"Aug 15, 2022",$0.1555,$0.1567,$0.1532,$0.1534,"$690,898","$690,898"
"Aug 14, 2022",$0.1599,$0.1618,$0.1545,$0.1555,"$707,660","$707,660"
"Aug 13, 2022",$0.1616,$0.1621,$0.1569,$0.1598,"$722,139","$722,139"
"Aug 12, 2022",$0.1652,$0.1656,$0.1597,$0.1617,"$689,137","$689,137"
"Aug 11, 2022",$0.166,$0.1687,$0.1652,$0.1653,"$697,666","$697,666"
"Aug 10, 2022",$0.1642,$0.168,$0.1631,$0.166,"$744,984","$744,984"
"Aug 09, 2022",$0.1573,$0.1681,$0.1568,$0.1642,"$826,684","$826,684"
"Aug 08, 2022",$0.1506,$0.1612,$0.1505,$0.1573,"$771,597","$771,597"
"Aug 07, 2022",$0.1687,$0.1692,$0.1425,$0.1506,"$972,707","$972,707"
"Aug 06, 2022",$0.1831,$0.1835,$0.1669,$0.1687,"$695,393","$695,393"
"Aug 05, 2022",$0.1747,$0.1887,$0.1746,$0.1831,"$763,576","$763,576"
"Aug 04, 2022",$0.1678,$0.1793,$0.1669,$0.1747,"$813,307","$813,307"
"Aug 03, 2022",$0.1677,$0.1724,$0.1669,$0.1678,"$650,724","$650,724"
"Aug 02, 2022",$0.1713,$0.1719,$0.1622,$0.1673,"$785,422","$785,422"
"Aug 01, 2022",$0.1623,$0.1715,$0.162,$0.1713,"$770,539","$770,539"
"Jul 31, 2022",$0.1598,$0.1765,$0.1577,$0.1623,"$738,314","$738,314"
"Jul 30, 2022",$0.1588,$0.1606,$0.1587,$0.1598,"$736,814","$736,814"
"Jul 29, 2022",$0.1521,$0.1594,$0.1511,$0.1588,"$744,209","$744,209"
"Jul 28, 2022",$0.1529,$0.1555,$0.1499,$0.1521,"$732,967","$732,967"
"Jul 27, 2022",$0.1494,$0.1586,$0.1492,$0.1529,"$851,447","$851,447"
"Jul 26, 2022",$0.1339,$0.1564,$0.1324,$0.1494,"$903,841","$903,841"
"Jul 25, 2022",$0.1362,$0.1363,$0.1309,$0.1339,"$762,273","$762,273"
"Jul 24, 2022",$0.1282,$0.1365,$0.128,$0.1362,"$804,349","$804,349"
"Jul 23, 2022",$0.1269,$0.1302,$0.1265,$0.1282,"$787,051","$787,051"
"Jul 22, 2022",$0.1243,$0.1276,$0.1241,$0.1269,"$701,864","$701,864"
"Jul 21, 2022",$0.1225,$0.1259,$0.122,$0.1243,"$737,781","$737,781"
"Jul 20, 2022",$0.1199,$0.1262,$0.1199,$0.1225,"$721,840","$721,840"
"Jul 19, 2022",$0.1194,$0.1219,$0.1183,$0.1201,"$739,669","$739,669"
"Jul 18, 2022",$0.1204,$0.1224,$0.119,$0.1192,"$759,843","$759,843"
"Jul 17, 2022",$0.1203,$0.1239,$0.119,$0.1205,"$733,652","$733,652"
"Jul 16, 2022",$0.1196,$0.1218,$0.1195,$0.1203,"$723,720","$723,720"
"Jul 15, 2022",$0.1191,$0.1231,$0.1188,$0.1196,"$704,810","$704,810"
"Jul 14, 2022",$0.118,$0.1194,$0.1164,$0.119,"$736,974","$736,974"
"Jul 13, 2022",$0.1116,$0.1184,$0.1114,$0.118,"$762,173","$762,173"
"Jul 12, 2022",$0.1159,$0.117,$0.1115,$0.1116,"$724,180","$724,180"
"Jul 11, 2022",$0.1146,$0.118,$0.1145,$0.1159,"$790,462","$790,462"
"Jul 10, 2022",$0.114,$0.1163,$0.1136,$0.1146,"$739,595","$739,595"
"Jul 09, 2022",$0.1159,$0.1166,$0.1131,$0.114,"$774,468","$774,468"
"Jul 08, 2022",$0.1171,$0.1192,$0.1135,$0.1159,"$708,374","$708,374"
"Jul 07, 2022",$0.1171,$0.1187,$0.1138,$0.1171,"$783,750","$783,750"
"Jul 06, 2022",$0.1151,$0.1173,$0.1129,$0.1171,"$679,918","$679,918"
"Jul 05, 2022",$0.1173,$0.119,$0.1126,$0.1151,"$731,209","$731,209"
