Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$0.1337,$0.1385,$0.1328,$0.138,"$9,910,240","$9,910,240"
"Sep 15, 2022",$0.1399,$0.1399,$0.1334,$0.1336,"$9,820,513","$9,820,513"
"Sep 14, 2022",$0.1395,$0.1414,$0.1376,$0.1398,"$8,451,418","$8,451,418"
"Sep 13, 2022",$0.1518,$0.1536,$0.1391,$0.1406,"$14,430,768","$14,430,768"
"Sep 12, 2022",$0.1519,$0.1549,$0.1491,$0.1518,"$38,795,854","$38,795,854"
"Sep 11, 2022",$0.1495,$0.1534,$0.1476,$0.1519,"$29,689,620","$29,689,620"
"Sep 10, 2022",$0.1498,$0.1511,$0.1467,$0.1495,"$9,213,071","$9,213,071"
"Sep 09, 2022",$0.1399,$0.1502,$0.1396,$0.1498,"$11,343,221","$11,343,221"
"Sep 08, 2022",$0.1356,$0.1413,$0.1338,$0.1399,"$24,583,642","$24,583,642"
"Sep 07, 2022",$0.132,$0.1368,$0.1294,$0.1356,"$7,770,321","$7,770,321"
"Sep 06, 2022",$0.1444,$0.1474,$0.1319,$0.132,"$11,962,019","$11,962,019"
"Sep 05, 2022",$0.1435,$0.1446,$0.1404,$0.1444,"$5,804,638","$5,804,638"
"Sep 04, 2022",$0.1417,$0.1435,$0.1403,$0.1435,"$4,071,057","$4,071,057"
"Sep 03, 2022",$0.1408,$0.1421,$0.1405,$0.1417,"$3,660,788","$3,660,788"
"Sep 02, 2022",$0.1435,$0.1453,$0.1392,$0.1408,"$6,478,615","$6,478,615"
"Sep 01, 2022",$0.1446,$0.1454,$0.1395,$0.1435,"$7,825,462","$7,825,462"
"Aug 31, 2022",$0.1461,$0.1497,$0.1443,$0.1446,"$7,875,182","$7,875,182"
"Aug 30, 2022",$0.148,$0.1495,$0.142,$0.1461,"$9,045,139","$9,045,139"
"Aug 29, 2022",$0.1402,$0.1482,$0.1396,$0.148,"$11,541,380","$11,541,380"
"Aug 28, 2022",$0.1421,$0.1453,$0.1401,$0.1401,"$10,343,971","$10,343,971"
"Aug 27, 2022",$0.1434,$0.1441,$0.1399,$0.1422,"$9,948,337","$9,948,337"
"Aug 26, 2022",$0.1577,$0.1577,$0.1433,$0.1434,"$24,290,683","$24,290,683"
"Aug 25, 2022",$0.1484,$0.161,$0.1481,$0.1578,"$55,140,628","$55,140,628"
"Aug 24, 2022",$0.1483,$0.1512,$0.1441,$0.1484,"$12,606,060","$12,606,060"
"Aug 23, 2022",$0.1465,$0.1485,$0.1428,$0.1483,"$10,870,108","$10,870,108"
"Aug 22, 2022",$0.15,$0.15,$0.1418,$0.1465,"$10,691,845","$10,691,845"
"Aug 21, 2022",$0.147,$0.1514,$0.1457,$0.15,"$10,529,601","$10,529,601"
"Aug 20, 2022",$0.1504,$0.1529,$0.1439,$0.147,"$17,813,454","$17,813,454"
