Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.6501,$0.6544,$0.6116,$0.6137,"$2,242,353","$2,242,353"
"Sep 17, 2022",$0.6333,$0.6546,$0.6333,$0.6501,"$2,327,733","$2,327,733"
"Sep 16, 2022",$0.6425,$0.6475,$0.626,$0.6332,"$2,198,021","$2,198,021"
"Sep 15, 2022",$0.655,$0.6643,$0.6374,$0.6423,"$3,406,559","$3,406,559"
"Sep 14, 2022",$0.6543,$0.6686,$0.647,$0.655,"$3,768,417","$3,768,417"
"Sep 13, 2022",$0.6821,$0.6846,$0.648,$0.6576,"$3,732,310","$3,732,310"
"Sep 12, 2022",$0.6954,$0.6989,$0.6783,$0.6821,"$3,926,497","$3,926,497"
"Sep 11, 2022",$0.6858,$0.7218,$0.6845,$0.6954,"$9,345,957","$9,345,957"
"Sep 10, 2022",$0.6807,$0.7261,$0.6746,$0.6858,"$7,727,986","$7,727,986"
"Sep 09, 2022",$0.66,$0.6877,$0.6591,$0.6806,"$4,009,214","$4,009,214"
"Sep 08, 2022",$0.6484,$0.6813,$0.6457,$0.66,"$4,724,456","$4,724,456"
"Sep 07, 2022",$0.6387,$0.6535,$0.6351,$0.6484,"$2,277,490","$2,277,490"
"Sep 06, 2022",$0.6626,$0.6679,$0.635,$0.6386,"$3,699,675","$3,699,675"
"Sep 05, 2022",$0.6605,$0.6898,$0.6552,$0.6627,"$7,180,795","$7,180,795"
"Sep 04, 2022",$0.6524,$0.6618,$0.6517,$0.6605,"$2,461,196","$2,461,196"
"Sep 03, 2022",$0.6591,$0.6604,$0.6476,$0.6524,"$1,834,833","$1,834,833"
"Sep 02, 2022",$0.6508,$0.6649,$0.6465,$0.6591,"$3,192,952","$3,192,952"
"Sep 01, 2022",$0.6577,$0.6634,$0.6414,$0.6508,"$4,702,274","$4,702,274"
"Aug 31, 2022",$0.6585,$0.6669,$0.6553,$0.6577,"$3,794,579","$3,794,579"
"Aug 30, 2022",$0.6666,$0.6808,$0.6512,$0.6585,"$5,289,670","$5,289,670"
"Aug 29, 2022",$0.6423,$0.7597,$0.6423,$0.6666,"$20,209,401","$20,209,401"
"Aug 28, 2022",$0.6476,$0.6639,$0.6424,$0.6424,"$1,783,722","$1,783,722"
"Aug 27, 2022",$0.6572,$0.6604,$0.6423,$0.6476,"$2,267,899","$2,267,899"
"Aug 26, 2022",$0.7228,$0.7293,$0.6548,$0.6573,"$3,261,662","$3,261,662"
"Aug 25, 2022",$0.7169,$0.7283,$0.7162,$0.7228,"$1,985,749","$1,985,749"
"Aug 24, 2022",$0.7281,$0.7296,$0.7115,$0.7168,"$2,379,929","$2,379,929"
"Aug 23, 2022",$0.7158,$0.7298,$0.7058,$0.7282,"$2,931,636","$2,931,636"
"Aug 22, 2022",$0.7281,$0.7466,$0.7072,$0.7158,"$5,583,201","$5,583,201"
"Aug 21, 2022",$0.7244,$0.7287,$0.711,$0.7281,"$2,289,519","$2,289,519"
"Aug 20, 2022",$0.7045,$0.7376,$0.7045,$0.7244,"$3,330,114","$3,330,114"
"Aug 19, 2022",$0.7641,$0.7653,$0.7032,$0.7046,"$5,673,802","$5,673,802"
"Aug 18, 2022",$0.7693,$0.8047,$0.7603,$0.7642,"$7,946,294","$7,946,294"
"Aug 17, 2022",$0.7847,$0.8035,$0.7682,$0.7698,"$5,159,470","$5,159,470"
"Aug 16, 2022",$0.7959,$0.798,$0.782,$0.7847,"$4,156,879","$4,156,879"
"Aug 15, 2022",$0.7921,$0.8478,$0.7776,$0.7961,"$9,419,330","$9,419,330"
"Aug 14, 2022",$0.8061,$0.816,$0.7808,$0.792,"$5,734,957","$5,734,957"
"Aug 13, 2022",$0.8112,$0.8222,$0.8042,$0.8061,"$4,484,105","$4,484,105"
"Aug 12, 2022",$0.7931,$0.8612,$0.7888,$0.8111,"$19,687,076","$19,687,076"
"Aug 11, 2022",$0.799,$0.8115,$0.7925,$0.7931,"$4,123,802","$4,123,802"
"Aug 10, 2022",$0.7786,$0.8129,$0.7719,$0.799,"$7,907,103","$7,907,103"
"Aug 09, 2022",$0.7993,$0.8042,$0.7691,$0.7786,"$4,093,704","$4,093,704"
