Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.04802,$0.0481,$0.04404,$0.04559,"$565,729","$565,729"
"Sep 18, 2022",$0.04892,$0.04919,$0.04753,$0.04803,"$396,552","$396,552"
"Sep 17, 2022",$0.0482,$0.0491,$0.04807,$0.04891,"$307,775","$307,775"
"Sep 16, 2022",$0.04778,$0.04846,$0.04763,$0.04818,"$370,230","$370,230"
"Sep 15, 2022",$0.04847,$0.04847,$0.04737,$0.04779,"$461,776","$461,776"
"Sep 14, 2022",$0.04766,$0.04878,$0.04749,$0.04847,"$477,639","$477,639"
"Sep 13, 2022",$0.04972,$0.05011,$0.04754,$0.04802,"$581,715","$581,715"
"Sep 12, 2022",$0.04928,$0.05002,$0.04892,$0.04973,"$441,269","$441,269"
"Sep 11, 2022",$0.04772,$0.04949,$0.04758,$0.04928,"$479,616","$479,616"
"Sep 10, 2022",$0.04534,$0.0477,$0.04516,$0.0477,"$501,517","$501,517"
"Sep 09, 2022",$0.0448,$0.0458,$0.04477,$0.04533,"$451,477","$451,477"
"Sep 08, 2022",$0.04396,$0.04496,$0.04346,$0.04478,"$290,105","$290,105"
"Sep 07, 2022",$0.04348,$0.04412,$0.0431,$0.04396,"$394,995","$394,995"
"Sep 06, 2022",$0.04453,$0.04462,$0.04291,$0.04345,"$397,644","$397,644"
"Sep 05, 2022",$0.04378,$0.04467,$0.0434,$0.04451,"$288,939","$288,939"
"Sep 04, 2022",$0.04422,$0.04471,$0.04291,$0.04376,"$317,909","$317,909"
"Sep 03, 2022",$0.0455,$0.04559,$0.04412,$0.04422,"$443,594","$443,594"
"Sep 02, 2022",$0.04094,$0.046,$0.04071,$0.04549,"$702,917","$702,917"
"Sep 01, 2022",$0.03966,$0.04099,$0.0396,$0.04095,"$481,376","$481,376"
"Aug 31, 2022",$0.03931,$0.03977,$0.03924,$0.03965,"$355,253","$355,253"
"Aug 30, 2022",$0.03949,$0.03959,$0.03795,$0.03932,"$478,301","$478,301"
"Aug 29, 2022",$0.03844,$0.03961,$0.03818,$0.0395,"$387,133","$387,133"
"Aug 28, 2022",$0.0385,$0.03917,$0.03834,$0.03849,"$329,025","$329,025"
"Aug 27, 2022",$0.0383,$0.0389,$0.0381,$0.03851,"$423,972","$423,972"
"Aug 26, 2022",$0.03925,$0.03945,$0.03797,$0.0383,"$543,237","$543,237"
"Aug 25, 2022",$0.03852,$0.03944,$0.03843,$0.03925,"$366,621","$366,621"
"Aug 24, 2022",$0.03789,$0.03862,$0.03775,$0.03852,"$431,438","$431,438"
"Aug 23, 2022",$0.03636,$0.03794,$0.03635,$0.03789,"$433,801","$433,801"
"Aug 22, 2022",$0.03733,$0.03744,$0.03577,$0.03635,"$419,453","$419,453"
"Aug 21, 2022",$0.03675,$0.03747,$0.03675,$0.03733,"$464,837","$464,837"
"Aug 20, 2022",$0.03583,$0.03723,$0.03574,$0.03674,"$457,154","$457,154"
"Aug 19, 2022",$0.03813,$0.03814,$0.03564,$0.03583,"$574,110","$574,110"
"Aug 18, 2022",$0.03803,$0.03847,$0.03771,$0.03813,"$466,703","$466,703"
"Aug 17, 2022",$0.03777,$0.03914,$0.0375,$0.03802,"$504,136","$504,136"
"Aug 16, 2022",$0.03661,$0.03782,$0.03656,$0.03777,"$405,215","$405,215"
"Aug 15, 2022",$0.03564,$0.03715,$0.03556,$0.03662,"$515,379","$515,379"
"Aug 14, 2022",$0.03513,$0.03582,$0.03508,$0.03563,"$407,172","$407,172"
"Aug 13, 2022",$0.03507,$0.03528,$0.03495,$0.03513,"$342,949","$342,949"
"Aug 12, 2022",$0.03435,$0.03507,$0.03402,$0.03507,"$445,911","$445,911"
"Aug 11, 2022",$0.0335,$0.0346,$0.03341,$0.03434,"$401,374","$401,374"
"Aug 10, 2022",$0.03272,$0.03355,$0.03253,$0.03351,"$492,621","$492,621"
"Aug 09, 2022",$0.03275,$0.03319,$0.03229,$0.03272,"$404,886","$404,886"
"Aug 08, 2022",$0.03237,$0.03303,$0.03186,$0.03275,"$449,146","$449,146"
"Aug 07, 2022",$0.03233,$0.03252,$0.03194,$0.03237,"$366,461","$366,461"
"Aug 06, 2022",$0.03169,$0.03275,$0.03164,$0.03233,"$431,681","$431,681"
"Aug 05, 2022",$0.0307,$0.03174,$0.03065,$0.03168,"$424,119","$424,119"
"Aug 04, 2022",$0.03061,$0.03123,$0.03051,$0.03069,"$385,721","$385,721"
"Aug 03, 2022",$0.03166,$0.03192,$0.02964,$0.0306,"$677,493","$677,493"
"Aug 02, 2022",$0.03232,$0.03232,$0.03152,$0.03165,"$408,378","$408,378"
"Aug 01, 2022",$0.03231,$0.03271,$0.03204,$0.03233,"$425,373","$425,373"
"Jul 31, 2022",$0.03349,$0.03376,$0.0323,$0.0323,"$409,468","$409,468"
"Jul 30, 2022",$0.03365,$0.03417,$0.03334,$0.03349,"$411,273","$411,273"
"Jul 29, 2022",$0.0337,$0.03434,$0.03338,$0.03367,"$575,860","$575,860"
"Jul 28, 2022",$0.0333,$0.03384,$0.03306,$0.0337,"$632,046","$632,046"
"Jul 27, 2022",$0.03317,$0.03354,$0.03256,$0.03331,"$414,016","$414,016"
"Jul 26, 2022",$0.0339,$0.03392,$0.03285,$0.03316,"$390,152","$390,152"
"Jul 25, 2022",$0.03467,$0.03494,$0.0337,$0.0339,"$416,144","$416,144"
"Jul 24, 2022",$0.03426,$0.03479,$0.03404,$0.03468,"$417,546","$417,546"
"Jul 23, 2022",$0.03405,$0.03455,$0.03392,$0.03426,"$392,542","$392,542"
"Jul 22, 2022",$0.0343,$0.03454,$0.03379,$0.03406,"$477,562","$477,562"
"Jul 21, 2022",$0.03408,$0.0345,$0.03367,$0.03431,"$503,035","$503,035"
