Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$4.84,$4.91,$4.70,$4.77,"$5,930,199","$5,930,199"
"Sep 15, 2022",$4.96,$5.02,$4.61,$4.84,"$11,659,109","$11,659,109"
"Sep 14, 2022",$5.04,$5.08,$4.78,$4.96,"$14,160,757","$14,160,757"
"Sep 13, 2022",$5.34,$5.52,$4.98,$5.02,"$11,243,834","$11,243,834"
"Sep 12, 2022",$5.56,$5.62,$5.30,$5.34,"$7,616,624","$7,616,624"
"Sep 11, 2022",$5.69,$5.71,$5.51,$5.56,"$6,637,717","$6,637,717"
"Sep 10, 2022",$5.51,$5.76,$5.47,$5.69,"$12,490,336","$12,490,336"
"Sep 09, 2022",$5.30,$5.63,$5.27,$5.51,"$10,355,647","$10,355,647"
"Sep 08, 2022",$5.34,$5.40,$5.19,$5.30,"$7,235,705","$7,235,705"
"Sep 07, 2022",$5.14,$5.40,$5.02,$5.34,"$9,743,485","$9,743,485"
"Sep 06, 2022",$5.36,$5.62,$5.14,$5.14,"$11,055,824","$11,055,824"
"Sep 05, 2022",$5.29,$5.41,$5.14,$5.37,"$5,794,359","$5,794,359"
"Sep 04, 2022",$5.14,$5.29,$5.07,$5.29,"$6,579,283","$6,579,283"
"Sep 03, 2022",$5.28,$5.28,$5.10,$5.14,"$8,044,188","$8,044,188"
"Sep 02, 2022",$5.23,$5.41,$5.13,$5.28,"$10,826,459","$10,826,459"
"Sep 01, 2022",$5.07,$5.26,$4.98,$5.23,"$11,552,418","$11,552,418"
"Aug 31, 2022",$5.06,$5.39,$4.95,$5.07,"$12,434,874","$12,434,874"
"Aug 30, 2022",$5.10,$5.22,$4.92,$5.06,"$12,015,777","$12,015,777"
"Aug 29, 2022",$4.96,$5.15,$4.92,$5.10,"$14,277,765","$14,277,765"
"Aug 28, 2022",$5.10,$5.20,$4.96,$4.96,"$7,932,674","$7,932,674"
"Aug 27, 2022",$5.15,$5.22,$4.99,$5.10,"$10,017,128","$10,017,128"
"Aug 26, 2022",$5.84,$5.94,$5.12,$5.15,"$14,672,690","$14,672,690"
"Aug 25, 2022",$5.79,$5.92,$5.74,$5.85,"$10,634,056","$10,634,056"
"Aug 24, 2022",$5.71,$5.90,$5.48,$5.79,"$14,213,789","$14,213,789"
"Aug 23, 2022",$5.27,$5.85,$5.19,$5.71,"$21,598,398","$21,598,398"
"Aug 22, 2022",$5.37,$5.37,$4.94,$5.27,"$20,273,246","$20,273,246"
"Aug 21, 2022",$5.02,$5.42,$5.01,$5.37,"$9,428,677","$9,428,677"
"Aug 20, 2022",$5.22,$5.30,$4.87,$5.02,"$9,032,660","$9,032,660"
"Aug 19, 2022",$5.59,$5.59,$5.11,$5.22,"$10,799,830","$10,799,830"
"Aug 18, 2022",$5.93,$6.00,$5.53,$5.59,"$7,093,527","$7,093,527"
"Aug 17, 2022",$6.23,$6.45,$5.88,$5.93,"$8,391,330","$8,391,330"
"Aug 16, 2022",$6.66,$6.72,$6.17,$6.23,"$9,734,758","$9,734,758"
"Aug 15, 2022",$6.97,$7.12,$6.60,$6.66,"$10,141,733","$10,141,733"
"Aug 14, 2022",$7.20,$7.34,$6.93,$6.97,"$6,706,726","$6,706,726"
