Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.06605,$0.06841,$0.05978,$0.06288,"$1,180,451","$1,180,451"
"Sep 20, 2022",$0.0672,$0.06756,$0.06604,$0.06605,"$262,668","$262,668"
"Sep 19, 2022",$0.06599,$0.06726,$0.06497,$0.0672,"$861,998","$861,998"
"Sep 18, 2022",$0.06959,$0.06961,$0.06594,$0.06599,"$430,028","$430,028"
"Sep 17, 2022",$0.06684,$0.07018,$0.06682,$0.0696,"$1,382,172","$1,382,172"
"Sep 16, 2022",$0.06837,$0.06837,$0.06611,$0.06683,"$1,887,498","$1,887,498"
"Sep 15, 2022",$0.06917,$0.071,$0.06829,$0.06837,"$1,155,761","$1,155,761"
"Sep 14, 2022",$0.06882,$0.06973,$0.06841,$0.06916,"$2,722,609","$2,722,609"
"Sep 13, 2022",$0.07251,$0.07292,$0.06839,$0.06842,"$638,342","$638,342"
"Sep 12, 2022",$0.07129,$0.07378,$0.07016,$0.07252,"$1,504,155","$1,504,155"
"Sep 11, 2022",$0.07133,$0.07173,$0.07006,$0.07129,"$334,871","$334,871"
"Sep 10, 2022",$0.07189,$0.07191,$0.07028,$0.07133,"$354,544","$354,544"
"Sep 09, 2022",$0.06895,$0.07224,$0.06822,$0.0719,"$342,230","$342,230"
"Sep 08, 2022",$0.06879,$0.07005,$0.06789,$0.06897,"$393,351","$393,351"
"Sep 07, 2022",$0.06715,$0.06911,$0.06599,$0.0688,"$367,836","$367,836"
"Sep 06, 2022",$0.0684,$0.07014,$0.06705,$0.06715,"$310,661","$310,661"
"Sep 05, 2022",$0.0692,$0.07017,$0.06786,$0.0684,"$276,886","$276,886"
"Sep 04, 2022",$0.06713,$0.06941,$0.06692,$0.0692,"$250,454","$250,454"
"Sep 03, 2022",$0.06846,$0.07005,$0.06502,$0.06713,"$298,359","$298,359"
"Sep 02, 2022",$0.06401,$0.06867,$0.06321,$0.06847,"$358,030","$358,030"
"Sep 01, 2022",$0.06504,$0.06511,$0.06212,$0.06402,"$378,913","$378,913"
"Aug 31, 2022",$0.06595,$0.067,$0.06458,$0.06504,"$485,908","$485,908"
"Aug 30, 2022",$0.06924,$0.06936,$0.06503,$0.06597,"$15,283,709","$15,283,709"
"Aug 29, 2022",$0.06896,$0.06926,$0.06323,$0.06922,"$6,162,565","$6,162,565"
"Aug 28, 2022",$0.06999,$0.07075,$0.06885,$0.06896,"$394,591","$394,591"
"Aug 27, 2022",$0.07191,$0.072,$0.0694,$0.06999,"$413,981","$413,981"
"Aug 26, 2022",$0.07689,$0.07788,$0.07188,$0.07191,"$513,298","$513,298"
"Aug 25, 2022",$0.07137,$0.07718,$0.07124,$0.07683,"$621,415","$621,415"
"Aug 24, 2022",$0.07173,$0.07281,$0.07004,$0.07137,"$450,950","$450,950"
"Aug 23, 2022",$0.0698,$0.07187,$0.06887,$0.07173,"$509,543","$509,543"
"Aug 22, 2022",$0.06736,$0.06984,$0.06532,$0.06979,"$720,920","$720,920"
"Aug 21, 2022",$0.06634,$0.07054,$0.0662,$0.06736,"$555,143","$555,143"
"Aug 20, 2022",$0.06867,$0.06887,$0.06597,$0.06635,"$548,916","$548,916"
"Aug 19, 2022",$0.07675,$0.07685,$0.06792,$0.06867,"$664,447","$664,447"
"Aug 18, 2022",$0.07856,$0.07932,$0.07671,$0.07675,"$521,152","$521,152"
"Aug 17, 2022",$0.08251,$0.08357,$0.07845,$0.07856,"$576,317","$576,317"
"Aug 16, 2022",$0.08417,$0.08429,$0.08252,$0.08252,"$456,703","$456,703"
"Aug 15, 2022",$0.08594,$0.08618,$0.08397,$0.08414,"$452,163","$452,163"
"Aug 14, 2022",$0.08832,$0.08924,$0.08549,$0.08591,"$510,737","$510,737"
"Aug 13, 2022",$0.08907,$0.09008,$0.08752,$0.0883,"$482,612","$482,612"
"Aug 12, 2022",$0.08856,$0.09189,$0.0882,$0.08919,"$686,855","$686,855"
"Aug 11, 2022",$0.08944,$0.09026,$0.0881,$0.08856,"$660,717","$660,717"
"Aug 10, 2022",$0.08488,$0.08944,$0.08344,$0.08944,"$659,964","$659,964"
"Aug 09, 2022",$0.08842,$0.08877,$0.08316,$0.08488,"$616,876","$616,876"
"Aug 08, 2022",$0.08329,$0.08898,$0.08297,$0.08842,"$886,152","$886,152"
"Aug 07, 2022",$0.08885,$0.08934,$0.083,$0.08329,"$800,962","$800,962"
"Aug 06, 2022",$0.08413,$0.09093,$0.08397,$0.08886,"$990,706","$990,706"
"Aug 05, 2022",$0.08335,$0.08532,$0.08172,$0.08413,"$1,011,938","$1,011,938"
"Aug 04, 2022",$0.08341,$0.08519,$0.08108,$0.0833,"$1,212,043","$1,212,043"
"Aug 03, 2022",$0.08746,$0.08967,$0.08331,$0.08341,"$1,974,114","$1,974,114"
"Aug 02, 2022",$0.06175,$0.09148,$0.06175,$0.08745,"$12,776,709","$12,776,709"
"Aug 01, 2022",$0.1242,$0.1246,$0.05081,$0.06085,"$10,023,543","$10,023,543"
"Jul 31, 2022",$0.1251,$0.1296,$0.1238,$0.1242,"$1,411,028","$1,411,028"
"Jul 30, 2022",$0.1255,$0.1294,$0.1237,$0.1251,"$1,657,563","$1,657,563"
"Jul 29, 2022",$0.1186,$0.1265,$0.1175,$0.1255,"$1,995,484","$1,995,484"
"Jul 28, 2022",$0.1163,$0.1206,$0.1153,$0.1186,"$1,277,960","$1,277,960"
"Jul 27, 2022",$0.1083,$0.1166,$0.1065,$0.1164,"$1,258,697","$1,258,697"
"Jul 26, 2022",$0.109,$0.109,$0.1055,$0.1083,"$6,562,693","$6,562,693"
"Jul 25, 2022",$0.1136,$0.1136,$0.1089,$0.1091,"$2,026,533","$2,026,533"
"Jul 24, 2022",$0.1143,$0.1154,$0.1127,$0.1136,"$1,592,543","$1,592,543"
"Jul 23, 2022",$0.1167,$0.1188,$0.112,$0.1144,"$1,452,394","$1,452,394"
"Jul 22, 2022",$0.1175,$0.122,$0.1168,$0.1168,"$1,622,004","$1,622,004"
"Jul 21, 2022",$0.1155,$0.1176,$0.1115,$0.1175,"$1,408,590","$1,408,590"
"Jul 20, 2022",$0.1171,$0.1202,$0.1152,$0.1155,"$1,382,737","$1,382,737"
"Jul 19, 2022",$0.1124,$0.119,$0.1113,$0.1171,"$1,547,883","$1,547,883"
"Jul 18, 2022",$0.105,$0.1122,$0.105,$0.1122,"$1,522,105","$1,522,105"
"Jul 17, 2022",$0.1077,$0.1083,$0.1049,$0.105,"$1,905,683","$1,905,683"
"Jul 16, 2022",$0.1047,$0.1082,$0.1026,$0.1077,"$3,457,603","$3,457,603"
"Jul 15, 2022",$0.102,$0.1057,$0.1014,$0.1047,"$1,131,448","$1,131,448"
"Jul 14, 2022",$0.1009,$0.1035,$0.09875,$0.102,"$2,013,709","$2,013,709"
"Jul 13, 2022",$0.1012,$0.1014,$0.09752,$0.1009,"$1,616,247","$1,616,247"
"Jul 12, 2022",$0.1057,$0.106,$0.1012,$0.1012,"$1,724,793","$1,724,793"
"Jul 11, 2022",$0.1114,$0.1118,$0.1057,$0.1057,"$7,922,285","$7,922,285"
