Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.2334,$0.2348,$0.2269,$0.2283,"$131,592","$131,592"
"Sep 25, 2022",$0.2339,$0.2348,$0.2324,$0.2334,"$159,487","$159,487"
"Sep 24, 2022",$0.2355,$0.236,$0.2332,$0.2339,"$166,656","$166,656"
"Sep 23, 2022",$0.2368,$0.2372,$0.2331,$0.2355,"$147,030","$147,030"
"Sep 22, 2022",$0.2358,$0.2404,$0.2348,$0.2368,"$174,374","$174,374"
"Sep 21, 2022",$0.2508,$0.263,$0.2348,$0.2358,"$1,508,497","$1,508,497"
"Sep 20, 2022",$0.2451,$0.2591,$0.2446,$0.2509,"$1,261,732","$1,261,732"
"Sep 19, 2022",$0.2569,$0.2575,$0.2407,$0.2451,"$556,432","$556,432"
"Sep 18, 2022",$0.2746,$0.2781,$0.2546,$0.2569,"$405,009","$405,009"
"Sep 17, 2022",$0.2572,$0.278,$0.2567,$0.2746,"$332,541","$332,541"
"Sep 16, 2022",$0.2701,$0.2712,$0.2463,$0.2572,"$162,355","$162,355"
"Sep 15, 2022",$0.3062,$0.3083,$0.267,$0.27,"$202,640","$202,640"
"Sep 14, 2022",$0.2715,$0.308,$0.2692,$0.3062,"$233,490","$233,490"
"Sep 13, 2022",$0.299,$0.299,$0.2594,$0.2715,"$124,138","$124,138"
"Sep 12, 2022",$0.3124,$0.3162,$0.2966,$0.299,"$146,753","$146,753"
"Sep 11, 2022",$0.3059,$0.3156,$0.2989,$0.3123,"$193,953","$193,953"
"Sep 10, 2022",$0.2861,$0.3061,$0.2845,$0.306,"$156,959","$156,959"
"Sep 09, 2022",$0.2655,$0.2896,$0.2646,$0.2862,"$180,698","$180,698"
"Sep 08, 2022",$0.241,$0.2655,$0.2403,$0.2655,"$174,046","$174,046"
"Sep 07, 2022",$0.2179,$0.2414,$0.2117,$0.241,"$147,792","$147,792"
"Sep 06, 2022",$0.2223,$0.2291,$0.2141,$0.2179,"$148,298","$148,298"
"Sep 05, 2022",$0.2338,$0.2428,$0.21,$0.2222,"$158,341","$158,341"
"Sep 04, 2022",$0.2167,$0.2435,$0.2141,$0.2338,"$399,922","$399,922"
"Sep 03, 2022",$0.2013,$0.2172,$0.1993,$0.2167,"$176,919","$176,919"
"Sep 02, 2022",$0.1863,$0.2051,$0.1863,$0.2013,"$155,601","$155,601"
"Sep 01, 2022",$0.196,$0.1978,$0.182,$0.1863,"$100,820","$100,820"
"Aug 31, 2022",$0.1744,$0.207,$0.1744,$0.196,"$101,825","$101,825"
"Aug 30, 2022",$0.1805,$0.1914,$0.1743,$0.1744,"$11,822","$11,822"
"Aug 29, 2022",$0.1705,$0.1805,$0.1641,$0.1805,"$9,770","$9,770"
"Aug 28, 2022",$0.1739,$0.1771,$0.1705,$0.1705,"$5,192","$5,192"
"Aug 27, 2022",$0.178,$0.1791,$0.1674,$0.1739,"$4,979","$4,979"
"Aug 26, 2022",$0.1892,$0.195,$0.1775,$0.178,"$23,490","$23,490"
"Aug 25, 2022",$0.1881,$0.1893,$0.1794,$0.1892,"$15,017","$15,017"
"Aug 24, 2022",$0.1889,$0.1925,$0.1808,$0.1881,"$16,431","$16,431"
"Aug 23, 2022",$0.1769,$0.1926,$0.1765,$0.1889,"$21,750","$21,750"
"Aug 22, 2022",$0.1781,$0.1799,$0.1624,$0.1769,"$22,277","$22,277"
"Aug 21, 2022",$0.1714,$0.1808,$0.1712,$0.1781,"$9,620","$9,620"
"Aug 20, 2022",$0.1608,$0.176,$0.1597,$0.1714,"$19,535","$19,535"
"Aug 19, 2022",$0.1818,$0.1824,$0.1599,$0.1609,"$29,476","$29,476"
"Aug 18, 2022",$0.1922,$0.199,$0.178,$0.1818,"$32,156","$32,156"
"Aug 17, 2022",$0.1861,$0.1997,$0.1831,$0.1922,"$33,181","$33,181"
"Aug 16, 2022",$0.1835,$0.1885,$0.1811,$0.1861,"$8,155","$8,155"
"Aug 15, 2022",$0.1832,$0.1879,$0.1759,$0.1836,"$17,347","$17,347"
"Aug 14, 2022",$0.1845,$0.1877,$0.1829,$0.1832,"$11,302","$11,302"
"Aug 13, 2022",$0.1918,$0.1972,$0.1809,$0.1846,"$25,216","$25,216"
"Aug 12, 2022",$0.1846,$0.196,$0.1816,$0.1917,"$24,765","$24,765"
"Aug 11, 2022",$0.1752,$0.191,$0.1718,$0.1846,"$18,850","$18,850"
"Aug 10, 2022",$0.1733,$0.1793,$0.1689,$0.1752,"$18,332","$18,332"
"Aug 09, 2022",$0.181,$0.1842,$0.1717,$0.1733,"$16,062","$16,062"
"Aug 08, 2022",$0.1759,$0.1846,$0.1725,$0.181,"$17,970","$17,970"
"Aug 07, 2022",$0.1831,$0.184,$0.171,$0.1759,"$20,060","$20,060"
"Aug 06, 2022",$0.1878,$0.1922,$0.1792,$0.1831,"$17,204","$17,204"
"Aug 05, 2022",$0.1765,$0.1899,$0.173,$0.1878,"$18,443","$18,443"
"Aug 04, 2022",$0.1757,$0.1798,$0.1721,$0.1765,"$17,423","$17,423"
"Aug 03, 2022",$0.1753,$0.1812,$0.1721,$0.1757,"$7,750","$7,750"
"Aug 02, 2022",$0.1854,$0.1891,$0.173,$0.1753,"$21,322","$21,322"
"Aug 01, 2022",$0.165,$0.1858,$0.1632,$0.1854,"$44,378","$44,378"
"Jul 31, 2022",$0.1736,$0.1757,$0.164,$0.165,"$12,263","$12,263"
"Jul 30, 2022",$0.1721,$0.1865,$0.172,$0.1737,"$27,320","$27,320"
"Jul 29, 2022",$0.177,$0.1798,$0.1704,$0.1721,"$14,680","$14,680"
"Jul 28, 2022",$0.17,$0.1777,$0.1688,$0.177,"$20,735","$20,735"
"Jul 27, 2022",$0.1615,$0.1718,$0.1578,$0.17,"$31,774","$31,774"
"Jul 26, 2022",$0.1546,$0.1646,$0.1459,$0.1615,"$21,248","$21,248"
"Jul 25, 2022",$0.164,$0.1643,$0.1505,$0.1546,"$21,254","$21,254"
"Jul 24, 2022",$0.1543,$0.1692,$0.1523,$0.1641,"$15,092","$15,092"
"Jul 23, 2022",$0.168,$0.1691,$0.1498,$0.1543,"$25,691","$25,691"
"Jul 22, 2022",$0.1738,$0.1754,$0.1637,$0.1681,"$7,320","$7,320"
"Jul 21, 2022",$0.1773,$0.1806,$0.1712,$0.1726,"$11,770","$11,770"
"Jul 20, 2022",$0.1859,$0.1861,$0.1742,$0.1773,"$14,830","$14,830"
"Jul 19, 2022",$0.1831,$0.1886,$0.1716,$0.1858,"$25,141","$25,141"
"Jul 18, 2022",$0.1767,$0.1854,$0.1738,$0.1833,"$14,555","$14,555"
"Jul 17, 2022",$0.1679,$0.1795,$0.1649,$0.1767,"$14,555","$14,555"
"Jul 16, 2022",$0.1776,$0.1882,$0.1673,$0.1682,"$33,854","$33,854"
"Jul 15, 2022",$0.1754,$0.1844,$0.1738,$0.1776,"$9,587","$9,587"
"Jul 14, 2022",$0.1722,$0.178,$0.1658,$0.1754,"$6,725","$6,725"
"Jul 13, 2022",$0.1546,$0.1723,$0.1545,$0.1722,"$19,080","$19,080"
"Jul 12, 2022",$0.1703,$0.172,$0.1543,$0.1546,"$10,346","$10,346"
"Jul 11, 2022",$0.1747,$0.1793,$0.1703,$0.1703,"$60,559","$60,559"
"Jul 10, 2022",$0.1803,$0.1804,$0.174,$0.1747,"$99,054","$99,054"
"Jul 09, 2022",$0.1827,$0.1852,$0.1753,$0.1803,"$99,555","$99,555"
"Jul 08, 2022",$0.1783,$0.1907,$0.1738,$0.1828,"$132,316","$132,316"
"Jul 07, 2022",$0.1745,$0.1837,$0.1696,$0.1783,"$180,515","$180,515"
"Jul 06, 2022",$0.1698,$0.1756,$0.1633,$0.1745,"$123,994","$123,994"
"Jul 05, 2022",$0.1682,$0.1758,$0.1583,$0.1698,"$129,912","$129,912"
"Jul 04, 2022",$0.1606,$0.1685,$0.1552,$0.1683,"$146,165","$146,165"
"Jul 03, 2022",$0.1511,$0.1664,$0.1479,$0.1606,"$215,126","$215,126"
