Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$15.47,$16.23,$15.39,$15.99,"$1,952,506","$1,952,506"
"Sep 21, 2022",$15.80,$15.97,$15.25,$15.49,"$1,866,755","$1,866,755"
"Sep 20, 2022",$15.69,$16.47,$15.46,$15.80,"$1,875,407","$1,875,407"
"Sep 19, 2022",$15.68,$16.21,$15.10,$15.70,"$1,706,161","$1,706,161"
"Sep 18, 2022",$18.17,$18.17,$15.69,$15.70,"$2,597,087","$2,597,087"
"Sep 17, 2022",$16.24,$18.22,$16.24,$18.16,"$3,550,715","$3,550,715"
"Sep 16, 2022",$16.60,$16.86,$16.07,$16.24,"$1,280,819","$1,280,819"
"Sep 15, 2022",$16.58,$17.49,$16.19,$16.60,"$2,754,774","$2,754,774"
"Sep 14, 2022",$17.11,$17.22,$16.24,$16.67,"$1,594,637","$1,594,637"
"Sep 13, 2022",$18.44,$18.58,$16.74,$16.91,"$3,346,113","$3,346,113"
"Sep 12, 2022",$19.03,$22.44,$18.33,$18.45,"$11,576,481","$11,576,481"
"Sep 11, 2022",$17.93,$21.05,$17.58,$19.03,"$11,086,704","$11,086,704"
"Sep 10, 2022",$18.05,$18.25,$17.57,$17.93,"$1,166,482","$1,166,482"
"Sep 09, 2022",$16.98,$18.58,$16.97,$18.04,"$1,834,762","$1,834,762"
"Sep 08, 2022",$16.60,$17.63,$16.14,$16.99,"$2,833,087","$2,833,087"
"Sep 07, 2022",$15.97,$16.73,$15.63,$16.60,"$533,707","$533,707"
"Sep 06, 2022",$16.84,$17.05,$15.78,$15.97,"$1,055,309","$1,055,309"
"Sep 05, 2022",$17.09,$17.16,$16.51,$16.84,"$922,463","$922,463"
"Sep 04, 2022",$16.98,$17.25,$16.72,$17.08,"$705,711","$705,711"
"Sep 03, 2022",$16.98,$17.07,$16.81,$16.98,"$785,617","$785,617"
"Sep 02, 2022",$16.65,$17.42,$16.51,$16.98,"$1,452,891","$1,452,891"
"Sep 01, 2022",$16.84,$16.88,$16.29,$16.65,"$834,574","$834,574"
"Aug 31, 2022",$16.76,$17.38,$16.45,$16.83,"$1,094,389","$1,094,389"
"Aug 30, 2022",$16.75,$17.39,$15.92,$16.74,"$1,266,475","$1,266,475"
"Aug 29, 2022",$16.17,$17.40,$15.98,$16.76,"$1,152,968","$1,152,968"
"Aug 28, 2022",$16.65,$16.93,$16.18,$16.18,"$1,326,986","$1,326,986"
"Aug 27, 2022",$16.61,$17.01,$16.35,$16.65,"$1,070,728","$1,070,728"
"Aug 26, 2022",$17.76,$18.27,$16.59,$16.61,"$1,361,611","$1,361,611"
"Aug 25, 2022",$17.87,$18.46,$17.70,$17.75,"$1,122,494","$1,122,494"
"Aug 24, 2022",$18.55,$18.79,$17.79,$17.88,"$1,618,018","$1,618,018"
"Aug 23, 2022",$17.87,$18.56,$17.34,$18.55,"$1,856,539","$1,856,539"
"Aug 22, 2022",$18.34,$18.45,$17.52,$17.86,"$2,327,404","$2,327,404"
"Aug 21, 2022",$17.80,$20.85,$17.11,$18.32,"$7,022,053","$7,022,053"
"Aug 20, 2022",$16.48,$18.49,$16.48,$17.80,"$3,196,302","$3,196,302"
"Aug 19, 2022",$18.14,$18.15,$16.32,$16.50,"$1,951,926","$1,951,926"
"Aug 18, 2022",$18.62,$19.13,$18.13,$18.13,"$1,495,844","$1,495,844"
"Aug 17, 2022",$19.80,$20.49,$18.59,$18.62,"$1,647,264","$1,647,264"
"Aug 16, 2022",$20.19,$20.32,$19.60,$19.82,"$1,256,215","$1,256,215"
"Aug 15, 2022",$20.30,$20.74,$19.92,$20.19,"$1,946,236","$1,946,236"
"Aug 14, 2022",$20.37,$20.67,$19.99,$20.31,"$2,210,695","$2,210,695"
"Aug 13, 2022",$20.74,$21.09,$20.25,$20.37,"$1,627,718","$1,627,718"
"Aug 12, 2022",$20.32,$20.99,$20.24,$20.73,"$1,959,991","$1,959,991"
"Aug 11, 2022",$20.76,$21.79,$20.23,$20.33,"$2,176,972","$2,176,972"
