Day,Open,High,Low,Close,Volume,Market Cap
"Sep 18, 2022",$0.326,$0.3264,$0.3038,$0.3047,"$5,221,660","$5,221,660"
"Sep 17, 2022",$0.3202,$0.3292,$0.3199,$0.3256,"$4,490,354","$4,490,354"
"Sep 16, 2022",$0.3202,$0.3259,$0.3182,$0.3198,"$3,675,144","$3,675,144"
"Sep 15, 2022",$0.3292,$0.3356,$0.3187,$0.32,"$4,165,270","$4,165,270"
"Sep 14, 2022",$0.3241,$0.3328,$0.3209,$0.3292,"$4,073,228","$4,073,228"
"Sep 13, 2022",$0.3441,$0.3546,$0.3234,$0.3256,"$4,266,944","$4,266,944"
"Sep 12, 2022",$0.3629,$0.3632,$0.3389,$0.343,"$4,345,768","$4,345,768"
"Sep 11, 2022",$0.3541,$0.3782,$0.3517,$0.3634,"$3,624,345","$3,624,345"
"Sep 10, 2022",$0.3607,$0.3886,$0.3444,$0.3544,"$4,880,697","$4,880,697"
"Sep 09, 2022",$0.3365,$0.3781,$0.3351,$0.3616,"$4,643,176","$4,643,176"
"Sep 08, 2022",$0.3429,$0.3747,$0.3265,$0.3359,"$4,701,068","$4,701,068"
"Sep 07, 2022",$0.3201,$0.3436,$0.3151,$0.3424,"$4,124,845","$4,124,845"
"Sep 06, 2022",$0.3355,$0.3442,$0.3165,$0.3201,"$3,836,844","$3,836,844"
"Sep 05, 2022",$0.3392,$0.3399,$0.3319,$0.3354,"$4,022,806","$4,022,806"
"Sep 04, 2022",$0.3444,$0.3454,$0.3386,$0.3395,"$4,095,840","$4,095,840"
"Sep 03, 2022",$0.3393,$0.3482,$0.3381,$0.3446,"$3,882,668","$3,882,668"
"Sep 02, 2022",$0.3382,$0.3536,$0.3382,$0.3388,"$3,756,729","$3,756,729"
"Sep 01, 2022",$0.3467,$0.3473,$0.3329,$0.339,"$4,014,157","$4,014,157"
"Aug 31, 2022",$0.3408,$0.3635,$0.339,$0.3469,"$4,385,025","$4,385,025"
"Aug 30, 2022",$0.3418,$0.3546,$0.3306,$0.3402,"$4,178,234","$4,178,234"
"Aug 29, 2022",$0.3337,$0.3492,$0.3289,$0.3421,"$4,301,397","$4,301,397"
"Aug 28, 2022",$0.3497,$0.3562,$0.3333,$0.3342,"$3,837,851","$3,837,851"
"Aug 27, 2022",$0.3531,$0.3614,$0.3424,$0.35,"$4,443,088","$4,443,088"
"Aug 26, 2022",$0.3791,$0.386,$0.3511,$0.353,"$4,241,344","$4,241,344"
"Aug 25, 2022",$0.3792,$0.3857,$0.3734,$0.3792,"$3,949,226","$3,949,226"
"Aug 24, 2022",$0.3908,$0.3919,$0.373,$0.3783,"$3,399,433","$3,399,433"
"Aug 23, 2022",$0.3737,$0.3915,$0.3733,$0.3906,"$3,742,032","$3,742,032"
"Aug 22, 2022",$0.39,$0.3933,$0.3697,$0.3736,"$3,651,096","$3,651,096"
"Aug 21, 2022",$0.387,$0.4034,$0.3869,$0.3904,"$3,483,992","$3,483,992"
"Aug 20, 2022",$0.3738,$0.4163,$0.3725,$0.3876,"$3,907,608","$3,907,608"
"Aug 19, 2022",$0.4225,$0.424,$0.3725,$0.3729,"$3,986,590","$3,986,590"
