Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$0.1206,$0.1282,$0.1199,$0.1279,"$684,834","$684,834"
"Sep 21, 2022",$0.1201,$0.1242,$0.1194,$0.121,"$839,706","$839,706"
"Sep 20, 2022",$0.1246,$0.1254,$0.12,$0.1202,"$1,164,237","$1,164,237"
"Sep 19, 2022",$0.126,$0.1265,$0.1187,$0.1247,"$1,316,187","$1,316,187"
"Sep 18, 2022",$0.1369,$0.1387,$0.1247,$0.126,"$2,933,921","$2,933,921"
"Sep 17, 2022",$0.1201,$0.1579,$0.1201,$0.1369,"$9,986,606","$9,986,606"
"Sep 16, 2022",$0.122,$0.1244,$0.1182,$0.12,"$4,288,272","$4,288,272"
"Sep 15, 2022",$0.128,$0.1286,$0.1215,$0.122,"$3,441,439","$3,441,439"
"Sep 14, 2022",$0.1299,$0.1316,$0.1276,$0.128,"$2,345,856","$2,345,856"
"Sep 13, 2022",$0.1342,$0.1343,$0.1285,$0.1304,"$2,983,077","$2,983,077"
"Sep 12, 2022",$0.1355,$0.1366,$0.1337,$0.1343,"$2,516,943","$2,516,943"
"Sep 11, 2022",$0.135,$0.1355,$0.1322,$0.1355,"$2,305,364","$2,305,364"
"Sep 10, 2022",$0.1345,$0.137,$0.1337,$0.1351,"$2,143,789","$2,143,789"
"Sep 09, 2022",$0.1268,$0.1355,$0.1265,$0.1344,"$2,215,750","$2,215,750"
"Sep 08, 2022",$0.1295,$0.1315,$0.1261,$0.1268,"$2,486,738","$2,486,738"
"Sep 07, 2022",$0.1273,$0.1297,$0.127,$0.1295,"$1,755,020","$1,755,020"
"Sep 06, 2022",$0.1337,$0.1353,$0.1268,$0.1274,"$2,336,360","$2,336,360"
"Sep 05, 2022",$0.1319,$0.1356,$0.1309,$0.1337,"$1,943,528","$1,943,528"
"Sep 04, 2022",$0.1326,$0.1363,$0.1301,$0.1319,"$1,808,438","$1,808,438"
"Sep 03, 2022",$0.1342,$0.1412,$0.1319,$0.1327,"$1,380,303","$1,380,303"
"Sep 02, 2022",$0.1352,$0.1385,$0.1327,$0.1342,"$1,556,215","$1,556,215"
"Sep 01, 2022",$0.1388,$0.1395,$0.1329,$0.1353,"$1,470,114","$1,470,114"
"Aug 31, 2022",$0.1374,$0.1409,$0.1374,$0.1388,"$2,004,081","$2,004,081"
"Aug 30, 2022",$0.1422,$0.1433,$0.1373,$0.1374,"$2,098,117","$2,098,117"
"Aug 29, 2022",$0.1362,$0.1422,$0.1356,$0.142,"$1,958,073","$1,958,073"
"Aug 28, 2022",$0.1384,$0.1402,$0.1362,$0.1363,"$1,276,079","$1,276,079"
"Aug 27, 2022",$0.1376,$0.1401,$0.1347,$0.1383,"$905,513","$905,513"
"Aug 26, 2022",$0.1437,$0.1448,$0.1372,$0.1376,"$673,400","$673,400"
"Aug 25, 2022",$0.1465,$0.1473,$0.1435,$0.1436,"$384,920","$384,920"
"Aug 24, 2022",$0.1474,$0.1491,$0.1461,$0.1464,"$561,645","$561,645"
"Aug 23, 2022",$0.145,$0.1512,$0.1441,$0.1474,"$762,535","$762,535"
"Aug 22, 2022",$0.147,$0.1493,$0.1432,$0.145,"$570,190","$570,190"
"Aug 21, 2022",$0.144,$0.1579,$0.1437,$0.1469,"$599,918","$599,918"
"Aug 20, 2022",$0.15,$0.1503,$0.1436,$0.1441,"$291,311","$291,311"
"Aug 19, 2022",$0.156,$0.1567,$0.1451,$0.1502,"$522,321","$522,321"
"Aug 18, 2022",$0.1558,$0.1597,$0.1549,$0.1568,"$262,396","$262,396"
"Aug 17, 2022",$0.1594,$0.1624,$0.1551,$0.1557,"$227,874","$227,874"
"Aug 16, 2022",$0.1613,$0.164,$0.1586,$0.1593,"$224,496","$224,496"
"Aug 15, 2022",$0.1652,$0.1684,$0.1607,$0.1614,"$209,927","$209,927"
"Aug 14, 2022",$0.1706,$0.1715,$0.1636,$0.1653,"$299,910","$299,910"
"Aug 13, 2022",$0.1694,$0.1778,$0.1688,$0.1705,"$448,266","$448,266"
"Aug 12, 2022",$0.1697,$0.1712,$0.1645,$0.1694,"$337,357","$337,357"
"Aug 11, 2022",$0.1675,$0.1752,$0.1671,$0.1699,"$621,491","$621,491"
"Aug 10, 2022",$0.1753,$0.1967,$0.1656,$0.1675,"$2,329,367","$2,329,367"
"Aug 09, 2022",$0.1628,$0.1775,$0.157,$0.1754,"$718,568","$718,568"
"Aug 08, 2022",$0.1649,$0.1684,$0.1614,$0.1626,"$204,854","$204,854"
"Aug 07, 2022",$0.1654,$0.1674,$0.1566,$0.165,"$233,281","$233,281"
"Aug 06, 2022",$0.1644,$0.166,$0.1607,$0.1653,"$147,192","$147,192"
"Aug 05, 2022",$0.1612,$0.165,$0.1585,$0.1634,"$341,975","$341,975"
"Aug 04, 2022",$0.1633,$0.165,$0.1599,$0.1614,"$213,077","$213,077"
"Aug 03, 2022",$0.1634,$0.1713,$0.1626,$0.1632,"$229,216","$229,216"
