Day,Open,High,Low,Close,Volume,Market Cap
"Sep 25, 2022",$0.7167,$0.7292,$0.6998,$0.7037,"$5,955,600","$5,955,600"
"Sep 24, 2022",$0.7178,$0.7234,$0.7114,$0.7173,"$9,628,596","$9,628,596"
"Sep 23, 2022",$0.7044,$0.7216,$0.7022,$0.7174,"$4,681,568","$4,681,568"
"Sep 22, 2022",$0.7101,$0.7116,$0.6865,$0.7047,"$697,232","$697,232"
"Sep 21, 2022",$0.7189,$0.7363,$0.7099,$0.7106,"$915,019","$915,019"
"Sep 20, 2022",$0.7522,$0.7556,$0.7188,$0.7195,"$588,101","$588,101"
"Sep 19, 2022",$0.7494,$0.7531,$0.7304,$0.7527,"$724,579","$724,579"
"Sep 18, 2022",$0.7981,$0.8045,$0.7448,$0.7497,"$995,211","$995,211"
"Sep 17, 2022",$0.7713,$0.7981,$0.7582,$0.7974,"$1,383,720","$1,383,720"
"Sep 16, 2022",$0.766,$0.8126,$0.7539,$0.7709,"$2,188,896","$2,188,896"
"Sep 15, 2022",$0.7612,$0.7686,$0.7491,$0.7657,"$1,766,623","$1,766,623"
"Sep 14, 2022",$0.7747,$0.782,$0.749,$0.7612,"$809,809","$809,809"
"Sep 13, 2022",$0.8445,$0.8473,$0.769,$0.7704,"$757,731","$757,731"
"Sep 12, 2022",$0.8195,$0.8456,$0.8176,$0.8451,"$3,506,193","$3,506,193"
"Sep 11, 2022",$0.8422,$0.8455,$0.8075,$0.8198,"$3,664,051","$3,664,051"
"Sep 10, 2022",$0.792,$0.8524,$0.789,$0.8425,"$5,445,236","$5,445,236"
"Sep 09, 2022",$0.7862,$0.7956,$0.7695,$0.7953,"$4,581,640","$4,581,640"
"Sep 08, 2022",$0.7637,$0.7931,$0.7469,$0.7862,"$5,561,442","$5,561,442"
"Sep 07, 2022",$0.7365,$0.7666,$0.7213,$0.7633,"$2,181,129","$2,181,129"
"Sep 06, 2022",$0.7831,$0.7887,$0.7323,$0.7365,"$9,369,880","$9,369,880"
"Sep 05, 2022",$0.7576,$0.7871,$0.7342,$0.7832,"$2,060,444","$2,060,444"
"Sep 04, 2022",$0.7557,$0.7606,$0.7312,$0.7576,"$887,629","$887,629"
"Sep 03, 2022",$0.7837,$0.7924,$0.7416,$0.7558,"$856,235","$856,235"
"Sep 02, 2022",$0.7811,$0.7953,$0.7699,$0.7838,"$793,398","$793,398"
"Sep 01, 2022",$0.8128,$0.8131,$0.7662,$0.7812,"$1,099,000","$1,099,000"
"Aug 31, 2022",$0.7686,$0.8394,$0.7631,$0.813,"$2,474,092","$2,474,092"
"Aug 30, 2022",$0.8038,$0.8074,$0.7431,$0.7682,"$1,323,749","$1,323,749"
"Aug 29, 2022",$0.7743,$0.8049,$0.7582,$0.8032,"$926,136","$926,136"
