Day,Open,High,Low,Close,Volume,Market Cap
"Sep 19, 2022",$0.00696,$0.00713,$0.006818,$0.006912,"$317,048","$317,048"
"Sep 18, 2022",$0.007309,$0.007399,$0.006846,$0.006957,"$285,430","$285,430"
"Sep 17, 2022",$0.007194,$0.007635,$0.007192,$0.007308,"$364,467","$364,467"
"Sep 16, 2022",$0.007139,$0.007239,$0.006898,$0.007195,"$331,903","$331,903"
"Sep 15, 2022",$0.007395,$0.007499,$0.00707,$0.007137,"$305,786","$305,786"
"Sep 14, 2022",$0.007268,$0.007603,$0.007241,$0.007396,"$260,046","$260,046"
"Sep 13, 2022",$0.007609,$0.007634,$0.007234,$0.007269,"$300,423","$300,423"
"Sep 12, 2022",$0.007756,$0.007832,$0.00759,$0.00761,"$274,198","$274,198"
"Sep 11, 2022",$0.007697,$0.007815,$0.007668,$0.007753,"$261,987","$261,987"
"Sep 10, 2022",$0.007761,$0.007825,$0.007687,$0.007699,"$285,132","$285,132"
"Sep 09, 2022",$0.007336,$0.007847,$0.007268,$0.00776,"$327,593","$327,593"
"Sep 08, 2022",$0.007296,$0.007471,$0.007229,$0.007332,"$278,206","$278,206"
"Sep 07, 2022",$0.007326,$0.007424,$0.007093,$0.007296,"$349,948","$349,948"
"Sep 06, 2022",$0.007726,$0.007798,$0.007284,$0.007335,"$374,002","$374,002"
"Sep 05, 2022",$0.007867,$0.007965,$0.007601,$0.007723,"$254,776","$254,776"
"Sep 04, 2022",$0.007807,$0.008094,$0.007628,$0.007865,"$270,581","$270,581"
"Sep 03, 2022",$0.007972,$0.008244,$0.007734,$0.007809,"$352,947","$352,947"
"Sep 02, 2022",$0.007852,$0.007999,$0.007643,$0.007976,"$273,866","$273,866"
"Sep 01, 2022",$0.007702,$0.007871,$0.007575,$0.007849,"$262,710","$262,710"
"Aug 31, 2022",$0.007639,$0.007832,$0.007542,$0.007699,"$277,341","$277,341"
"Aug 30, 2022",$0.007849,$0.008243,$0.007596,$0.007625,"$220,112","$220,112"
"Aug 29, 2022",$0.007671,$0.008088,$0.00756,$0.007852,"$290,803","$290,803"
"Aug 28, 2022",$0.007711,$0.007728,$0.007611,$0.00767,"$231,242","$231,242"
"Aug 27, 2022",$0.007942,$0.008171,$0.007476,$0.007726,"$380,172","$380,172"
"Aug 26, 2022",$0.008253,$0.008444,$0.007933,$0.007939,"$295,467","$295,467"
"Aug 25, 2022",$0.008054,$0.008469,$0.008026,$0.008254,"$265,417","$265,417"
"Aug 24, 2022",$0.008059,$0.008668,$0.007762,$0.008054,"$481,056","$481,056"
"Aug 23, 2022",$0.008013,$0.008535,$0.007615,$0.00806,"$460,089","$460,089"
"Aug 22, 2022",$0.008205,$0.00851,$0.007803,$0.008016,"$387,893","$387,893"
"Aug 21, 2022",$0.007842,$0.008239,$0.007838,$0.008203,"$255,029","$255,029"
"Aug 20, 2022",$0.007595,$0.008338,$0.007587,$0.007844,"$288,404","$288,404"
"Aug 19, 2022",$0.008317,$0.008384,$0.007564,$0.007598,"$358,969","$358,969"
"Aug 18, 2022",$0.008434,$0.008997,$0.008291,$0.008319,"$579,181","$579,181"
