Day,Open,High,Low,Close,Volume,Market Cap
"Sep 16, 2022",$1.69,$1.73,$1.66,$1.66,"$4,846,688","$4,846,688"
"Sep 15, 2022",$1.71,$1.72,$1.68,$1.69,"$3,497,476","$3,497,476"
"Sep 14, 2022",$1.70,$1.72,$1.70,$1.71,"$2,743,332","$2,743,332"
"Sep 13, 2022",$1.72,$1.84,$1.70,$1.71,"$6,776,326","$6,776,326"
"Sep 12, 2022",$1.76,$1.76,$1.71,$1.72,"$4,466,769","$4,466,769"
"Sep 11, 2022",$1.77,$1.79,$1.76,$1.76,"$2,533,966","$2,533,966"
"Sep 10, 2022",$1.86,$1.86,$1.77,$1.77,"$4,611,619","$4,611,619"
"Sep 09, 2022",$1.77,$2.05,$1.77,$1.86,"$9,357,246","$9,357,246"
"Sep 08, 2022",$1.78,$1.80,$1.75,$1.77,"$4,566,016","$4,566,016"
"Sep 07, 2022",$1.75,$1.84,$1.74,$1.78,"$4,634,984","$4,634,984"
"Sep 06, 2022",$1.75,$1.97,$1.74,$1.75,"$8,974,051","$8,974,051"
"Sep 05, 2022",$1.76,$1.77,$1.71,$1.75,"$5,265,329","$5,265,329"
"Sep 04, 2022",$1.71,$1.80,$1.70,$1.75,"$5,032,628","$5,032,628"
"Sep 03, 2022",$1.71,$1.76,$1.70,$1.71,"$3,479,349","$3,479,349"
"Sep 02, 2022",$1.68,$1.78,$1.68,$1.70,"$4,907,931","$4,907,931"
"Sep 01, 2022",$1.72,$1.72,$1.66,$1.68,"$3,043,105","$3,043,105"
"Aug 31, 2022",$1.73,$1.77,$1.72,$1.72,"$6,421,851","$6,421,851"
"Aug 30, 2022",$1.76,$1.80,$1.71,$1.73,"$6,912,043","$6,912,043"
"Aug 29, 2022",$1.71,$1.82,$1.71,$1.76,"$8,111,440","$8,111,440"
"Aug 28, 2022",$1.72,$1.73,$1.70,$1.71,"$2,928,564","$2,928,564"
"Aug 27, 2022",$1.73,$1.75,$1.71,$1.72,"$3,316,061","$3,316,061"
