Day,Open,High,Low,Close,Volume,Market Cap
"Sep 10, 2022",$48.97,$50.06,$48.63,$48.84,"$92,012,137","$92,012,137"
"Sep 09, 2022",$46.29,$49.41,$46.27,$48.97,"$89,067,673","$89,067,673"
"Sep 08, 2022",$45.06,$46.42,$44.42,$46.29,"$70,041,527","$70,041,527"
"Sep 07, 2022",$42.91,$45.58,$42.48,$45.06,"$66,682,330","$66,682,330"
"Sep 06, 2022",$47.60,$48.76,$42.91,$42.92,"$77,733,425","$77,733,425"
"Sep 05, 2022",$47.56,$48.35,$46.52,$47.60,"$62,796,196","$62,796,196"
"Sep 04, 2022",$46.72,$47.57,$46.16,$47.56,"$57,342,220","$57,342,220"
"Sep 03, 2022",$45.69,$46.81,$45.37,$46.72,"$66,914,192","$66,914,192"
"Sep 02, 2022",$44.74,$46.35,$44.35,$45.70,"$65,641,762","$65,641,762"
"Sep 01, 2022",$44.61,$44.82,$43.38,$44.74,"$69,180,948","$69,180,948"
"Aug 31, 2022",$45.63,$46.33,$44.49,$44.62,"$75,018,421","$75,018,421"
"Aug 30, 2022",$47.47,$48.15,$45.28,$45.64,"$77,588,397","$77,588,397"
"Aug 29, 2022",$44.23,$47.51,$43.98,$47.47,"$89,153,906","$89,153,906"
"Aug 28, 2022",$45.16,$45.94,$44.24,$44.24,"$76,779,867","$76,779,867"
"Aug 27, 2022",$44.25,$45.26,$43.96,$45.17,"$82,386,722","$82,386,722"
"Aug 26, 2022",$49.24,$49.24,$44.05,$44.25,"$115,757,114","$115,757,114"
"Aug 25, 2022",$49.27,$50.12,$48.83,$49.25,"$96,749,150","$96,749,150"
"Aug 24, 2022",$48.54,$50.48,$47.41,$49.27,"$108,608,415","$108,608,415"
"Aug 23, 2022",$47.25,$48.73,$45.84,$48.54,"$105,331,417","$105,331,417"
"Aug 22, 2022",$46.87,$47.25,$44.45,$47.25,"$84,102,511","$84,102,511"
"Aug 21, 2022",$45.68,$47.45,$45.52,$46.88,"$69,130,698","$69,130,698"
"Aug 20, 2022",$44.90,$46.27,$44.68,$45.68,"$73,274,378","$73,274,378"
"Aug 19, 2022",$50.41,$50.42,$44.65,$44.91,"$104,447,544","$104,447,544"
"Aug 18, 2022",$52.96,$54.16,$50.40,$50.41,"$98,857,421","$98,857,421"
"Aug 17, 2022",$52.58,$55.13,$51.92,$52.95,"$93,542,700","$93,542,700"
"Aug 16, 2022",$53.25,$53.65,$52.16,$52.57,"$89,115,612","$89,115,612"
"Aug 15, 2022",$55.09,$56.79,$52.65,$53.24,"$89,349,920","$89,349,920"
"Aug 14, 2022",$57.00,$58.02,$54.77,$55.09,"$85,146,812","$85,146,812"
"Aug 13, 2022",$56.18,$57.45,$55.74,$56.98,"$93,943,077","$93,943,077"
"Aug 12, 2022",$55.64,$56.36,$54.26,$56.19,"$88,579,801","$88,579,801"
"Aug 11, 2022",$54.52,$56.94,$54.52,$55.64,"$98,480,842","$98,480,842"
"Aug 10, 2022",$52.95,$54.98,$51.43,$54.52,"$104,278,172","$104,278,172"
"Aug 09, 2022",$56.06,$57.92,$52.36,$52.95,"$119,239,905","$119,239,905"
"Aug 08, 2022",$53.36,$56.06,$53.34,$56.06,"$105,828,584","$105,828,584"
"Aug 07, 2022",$52.57,$54.52,$52.04,$53.36,"$96,833,693","$96,833,693"
"Aug 06, 2022",$52.23,$53.38,$51.78,$52.56,"$82,460,408","$82,460,408"
"Aug 05, 2022",$49.38,$52.24,$49.36,$52.23,"$103,059,595","$103,059,595"
"Aug 04, 2022",$48.72,$50.32,$48.64,$49.40,"$82,918,548","$82,918,548"
"Aug 03, 2022",$48.69,$50.39,$47.35,$48.71,"$88,193,803","$88,193,803"
"Aug 02, 2022",$49.66,$50.08,$47.39,$48.69,"$98,997,477","$98,997,477"
"Aug 01, 2022",$51.15,$52.44,$48.78,$49.67,"$68,698,739","$68,698,739"
"Jul 31, 2022",$50.67,$53.80,$50.56,$51.15,"$101,619,996","$101,619,996"
"Jul 30, 2022",$50.87,$53.41,$50.44,$50.67,"$102,974,477","$102,974,477"
"Jul 29, 2022",$52.43,$54.35,$50.18,$50.88,"$107,068,198","$107,068,198"
"Jul 28, 2022",$48.03,$53.37,$47.72,$52.43,"$116,295,117","$116,295,117"
"Jul 27, 2022",$43.97,$48.03,$43.04,$48.03,"$100,259,521","$100,259,521"
"Jul 26, 2022",$45.46,$45.46,$42.68,$43.97,"$83,000,651","$83,000,651"
"Jul 25, 2022",$49.00,$49.23,$45.46,$45.46,"$84,750,171","$84,750,171"
"Jul 24, 2022",$47.78,$49.96,$47.72,$49.02,"$76,395,175","$76,395,175"
