Day,Open,High,Low,Close,Volume,Market Cap
"Sep 26, 2022",$0.001351,$0.001383,$0.001341,$0.001357,"$151,467","$151,467"
"Sep 25, 2022",$0.001343,$0.001353,$0.001336,$0.001351,"$90,938","$90,938"
"Sep 24, 2022",$0.001336,$0.001352,$0.001331,$0.001343,"$90,801","$90,801"
"Sep 23, 2022",$0.001335,$0.001346,$0.001324,$0.001335,"$96,521","$96,521"
"Sep 22, 2022",$0.001332,$0.001375,$0.001322,$0.001335,"$144,830","$144,830"
"Sep 21, 2022",$0.001335,$0.001354,$0.001276,$0.001332,"$171,506","$171,506"
"Sep 20, 2022",$0.001266,$0.001341,$0.001258,$0.001335,"$154,733","$154,733"
"Sep 19, 2022",$0.001298,$0.001301,$0.001256,$0.001266,"$120,075","$120,075"
"Sep 18, 2022",$0.001346,$0.001424,$0.001296,$0.001298,"$191,871","$191,871"
"Sep 17, 2022",$0.001278,$0.001357,$0.001259,$0.001346,"$268,592","$268,592"
"Sep 16, 2022",$0.001311,$0.001316,$0.00125,$0.001278,"$204,876","$204,876"
"Sep 15, 2022",$0.001344,$0.001374,$0.001307,$0.001311,"$129,642","$129,642"
"Sep 14, 2022",$0.001367,$0.001375,$0.001341,$0.001344,"$133,429","$133,429"
"Sep 13, 2022",$0.001364,$0.001378,$0.001343,$0.001366,"$106,178","$106,178"
"Sep 12, 2022",$0.00135,$0.001389,$0.001313,$0.001365,"$116,954","$116,954"
"Sep 11, 2022",$0.001315,$0.00137,$0.001312,$0.001351,"$93,659","$93,659"
"Sep 10, 2022",$0.001299,$0.001329,$0.001291,$0.001314,"$84,706","$84,706"
"Sep 09, 2022",$0.001252,$0.001322,$0.001248,$0.001299,"$125,412","$125,412"
"Sep 08, 2022",$0.001227,$0.001287,$0.001216,$0.001252,"$119,389","$119,389"
"Sep 07, 2022",$0.001212,$0.001245,$0.001201,$0.001227,"$102,678","$102,678"
"Sep 06, 2022",$0.001251,$0.001328,$0.00121,$0.001213,"$177,901","$177,901"
"Sep 05, 2022",$0.001406,$0.00141,$0.001242,$0.001251,"$168,473","$168,473"
"Sep 04, 2022",$0.001129,$0.001648,$0.001124,$0.001406,"$648,186","$648,186"
"Sep 03, 2022",$0.001217,$0.001222,$0.001114,$0.00113,"$113,154","$113,154"
"Sep 02, 2022",$0.001396,$0.001398,$0.001216,$0.001217,"$138,305","$138,305"
"Sep 01, 2022",$0.001488,$0.001489,$0.001383,$0.001396,"$138,151","$138,151"
"Aug 31, 2022",$0.001666,$0.001668,$0.001487,$0.001488,"$124,688","$124,688"
"Aug 30, 2022",$0.001857,$0.001861,$0.001658,$0.001665,"$150,914","$150,914"
"Aug 29, 2022",$0.002039,$0.002041,$0.001855,$0.001857,"$197,032","$197,032"
"Aug 28, 2022",$0.002408,$0.002411,$0.002041,$0.002041,"$542,395","$542,395"
"Aug 27, 2022",$0.002584,$0.00259,$0.002403,$0.002404,"$134,508","$134,508"
"Aug 26, 2022",$0.002846,$0.002849,$0.002581,$0.002581,"$139,855","$139,855"
"Aug 25, 2022",$0.003022,$0.003323,$0.002842,$0.002846,"$250,489","$250,489"
"Aug 24, 2022",$0.003622,$0.00363,$0.003024,$0.003024,"$227,190","$227,190"
"Aug 23, 2022",$0.00475,$0.00475,$0.003622,$0.003623,"$319,049","$319,049"
"Aug 22, 2022",$0.005276,$0.00531,$0.004746,$0.004751,"$187,279","$187,279"
"Aug 21, 2022",$0.005252,$0.005301,$0.005224,$0.005277,"$118,191","$118,191"
"Aug 20, 2022",$0.005249,$0.005283,$0.005225,$0.00525,"$94,800","$94,800"
"Aug 19, 2022",$0.005313,$0.00534,$0.005244,$0.005252,"$99,430","$99,430"
"Aug 18, 2022",$0.00521,$0.005343,$0.005122,$0.005313,"$134,079","$134,079"
"Aug 17, 2022",$0.00522,$0.005227,$0.005153,$0.005207,"$104,321","$104,321"
"Aug 16, 2022",$0.005216,$0.005242,$0.005186,$0.00522,"$95,988","$95,988"
"Aug 15, 2022",$0.005292,$0.005298,$0.005191,$0.00521,"$102,583","$102,583"
"Aug 14, 2022",$0.005218,$0.005302,$0.005207,$0.005292,"$103,124","$103,124"
"Aug 13, 2022",$0.005206,$0.005256,$0.005202,$0.005218,"$92,932","$92,932"
"Aug 12, 2022",$0.005204,$0.005251,$0.00519,$0.005206,"$85,047","$85,047"
"Aug 11, 2022",$0.005335,$0.005355,$0.005195,$0.005204,"$109,822","$109,822"
"Aug 10, 2022",$0.005325,$0.0054,$0.005285,$0.005332,"$113,232","$113,232"
"Aug 09, 2022",$0.005383,$0.005402,$0.005305,$0.005329,"$88,033","$88,033"
"Aug 08, 2022",$0.005328,$0.005402,$0.005307,$0.005382,"$95,620","$95,620"
"Aug 07, 2022",$0.005323,$0.005397,$0.005303,$0.005327,"$90,762","$90,762"
"Aug 06, 2022",$0.005386,$0.005417,$0.005302,$0.005317,"$92,971","$92,971"
"Aug 05, 2022",$0.005369,$0.005408,$0.005358,$0.005389,"$92,213","$92,213"
"Aug 04, 2022",$0.005338,$0.005428,$0.00532,$0.005371,"$93,785","$93,785"
"Aug 03, 2022",$0.005424,$0.005472,$0.00532,$0.005334,"$101,508","$101,508"
"Aug 02, 2022",$0.005445,$0.005477,$0.005417,$0.005426,"$101,836","$101,836"
"Aug 01, 2022",$0.005515,$0.005523,$0.005447,$0.005447,"$98,153","$98,153"
"Jul 31, 2022",$0.005499,$0.005537,$0.005436,$0.005514,"$152,264","$152,264"
"Jul 30, 2022",$0.00547,$0.00552,$0.005439,$0.005498,"$162,695","$162,695"
"Jul 29, 2022",$0.00547,$0.005532,$0.005442,$0.005471,"$142,954","$142,954"
"Jul 28, 2022",$0.005498,$0.005536,$0.005452,$0.00547,"$148,016","$148,016"
"Jul 27, 2022",$0.005516,$0.005571,$0.005485,$0.005501,"$139,296","$139,296"
"Jul 26, 2022",$0.005713,$0.005724,$0.005504,$0.005514,"$174,017","$174,017"
"Jul 25, 2022",$0.005698,$0.005746,$0.005673,$0.005711,"$158,546","$158,546"
"Jul 24, 2022",$0.005656,$0.005729,$0.005644,$0.005699,"$136,318","$136,318"
"Jul 23, 2022",$0.005657,$0.005718,$0.00563,$0.005658,"$135,375","$135,375"
"Jul 22, 2022",$0.005649,$0.005727,$0.005627,$0.005652,"$110,926","$110,926"
"Jul 21, 2022",$0.005644,$0.005719,$0.005612,$0.00565,"$93,318","$93,318"
"Jul 20, 2022",$0.005698,$0.005727,$0.00561,$0.005644,"$96,648","$96,648"
"Jul 19, 2022",$0.005666,$0.005739,$0.005645,$0.0057,"$113,526","$113,526"
"Jul 18, 2022",$0.00555,$0.005684,$0.005531,$0.005672,"$170,764","$170,764"
"Jul 17, 2022",$0.005555,$0.005577,$0.005522,$0.005552,"$125,138","$125,138"
"Jul 16, 2022",$0.005533,$0.00557,$0.005519,$0.005556,"$121,933","$121,933"
"Jul 15, 2022",$0.005547,$0.005572,$0.005521,$0.005536,"$121,008","$121,008"
"Jul 14, 2022",$0.005547,$0.005595,$0.005513,$0.005544,"$136,431","$136,431"
"Jul 13, 2022",$0.00557,$0.00561,$0.00553,$0.005548,"$165,265","$165,265"
"Jul 12, 2022",$0.005694,$0.00571,$0.00552,$0.005569,"$293,856","$293,856"
"Jul 11, 2022",$0.005706,$0.005771,$0.005669,$0.005693,"$165,235","$165,235"
"Jul 10, 2022",$0.005685,$0.005775,$0.005677,$0.005706,"$117,981","$117,981"
"Jul 09, 2022",$0.005678,$0.005743,$0.005662,$0.005685,"$134,106","$134,106"
"Jul 08, 2022",$0.005543,$0.005707,$0.005535,$0.005678,"$141,964","$141,964"
"Jul 07, 2022",$0.005546,$0.005628,$0.005523,$0.005541,"$113,244","$113,244"
"Jul 06, 2022",$0.005531,$0.005616,$0.005517,$0.005546,"$98,984","$98,984"
