Day,Open,High,Low,Close,Volume,Market Cap
"Sep 17, 2022",$0.9344,$0.9465,$0.9087,$0.9245,"$5,633,734","$5,633,734"
"Sep 16, 2022",$0.9814,$0.982,$0.9135,$0.9344,"$6,656,457","$6,656,457"
"Sep 15, 2022",$0.9347,$1.00,$0.9214,$0.9803,"$10,208,132","$10,208,132"
"Sep 14, 2022",$0.9359,$0.9672,$0.9087,$0.9347,"$4,567,350","$4,567,350"
"Sep 13, 2022",$1.02,$1.02,$0.9087,$0.944,"$6,703,330","$6,703,330"
"Sep 12, 2022",$0.996,$1.02,$0.9655,$1.02,"$5,498,862","$5,498,862"
"Sep 11, 2022",$1.04,$1.05,$0.9682,$0.9959,"$8,063,499","$8,063,499"
"Sep 10, 2022",$1.06,$1.06,$1.03,$1.05,"$16,767,131","$16,767,131"
"Sep 09, 2022",$0.99,$1.08,$0.9883,$1.06,"$14,461,037","$14,461,037"
"Sep 08, 2022",$1.01,$1.05,$0.9905,$0.9906,"$6,350,295","$6,350,295"
"Sep 07, 2022",$1.05,$1.05,$0.9743,$1.01,"$12,668,322","$12,668,322"
"Sep 06, 2022",$1.35,$1.45,$1.05,$1.05,"$32,503,285","$32,503,285"
"Sep 05, 2022",$1.16,$1.36,$1.15,$1.35,"$19,909,632","$19,909,632"
"Sep 04, 2022",$1.08,$1.19,$1.07,$1.18,"$8,486,616","$8,486,616"
"Sep 03, 2022",$0.9979,$1.09,$0.9923,$1.08,"$9,641,553","$9,641,553"
"Sep 02, 2022",$0.9504,$1.00,$0.9492,$0.9952,"$6,155,784","$6,155,784"
"Sep 01, 2022",$0.9263,$0.9516,$0.9192,$0.9504,"$5,032,400","$5,032,400"
"Aug 31, 2022",$0.8986,$0.9274,$0.8975,$0.9262,"$4,586,475","$4,586,475"
"Aug 30, 2022",$0.9079,$0.9154,$0.8868,$0.8973,"$3,711,462","$3,711,462"
"Aug 29, 2022",$0.8665,$0.9108,$0.8653,$0.9071,"$3,541,947","$3,541,947"
"Aug 28, 2022",$0.8933,$0.9006,$0.8672,$0.8672,"$2,914,307","$2,914,307"
"Aug 27, 2022",$0.8967,$0.9008,$0.8731,$0.8852,"$3,601,659","$3,601,659"
"Aug 26, 2022",$0.952,$0.9535,$0.8637,$0.8969,"$10,926,186","$10,926,186"
"Aug 25, 2022",$0.93,$0.9591,$0.9256,$0.9505,"$5,427,615","$5,427,615"
"Aug 24, 2022",$0.8951,$0.9343,$0.8844,$0.9305,"$5,591,397","$5,591,397"
