Day,Open,High,Low,Close,Volume,Market Cap
"Sep 22, 2022",$1.57,$1.65,$1.56,$1.62,"$3,995,080","$3,995,080"
"Sep 21, 2022",$1.62,$1.64,$1.55,$1.57,"$4,937,307","$4,937,307"
"Sep 20, 2022",$1.62,$1.80,$1.60,$1.62,"$8,312,453","$8,312,453"
"Sep 19, 2022",$1.63,$1.65,$1.56,$1.62,"$2,269,469","$2,269,469"
"Sep 18, 2022",$1.75,$1.75,$1.62,$1.63,"$1,450,011","$1,450,011"
"Sep 17, 2022",$1.64,$1.78,$1.64,$1.75,"$2,590,077","$2,590,077"
"Sep 16, 2022",$1.71,$1.73,$1.64,$1.64,"$1,903,983","$1,903,983"
"Sep 15, 2022",$1.79,$1.80,$1.70,$1.71,"$2,454,448","$2,454,448"
"Sep 14, 2022",$1.76,$1.82,$1.72,$1.79,"$3,206,248","$3,206,248"
"Sep 13, 2022",$1.86,$1.88,$1.75,$1.76,"$2,531,709","$2,531,709"
"Sep 12, 2022",$1.90,$1.91,$1.86,$1.86,"$3,093,538","$3,093,538"
"Sep 11, 2022",$1.88,$1.92,$1.84,$1.90,"$3,143,868","$3,143,868"
"Sep 10, 2022",$1.92,$1.92,$1.85,$1.88,"$2,408,881","$2,408,881"
"Sep 09, 2022",$1.83,$1.92,$1.82,$1.92,"$3,340,358","$3,340,358"
"Sep 08, 2022",$1.79,$1.84,$1.77,$1.83,"$1,993,373","$1,993,373"
"Sep 07, 2022",$1.74,$1.81,$1.71,$1.79,"$1,946,566","$1,946,566"
"Sep 06, 2022",$1.85,$1.88,$1.74,$1.74,"$2,629,451","$2,629,451"
"Sep 05, 2022",$1.86,$1.87,$1.82,$1.85,"$1,744,287","$1,744,287"
"Sep 04, 2022",$1.83,$1.90,$1.81,$1.86,"$2,692,950","$2,692,950"
"Sep 03, 2022",$1.85,$1.85,$1.79,$1.83,"$1,630,631","$1,630,631"
"Sep 02, 2022",$1.83,$1.88,$1.82,$1.85,"$2,088,752","$2,088,752"
"Sep 01, 2022",$1.82,$1.85,$1.80,$1.83,"$1,820,380","$1,820,380"
"Aug 31, 2022",$1.84,$1.88,$1.81,$1.82,"$1,608,785","$1,608,785"
"Aug 30, 2022",$1.88,$1.93,$1.79,$1.84,"$2,634,312","$2,634,312"
"Aug 29, 2022",$1.79,$1.90,$1.74,$1.88,"$3,911,145","$3,911,145"
"Aug 28, 2022",$1.83,$2.02,$1.79,$1.79,"$6,978,521","$6,978,521"
"Aug 27, 2022",$1.90,$1.90,$1.80,$1.83,"$3,185,609","$3,185,609"
"Aug 26, 2022",$2.02,$2.02,$1.88,$1.90,"$3,392,659","$3,392,659"
"Aug 25, 2022",$2.11,$2.12,$2.00,$2.02,"$3,735,352","$3,735,352"
"Aug 24, 2022",$1.97,$2.19,$1.93,$2.11,"$10,824,840","$10,824,840"
"Aug 23, 2022",$1.93,$1.98,$1.91,$1.97,"$3,795,608","$3,795,608"
"Aug 22, 2022",$2.01,$2.01,$1.87,$1.93,"$3,369,786","$3,369,786"
"Aug 21, 2022",$1.99,$2.02,$1.91,$2.01,"$3,984,405","$3,984,405"
"Aug 20, 2022",$1.89,$2.15,$1.88,$2.00,"$7,596,224","$7,596,224"
"Aug 19, 2022",$2.23,$2.23,$1.87,$1.89,"$5,644,985","$5,644,985"
"Aug 18, 2022",$2.17,$2.34,$2.16,$2.23,"$4,686,411","$4,686,411"
"Aug 17, 2022",$2.28,$2.34,$2.15,$2.16,"$3,759,615","$3,759,615"
"Aug 16, 2022",$2.35,$2.39,$2.26,$2.28,"$4,082,006","$4,082,006"
"Aug 15, 2022",$2.36,$2.43,$2.26,$2.35,"$5,580,285","$5,580,285"
"Aug 14, 2022",$2.47,$2.48,$2.35,$2.36,"$4,585,416","$4,585,416"
"Aug 13, 2022",$2.46,$2.64,$2.44,$2.47,"$7,101,000","$7,101,000"
"Aug 12, 2022",$2.43,$2.46,$2.40,$2.46,"$3,443,006","$3,443,006"
"Aug 11, 2022",$2.47,$2.51,$2.42,$2.43,"$4,503,548","$4,503,548"
"Aug 10, 2022",$2.42,$2.52,$2.37,$2.47,"$5,725,654","$5,725,654"
"Aug 09, 2022",$2.62,$2.63,$2.37,$2.42,"$6,432,775","$6,432,775"
"Aug 08, 2022",$2.42,$2.77,$2.41,$2.63,"$10,988,128","$10,988,128"
"Aug 07, 2022",$2.46,$2.49,$2.39,$2.42,"$4,361,584","$4,361,584"
"Aug 06, 2022",$2.40,$2.52,$2.39,$2.46,"$6,976,366","$6,976,366"
"Aug 05, 2022",$2.42,$2.49,$2.38,$2.40,"$7,246,842","$7,246,842"
"Aug 04, 2022",$2.52,$2.61,$2.34,$2.42,"$6,808,549","$6,808,549"
"Aug 03, 2022",$2.45,$2.63,$2.36,$2.52,"$13,509,652","$13,509,652"
"Aug 02, 2022",$2.83,$3.29,$2.40,$2.45,"$74,471,405","$74,471,405"
"Aug 01, 2022",$2.16,$2.94,$2.13,$2.83,"$48,524,333","$48,524,333"
"Jul 31, 2022",$2.25,$2.40,$2.14,$2.16,"$12,896,318","$12,896,318"
"Jul 30, 2022",$2.73,$2.93,$2.22,$2.25,"$21,563,093","$21,563,093"
"Jul 29, 2022",$2.07,$2.86,$2.07,$2.74,"$51,185,450","$51,185,450"
"Jul 28, 2022",$1.92,$2.34,$1.91,$2.07,"$21,755,565","$21,755,565"
"Jul 27, 2022",$1.82,$1.93,$1.80,$1.92,"$8,438,818","$8,438,818"
"Jul 26, 2022",$1.85,$1.85,$1.73,$1.82,"$7,449,843","$7,449,843"
"Jul 25, 2022",$1.96,$1.98,$1.85,$1.85,"$7,452,225","$7,452,225"
"Jul 24, 2022",$1.96,$1.98,$1.91,$1.95,"$8,632,673","$8,632,673"
"Jul 23, 2022",$1.85,$1.98,$1.84,$1.96,"$9,224,674","$9,224,674"
"Jul 22, 2022",$1.91,$1.95,$1.84,$1.85,"$7,842,337","$7,842,337"
"Jul 21, 2022",$1.91,$2.01,$1.85,$1.91,"$10,898,496","$10,898,496"
"Jul 20, 2022",$1.81,$2.25,$1.79,$1.91,"$31,773,172","$31,773,172"
"Jul 19, 2022",$1.77,$1.81,$1.74,$1.81,"$15,837,462","$15,837,462"
"Jul 18, 2022",$1.69,$1.80,$1.68,$1.77,"$17,827,672","$17,827,672"
"Jul 17, 2022",$1.73,$1.77,$1.67,$1.69,"$18,044,377","$18,044,377"
"Jul 16, 2022",$1.70,$1.77,$1.62,$1.73,"$20,945,422","$20,945,422"
"Jul 15, 2022",$1.67,$1.85,$1.66,$1.70,"$18,833,647","$18,833,647"
"Jul 14, 2022",$1.61,$2.44,$1.56,$1.67,"$50,608,576","$50,608,576"
"Jul 13, 2022",$1.51,$1.63,$1.45,$1.61,"$15,536,868","$15,536,868"
"Jul 12, 2022",$1.56,$1.59,$1.51,$1.51,"$13,320,991","$13,320,991"
"Jul 11, 2022",$1.63,$1.65,$1.56,$1.56,"$14,864,206","$14,864,206"
"Jul 10, 2022",$1.81,$1.81,$1.60,$1.63,"$17,884,404","$17,884,404"
"Jul 09, 2022",$1.58,$1.91,$1.58,$1.81,"$24,758,038","$24,758,038"
"Jul 08, 2022",$1.60,$1.64,$1.55,$1.58,"$15,387,039","$15,387,039"
"Jul 07, 2022",$1.54,$1.74,$1.52,$1.60,"$20,032,329","$20,032,329"
"Jul 06, 2022",$1.46,$1.57,$1.44,$1.54,"$13,912,425","$13,912,425"
"Jul 05, 2022",$1.48,$1.51,$1.42,$1.46,"$13,476,157","$13,476,157"
"Jul 04, 2022",$1.44,$1.50,$1.42,$1.48,"$11,857,312","$11,857,312"
"Jul 03, 2022",$1.43,$1.48,$1.40,$1.44,"$11,747,462","$11,747,462"
"Jul 02, 2022",$1.39,$1.50,$1.38,$1.43,"$13,860,977","$13,860,977"
"Jul 01, 2022",$1.39,$1.42,$1.38,$1.39,"$10,638,030","$10,638,030"
"Jun 30, 2022",$1.43,$1.50,$1.31,$1.39,"$15,814,601","$15,814,601"
"Jun 29, 2022",$1.34,$1.55,$1.32,$1.43,"$19,223,373","$19,223,373"
"Jun 28, 2022",$1.38,$1.42,$1.33,$1.34,"$7,416,457","$7,416,457"
"Jun 27, 2022",$1.41,$1.46,$1.37,$1.38,"$8,849,158","$8,849,158"
"Jun 26, 2022",$1.53,$1.63,$1.41,$1.41,"$15,818,439","$15,818,439"
"Jun 25, 2022",$1.39,$1.60,$1.38,$1.53,"$13,808,573","$13,808,573"
"Jun 24, 2022",$1.37,$1.40,$1.35,$1.39,"$8,727,065","$8,727,065"
"Jun 23, 2022",$1.32,$1.39,$1.32,$1.37,"$5,974,495","$5,974,495"
"Jun 22, 2022",$1.34,$1.38,$1.30,$1.32,"$8,974,242","$8,974,242"
"Jun 21, 2022",$1.33,$1.42,$1.32,$1.34,"$9,938,791","$9,938,791"
"Jun 20, 2022",$1.34,$1.39,$1.30,$1.33,"$10,395,248","$10,395,248"
"Jun 19, 2022",$1.26,$1.35,$1.19,$1.34,"$8,732,223","$8,732,223"
"Jun 18, 2022",$1.36,$1.38,$1.18,$1.26,"$11,448,422","$11,448,422"
"Jun 17, 2022",$1.31,$1.42,$1.31,$1.36,"$10,037,278","$10,037,278"
"Jun 16, 2022",$1.47,$1.49,$1.30,$1.31,"$12,680,871","$12,680,871"
"Jun 15, 2022",$1.42,$1.47,$1.26,$1.47,"$12,597,480","$12,597,480"
"Jun 14, 2022",$1.37,$1.48,$1.33,$1.42,"$11,584,369","$11,584,369"
"Jun 13, 2022",$1.42,$1.48,$1.29,$1.37,"$17,604,833","$17,604,833"
"Jun 12, 2022",$1.77,$1.89,$1.40,$1.42,"$21,787,831","$21,787,831"
"Jun 11, 2022",$1.56,$1.97,$1.56,$1.77,"$49,198,184","$49,198,184"
"Jun 10, 2022",$1.62,$1.64,$1.49,$1.56,"$13,793,346","$13,793,346"
"Jun 09, 2022",$1.67,$1.81,$1.61,$1.62,"$22,881,298","$22,881,298"
"Jun 08, 2022",$1.63,$2.50,$1.60,$1.68,"$57,986,590","$57,986,590"
"Jun 07, 2022",$1.49,$1.74,$1.40,$1.63,"$19,187,687","$19,187,687"
"Jun 06, 2022",$1.48,$1.57,$1.48,$1.49,"$9,192,058","$9,192,058"
"Jun 05, 2022",$1.49,$1.53,$1.44,$1.48,"$10,410,205","$10,410,205"
"Jun 04, 2022",$1.48,$1.62,$1.42,$1.49,"$14,587,087","$14,587,087"
"Jun 03, 2022",$1.42,$1.47,$1.36,$1.47,"$10,103,181","$10,103,181"
"Jun 02, 2022",$1.33,$1.45,$1.30,$1.42,"$10,288,982","$10,288,982"
"Jun 01, 2022",$1.48,$1.53,$1.31,$1.33,"$15,050,107","$15,050,107"
"May 31, 2022",$1.47,$1.52,$1.38,$1.48,"$13,778,781","$13,778,781"
"May 30, 2022",$1.35,$1.58,$1.35,$1.47,"$17,230,721","$17,230,721"
"May 29, 2022",$1.27,$1.39,$1.25,$1.35,"$9,474,907","$9,474,907"
"May 28, 2022",$1.23,$1.28,$1.19,$1.27,"$9,711,583","$9,711,583"
"May 27, 2022",$1.24,$1.25,$1.16,$1.19,"$9,752,271","$9,752,271"
"May 26, 2022",$1.42,$1.44,$1.20,$1.24,"$11,282,839","$11,282,839"
"May 25, 2022",$1.39,$1.60,$1.39,$1.43,"$17,205,007","$17,205,007"
"May 24, 2022",$1.30,$1.40,$1.26,$1.39,"$10,434,843","$10,434,843"
"May 23, 2022",$1.33,$1.44,$1.29,$1.30,"$11,992,745","$11,992,745"
"May 22, 2022",$1.33,$1.36,$1.30,$1.33,"$10,583,020","$10,583,020"
"May 21, 2022",$1.27,$1.34,$1.26,$1.33,"$10,471,131","$10,471,131"
"May 20, 2022",$1.34,$1.36,$1.23,$1.27,"$9,256,709","$9,256,709"
"May 19, 2022",$1.21,$1.36,$1.18,$1.34,"$23,867,771","$23,867,771"
"May 18, 2022",$1.36,$1.39,$1.20,$1.21,"$36,275,805","$36,275,805"
"May 17, 2022",$1.24,$1.37,$1.23,$1.36,"$11,107,454","$11,107,454"
"May 16, 2022",$1.37,$1.37,$1.21,$1.24,"$14,688,649","$14,688,649"
"May 15, 2022",$1.03,$1.58,$1.02,$1.37,"$27,325,068","$27,325,068"
"May 14, 2022",$1.03,$1.09,$0.9207,$1.03,"$8,902,503","$8,902,503"
"May 13, 2022",$0.8596,$1.20,$0.8451,$1.03,"$9,527,048","$9,527,048"
"May 12, 2022",$1.06,$1.12,$0.7829,$0.8599,"$12,704,714","$12,704,714"
"May 11, 2022",$1.77,$1.84,$1.03,$1.06,"$13,635,427","$13,635,427"
"May 10, 2022",$1.87,$2.03,$1.74,$1.77,"$13,690,848","$13,690,848"
"May 09, 2022",$2.15,$2.16,$1.84,$1.87,"$11,156,695","$11,156,695"
"May 08, 2022",$2.25,$2.25,$2.15,$2.15,"$10,209,984","$10,209,984"
"May 07, 2022",$2.33,$2.33,$2.22,$2.25,"$10,133,591","$10,133,591"
"May 06, 2022",$2.41,$2.50,$2.29,$2.33,"$11,430,033","$11,430,033"
"May 05, 2022",$2.67,$2.72,$2.37,$2.41,"$13,787,749","$13,787,749"
"May 04, 2022",$2.56,$2.70,$2.53,$2.67,"$18,012,932","$18,012,932"
"May 03, 2022",$2.46,$2.82,$2.42,$2.56,"$15,492,232","$15,492,232"
"May 02, 2022",$2.51,$2.53,$2.42,$2.46,"$9,425,587","$9,425,587"
"May 01, 2022",$2.37,$2.59,$2.36,$2.51,"$10,554,809","$10,554,809"
"Apr 30, 2022",$2.64,$2.70,$2.36,$2.37,"$8,588,701","$8,588,701"
"Apr 29, 2022",$2.92,$2.93,$2.60,$2.64,"$10,367,852","$10,367,852"
"Apr 28, 2022",$2.81,$3.03,$2.81,$2.92,"$13,644,837","$13,644,837"
"Apr 27, 2022",$2.79,$2.87,$2.78,$2.81,"$7,918,724","$7,918,724"
"Apr 26, 2022",$3.00,$3.02,$2.77,$2.79,"$10,209,980","$10,209,980"
"Apr 25, 2022",$3.00,$3.02,$2.86,$3.00,"$11,084,264","$11,084,264"
"Apr 24, 2022",$3.19,$3.19,$3.00,$3.01,"$13,004,287","$13,004,287"
"Apr 23, 2022",$3.23,$3.29,$3.14,$3.19,"$9,754,171","$9,754,171"
"Apr 22, 2022",$3.20,$3.29,$3.10,$3.22,"$12,371,967","$12,371,967"
"Apr 21, 2022",$3.35,$3.43,$3.18,$3.20,"$14,639,073","$14,639,073"
"Apr 20, 2022",$3.42,$3.46,$3.30,$3.35,"$15,716,011","$15,716,011"
"Apr 19, 2022",$3.46,$3.57,$3.37,$3.42,"$17,552,256","$17,552,256"
"Apr 18, 2022",$3.53,$3.75,$3.31,$3.46,"$21,469,829","$21,469,829"
"Apr 17, 2022",$3.51,$3.80,$3.47,$3.53,"$15,664,854","$15,664,854"
"Apr 16, 2022",$3.59,$3.74,$3.46,$3.51,"$14,894,820","$14,894,820"
"Apr 15, 2022",$3.53,$3.82,$3.53,$3.59,"$19,192,605","$19,192,605"
"Apr 14, 2022",$3.80,$3.83,$3.46,$3.53,"$20,173,910","$20,173,910"
"Apr 13, 2022",$3.91,$4.18,$3.74,$3.80,"$31,477,617","$31,477,617"
"Apr 12, 2022",$3.96,$5.41,$3.78,$3.91,"$119,224,471","$119,224,471"
"Apr 11, 2022",$3.24,$4.38,$3.20,$3.96,"$93,563,952","$93,563,952"
"Apr 10, 2022",$3.31,$3.35,$3.24,$3.24,"$9,019,803","$9,019,803"
"Apr 09, 2022",$3.22,$3.31,$3.21,$3.31,"$9,421,673","$9,421,673"
"Apr 08, 2022",$3.43,$3.61,$3.21,$3.22,"$12,986,060","$12,986,060"
"Apr 07, 2022",$3.30,$3.45,$3.25,$3.44,"$13,926,061","$13,926,061"
"Apr 06, 2022",$3.83,$3.83,$3.26,$3.30,"$13,365,059","$13,365,059"
"Apr 05, 2022",$3.98,$4.10,$3.82,$3.83,"$15,772,394","$15,772,394"
"Apr 04, 2022",$4.05,$4.09,$3.80,$3.98,"$16,777,062","$16,777,062"
"Apr 03, 2022",$3.72,$4.12,$3.72,$4.05,"$19,395,754","$19,395,754"
"Apr 02, 2022",$3.87,$4.11,$3.72,$3.72,"$18,208,524","$18,208,524"
"Apr 01, 2022",$3.48,$3.97,$3.42,$3.87,"$21,943,344","$21,943,344"
"Mar 31, 2022",$3.61,$3.75,$3.44,$3.47,"$17,817,657","$17,817,657"
