Day,Open,High,Low,Close,Volume,Market Cap
"Sep 21, 2022",$0.2426,$0.2516,$0.2426,$0.2452,"$137,480","$137,480"
"Sep 20, 2022",$0.2487,$0.2489,$0.2412,$0.2425,"$111,494","$111,494"
"Sep 19, 2022",$0.2538,$0.2542,$0.2453,$0.2488,"$183,235","$183,235"
"Sep 18, 2022",$0.2521,$0.2587,$0.2521,$0.2536,"$133,153","$133,153"
"Sep 17, 2022",$0.2524,$0.2586,$0.251,$0.2521,"$192,165","$192,165"
"Sep 16, 2022",$0.2613,$0.263,$0.2514,$0.2525,"$174,762","$174,762"
"Sep 15, 2022",$0.2636,$0.2667,$0.2601,$0.2614,"$150,862","$150,862"
"Sep 14, 2022",$0.2771,$0.2804,$0.2637,$0.2637,"$266,034","$266,034"
"Sep 13, 2022",$0.2872,$0.2891,$0.2766,$0.2787,"$170,481","$170,481"
"Sep 12, 2022",$0.2885,$0.2919,$0.2856,$0.287,"$143,179","$143,179"
"Sep 11, 2022",$0.2923,$0.2935,$0.2858,$0.2884,"$166,293","$166,293"
"Sep 10, 2022",$0.284,$0.2942,$0.2822,$0.2922,"$172,526","$172,526"
"Sep 09, 2022",$0.2817,$0.2866,$0.2796,$0.2843,"$196,780","$196,780"
"Sep 08, 2022",$0.2862,$0.2874,$0.2787,$0.2818,"$165,746","$165,746"
"Sep 07, 2022",$0.2839,$0.2896,$0.2819,$0.2861,"$164,457","$164,457"
"Sep 06, 2022",$0.2887,$0.291,$0.2825,$0.2838,"$212,923","$212,923"
"Sep 05, 2022",$0.289,$0.2939,$0.285,$0.2886,"$151,919","$151,919"
"Sep 04, 2022",$0.2873,$0.2945,$0.2871,$0.289,"$138,101","$138,101"
"Sep 03, 2022",$0.2863,$0.2907,$0.2857,$0.2872,"$131,190","$131,190"
"Sep 02, 2022",$0.2849,$0.2929,$0.284,$0.2863,"$154,149","$154,149"
"Sep 01, 2022",$0.2852,$0.2888,$0.281,$0.2849,"$160,285","$160,285"
"Aug 31, 2022",$0.2845,$0.2898,$0.2804,$0.2851,"$184,003","$184,003"
"Aug 30, 2022",$0.2925,$0.2976,$0.2841,$0.2845,"$165,484","$165,484"
"Aug 29, 2022",$0.2885,$0.2972,$0.2846,$0.2926,"$193,281","$193,281"
"Aug 28, 2022",$0.2935,$0.2967,$0.2883,$0.2883,"$185,954","$185,954"
"Aug 27, 2022",$0.2867,$0.2958,$0.2847,$0.2936,"$409,587","$409,587"
"Aug 26, 2022",$0.2933,$0.2933,$0.2859,$0.2865,"$513,163","$513,163"
"Aug 25, 2022",$0.3,$0.302,$0.2918,$0.2936,"$256,793","$256,793"
"Aug 24, 2022",$0.3016,$0.3062,$0.2979,$0.3,"$188,678","$188,678"
"Aug 23, 2022",$0.3021,$0.3062,$0.2998,$0.3016,"$171,398","$171,398"
"Aug 22, 2022",$0.3086,$0.3106,$0.296,$0.3022,"$215,512","$215,512"
"Aug 21, 2022",$0.3062,$0.3105,$0.3049,$0.3088,"$149,558","$149,558"
"Aug 20, 2022",$0.3035,$0.3114,$0.3022,$0.3063,"$168,268","$168,268"
"Aug 19, 2022",$0.3115,$0.3128,$0.3019,$0.3034,"$181,160","$181,160"
"Aug 18, 2022",$0.32,$0.3207,$0.3113,$0.3115,"$193,920","$193,920"
"Aug 17, 2022",$0.3202,$0.3236,$0.3143,$0.32,"$185,087","$185,087"
"Aug 16, 2022",$0.3308,$0.3333,$0.3149,$0.3202,"$228,731","$228,731"
"Aug 15, 2022",$0.3502,$0.3504,$0.3294,$0.3306,"$251,022","$251,022"
"Aug 14, 2022",$0.36,$0.3602,$0.3477,$0.3503,"$222,643","$222,643"
"Aug 13, 2022",$0.3628,$0.3671,$0.3531,$0.36,"$289,553","$289,553"
"Aug 12, 2022",$0.3667,$0.373,$0.3433,$0.3625,"$480,561","$480,561"
"Aug 11, 2022",$0.3879,$0.3885,$0.3661,$0.3664,"$419,559","$419,559"
"Aug 10, 2022",$0.3614,$0.3888,$0.3594,$0.3879,"$370,141","$370,141"
"Aug 09, 2022",$0.3554,$0.3734,$0.3524,$0.3615,"$440,449","$440,449"
"Aug 08, 2022",$0.3392,$0.3566,$0.3364,$0.3554,"$483,313","$483,313"
"Aug 07, 2022",$0.3431,$0.3437,$0.3369,$0.3393,"$232,180","$232,180"
"Aug 06, 2022",$0.3409,$0.3447,$0.3364,$0.343,"$358,691","$358,691"
"Aug 05, 2022",$0.3392,$0.3461,$0.3314,$0.3408,"$544,704","$544,704"
"Aug 04, 2022",$0.337,$0.3425,$0.3357,$0.3391,"$273,923","$273,923"
"Aug 03, 2022",$0.3317,$0.3396,$0.325,$0.337,"$345,944","$345,944"
"Aug 02, 2022",$0.3429,$0.3442,$0.3262,$0.3317,"$313,611","$313,611"
"Aug 01, 2022",$0.3279,$0.3466,$0.3277,$0.3429,"$347,375","$347,375"
"Jul 31, 2022",$0.3285,$0.3326,$0.3215,$0.3279,"$405,931","$405,931"
"Jul 30, 2022",$0.3236,$0.3315,$0.318,$0.3285,"$379,881","$379,881"
"Jul 29, 2022",$0.3203,$0.3288,$0.317,$0.3236,"$369,809","$369,809"
"Jul 28, 2022",$0.3073,$0.3205,$0.3064,$0.3203,"$392,817","$392,817"
"Jul 27, 2022",$0.3008,$0.3084,$0.2972,$0.3073,"$281,328","$281,328"
"Jul 26, 2022",$0.3054,$0.3092,$0.2961,$0.3007,"$349,394","$349,394"
"Jul 25, 2022",$0.3034,$0.3118,$0.2945,$0.3055,"$373,117","$373,117"
"Jul 24, 2022",$0.292,$0.304,$0.292,$0.3034,"$243,510","$243,510"
"Jul 23, 2022",$0.297,$0.3022,$0.2914,$0.2921,"$249,796","$249,796"
"Jul 22, 2022",$0.2933,$0.303,$0.2914,$0.297,"$349,025","$349,025"
"Jul 21, 2022",$0.2952,$0.2971,$0.2896,$0.2933,"$364,640","$364,640"
"Jul 20, 2022",$0.3093,$0.3124,$0.2952,$0.2952,"$574,532","$574,532"
"Jul 19, 2022",$0.3012,$0.3093,$0.2908,$0.3093,"$612,736","$612,736"
"Jul 18, 2022",$0.3012,$0.3107,$0.2988,$0.3012,"$393,385","$393,385"
"Jul 17, 2022",$0.3053,$0.3104,$0.3002,$0.3013,"$283,220","$283,220"
"Jul 16, 2022",$0.2958,$0.3055,$0.2914,$0.3053,"$293,788","$293,788"
"Jul 15, 2022",$0.2966,$0.304,$0.2912,$0.2958,"$222,472","$222,472"
"Jul 14, 2022",$0.2979,$0.3015,$0.2879,$0.2966,"$291,112","$291,112"
"Jul 13, 2022",$0.2946,$0.2989,$0.293,$0.2979,"$303,340","$303,340"
"Jul 12, 2022",$0.3043,$0.3047,$0.2938,$0.2946,"$215,194","$215,194"
"Jul 11, 2022",$0.3049,$0.3059,$0.2973,$0.3044,"$371,202","$371,202"
"Jul 10, 2022",$0.3106,$0.3141,$0.3027,$0.305,"$417,314","$417,314"
"Jul 09, 2022",$0.3125,$0.3136,$0.3079,$0.3105,"$450,963","$450,963"
"Jul 08, 2022",$0.3105,$0.315,$0.3045,$0.3125,"$394,484","$394,484"
"Jul 07, 2022",$0.3024,$0.3146,$0.3015,$0.3104,"$410,116","$410,116"
"Jul 06, 2022",$0.3023,$0.3033,$0.2966,$0.3024,"$456,201","$456,201"
"Jul 05, 2022",$0.3154,$0.3189,$0.2994,$0.3023,"$687,138","$687,138"
"Jul 04, 2022",$0.3152,$0.3209,$0.3038,$0.3153,"$478,594","$478,594"
"Jul 03, 2022",$0.319,$0.3255,$0.3076,$0.3151,"$422,398","$422,398"
"Jul 02, 2022",$0.3011,$0.324,$0.2925,$0.319,"$534,818","$534,818"
"Jul 01, 2022",$0.2985,$0.313,$0.2973,$0.3011,"$445,749","$445,749"
"Jun 30, 2022",$0.306,$0.315,$0.2941,$0.2984,"$909,760","$909,760"
"Jun 29, 2022",$0.3246,$0.3324,$0.3038,$0.306,"$1,367,023","$1,367,023"
"Jun 28, 2022",$0.335,$0.3497,$0.3162,$0.3246,"$2,282,082","$2,282,082"
"Jun 27, 2022",$0.3483,$0.3546,$0.331,$0.335,"$2,119,212","$2,119,212"
"Jun 26, 2022",$0.3436,$0.3592,$0.3435,$0.3483,"$2,142,410","$2,142,410"
"Jun 25, 2022",$0.3465,$0.3545,$0.3393,$0.3436,"$2,187,205","$2,187,205"
"Jun 24, 2022",$0.3341,$0.3618,$0.3303,$0.3465,"$2,619,348","$2,619,348"
"Jun 23, 2022",$0.3,$0.336,$0.2986,$0.334,"$2,604,591","$2,604,591"
"Jun 22, 2022",$0.3034,$0.3125,$0.2896,$0.3,"$2,161,263","$2,161,263"
"Jun 21, 2022",$0.2999,$0.3191,$0.2951,$0.3034,"$2,254,070","$2,254,070"
"Jun 20, 2022",$0.2976,$0.3173,$0.2939,$0.2999,"$2,294,834","$2,294,834"
"Jun 19, 2022",$0.2895,$0.3083,$0.2844,$0.2976,"$2,183,105","$2,183,105"
"Jun 18, 2022",$0.2949,$0.3135,$0.2813,$0.2895,"$2,214,496","$2,214,496"
"Jun 17, 2022",$0.3004,$0.31,$0.2897,$0.2949,"$2,219,289","$2,219,289"
"Jun 16, 2022",$0.3014,$0.3108,$0.2929,$0.3004,"$2,369,093","$2,369,093"
"Jun 15, 2022",$0.3116,$0.3158,$0.2828,$0.3014,"$2,374,584","$2,374,584"
"Jun 14, 2022",$0.3112,$0.3175,$0.2994,$0.3116,"$2,326,643","$2,326,643"
"Jun 13, 2022",$0.3456,$0.3456,$0.3087,$0.3112,"$2,366,624","$2,366,624"
"Jun 12, 2022",$0.3205,$0.3577,$0.3059,$0.3458,"$2,570,975","$2,570,975"
"Jun 11, 2022",$0.3261,$0.3367,$0.3074,$0.3206,"$2,286,099","$2,286,099"
"Jun 10, 2022",$0.3479,$0.3494,$0.3203,$0.3261,"$2,276,397","$2,276,397"
"Jun 09, 2022",$0.3446,$0.3511,$0.3332,$0.3479,"$2,221,257","$2,221,257"
"Jun 08, 2022",$0.3519,$0.3591,$0.3349,$0.3446,"$2,267,350","$2,267,350"
